year,DGZFMTAC,PROFEPA_admin_001,PROFEPA_inspeccion,PROFEPA_total,SEMARNAT_Ramo16,dgz_pct_of_ramo16,profepa_pct_of_ramo16,inspeccion_pct_of_profepa,inspeccion_pct_of_ramo16
2018,63.58018,693.080235,295.924032,989.004267,37580.635702,0.16918335417252225,2.6316858364036833,29.921411046854463,0.7874375365721961
2019,48.47954,586.10506,210.058312,796.163372,31020.459536,0.1562824688130049,2.5665750408243726,26.383820128816478,0.6771605422422006
2020,27.145906,573.555377,219.514279,793.069656,29869.450777,0.09088183844646659,2.6551196468958094,27.679066692220033,0.7349123378225282
2021,27.230305,583.925685,158.177443,742.103128,31348.192349,0.08686403572124517,2.3672916120271057,21.314752226728253,0.5045823415876987
2022,40.945993,604.5488349999999,171.92767,776.476505,40795.855575,0.10036802126805255,1.9033220263575756,22.142031200287253,0.42143415691803393
2023,45.095374,648.301167,182.040191,830.341358,75627.265287,0.05962846048824629,1.097939155738231,21.923536536644484,0.24070709195839704
2024,47.002010999999996,708.407496,187.667354,896.07485,70245.482469,0.06691108004097264,1.2756334194094923,20.94326762993069,0.26715932100376616
2025,43.379444,644.6530359999999,194.892551,839.545587,44370.522371,0.09776635856861637,1.8921246407247982,23.21405222275321,0.4392388022174362
2026,41.889908999999996,665.219183,161.853115,827.072298,45564.073902,0.09193626779312479,1.8151851385784368,19.569403471907844,0.3552209035305238
