"main_species_group","n_Records_dataMares","n_Records_JCdata","state","Total_Biomass_kg_dataMares","Total_Landed_Biomass_JCdata","Total_Live_Biomass_JCdata","Total_Value_JCdata","Total_Value_mxn_dataMares","Count_discrepancy","Count_discrepancy.per","Biomass_discrepancy","Biomass_discrepancy.per","Value_discrepancy","Value_discrepancy.per"
"MERO",245,32,"SONORA",111931,52265,57255.3,742605,3725061,-213,-666,-59666,-114,-2982456,-402
"MOJARRA",448,410,"SONORA",444778,425882,619921.1,12063038,12365479,-38,-9,-18896,-4,-302441,-3
"OTRAS",8398,7586,"SONORA",88138165,80256972,81635648.05,388756706.95,481000147.45,-812,-11,-7881193,-10,-92243440.5,-24
"PAMPANO",36,33,"SONORA",69201,24882,31444.2,250870,298381,-3,-9,-44319,-178,-47511,-19
"PARGO",880,785,"SONORA",443511,367031,387515.5,16656955.5,19408531.5,-95,-12,-76480,-21,-2751576,-17
"PEPINO DE MAR",14,14,"SONORA",5505,5505,5505,73700,73700,0,0,0,0,0,0
"PEZ GALLO",1,NA,"SONORA",500,NA,NA,NA,10000,NA,NA,NA,NA,NA,NA
"PEZ VELA",6,NA,"SONORA",6080,NA,NA,NA,65800,NA,NA,NA,NA,NA,NA
"PIERNA",70,68,"SONORA",77702,77463,83602.5,699280,700714,-2,-3,-239,0,-1434,0
"PULPO",296,296,"SONORA",233474,233474,243941.8,20342000,20342000,0,0,0,0,0,0
"RAYA Y SIMILARES",1070,722,"SONORA",1232327,871366,1410862.1,14908646.5,20580158.5,-348,-48,-360961,-41,-5671512,-38
"ROBALO",45,45,"SONORA",9363,9363,9523,542170,542170,0,0,0,0,0,0
"RONCO",15,15,"SONORA",8945,9845,11559.5,315775,296575,0,0,900,9,19200,6
"RUBIA Y VILLAJAIBA",6,1,"SONORA",743,100,100,4000,7858,-5,-500,-643,-643,-3858,-96
"SARDINA",3504,NA,"SONORA",411364994,NA,NA,NA,867579662.11,NA,NA,NA,NA,NA,NA
"SIERRA",922,929,"SONORA",3063512,3060177,3077290.09,69344766.35,69575527.22,7,1,-3335,0,-230760.870000005,0
"TIBURON",901,705,"SONORA",1905641,1465853,1691582.1,22724332,26414795,-196,-28,-439788,-30,-3690463,-16
"ATUN",NA,24,"BAJA CALIFORNIA",NA,5780,5794.5,121945,NA,NA,NA,NA,NA,NA,NA
"BAQUETA",NA,279,"BAJA CALIFORNIA",NA,113492,117653.85,9585578,NA,NA,NA,NA,NA,NA,NA
"BONITO",NA,147,"BAJA CALIFORNIA",NA,26607,26886.45,353024,NA,NA,NA,NA,NA,NA,NA
"MACARELA",NA,25,"BAJA CALIFORNIA",NA,8045,8045,55285,NA,NA,NA,NA,NA,NA,NA
"PECES DE ORNATO",NA,46,"BAJA CALIFORNIA",NA,873,873,75217.36,NA,NA,NA,NA,NA,NA,NA
"SARGAZO",NA,370,"BAJA CALIFORNIA",NA,1356211,2711192.2,21950600.4,NA,NA,NA,NA,NA,NA,NA
"ATUN",NA,112,"BAJA CALIFORNIA SUR",NA,23156,23662,896321,NA,NA,NA,NA,NA,NA,NA
"BAQUETA",NA,791,"BAJA CALIFORNIA SUR",NA,212523,232205.7,14599586,NA,NA,NA,NA,NA,NA,NA
"BONITO",NA,101,"BAJA CALIFORNIA SUR",NA,379968,380685.4,2863166,NA,NA,NA,NA,NA,NA,NA
"MACARELA",NA,38,"BAJA CALIFORNIA SUR",NA,462109,462124,2317508,NA,NA,NA,NA,NA,NA,NA
"SARGAZO",NA,12,"BAJA CALIFORNIA SUR",NA,10277,19301.5,250850,NA,NA,NA,NA,NA,NA,NA
"ATUN",NA,24,"JALISCO",NA,17201,17216.3,687140,NA,NA,NA,NA,NA,NA,NA
"BAGRE",NA,179,"JALISCO",NA,17190,17190,990355,NA,NA,NA,NA,NA,NA,NA
"BANDERA",NA,36,"JALISCO",NA,12689,15832.7,175571,NA,NA,NA,NA,NA,NA,NA
"BAQUETA",NA,1,"JALISCO",NA,87,87,4524,NA,NA,NA,NA,NA,NA,NA
"BARRILETE",NA,19,"JALISCO",NA,3451,3451,49965,NA,NA,NA,NA,NA,NA,NA
"BERRUGATA",NA,22,"JALISCO",NA,9128,9128,225056,NA,NA,NA,NA,NA,NA,NA
"BONITO",NA,13,"JALISCO",NA,5158,5158,198520,NA,NA,NA,NA,NA,NA,NA
"CABRILLA",NA,33,"JALISCO",NA,13450,13450,375291,NA,NA,NA,NA,NA,NA,NA
"CAMARON",NA,1,"JALISCO",NA,132,132,7920,NA,NA,NA,NA,NA,NA,NA
"CARPA",NA,792,"JALISCO",NA,1610984,1611566.05,16330499,NA,NA,NA,NA,NA,NA,NA
"CAZON",NA,2,"JALISCO",NA,266,266,12985,NA,NA,NA,NA,NA,NA,NA
"CHARAL",NA,354,"JALISCO",NA,492605,492902.5,8837258,NA,NA,NA,NA,NA,NA,NA
"CORVINA",NA,15,"JALISCO",NA,3950,3950,91160,NA,NA,NA,NA,NA,NA,NA
"ESMEDREGAL",NA,8,"JALISCO",NA,3559,3559,122406,NA,NA,NA,NA,NA,NA,NA
"GUACHINANGO",NA,310,"JALISCO",NA,216230,216389.3,16487020,NA,NA,NA,NA,NA,NA,NA
"JAIBA",NA,32,"JALISCO",NA,12746,12746,343385,NA,NA,NA,NA,NA,NA,NA
"JUREL",NA,66,"JALISCO",NA,30111,30134,663407,NA,NA,NA,NA,NA,NA,NA
"LANGOSTA",NA,43,"JALISCO",NA,29457,29457,3465100,NA,NA,NA,NA,NA,NA,NA
"LANGOSTINO",NA,19,"JALISCO",NA,6391,6391,1264254,NA,NA,NA,NA,NA,NA,NA
"LEBRANCHA",NA,95,"JALISCO",NA,63488,63488,2219142,NA,NA,NA,NA,NA,NA,NA
"LENGUADO",NA,9,"JALISCO",NA,3044,3044,70045,NA,NA,NA,NA,NA,NA,NA
"LISA",NA,82,"JALISCO",NA,118274,120533,1515339,NA,NA,NA,NA,NA,NA,NA
"LOBINA",NA,128,"JALISCO",NA,9915,9979.1,160375,NA,NA,NA,NA,NA,NA,NA
"MERO",NA,6,"JALISCO",NA,2210,2210,77440,NA,NA,NA,NA,NA,NA,NA
"MOJARRA",NA,1920,"JALISCO",NA,7056783,7318626.8,101779694,NA,NA,NA,NA,NA,NA,NA
"OSTION",NA,27,"JALISCO",NA,39388,39388,1224994,NA,NA,NA,NA,NA,NA,NA
"OTRAS",NA,646,"JALISCO",NA,353874.4,361914.4,8089114.8,NA,NA,NA,NA,NA,NA,NA
"PAMPANO",NA,28,"JALISCO",NA,12102,12102,357847,NA,NA,NA,NA,NA,NA,NA
"PARGO",NA,361,"JALISCO",NA,192900,194083.1,11606981,NA,NA,NA,NA,NA,NA,NA
"PETO",NA,1,"JALISCO",NA,100,100,0,NA,NA,NA,NA,NA,NA,NA
"PULPO",NA,148,"JALISCO",NA,119353,119353,10662515,NA,NA,NA,NA,NA,NA,NA
"RAYA Y SIMILARES",NA,9,"JALISCO",NA,3657,4392.7,107776,NA,NA,NA,NA,NA,NA,NA
"ROBALO",NA,142,"JALISCO",NA,68239,68464.5,4536924,NA,NA,NA,NA,NA,NA,NA
"RONCO",NA,3,"JALISCO",NA,1180,1180,42700,NA,NA,NA,NA,NA,NA,NA
"SIERRA",NA,152,"JALISCO",NA,102882,102922,3673807,NA,NA,NA,NA,NA,NA,NA
"TIBURON",NA,4,"JALISCO",NA,374,374,8365,NA,NA,NA,NA,NA,NA,NA
"TRUCHA",NA,1,"JALISCO",NA,2500,2500,62500,NA,NA,NA,NA,NA,NA,NA
"ATUN",NA,546,"NAYARIT",NA,459794,459794,46029570,NA,NA,NA,NA,NA,NA,NA
"BAQUETA",NA,174,"NAYARIT",NA,49264,53200,2539010,NA,NA,NA,NA,NA,NA,NA
"BONITO",NA,96,"NAYARIT",NA,19139,32042,370427,NA,NA,NA,NA,NA,NA,NA
"ATUN",NA,11,"SINALOA",NA,487,497.7,41900,NA,NA,NA,NA,NA,NA,NA
"BAQUETA",NA,1316,"SINALOA",NA,690271,734882.15,38693325,NA,NA,NA,NA,NA,NA,NA
"BONITO",NA,11,"SINALOA",NA,4851,4851,51130,NA,NA,NA,NA,NA,NA,NA
"BAQUETA",NA,922,"SONORA",NA,592334,633659.6,35764800,NA,NA,NA,NA,NA,NA,NA
