Region,Stock,ScientificName,Major_Functional_Group,Landings_Datasource,StartYear,EndYear,int_yr,btype,force.cmsy,Flim,Fpa,Blim,Bpa,Bmsy,B40,FMSY,MSY,MSYBtrigger,M,Fofl,last_F,q.start,q.end,st_b.low,st_b.hi,int_b.low,int_b.hi,end_b.low,end_b.hi,r.low,r.hi,Resilience,Resilience_Source,Yes_Run,Comment
goc,diplectrum,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,merluccius,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,microlepidotus,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,nematistius,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,orthopristis,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,parapsettus,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,pseudupeneus,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,scorpaena,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,sphoeroides,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,stereolepis,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,synodus,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,hoplopagrus,PENDING,PENDING,jc_data,2000,2024,2015,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,MAREA_priors,0,Incomplete model priors
goc,caulolatilus,PENDING,PENDING,jc_data,2000,2024,2010,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.8,0.5,0.8,0.5,0.8,NA,NA,Low,Ferrer et al_2022,1,NA
