year,species_name,annual_weight_kg,annual_value_pesos,produced_in
2021,PAYASO DESV. Y DESC. FCO.,27051.25,521835,"SINALOA, SONORA, NAYARIT, BAJA CALIFORNIA SUR"
2021,PAYASO ENT. FCO.,39289,292955,"SINALOA, SONORA"
2021,PECES DE ORNATO,15,45000,SINALOA
2022,ESPECIES DE ORNATO VIVAS,235,24910.13,BAJA CALIFORNIA
2022,PAYASO DESV. FCO.,8620.7,233484,"SINALOA, BAJA CALIFORNIA SUR, SONORA, NAYARIT"
2022,PAYASO DESV. Y DESC. FCO.,13823.75,241960,"SINALOA, SONORA, BAJA CALIFORNIA"
2022,PAYASO ENT. FCO.,6563,292687,"SINALOA, SONORA, BAJA CALIFORNIA"
2023,ESPECIES DE ORNATO VIVAS,255,21984,BAJA CALIFORNIA
2023,PAYASO DESV. FCO.,5843,153710,"SINALOA, SONORA, NAYARIT"
2023,PAYASO DESV. Y DESC. FCO.,9215,193358,"SINALOA, SONORA"
2023,PAYASO ENT. FCO.,6471,148840,"SINALOA, SONORA, BAJA CALIFORNIA SUR"
2024,ESPECIES DE ORNATO VIVAS,212,59784,BAJA CALIFORNIA
2024,PAYASO DESV. FCO.,9566.7,259865,"SINALOA, SONORA"
2024,PAYASO DESV. Y DESC. FCO.,17330,384313,"SINALOA, SONORA"
2024,PAYASO ENT. FCO.,4498,112416,"SONORA, SINALOA"
2024,PECES DE ORNATO,1232,22794.690000000002,"BAJA CALIFORNIA, JALISCO"
2024,PEZ PAYASO DE ORNATO DE CULTIVO  VIVO,500,2500,JALISCO
2025,PAYASO DESV. FCO.,17134.7,365840,"SINALOA, SONORA"
2025,PAYASO DESV. Y DESC. FCO.,28236.25,749720,"SINALOA, SONORA"
2025,PAYASO ENT. FCO.,5035.33,317143.8,"SONORA, SINALOA"
2025,PECES DE ORNATO,600,3600,JALISCO
