Participant,Major_Functional_Group,Status_of_Major_Functional_Group,Common_Name,estimated_taxa_group,Stock,estimated_family_name,Fishery_Status_in_2024_v_Historic,Notes_1,Fishery_Status_in_2000_v_Historic,Notes_2,Population_Resilience,Notes_3,IUU_Estimate,Notes_4
Jorge,molluscs excl. cephalopods,,murex snails,caracol,hexaplex,muricidae,depleted | agotadas,,,,,,,
Jorge,molluscs excl. cephalopods,,scallops,almeja,argopecten,pectinidae,depleted | agotadas,,,,,,,
Jorge,molluscs excl. cephalopods,,conchs,caracol,lobatus,strombidae,severely depleted | Las existencias están gravemente agotadas,Large snails are very very rara to see,,,,,,
Jorge,molluscs excl. cephalopods,,turban snails,caracol,turbo,turbinidae,,NOT FOUND IN THE GULF.,,,,,,
Jorge,molluscs excl. cephalopods,,venus clams,almeja,chione,veneridae,,,,,,,,
Jorge,molluscs excl. cephalopods,,venus clams,almeja,dosinia,veneridae,,,,,,,,
Jorge,molluscs excl. cephalopods,,chocolate clams,almeja,megapitaria,veneridae,depleted | agotadas,,,,,,,
Jorge,pelagic marine fish (excl. anchovy & sardine),,needlefish,otras,ablennes,belonidae,,,,,,,,
Jorge,pelagic marine fish (excl. anchovy & sardine),,jacks,bonito,caranx,carangidae,,,,,,,,
Jorge,pelagic marine fish (excl. anchovy & sardine),,bonitos,bonito,sarda,carangidae,,,,,,,,
Jorge,pelagic marine fish (excl. anchovy & sardine),,amberjacks / yellowtails,esmedregal,seriola,carangidae,,,,,,,,
Jorge,pelagic marine fish (excl. anchovy & sardine),,pompano,pampano,trachinotus,carangidae,,,,,,,,
Jorge,pelagic marine fish (excl. anchovy & sardine),,moonfish / lookdowns,ronco,selene,carangidae,,,,,,,,
Jorge,pelagic marine fish (excl. anchovy & sardine),,mahi-mahi,otras,coryphaena,coryphaenidae,,,,,,,,
Jorge,pelagic marine fish (excl. anchovy & sardine),,sailfish,otras,istiophorus,istiophoridae,,,,,,,,
Jorge,pelagic marine fish (excl. anchovy & sardine),,true tunas,atun,thunnus,scombridae,,,,,,,,
Jorge,pelagic marine fish (excl. anchovy & sardine),,little tunas,barrilete,euthynnus,scombridae,,,,,,,,
Jorge,pelagic marine fish (excl. anchovy & sardine),,skipjack tuna,barrilete,katsuwonus,scombridae,,,,,,,,
Jorge,pelagic marine fish (excl. anchovy & sardine),,mackerels,macarela,scomber,scombridae,,,,,,,,
Jorge,pelagic marine fish (excl. anchovy & sardine),,Spanish mackerels,sierra,scomberomorus,scombridae,,,,,,,,
Jorge,pelagic marine fish (excl. anchovy & sardine),,barracudas,otras,sphyraena,sphyraenidae,,,,,,,,
Jorge,pelagic marine fish (excl. anchovy & sardine),,cutlassfishes,cintilla,trichiurus,trichiuridae,,,,,,,,
Jorge,pelagic marine fish (excl. anchovy & sardine),,swordfish,otras,xiphias,xiphiidae,,,,,,,,
Jorge,sharks,,thresher sharks,tiburon,alopias,alopiidae,depleted | agotadas,,,,,,,
Jorge,sharks,,requiem sharks,tiburon,carcharhinus,carcharhinidae,severely depleted | Las existencias están gravemente agotadas,,,,,,,
Jorge,sharks,,tiger shark,tiburon,galeocerdo,carcharhinidae,severely depleted | Las existencias están gravemente agotadas,,,,,,,
Jorge,sharks,,whitetip reef shark,tiburon,nasolamia,carcharhinidae,,,,,,,,
Jorge,sharks,,blue shark,tiburon,prionace,carcharhinidae,severely depleted | Las existencias están gravemente agotadas,,,,,,,
Jorge,sharks,,nurse sharks,tiburon,ginglymostoma,ginglymostomatidae,,,,,,,,
Jorge,sharks,,mako sharks,tiburon,isurus,lamnidae,,,,,,,,
Jorge,sharks,,salmon sharks,tiburon,lamna,lamnidae,,,,,,,,
Jorge,sharks,,hammerhead sharks,tiburon,sphyrna,sphyrnidae,,,,,,,,
Jorge,sharks,,angel sharks,tiburon,squatina,squatinidae,depleted | agotadas,,,,,,,
Jorge,sharks,,smoothhounds,tiburon,mustelus,triakidae,sustainable | sostenible,,,,,,,
Jorge,"shrimps, prawns",,penaeid shrimp,camaron,farfantepenaeus,penaeidae,severely depleted | Las existencias están gravemente agotadas,"The fishing season is not longer than 2 months, in the past it was 8 months. Even though it is open for 8 months, they catch few month because there is not more camaron.",,,,,,
Jorge,"shrimps, prawns",,white shrimp,camaron,litopenaeus / penaus,penaeidae,severely depleted | Las existencias están gravemente agotadas,"The fishing season is not longer than 2 months, in the past it was 8 months. Even though it is open for 8 months, they catch few month because there is not more camaron.",,,,,,
Jorge,"shrimps, prawns",,rough shrimp,camaron,rimapenaeus,penaeidae,severely depleted | Las existencias están gravemente agotadas,"The fishing season is not longer than 2 months, in the past it was 8 months. Even though it is open for 8 months, they catch few month because there is not more camaron.",,,,,,
