Region,Landings_Datasource,StartYear,EndYear,Major_Functional_Group,Common_Name,estimated_taxa_group,Stock,estimated_family_name,FisheryStatus_Circa2024,end_b.low,end_b.hi,FisheryStatus_Circa2000,st_b.low,st_b.hi,Population_Resilience,Resilience_Source
goc,conapesca,2000,2024,demersal marine fishes,whiptail stingrays,raya y similares,hypanus,dasyatidae,new / healthy,0.6,1,new / healthy,0.6,0.9,low,my_best_guess
goc,conapesca,2000,2024,demersal marine fishes,flounders,otras,parapsettus,ephippidae,new / healthy,0.6,1,new / healthy,0.6,0.9,medium,fish base
goc,conapesca,2000,2024,demersal marine fishes,mojarras / silver-biddies,bandera,gerres,gerreidae,depleted,0.1,0.4,depleted,0.1,0.3,high,best_guess_serranidae
goc,conapesca,2000,2024,demersal marine fishes,mojarras,mojarra,diapterus,gerreidae,depleted,0.1,0.3,depleted,0.1,0.3,high,fish base
goc,conapesca,2000,2024,demersal marine fishes,mojarras,mojarra,eucinostomus,gerreidae,depleted,0.1,0.3,depleted,0.1,0.3,high,fish base
goc,conapesca,2000,2024,demersal marine fishes,mojarras,mojarra,eugerres,gerreidae,depleted,0.1,0.4,depleted,0.1,0.3,medium,fish base
goc,conapesca,2000,2024,demersal marine fishes,porkfishes/grunts,mojarra,anisotremus,haemulidae,depleted,0.1,0.4,depleted,0.1,0.3,medium,fish base
goc,conapesca,2000,2024,demersal marine fishes,sargo,otras,microlepidotus,haemulidae,severely depleted,0.01,0.2,depleted,0.1,0.3,medium,fish base
goc,conapesca,2000,2024,demersal marine fishes,grunts,otras,orthopristis,haemulidae,depleted,0.1,0.4,depleted,0.1,0.3,medium,fish base
goc,conapesca,2000,2023,demersal marine fishes,salemas,otras,xenichthys,haemulidae,depleted,0.1,0.3,depleted,0.1,0.3,medium,fish base
goc,conapesca,2000,2024,demersal marine fishes,grunts,ronco,haemulopsis,haemulidae,depleted,0.1,0.3,depleted,0.1,0.3,medium,best
goc,conapesca,2000,2024,demersal marine fishes,grunts,rubio,haemulon,haemulidae,depleted,0.1,0.3,depleted,0.1,0.3,medium,fish base
goc,conapesca,2000,2024,demersal marine fishes,snappers,guachinango,lutjanus,lutjanidae,depleted,0.1,0.3,depleted,0.1,0.3,medium,ferrer et al_2022
goc,conapesca,2000,2024,demersal marine fishes,Mexican hogfish,pargo,hoplopagrus,lutjanidae,depleted,0.1,0.4,depleted,0.1,0.3,low,best_guess
goc,conapesca,2000,2024,demersal marine fishes,tilefishes,pierna,caulolatilus,malacanthidae,depleted,0.01,0.4,UNKNOWN,NA,NA,low,ferrer et al_2022
goc,conapesca,2000,2024,demersal marine fishes,hakes,otras,merluccius,merlucciidae,healthy,0.5,0.9,healthy,0.5,0.8,medium,best_guess
goc,conapesca,2000,2024,demersal marine fishes,mullets,lisa,mugil,mugilidae,depleted,0.01,0.3,depleted,0.1,0.3,medium,ferrer et al_2022
goc,conapesca,2000,2024,demersal marine fishes,eagle rays,raya y similares,aetobatus,myliobatidae,new / healthy,0.6,0.9,new / healthy,0.6,0.9,low,my_best_guess
goc,conapesca,2000,2019,demersal marine fishes,devil rays,raya y similares,mobula,myliobatidae,new / healthy,0.6,0.9,new / healthy,0.6,0.9,low,my_best_guess
goc,conapesca,2000,2024,demersal marine fishes,roosterfish,otras,nematistius,nematistiidae,severely depleted,0.01,0.2,new / healthy,0.6,0.9,medium,my_best_guess
goc,conapesca,2000,2024,demersal marine fishes,cusk-eels,lenguado,brotula,ophidiidae,new / healthy,0.6,1,new / healthy,0.6,0.9,low,ferrer et al_2022
goc,conapesca,2000,2024,demersal marine fishes,giant sea bass,otras,stereolepis,polyprionidae,UNKNOWN,NA,NA,UNKNOWN,NA,NA,very low,fish base
goc,conapesca,2000,2024,demersal marine fishes,guitarfishes,raya y similares,pseudobatos,rhinobatidae,depleted,0.01,0.4,new / healthy,0.6,0.9,low,my_best_guess
goc,conapesca,2000,2024,demersal marine fishes,parrotfishes,otras,nicholsina,scaridae,severely depleted,0.01,0.2,UNKNOWN,NA,NA,medium,fish base
goc,conapesca,2000,2024,demersal marine fishes,king croakers,berrugata,menticirrhus,sciaenidae,depleted,0.01,0.3,sustainable,0.3,0.5,medium,ferrer et al_2022
goc,conapesca,2000,2024,demersal marine fishes,croakers,berrugata,micropogonias,sciaenidae,sustainable,0.3,0.6,sustainable,0.3,0.5,medium,ferrer et al_2022
goc,conapesca,2000,2024,demersal marine fishes,corvina / croaker?,corvina,cynoscion,sciaenidae,sustainable,0.3,0.6,sustainable,0.3,0.5,medium,ferrer et al_2022
goc,conapesca,2005,2024,demersal marine fishes,croakers,corvina,larimus,sciaenidae,depleted,0.01,0.3,sustainable,0.3,0.5,medium,ferrer et al_2022
goc,conapesca,2000,2024,demersal marine fishes,scorpionfishes,otras,scorpaena,scorpaenidae,severely depleted,0.01,0.1,new / healthy,0.6,0.9,low,fish base
goc,conapesca,2000,2024,demersal marine fishes,groupers,baqueta,hyporthodus,serranidae,depleted,0.1,0.4,depleted,0.1,0.3,medium,my_best_guess
goc,conapesca,2000,2024,demersal marine fishes,groupers,cabrilla,mycteroperca,serranidae,depleted,0.1,0.3,depleted,0.1,0.3,low,ferrer et al_2022
goc,conapesca,2000,2024,demersal marine fishes,sand basses,cabrilla,paralabrax,serranidae,depleted,0.01,0.4,depleted,0.1,0.3,low,ferrer et al_2022
goc,conapesca,2000,2024,demersal marine fishes,groupers,mero,epinephelus,serranidae,depleted,0.01,0.3,depleted,0.1,0.3,very low,best_guess_mycteroperca.jordani
goc,conapesca,2000,2024,demersal marine fishes,sand perches,otras,diplectrum,serranidae,depleted,0.1,0.4,depleted,0.1,0.3,medium,fish base
goc,conapesca,2000,2024,demersal marine fishes,basslets,otras,paranthias,serranidae,severely depleted,0.01,0.2,depleted,0.1,0.3,medium,fish base
goc,conapesca,2000,2024,demersal marine fishes,porgies,mojarra,calamus,sparidae,severely depleted,0.01,0.2,new / healthy,0.6,0.9,medium,fish base
goc,conapesca,2000,2024,demersal marine fishes,lizardfishes,otras,synodus,synodontidae,UNKNOWN,NA,NA,UNKNOWN,NA,NA,medium,fish base
goc,conapesca,2000,2024,demersal marine fishes,puffers,otras,sphoeroides,tetraodontidae,new / healthy,0.6,1,new / healthy,0.6,0.9,medium,fish base
goc,conapesca,2000,2024,diadromous fishes,milkfish,otras,chanos,chanidae,depleted,0.1,0.4,depleted,0.1,0.3,low,fish base
goc,conapesca,2000,2024,echinoderms,sea urchins,erizo,mesocentrotus,strongylocentrotidae,severely depleted,0.01,0.1,new / healthy,0.6,0.9,high,my_best_guess
goc,conapesca,2011,2024,jellies,cannonball jellyfish,otras,stomolophus,stomolophidae,new / healthy,0.6,0.9,new / healthy,0.6,0.9,high,best_guess
goc,conapesca,2000,2024,molluscs excl. cephalopods,abalones,abulon,haliotis,haliotidae,severely depleted,0.01,0.1,depleted,0.1,0.3,low,best_guess
goc,conapesca,2005,2024,molluscs excl. cephalopods,geoducks,almeja,panopea,hiatellidae,new / healthy,0.6,1,new / healthy,0.6,0.9,medium,best_guess
goc,conapesca,2000,2024,molluscs excl. cephalopods,murex snails,caracol,hexaplex,muricidae,depleted,0.01,0.4,UNKNOWN,NA,NA,medium,ferrer et al_2022
goc,conapesca,2000,2024,molluscs excl. cephalopods,scallops,almeja,argopecten,pectinidae,depleted,0.01,0.3,depleted,0.1,0.3,medium,best_guess
goc,conapesca,2000,2024,molluscs excl. cephalopods,conchs,caracol,lobatus,strombidae,depleted,0.1,0.3,depleted,0.1,0.3,medium,ferrer et al_2022
goc,conapesca,2010,2024,molluscs excl. cephalopods,turban snails,caracol,turbo,turbinidae,UNKNOWN,NA,NA,UNKNOWN,NA,NA,medium,ferrer et al_2022
goc,conapesca,2012,2023,molluscs excl. cephalopods,venus clams,almeja,chione,veneridae,depleted,0.1,0.4,depleted,0.1,0.3,medium,best_guess
goc,conapesca,2000,2024,molluscs excl. cephalopods,venus clams,almeja,dosinia,veneridae,depleted,0.1,0.4,depleted,0.1,0.3,medium,best_guess
goc,conapesca,2000,2024,molluscs excl. cephalopods,chocolate clams,almeja,megapitaria,veneridae,depleted,0.01,0.3,depleted,0.1,0.3,medium,best_guess
goc,conapesca,2000,2024,pelagic marine fish (excl. anchovy & sardine),needlefish,otras,ablennes,belonidae,depleted,0.01,0.4,new / healthy,0.6,0.9,medium,fish base
goc,conapesca,2000,2024,pelagic marine fish (excl. anchovy & sardine),jacks,bonito,caranx,carangidae,sustainable,0.3,0.6,sustainable,0.3,0.5,medium,ferrer et al_2022
goc,conapesca,2000,2022,pelagic marine fish (excl. anchovy & sardine),bonitos,bonito,sarda,carangidae,sustainable,0.3,0.5,sustainable,0.3,0.5,medium,my_best_guess
goc,conapesca,2000,2024,pelagic marine fish (excl. anchovy & sardine),amberjacks / yellowtails,esmedregal,seriola,carangidae,sustainable,0.3,0.5,sustainable,0.3,0.5,medium,ferrer et al_2022
goc,conapesca,2000,2024,pelagic marine fish (excl. anchovy & sardine),pompano,pampano,trachinotus,carangidae,severely depleted,0.01,0.2,sustainable,0.3,0.5,medium,fishbase_trachinotus paitensis
goc,conapesca,2000,2024,pelagic marine fish (excl. anchovy & sardine),moonfish / lookdowns,ronco,selene,carangidae,depleted,0.01,0.4,sustainable,0.3,0.5,medium,best_guess
goc,conapesca,2000,2024,pelagic marine fish (excl. anchovy & sardine),mahi-mahi,otras,coryphaena,coryphaenidae,sustainable,0.3,0.5,sustainable,0.3,0.5,medium,fish
goc,conapesca,2000,2024,pelagic marine fish (excl. anchovy & sardine),sailfish,otras,istiophorus,istiophoridae,depleted,0.1,0.4,depleted,0.1,0.3,low,fish base
goc,conapesca,2000,2024,pelagic marine fish (excl. anchovy & sardine),true tunas,atun,thunnus,scombridae,sustainable,0.3,0.6,sustainable,0.3,0.5,medium,my_best_guess
goc,conapesca,2004,2024,pelagic marine fish (excl. anchovy & sardine),little tunas,barrilete,euthynnus,scombridae,depleted,0.01,0.4,sustainable,0.3,0.5,medium,best_guess_katsuwonus.pelamis
goc,conapesca,2000,2024,pelagic marine fish (excl. anchovy & sardine),skipjack tuna,barrilete,katsuwonus,scombridae,sustainable,0.3,0.5,sustainable,0.3,0.5,medium,best_guess_katsuwonus.pelamis
goc,conapesca,2000,2024,pelagic marine fish (excl. anchovy & sardine),mackerels,macarela,scomber,scombridae,depleted,0.01,0.4,sustainable,0.3,0.5,medium,my_best_guess
goc,conapesca,2000,2024,pelagic marine fish (excl. anchovy & sardine),Spanish mackerels,sierra,scomberomorus,scombridae,sustainable,0.3,0.6,sustainable,0.3,0.5,medium,ferrer et al_2022
goc,conapesca,2000,2024,pelagic marine fish (excl. anchovy & sardine),barracudas,otras,sphyraena,sphyraenidae,depleted,0.01,0.3,depleted,0.1,0.3,medium,fish base
goc,conapesca,2008,2024,pelagic marine fish (excl. anchovy & sardine),cutlassfishes,cintilla,trichiurus,trichiuridae,depleted,0.01,0.3,healthy,0.5,0.8,high,fishbase_trichiurus brevis
goc,conapesca,2000,2024,pelagic marine fish (excl. anchovy & sardine),swordfish,otras,xiphias,xiphiidae,depleted,0.1,0.4,depleted,0.1,0.3,medium,fish base
