"year","eu_rnpa","total_catch_kg"
2018,"0305006967",11921
2018,"0305006983",6290
2018,"0305006991",2895.7
2018,"0305007007",46112
2018,"0305007056",6779.5
2018,"0305007064",4384.4
2018,"0305007098",5220
2018,"0305007122",10187.2
2018,"0305007130",600
2018,"0305007213",34100
2018,"0305007221",1853.8
2018,"0305007270",47846.7
2018,"0305007288",7702.2
2018,"0305007304",6130
2018,"0305007312",1363
2018,"0305007320",6657.4
2018,"0305007338",6962
2018,"0305007346",6818
2018,"0305007361",19695.2
2018,"0305007403",2398.15
2018,"0305007411",39625
2018,"0305007429",3520.8
2018,"0305007437",4747.6
2018,"0305007445",5797
2018,"0305007452",11895.4
2018,"0305007585",59314
2018,"0305007593",48255.8
2018,"0305007627",69428.35
2018,"0305007643",3056.2
2018,"0305007692",3770.9
2018,"0305007718",8244.3
2018,"0305007734",2879
2018,"0305007759",271871.43
2018,"0305007767",7519.7
2018,"0305007783",496.6
2018,"0305007817",11995
2018,"0305007841",16031.3
2018,"0305007932",90
2018,"0305007999",30380
2018,"0305008013",30230.3
2018,"0305008047",13567
2018,"0305008054",5078
2018,"0305008179",10375.9
2018,"0305008195",8381
2018,"0305008328",11511
2018,"0305008377",17874.2
2018,"0305008518",119336.4
2018,"0305008534",5720
2018,"0305008567",24790.3
2018,"0305008609",27798
2018,"0305008617",36017.13
2018,"0305008625",7505.92
2018,"0305008641",4210
2018,"0305008740",14238.4
2018,"0306000076",128387.9
2018,"0306000118",12504.5
2018,"0306000191",16198.2
2018,"0306000274",44493.2
2018,"0306000860",14675
2018,"0306000951",154266.7
2018,"0306000993",6911.4
2018,"0306001033",815.7
2018,"0306001041",15154.9
2018,"0306001082",4021.5
2018,"0306001090",29220.6
2018,"0306001108",8538.1
2018,"0306001223",5964.3
2018,"0306001280",1424.6
2018,"0306001290",287839.8
2018,"0306001371",4340.4
2018,"0306001702",38922.25
2018,"0306001710",39631
2018,"0306001744",107534.7
2018,"0306001769",16471.7
2018,"0306001777",5317.8
2018,"0306001785",128429.5
2018,"0306001793",166969.1
2018,"0306001801",91115.3
2018,"0306001827",123537.8
2018,"0306001835",31954.7
2018,"0306001876",27202.5
2018,"0306001884",4800
2018,"0306001892",6091.1
2018,"0306001900",6412.5
2018,"0306001918",166573.55
2018,"0306001926",52753.6
2018,"0306001934",83966.95
2018,"0306001967",8487.9
2018,"0306002023",8896
2018,"0308000058",8486
2018,"0308000371",14270
2018,"0308000462",1030
2018,"0311000293",18040296.32
2018,"0311000525",9493.5
2018,"0311001200",5000
2018,"0311002579",16356
2018,"0312000490",615.3
2018,"0312000532",22265
2018,"0312000607",140724
2018,"0312000672",1307
2018,"0312000730",185492.1
2018,"0312000839",1900
2018,"0312000938",49914.2
2018,"0312001100",306465.7
2018,"0312001233",75510.2
2018,"0312001332",15452.5
2018,"0312001449",11895
2018,"0312001977",64255.5
