GeneralName,Eng_CommonName,ScientificName,NewClass,Represented
ALMEJA,Clams,PANOPEA GENEROSA,DemersalMollusc,yes
ALMEJA,Clams,PANOPEA GLOBOSA/PANOPEA GENEROSA,DemersalMollusc,yes
LANGOSTA,Lobster,PANULIRUS ARGUS,Crustacean_NonShrimp,genus
LANGOSTA,Lobster,PANULIRUS GRACILIS,Crustacean_NonShrimp,genus
LANGOSTA,Lobster,PANULIRUS INFLATUS,Crustacean_NonShrimp,genus
LANGOSTA,Lobster,PANULIRUS INTERRUPTUS,Crustacean_NonShrimp,yes
LANGOSTA,Lobster,PANULIRUS SP,Crustacean_NonShrimp,genus
MOJARRA,Cichlid,PARACHROMIS MOTAGUENSIS,Other_freshwater,
CABRILLA,Grouper,PARALABRAX AUROGUTTATUS,DemersalFish_Resident,genus
CABRILLA,Grouper,PARALABRAX HUMERALIS,DemersalFish_Resident,genus
CABRILLA,Grouper,PARALABRAX MACULATOFASCIATUS,DemersalFish_Resident,yes
CABRILLA,Grouper,PARALABRAX NEBULIFER,DemersalFish_Resident,genus
LENGUADO,Flounder,PARALICHTHYIDAE SPP/PLEURONECTIDAE SPP,DemersalFish_NonResident,genus
LENGUADO,Flounder,PARALICHTHYS WOOLMANI,DemersalFish_NonResident,genus
PAMPANO,Creole fish,PARANTHIAS COLONUS,DemersalFish_Resident,yes
OTRAS,Creole fish,PARANTHIAS FURCIFER,DemersalFish_Resident,genus
PEPINO DE MAR,Seacucumber,PARASTICHOPUS PARVIMENSIS,Echinoderm,
CARACOL,Limpet,PATELLA VULGATA,DemersalMollusc,
ALMEJA,Clams,PECTEN VOGDESI/LYROPECTEN (NODIPECTEN) SUBNODOSUS,DemersalMollusc,
LANGOSTINO,Prawn,PENAEUS KERATHURUS,Crustacean_Shrimp,genus
CAMARON,Shrimp,PENAEUS SP,Crustacean_Shrimp,genus
CAMARON,Shrimp,PENAEUS STYLIROSTRIS,Crustacean_Shrimp,genus
CORVINA,Croaker,PENNAHIA ARGENTATA,DemersalFish_NonResident,
MOJARRA,Cichlid,PETENIA SPLENDIDA,Other_freshwater,
ALGAS,Algae,PHAEOPHYCEAE,PrimaryProducer,
OTRAS,Venus clam,PHOLAS CHILOENSIS,DemersalMollusc,
CARACOL,Murex,PHYLLONOTHUS BRASSICA,DemersalMollusc,family
CARACOL,Murex,PHYLLONOTUS ERHYTHOSTOMA,DemersalMollusc,family
OTRAS,Bivalve,PINCTADA MAZATLANICA,DemersalMollusc,
RAYA Y SIMILARES,DemersalRay,PLATYRHINOIDES TRISERIATUS,DemersalFish_NonResident,
RONCO,Grunt,POGONIAS CROMIS,DemersalFish_Resident,
MERO,Pollack,POLLACHIUS POLLACHIUS,DemersalFish_Resident,
OTRAS,Gooseneck barnacle,POLLICIPES POLLICIPES,DemersalMollusc,
RONCO,Grunt,POLYDACTYLUS OCTONEMUS,DemersalFish_Resident,
ALMEJA,Clams,POLYMESODA CAROLINIANA,DemersalMollusc,
MERO,Wreckfish,POLYPRION  SP,DemersalFish_Resident,
OTRAS,Angelfish,POMACANTHUS ARCUATUS/POMACANTHUS PARU,DemersalFish_Resident,
CARACOL,Freshwater snail,POMACEA PATULA,Other_freshwater,
OTRAS,Grunt,POMADASYS MACRACANTHUS,DemersalFish_Resident,
OTRAS,Grunt,POMADASYS PANAMENSIS,DemersalFish_Resident,
OTRAS,Scorpion fish,PONTINUS SIERRA,DemersalFish_Resident,
TIBURON,Shark,PRIONACE GLAUCA,LargePelagic,yes
TIBURON,Shark,PRIONOTUS CAROLINUS,LargePelagic,
OTRAS,Sawfish,PRISTIS PECTINATUS,DemersalFish_NonResident,
PIERNA,Tilefish,PROLATILUS JUGULARIS,DemersalFish_Resident,
OTRAS,Freshwater crappie,PROMOXIS SPP,Other_freshwater,
OTRAS,Goatfish,PSEUDOPENEUS GRANDISQUAMIS,DemersalFish_NonResident,
OTRAS,Lionfish,PTEROIS ANTENNATA,DemersalFish_Resident,
OTRAS,Catfish,PYLODICTIS OLIVARIS,Other_freshwater,
OTRAS,Frog,RANA SPP,Other_freshwater,
ALMEJA,Clams,RANGIA CUNEATA,DemersalMollusc,
ALMEJA,Clams,RANGIA FLEXUOSA /SPONDYLUS CALCIFER,DemersalMollusc,
BAGRE,Catfish,RHAMDIA SP,Other_freshwater,
RAYA Y SIMILARES,Guitarfish,RHINOBATOS GLAUCOSTISMA,DemersalFish_NonResident,
RAYA Y SIMILARES,Guitarfish,RHINOBATOS PRODUCTUS,DemersalFish_NonResident,
RAYA Y SIMILARES,Demersal ray,RHINOPTERA BONASUS,DemersalFish_NonResident,genus
CAZON,Shark,RHIZOPRIONODON TERRAENOVAE,LargePelagic,
BESUGO,Snapper,RHOMBOPLITES AURORUBENS/APLODINOTUS GRUNNIENS,DemersalFish_Resident,
OTRAS,Soapfish,RYPTICUS SAPONACEUS,DemersalFish_Resident,
ALMEJA,Clams,SANGUINOLARIA NUTALLI,DemersalMollusc,
BONITO,Bonito,SARDA ORIENTALIS,LargePelagic,
BONITO,Bonito,SARDA ORIENTALIS/XENICHTHYS XANTI,LargePelagic,
SARGAZO,Sargassum,SARGASSUM SPP,PrimaryProducer,
OTRAS,Parrot fish,SCARUS GUACAMAIA,DemersalFish_Resident,
OTRAS,Parrot fish,SCARUS PERRICO,DemersalFish_Resident,
OTRAS,Marine grass,SCHOENOPLECTUS SPP.,PrimaryProducer,
PETO,Wahoo,SCOMBEROMORUS CAVALLA,LargePelagic,genus
SIERRA,Mackerel,SCOMBEROMORUS MACULATUS,LargePelagic,genus
PETO,Wahoo,SCOMBEROMORUS SPP,LargePelagic,genus
OTRAS,Scorpion fish,SCORPAENA MYSTES,DemersalFish_Resident,
OTRAS,Scorpion fish,SCORPAENA PORCUS,DemersalFish_Resident,
OTRAS,Rockfish,SEBASTES ATROVIRENS,DemersalFish_Resident,
OTRAS,Rockfish,SEBASTES ENTOMELAS,DemersalFish_Resident,
OTRAS,Rockfish,SEBASTES SPP,DemersalFish_Resident,
OTRAS,Surfperch,SECTATOR OCYURUS,DemersalFish_Resident,
OTRAS,Scad,SELAR CRUMENOPHTALMUS,SmallPelagic,
OTRAS,Lookdown,SELENE BREVOORTII,SmallPelagic,
OTRAS,Lookdown,SELENE BROWNII/SELENE SETAPINNIS/SELENE VOMER/SELENE BREVOORTII,SmallPelagic,
OTRAS,Lookdown,SELENE OERSTEDII,SmallPelagic,
OTRAS,Lookdown,SELENE SETAPINNIS,SmallPelagic,
OTRAS,Lookdown,SELENE VOMER,SmallPelagic,
ESMEDREGAL,Amberjack,SERIOLA DUMERILI,DemersalFish_NonResident,genus
ESMEDREGAL,Amberjack,SERIOLA SP.,DemersalFish_NonResident,genus
ESMEDREGAL,Amberjack,SERIOLA ZONATA,DemersalFish_NonResident,yes
CABRILLA,Grouper,SERRANUS CABRILLA,DemersalFish_Resident,
OTRAS,Puffer,SPHOERIODES TESTUDINAEUS,DemersalFish_Resident,genus
OTRAS,Puffer,SPHOEROIDES ANNULATUS,DemersalFish_Resident,yes
OTRAS,Puffer,SPHOEROIDES SPP,DemersalFish_Resident,genus
OTRAS,Barracuda,SPHYRAENA BARRACUDA,LargePelagic,
OTRAS,Barracuda,SPHYRAENA GUACHANCHO,LargePelagic,
OTRAS,Barracuda,SPHYRAENA SPP,LargePelagic,
TIBURON,Shark,SPHYRNA LEWINI,LargePelagic,
TIBURON,Shark,SPHYRNA MEDIA,LargePelagic,
TIBURON,Shark,SPHYRNA TIBURO,LargePelagic,
ALGAS,Algae,SPIRULINA MAXIMA,PrimaryProducer,
ALMEJA,Clams,SPISULA SOLIDISSIMA,DemersalMollusc,
BESUGO,Porgy,SPONDYLIOSOMA CANTHARUS,DemersalFish_Resident,
ALMEJA,Clams,SPONDYLUS CALCIFER,DemersalMollusc,
OTRAS,Sprat,SPRATTUS SPRATTUS,SmallPelagic,family
TIBURON,Shark,SQUATINA CALIFORNICA,LargePelagic,
TIBURON,Shark,SQUATINA GUGGENHEIM,LargePelagic,
OTRAS,Chiton,STENOPLAX LIMACIFORMIS,DemersalMollusc,
OTRAS,Giant seabass,STEREOLEPIS GIGAS,DemersalFish_NonResident,yes
OTRAS,Jellyfish,STOMOLOPHUS MELEAGRIS,Other_exclude,
PAMPANO,Jack,STROMATEUS BRASILIENSIS,LargePelagic,
CARACOL,Conch,STROMBUS GALATEUS,DemersalMollusc,
CARACOL,Conch,STROMBUS GIGAS,DemersalMollusc,
ERIZO,Urchin,STRONGYLOCENTROTUS FRANCISCANUS,Echinoderm,
ERIZO,Urchin,STRONGYLOCENTROTUS PURPURATUS,Echinoderm,
ERIZO,Urchin,STRONGYLOCENTROTUS SPP,Echinoderm,
OTRAS,Needlefish,STRONGYLURA EXILIS,SmallPelagic,
RUBIA Y VILLAJAIBA,Snapper,STRONGYLURA MARINA,DemersalFish_Resident,
OTRAS,Triggerfish,SUFFLAMEN VERRES,DemersalFish_Resident,
OTRAS,Pipefish,SYNGNATHUS AFFINE,DemersalFish_Resident,
OTRAS,Lizardfish,SYNODUS FOETENS,DemersalFish_Resident,
OTRAS,Lizardfish,SYNODUS SCITULICEPS,DemersalFish_Resident,
OTRAS,Marlin,TETRAPTURUS ALBIDUS,LargePelagic,
SIERRA,Mackerel,THYRSITES ATUN,LargePelagic,
PAMPANO,Jack,TRACHINOTUS FALCATUS,LargePelagic,
PAMPANO,Jack,TRACHINOTUS RHODOPUS,LargePelagic,
PAMPANO,Jack,TRACHINOTUS SPP,LargePelagic,
OTRAS,Weever,TRACHINUS DRACO,DemersalFish_Resident,
JUREL,Jack mackerel,TRACHURUS SYMMETRICUS,SmallPelagic,
CAMARON,Shrimp,TRACHYPENAEUS FAOE,Crustacean_Shrimp,
CAMARON,Shrimp,TRACHYPENAEUS PACIFICUS,Crustacean_Shrimp,
CAMARON,Shrimp,TRACHYPENAEUS SPP,Crustacean_Shrimp,
CAZON,Shark,TRIAKIS SEMIFASCIATA,LargePelagic,
CINTILLA,Scabbardfish,TRICHIURUS LEPTURUS,DemersalFish_Resident,
TIBURON,Shark,TRUCHA,LargePelagic,
CARACOL,Snail,TURBINELLA ANGULATA,DemersalMollusc,
CARACOL,Turban snail,TURBO FLUCTUOSA,DemersalMollusc,
OTRAS,Croaker,UMBRINA CANOSAI,DemersalFish_NonResident,
OTRAS,Goatfish,UPENEUS PARVUS,DemersalFish_NonResident,
RAYA Y SIMILARES,DemersalRay,UROLOPHUS MACULATUS,DemersalFish_NonResident,
OTRAS,Lookdown,VOMER DECLIVIFRONS,SmallPelagic,
CARACOL,Snail,XANCUS ANGULATUS,DemersalMollusc,
OTRAS,Salema,XENICHTHYS XANTI,DemersalFish_NonResident,
LISA,Mullet,XENOMUGIL THOBURNI,SmallPelagic,family
OTRAS,Splitfin,XENOTECA VARIATA,Other_freshwater,
ROBALO,DemersalRay,XIFIAS VELIFER,DemersalFish_NonResident,
CAMARON,Shrimp,XIPHOPENAEUS KROYERI,Crustacean_Shrimp,
CAMARON,Shrimp,XIPHOPENAEUS RIVETI,Crustacean_Shrimp,
