"year","OHI_region_est","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n_years_Catch_2018.22","status_adjusted","control_adjusted","carta_provenance","n_species","n_species_original","carta_recommendation_source","catch_vs_reference_expectation","C_ref","Stock_Status_year.genus.region","Stock_Status_year.genus_mean","Stock_Status_final"
2020,"region_1","chione",142635,75,166104.6,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",166104.6,1,1,1
2021,"region_1","chione",185189,148,166104.6,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",166104.6,0.896946362904924,0.890630625396523,0.896946362904924
2022,"region_1","chione",207681,153,166104.6,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",166104.6,0.799806433905846,0.819067349786993,0.799806433905846
2023,"region_1","chione",214703,191,166104.6,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",166104.6,0.773648248976493,0.943412062244123,0.773648248976493
2018,"region_1","cynoscion",24626.01,99,41298.162,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",41298.162,1,0.96527799162236,1
2019,"region_1","cynoscion",28335.5,58,41298.162,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",41298.162,1,0.971259658274489,1
2020,"region_1","cynoscion",24638,35,41298.162,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",41298.162,1,0.957968315300838,1
2021,"region_1","cynoscion",64304.6,62,41298.162,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",41298.162,0.642227181259195,0.771240772286613,0.642227181259195
2022,"region_1","cynoscion",64586.7,76,41298.162,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",41298.162,0.639422079158712,0.890218445813348,0.639422079158712
2023,"region_1","cynoscion",180478,100,41298.162,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",41298.162,0.228826571659704,0.656099013172063,0.228826571659704
2024,"region_1","cynoscion",50375.5,58,41298.162,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",41298.162,0.819806493235799,0.672772763390448,0.819806493235799
2022,"region_1","dosinia",11356,7,11356,1,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",0,0,"genus-wide gapfill; carta_status and carta_control for year 2022 assigned from mode across 3 original and 0 gapfilled species-level recommendations pooled across 3 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",11356,NA,0.671438315261626,0.671438315261626
2024,"region_1","dosinia",1875,2,11356,1,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",0,0,"genus-wide gapfill; carta_status and carta_control for year 2024 assigned from mode across 3 original and 0 gapfilled species-level recommendations pooled across 3 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",11356,NA,0.741359995752375,0.741359995752375
2019,"region_1","galeorhinus",330,1,2341,2,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2341,NA,0.857802491924319,0.857802491924319
2022,"region_1","galeorhinus",4352,14,2341,2,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2341,NA,0.709958879902127,0.709958879902127
2023,"region_1","galeorhinus",3603,10,2341,2,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2341,NA,0.863512593867334,0.863512593867334
2024,"region_1","galeorhinus",5676,15,2341,2,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2341,NA,0.788326022027254,0.788326022027254
2018,"region_1","hoplopagrus",294.8,3,294.8,1,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",294.8,NA,0.934607234718094,0.934607234718094
2024,"region_1","hoplopagrus",235,3,294.8,1,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",294.8,NA,0.626918679312086,0.626918679312086
2020,"region_1","isurus",2766.5,7,3366,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3366,NA,0.951040544452629,0.951040544452629
2021,"region_1","isurus",440,1,3366,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3366,NA,0.84574234032639,0.84574234032639
2022,"region_1","isurus",6891.5,17,3366,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3366,NA,0.982462974013997,0.982462974013997
2023,"region_1","isurus",3039,13,3366,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3366,NA,0.771372261286,0.771372261286
2024,"region_1","isurus",2090,4,3366,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3366,NA,0.687786187124244,0.687786187124244
2020,"region_1","litopenaeus",2083.2,1,3161.06666666667,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3161.06666666667,NA,0.900960988694235,0.900960988694235
2021,"region_1","litopenaeus",7080,3,3161.06666666667,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3161.06666666667,NA,0.727315020032971,0.727315020032971
2022,"region_1","litopenaeus",320,1,3161.06666666667,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3161.06666666667,NA,0.891332179895865,0.891332179895865
2018,"region_1","lutjanus",3901.568,29,3504.8736,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3504.8736,0.898324365998491,0.885107293882184,0.898324365998491
2019,"region_1","lutjanus",536,8,3504.8736,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3504.8736,1,0.934341222241882,1
2020,"region_1","lutjanus",12228.5,5,3504.8736,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3504.8736,0.28661516948113,0.846377418897069,0.28661516948113
2021,"region_1","lutjanus",183.8,3,3504.8736,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3504.8736,1,0.909980107328502,1
2022,"region_1","lutjanus",674.5,6,3504.8736,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3504.8736,1,0.958189136766032,1
2023,"region_1","lutjanus",2835,26,3504.8736,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3504.8736,1,0.892768085174636,1
