Participant,Major_Functional_Group,Status_of_Major_Functional_Group,Common_Name,estimated_taxa_group,Stock,estimated_family_name,Fishery_Status_in_2024_v_Historic,Notes_1,Fishery_Status_in_2000_v_Historic,Notes_2,Population_Resilience,Notes_3,IUU_Estimate,Notes_4
Andres,pelagic marine fish (excl. anchovy & sardine),,jacks,bonito,caranx,carangidae,,,,,,,,
Andres,pelagic marine fish (excl. anchovy & sardine),,bonitos,bonito,sarda,carangidae,,,,,,,,
Andres,pelagic marine fish (excl. anchovy & sardine),,amberjacks / yellowtails,esmedregal,seriola,carangidae,,,,,,,,
Andres,pelagic marine fish (excl. anchovy & sardine),,pompano,pampano,trachinotus,carangidae,,,,,,,,
Andres,pelagic marine fish (excl. anchovy & sardine),,moonfish / lookdowns,ronco,selene,carangidae,,,,,,,,
Andres,pelagic marine fish (excl. anchovy & sardine),,mahi-mahi,otras,coryphaena,coryphaenidae,,,,,,,,
Andres,pelagic marine fish (excl. anchovy & sardine),,sailfish,otras,istiophorus,istiophoridae,,,,,,,,
Andres,pelagic marine fish (excl. anchovy & sardine),,true tunas,atun,thunnus,scombridae,,,,,,,,
Andres,pelagic marine fish (excl. anchovy & sardine),,little tunas,barrilete,euthynnus,scombridae,,,,,,,,
Andres,pelagic marine fish (excl. anchovy & sardine),,skipjack tuna,barrilete,katsuwonus,scombridae,,,,,,,,
Andres,pelagic marine fish (excl. anchovy & sardine),,mackerels,macarela,scomber,scombridae,,,,,,,,
Andres,pelagic marine fish (excl. anchovy & sardine),,Spanish mackerels,sierra,scomberomorus,scombridae,,,,,,,,
Andres,pelagic marine fish (excl. anchovy & sardine),,barracudas,otras,sphyraena,sphyraenidae,,,,,,,,
Andres,pelagic marine fish (excl. anchovy & sardine),,cutlassfishes,cintilla,trichiurus,trichiuridae,,,,,,,,
Andres,pelagic marine fish (excl. anchovy & sardine),,swordfish,otras,xiphias,xiphiidae,,,,,,,,
Andres,sharks,,thresher sharks,tiburon,alopias,alopiidae,,,,,,,,
