"year","OHI_region_est","FP_landings_kg","FIS_landings_kg","MAR_landings_kg","w_fisheries","FIS_Score","w_mariculture","MAR_Score","FP_score"
2018,"region_1",2138952.44,2138952.44,0,1,99.0046072997678,0,NA,99.0046072997678
2018,"region_2",7352741.882,7312741.882,40000,0.994559852549982,90.8825129050561,0.00544014745001761,0,90.3880986342245
2018,"region_3",6457668.75,5400518.75,1057150,0.836295412334366,86.5313865617924,0.163704587665634,42.922736595986,79.3924505004851
2018,"region_4",11439290.338,8825684.338,2613606,0.77152376390711,90.4321046904323,0.22847623609289,25.3485663365647,75.5620628157334
2018,"region_5",79611497.7,79611497.7,0,1,83.0568180644588,0,NA,83.0568180644588
2018,"region_6",37221737.7,5841925.7,31379812,0.156949300623329,93.5008980981792,0.843050699376671,14.5674443626561,26.9559947222304
2018,"region_7",570930151.95,542790643.85,28139508.1,0.950712870910933,74.8282184311364,0.0492871290890665,16.4334721942275,71.9501090352346
2018,"region_8",288414498.351,223512980.421,64901517.93,0.774971375221869,98.4366135958359,0.225028624778131,16.5239842871039,80.0039272705311
2018,"region_9",34807581.66,27060580.81,7747000.85,0.777433522223043,75.6300638129244,0.222566477776957,31.3885173039331,65.7833786350128
2019,"region_1",2428205.2,2428205.2,0,1,98.7455352570227,0,NA,98.7455352570227
2019,"region_2",12701714.678,12700714.678,1000,0.999921270472109,87.5047849309298,7.87295278905965e-05,0,87.497895720524
2019,"region_3",4718361.487,3773436.487,944925,0.79973450474207,90.613272925687,0.20026549525793,38.3659388585149,80.1499346928182
2019,"region_4",10123787.52,7872936.62,2250850.9,0.777667113661429,92.3902131885401,0.222332886338571,21.017073797935,76.5216171007817
2019,"region_5",60836274.79,60826893.79,9381,0.999845799236847,97.9017880296882,0.000154200763152941,0,97.88669149926
2019,"region_6",47203880.1,9692413.1,37511467,0.205330855842081,92.7501140233111,0.794669144157918,17.5665278275714,33.0040379264195
2019,"region_7",580513784.57,541995606.07,38518178.5,0.933648124258529,70.8667201863665,0.0663518757414715,22.5665349670521,67.6619122984045
2019,"region_8",311016573.819,236131098.869,74885474.95,0.759223522944534,95.2045792553315,0.240776477055466,19.0969380372079,76.8796495258303
2019,"region_9",29211404.69,21673061.07,7538343.62,0.741938338809821,85.9833034210778,0.258061661190179,28.4720234402828,71.1418469720603
2020,"region_1",3834012.4,3834012.4,0,1,98.3777213317065,0,NA,98.3777213317065
2020,"region_2",10158377.58,10158377.58,0,1,95.1503691957626,0,NA,95.1503691957626
2020,"region_3",5154482.78,3892135.78,1262347,0.755097251484076,85.4587045089592,0.244902748515924,51.2543314968953,77.0819595470409
2020,"region_4",10414853.92,7510688.22,2904165.7,0.721151566569452,89.7304292859335,0.278848433430548,25.2073959956929,71.7382825327628
2020,"region_5",21349125.5,21349125.5,0,1,97.811769662009,0,NA,97.811769662009
2020,"region_6",49440664.15,8334137.15,41106527,0.168568470777713,88.766848737393,0.831431529222287,19.2660755752667,30.9817146250751
2020,"region_7",616580175.58,583428210.38,33151965.2,0.94623251522997,74.1479249797795,0.0537674847700299,19.3401002362205,71.2010460976017
2020,"region_8",297371722.886,226045902.726,71325820.16,0.760145922861188,94.888094680548,0.239854077138812,17.9957404568022,76.4451500191808
2020,"region_9",21433952.05,12156975.95,9276976.1,0.56718312710791,95.748460573613,0.43281687289209,23.7721012663638,64.5958778160919
2021,"region_1",9618425.78,9618425.78,0,1,81.6068328273876,0,NA,81.6068328273876
