"recorded_taxa_group","recorded_taxa_name_clean","common_name_clean","scientific_name_recorded_T.F","recorded_scientific_name","IHH_fishery","IHH_highest_taxonomic_id","IHH_highest_taxonomic_resolution","IHH_species","IHH_genus","IHH_family","IHH_order","IHH_class","IHH_functional_major_groups_sm","Hem_species_1","Hem_species_2","Hem_species_3","Hem_species_4","Hem_species_5","Hem_species_6","Hem_species_7","Hem_species_8","Hem_species_9","Hem_species_10","Hem_species_11","Hem_species_12","Hem_species_13","Hem_species_14","Hem_species_15","Hem_species_16","Hem_species_17","Hem_species_18","Hem_species_19","Hem_species_20","estimated_species_name","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","estimated_family_name","family_est_reasoning"
"PULPO","PULPO","pulpo",FALSE,NA,"Pulpo","Octopus spp","Genus","NEI","Octopus","Octopodidae","Octopoda","Cephalopoda","Cephalopods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Octopodidae","family derived from IHH key"
"OTRAS","COCHI","cochi",FALSE,NA,"Escama","Balistes polylepis","Species","Balistes polylepis","Balistes","Balistidae","Tetraodontiformes","Actinopterygii","Demersal marine fishes","Balistes polylepis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Balistes polylepis","high confidence","logical match in both keys","Balistes","genus derived from known species","Balistidae","family derived from IHH key"
"CAZON","CAZON","cazon",FALSE,NA,"Tiburon","Elasmobranchii","Class","NEI","NEI","NEI","NEI","Elasmobranchii","Demersal marine fishes","Carcharhinus brachyurus","Rhizoprionodon longurio","Carcharhinus falciformis","Carcharhinus limbatus","Carcharhinus porosus","Nasolamia velox","Sphyrna tiburo","Squalus acanthias","Galeorhinus galeus","Mustelus californicus","Mustelus henlei","Mustelus lunulatus",NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"LENGUADO","LENGUADO","lenguado",FALSE,NA,"Escama","Paralichthys spp","Genus","NEI","Paralichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Paralichthyidae","family derived from IHH key"
"TIBURON","TRIPA","tripa",FALSE,NA,"Tiburon","Mustelus albipinnis","Species","Mustelus albipinnis","Mustelus","Triakidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Mustelus californicus","Mustelus dorsalis","Mustelus henlei","Mustelus lunulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mustelus albipinnis","low confidence","mismatch between keys","Mustelus","genus derived from known species","Triakidae","family derived from IHH key"
"CORVINA","CORVINA","corvina",FALSE,NA,"Escama","Cynoscion acoupa","Species","Cynoscion acoupa","Cynoscion","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Argyrosomus regius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cynoscion acoupa","low confidence","mismatch between keys","Cynoscion","genus derived from known species","Sciaenidae","family derived from IHH key"
"OTRAS","CALLO HACHA","callo hacha",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"LANGOSTA","LANGOSTA (PANULIRUS ARGUS)","langosta",TRUE,"Panulirus Argus","Langosta","Panulirus spp","Genus","NEI","Panulirus","Palinuridae","Decapoda","Malacostraca","Crustaceans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Panulirus Argus","virtually certain","name was recorded in CONAPESCA","Panulirus","genus derived from known species","Palinuridae","family derived from IHH key"
"CAMARON","CAMARON ESTERO","camaron estero",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"CALAMAR","CALAMAR GIGANTE","calamar gigante",FALSE,NA,"Calamar","Dosidicus gigas","Species","Dosidicus gigas","Dosidicus","Ommastrephidae","Oegopsida","Cephalopoda","Cephalopods","Dosidicus gigas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dosidicus gigas","high confidence","logical match in both keys","Dosidicus","genus derived from known species","Ommastrephidae","family derived from IHH key"
