"recorded_taxa_group","recorded_taxa_name_clean","common_name_clean","scientific_name_recorded_T.F","recorded_scientific_name","IHH_fishery","IHH_highest_taxonomic_id","IHH_highest_taxonomic_resolution","IHH_species","IHH_genus","IHH_family","IHH_order","IHH_class","IHH_functional_major_groups_sm","Hem_species_1","Hem_species_2","Hem_species_3","Hem_species_4","Hem_species_5","Hem_species_6","Hem_species_7","Hem_species_8","Hem_species_9","Hem_species_10","Hem_species_11","Hem_species_12","Hem_species_13","Hem_species_14","Hem_species_15","Hem_species_16","Hem_species_17","Hem_species_18","Hem_species_19","Hem_species_20","estimated_species_name","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","estimated_family_name","family_est_reasoning"
"OTRAS","CONDOR","condor",FALSE,NA,"Escama","Lutjanus jordani","Species","Lutjanus jordani","Lutjanus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes","Bagre pinnimaculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus jordani","low confidence","mismatch between keys","Lutjanus","genus derived from known species","Lutjanidae","family derived from IHH key"
"OTRAS","ESTRELLA MAR","estrella mar",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","BARRACUDA","barracuda",FALSE,NA,"Escama","Sphyraena spp","Genus","NEI","Sphyraena","Sphyraenidae","Perciformes","Actinopterygii","Pelagic marine fishes","Sphyraena barracuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","Sphyraenidae","family derived from IHH key"
"CARPA","CARPA COMUN","carpa comun",FALSE,NA,"Escama","Cyprinus carpio","Species","Cyprinus carpio","Cyprinus","Cyprinidae","Cypriniformes","Actinopterygii","Freshwater fishes","Cyprinus carpio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyprinus carpio","high confidence","logical match in both keys","Cyprinus","genus derived from known species","Cyprinidae","family derived from IHH key"
"OTRAS","SALMON","salmon",FALSE,NA,"Escama","Caulolatilus affinis","Species","Caulolatilus affinis","Caulolatilus","Malacanthidae","Perciformes","Actinopterygii","Demersal marine fishes","Salmo salar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caulolatilus affinis","low confidence","mismatch between keys","Caulolatilus","genus derived from known species","Malacanthidae","family derived from IHH key"
"ALMEJA","ALMEJA","almeja",FALSE,NA,"Almeja","Bivalvia","Class","NEI","NEI","NEI","NEI","Bivalvia","Molluscs excl. Cephalopods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","NEI","family derived from IHH key"
"OTRAS","MARLIN","marlin",FALSE,NA,"Escama","Istiophoridae","Family","NEI","NEI","Istiophoridae","Perciformes","Actinopterygii","Pelagic marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Istiophoridae","family derived from IHH key"
"PARGO","PARGO AMARILLO","pargo amarillo",FALSE,NA,"Escama","Lutjanus argentiventris","Species","Lutjanus argentiventris","Lutjanus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes","Lutjanus apodus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus argentiventris","low confidence","mismatch between keys","Lutjanus","genus derived from known species","Lutjanidae","family derived from IHH key"
"CAMARON","CAMARON ROCA","camaron roca",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","PINTILLO","pintillo",FALSE,NA,"Escama","Epinephelus analogus","Species","Epinephelus analogus","Epinephelus","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Epinephelus analogus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epinephelus analogus","high confidence","logical match in both keys","Epinephelus","genus derived from known species","Serranidae","family derived from IHH key"
"LISA","LISA MACHO","lisa macho",FALSE,NA,"Escama","Mugil cephalus","Species","Mugil cephalus","Mugil","Mugilidae","Mugiliformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mugil cephalus","high confidence","match to IHH key","Mugil","genus derived from known species","Mugilidae","family derived from IHH key"
"OTRAS","PEZ GALLO","pez gallo",FALSE,NA,"Escama","Nematistius pectoralis","Species","Nematistius pectoralis","Nematistius","Nematistiidae","Perciformes","Actinopterygii","Demersal marine fishes","Nematistius pectoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nematistius pectoralis","high confidence","logical match in both keys","Nematistius","genus derived from known species","Nematistiidae","family derived from IHH key"
"OTRAS","PALMILLA","palmilla",FALSE,NA,"Escama","Trachinotus rhodopus","Species","Trachinotus rhodopus","Trachinotus","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Trachinotus rhodopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trachinotus rhodopus","high confidence","logical match in both keys","Trachinotus","genus derived from known species","Carangidae","family derived from IHH key"
"PARGO","PARGO RAICERO","pargo raicero",FALSE,NA,"Escama","Hoplopagrus guentherii","Species","Hoplopagrus guentherii","Hoplopagrus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes","Hoplopagrus guentherii","Lutjanus aratus","Lutjanus novemfasciatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoplopagrus guentherii","high confidence","logical match in both keys","Hoplopagrus","genus derived from known species","Lutjanidae","family derived from IHH key"
"RUBIA Y VILLAJAIBA","VILLA JAIBA","villa jaiba",FALSE,NA,"Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Lutjanus peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"MERO","MERO","mero",FALSE,NA,"Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","NEI","family derived from IHH key"
"OTRAS","CIRUJANO","cirujano",FALSE,NA,"Escama","Acanthurus xanthopterus","Species","Acanthurus xanthopterus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii","Demersal marine fishes","Acanthurus bahianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acanthurus xanthopterus","low confidence","mismatch between keys","Acanthurus","genus derived from known species","Acanthuridae","family derived from IHH key"
"JUREL","CABALLO","caballo",FALSE,NA,"Escama","Caranx caballus","Species","Caranx caballus","Caranx","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Caranx caballus","Selene peruviana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caranx caballus","high confidence","logical match in both keys","Caranx","genus derived from known species","Carangidae","family derived from IHH key"
"CARACOL","LAPA","lapa",FALSE,NA,"Caracol","Megathura crenulata","Species","Megathura crenulata","Megathura","Fissurellidae","Lepetellida","Gastropoda","Molluscs excl. Cephalopods","Patella mexicana","Diodora inaequalis","Fissurella gemmata","Fissurella microtrema","Fissurella rubropicta","Fissurella virescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Megathura crenulata","low confidence","mismatch between keys","Megathura","genus derived from known species","Fissurellidae","family derived from IHH key"
"CARACOL","CARACOL BURRO","caracol burro",FALSE,NA,"Caracol","Lobatus galeatus","Species","Lobatus galeatus","Lobatus","Strombidae","Littorinimorpha","Gastropoda","Molluscs excl. Cephalopods","Melongena patula","Lobatus galeatus","Strombus gracilior","Hexaplex nigritus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lobatus galeatus","high confidence","logical match in both keys","Lobatus","genus derived from known species","Strombidae","family derived from IHH key"
"OTRAS","MONDA","monda",FALSE,NA,"Escama","Oligoplites altus","Species","Oligoplites altus","Oligoplites","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Chloroscombrus orqueta","Hemicaranx leucurus","Oligoplites altus","Oligoplites refulgens","Oligoplites saurus ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oligoplites altus","high confidence","logical match in both keys","Oligoplites","genus derived from known species","Carangidae","family derived from IHH key"
"OTRAS","RAYADILLO","rayadillo",FALSE,NA,"Escama","Microlepidotus inornatus","Species","Microlepidotus inornatus","Microlepidotus","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Microlepidotus inornatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microlepidotus inornatus","high confidence","logical match in both keys","Microlepidotus","genus derived from known species","Haemulidae","family derived from IHH key"
"MOJARRA","MALACAPA","malacapa",FALSE,NA,"Escama","Gerreidae","Family","NEI","NEI","Gerreidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Gerreidae","family derived from IHH key"
"BANDERA","CUATETE","cuatete",FALSE,NA,"Escama","Ariopsis guatemalensis","Species","Ariopsis guatemalensis","Ariopsis","Ariidae","Siluriformes","Actinopterygii","Demersal marine fishes","Ariopsis seemanni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ariopsis guatemalensis","low confidence","mismatch between keys","Ariopsis","genus derived from known species","Ariidae","family derived from IHH key"
"ALMEJA","ALMEJA PRIETA","almeja prieta",FALSE,NA,"Almeja","Bivalvia","Class","NEI","NEI","NEI","NEI","Bivalvia","Molluscs excl. Cephalopods","Polymesoda caroliniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"RAYA Y SIMILARES","GUITARRA","guitarra",FALSE,NA,"Rayas y Similares","Pseudobatos productus","Species","Pseudobatos productus","Pseudobatos","Rhinobatidae","Rajiformes","Elasmobranchii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudobatos productus","high confidence","match to IHH key","Pseudobatos","genus derived from known species","Rhinobatidae","family derived from IHH key"
"OTRAS","GALLETA MAR","galleta mar",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","PAJARITO","pajarito",FALSE,NA,"Escama","Hyporhamphus spp","Genus","NEI","Hyporhamphus","Hemiramphidae","Beloniformes","Actinopterygii","Pelagic marine fishes","Chriodorus atherinoides ","Oligoplites altus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","Hemiramphidae","family derived from IHH key"
"OTRAS","ESCORPION","escorpion",FALSE,NA,"Escama","Scorpaeniformes","Order","NEI","NEI","NEI","Scorpaeniformes","Actinopterygii","Demersal marine fishes","Trachinus draco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"OTRAS","CHUPALODO","chupalodo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gillichthys mirabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gillichthys mirabilis","high confidence","match to Hem's key","Gillichthys","genus derived from known species","family missing but genus available","family unknown but genus available"
"CARACOL","CARACOL CHILE","caracol chile",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Triplofusus princeps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Triplofusus princeps","high confidence","match to Hem's key","Triplofusus","genus derived from known species","family missing but genus available","family unknown but genus available"
"OSTION","OSTION PLACER","ostion placer",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown","Ostreidae","unique family match from Erica's key"
"CABRILLA","CABRILLA PINTA","cabrilla pinta",FALSE,NA,"Escama","Mycteroperca prionura","Species","Mycteroperca prionura","Mycteroperca","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Epinephelus labriformis","Epinephelus analogus","Mycteroperca xenarcha","Paralabrax maculatofasciatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mycteroperca prionura","low confidence","mismatch between keys","Mycteroperca","genus derived from known species","Serranidae","family derived from IHH key"
"RAYA Y SIMILARES","RAYA","raya",FALSE,NA,"Rayas y Similares","Elasmobranchii","Class","NEI","NEI","NEI","NEI","Elasmobranchii","Demersal marine fishes","Dasyatis dipterura","Dasyatis longa","Dasyatis violacea","Gymnura crebripunctata","Gymnura marmorata","Aetobatus narinari","Myliobatis californica","Myliobatis longirostris","Rhinoptera steindachneri","Diplobatis ommata","Narcine entemedor","Narcine vermiculatus","Raja cortezensis","Raja equatorialis","Raja inornata","Raja velezi","Raja rhina","Platyrhinoidis triseriata",NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"OTRAS","HACHA CHINA","hacha china",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atrina maura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atrina maura","high confidence","match to Hem's key","Atrina","genus derived from known species","family missing but genus available","family unknown but genus available"
"OTRAS","HACHA LARGA","hacha larga",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinna rugosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pinna rugosa","high confidence","match to Hem's key","Pinna","genus derived from known species","family missing but genus available","family unknown but genus available"
"TIBURON","CORNUDA (SPHYRNA ZYGAENA)","cornuda",TRUE,"Sphyrna Zygaena","Tiburon","Sphyrna corona","Species","Sphyrna corona","Sphyrna","Sphyrnidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Sphyrna corona","Sphyrna lewini","Sphyrna media","Sphyrna tiburo","Sphyrna zygaena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphyrna Zygaena","virtually certain","name was recorded in CONAPESCA","Sphyrna","genus derived from known species","Sphyrnidae","family derived from IHH key"
"OTRAS","DORADO","dorado",FALSE,NA,"Escama","Coryphaena hippurus","Species","Coryphaena hippurus","Coryphaena","Coryphaenidae","Perciformes","Actinopterygii","Pelagic marine fishes","Coryphaena equiselis ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coryphaena hippurus","low confidence","mismatch between keys","Coryphaena","genus derived from known species","Coryphaenidae","family derived from IHH key"
"OTRAS","PEZ VELA","pez vela",FALSE,NA,"Escama","Istiophorus albicans","Species","Istiophorus albicans","Istiophorus","Istiophoridae","Perciformes","Actinopterygii","Pelagic marine fishes","Istiophorus americanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Istiophorus albicans","high confidence","logical match in both keys","Istiophorus","genus derived from known species","Istiophoridae","family derived from IHH key"
"PETO","CARITO","carito",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lamna ditropis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lamna ditropis","high confidence","match to Hem's key","Lamna","genus derived from known species","family missing but genus available","family unknown but genus available"
"OTRAS","MONA","mona",FALSE,NA,"Escama","Parapsettus panamensis","Species","Parapsettus panamensis","Parapsettus","Ephippidae","Perciformes","Actinopterygii","Demersal marine fishes","Parapsettus panamensis","Chaetodipterus zonatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Parapsettus panamensis","high confidence","logical match in both keys","Parapsettus","genus derived from known species","Ephippidae","family derived from IHH key"
"GUACHINANGO","GUACHITO","guachito",FALSE,NA,"Escama","Lutjanus peru","Species","Lutjanus peru","Lutjanus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus peru","high confidence","match to IHH key","Lutjanus","genus derived from known species","Lutjanidae","family derived from IHH key"
"OTRAS","CABEZON","cabezon",FALSE,NA,"No ID","Scorpaenichthys marmoratus","Species","Scorpaenichthys marmoratus","Scorpaenichthys","Cottidae","Scorpaeniformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scorpaenichthys marmoratus","high confidence","match to IHH key","Scorpaenichthys","genus derived from known species","Cottidae","family derived from IHH key"
"PAMPANO","PAMPANO RAYADO","pampano rayado",FALSE,NA,"Escama","Gnathanodon speciosus","Species","Gnathanodon speciosus","Gnathanodon","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Trachinotus rhodopus","Gnathanodon speciosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gnathanodon speciosus","high confidence","logical match in both keys","Gnathanodon","genus derived from known species","Carangidae","family derived from IHH key"
"ATUN","ALBACORA","albacora",FALSE,NA,"Tunidos","Thunnus alalunga","Species","Thunnus alalunga","Thunnus","Scombridae","Perciformes","Actinopterygii","Pelagic marine fishes","Thunnus alalunga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thunnus alalunga","high confidence","logical match in both keys","Thunnus","genus derived from known species","Scombridae","family derived from IHH key"
"LANGOSTINO","MOYA","moya",FALSE,NA,"Otras","Macrobrachium tenellum","Species","Macrobrachium tenellum","Macrobrachium","Palaemonidae","Decapoda","Malacostraca","Shrimps, prawns","Macrobrachium tenellum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macrobrachium tenellum","high confidence","logical match in both keys","Macrobrachium","genus derived from known species","Palaemonidae","family derived from IHH key"
"ALMEJA","ALMEJA BURRA","almeja burra",FALSE,NA,"Almeja","Bivalvia","Class","NEI","NEI","NEI","NEI","Bivalvia","Molluscs excl. Cephalopods","Spondylus calcifer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"OTRAS","BACALAO NEGRO","bacalao negro",FALSE,NA,"Escama","Anoplopoma fimbria","Species","Anoplopoma fimbria","Anoplopoma","Anoplopomatidae","Scorpaeniformes","Actinopterygii","Demersal marine fishes","Anoplopoma fimbria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anoplopoma fimbria","high confidence","logical match in both keys","Anoplopoma","genus derived from known species","Anoplopomatidae","family derived from IHH key"
"CORVINA","CORVINA PLATEADA","corvina plateada",FALSE,NA,"Escama","Cynoscion acoupa","Species","Cynoscion acoupa","Cynoscion","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Cynoscion nothus","Pennahia argentata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cynoscion acoupa","low confidence","mismatch between keys","Cynoscion","genus derived from known species","Sciaenidae","family derived from IHH key"
"OTRAS","MULEGINO","mulegino",FALSE,NA,"No ID","Abudefduf troschelii","Species","Abudefduf troschelii","Abudefduf","Pomacentridae","Perciformes","Actinopterygii","Pelagic marine fishes","Abudefduf troschelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abudefduf troschelii","high confidence","logical match in both keys","Abudefduf","genus derived from known species","Pomacentridae","family derived from IHH key"
"ABULON","ABULON NEGRO","abulon negro",FALSE,NA,"Abulon","Haliotis cracherodii","Species","Haliotis cracherodii","Haliotis","Haliotidae","Lepetellida","Gastropoda","Molluscs excl. Cephalopods","Haliotis cracherodii ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haliotis cracherodii","high confidence","logical match in both keys","Haliotis","genus derived from known species","Haliotidae","family derived from IHH key"
"OTRAS","AGUJON","agujon",FALSE,NA,"Escama","Ablennes hians","Species","Ablennes hians","Ablennes","Belonidae","Beloniformes","Actinopterygii","Pelagic marine fishes","Belone belone","Ablennes hians","Platybelone argalus pterura","Strongylura exilis","Tylosurus pacificus","Tylosurus crocodilus ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ablennes hians","high confidence","logical match in both keys","Ablennes","genus derived from known species","Belonidae","family derived from IHH key"
"OTRAS","CHILE","chile",FALSE,NA,"No ID","Synodus scituliceps","Species","Synodus scituliceps","Synodus","Synodontidae","Aulopiformes","Actinopterygii","Demersal marine fishes","Albula vulpes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Synodus scituliceps","low confidence","mismatch between keys","Synodus","genus derived from known species","Synodontidae","family derived from IHH key"
"OSTION","OSTION","ostion",FALSE,NA,"Ostion","Ostreidae","Family","NEI","NEI","Ostreidae","Ostreida","Bivalvia","Molluscs excl. Cephalopods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Ostreidae","family derived from IHH key"
"OSTION","OSTION JAPONES","ostion japones",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crassostrea gigas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crassostrea gigas","high confidence","match to Hem's key","Crassostrea","genus derived from known species","Ostreidae","unique family match from Erica's key"
"OTRAS","GUABINA","guabina",FALSE,NA,"Escama","Dormitator latifrons","Species","Dormitator latifrons","Dormitator","Eleotridae","Perciformes","Actinopterygii","Freshwater fishes","Bairdiella chrysoleuca","Dormitator latifrons ","Eleotris picta","Gobiomorus lateralis ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dormitator latifrons","high confidence","logical match in both keys","Dormitator","genus derived from known species","Eleotridae","family derived from IHH key"
"RONCO","RONCO","ronco",FALSE,NA,"Escama","Haemulidae (=Pomadasyidae)","Family","NEI","NEI","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Haemulidae","family derived from IHH key"
"OTRAS","BUZO","buzo",FALSE,NA,"Escama","Sphyraena ensis","Species","Sphyraena ensis","Sphyraena","Sphyraenidae","Perciformes","Actinopterygii","Pelagic marine fishes","Sphyraena barracuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphyraena ensis","low confidence","mismatch between keys","Sphyraena","genus derived from known species","Sphyraenidae","family derived from IHH key"
"OTRAS","BARBERO","barbero",FALSE,NA,"Escama","Acanthurus xanthopterus","Species","Acanthurus xanthopterus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii","Demersal marine fishes","Acanthurus bahianus","Polydactylus approximans","Acanthurus xanthopterus","Chaetodipterus zonatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acanthurus xanthopterus","high confidence","logical match in both keys","Acanthurus","genus derived from known species","Acanthuridae","family derived from IHH key"
"LEBRANCHA","OJO PERRA","ojo perra",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","SALEMA","salema",FALSE,NA,"Escama","Peprilus snyderi","Species","Peprilus snyderi","Peprilus","Stromateidae","Perciformes","Actinopterygii","Pelagic marine fishes","Sectator ocyurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peprilus snyderi","low confidence","mismatch between keys","Peprilus","genus derived from known species","Stromateidae","family derived from IHH key"
"PARGO","TECOMATE","tecomate",FALSE,NA,"Escama","Hoplopagrus guentherii","Species","Hoplopagrus guentherii","Hoplopagrus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes","Hoplopagrus guentherii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoplopagrus guentherii","high confidence","logical match in both keys","Hoplopagrus","genus derived from known species","Lutjanidae","family derived from IHH key"
"BAGRE","BAGRE CANAL","bagre canal",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"MERO","CHERNA","cherna",FALSE,NA,"Escama","Epinephelus itajara","Species","Epinephelus itajara","Epinephelus","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epinephelus itajara","high confidence","match to IHH key","Epinephelus","genus derived from known species","Serranidae","family derived from IHH key"
