"year","month","state","office_name_clean","landing_site_clean","recorded_taxa_name","recorded_taxa_name_clean","recorded_scientific_name","keywords_1","keywords_2","keywords_3","keywords_4","keywords_5","estimated_species_name","estimated_genus_name","estimated_family_name","recorded_taxa_group","estimated_taxa_group","Major_Functional_Group","landed_weight","live_weight","weight_kg_corrected","value","reported_aquaculture_production","est_aquaculture_production","est_aquaculture_certainty","sector_estimate_reported","sector_estimate_draft","GOC_est","GOC_Include_Exclude","OHI_region_est","OHI_region_name"
2020,11,"SONORA","CD. OBREGON","PAREDONCITO","JAIBA ENT. FCA.","JAIBA",NA,"ENT","FCA",NA,NA,NA,"nei","nei","Portunidae","JAIBA","JAIBA","Crustaceans",5000,5000,5000,125000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_7","Eastern_Central_Gulf"
2020,9,"SONORA","BAHIA KINO","BAHIA KINO","SIERRA ENT. FCA.","SIERRA",NA,"ENT","FCA",NA,NA,NA,"scomberomorus sierra","scomberomorus","Scombridae","SIERRA","SIERRA","Pelagic marine fish (excl. anchovy & sardine)",500,500,500,7500,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_6","Eastern_Midriff_Islands"
2020,2,"SINALOA","MAZATLAN","MAZATLAN","TIBURON COLUDO DESV. Y DESC. FCO. (ALOPIAS PELAGICUS)","TIBURON COLUDO (ALOPIAS PELAGICUS)","Alopias Pelagicus","DESV","DESC","FCO",NA,NA,"alopias pelagicus","alopias","Alopiidae","TIBURON","TIBURON","Sharks",640,800,800,12800,NA,"not aquaculture","high; no data from original report and flags suggest definitely not aquaculture","large-scale fisheries","marine: large-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,4,"SINALOA","LOS MOCHIS","LA BALLENA","JAIBA ENT. FCA.","JAIBA",NA,"ENT","FCA",NA,NA,NA,"nei","nei","Portunidae","JAIBA","JAIBA","Crustaceans",620,620,620,15500,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,3,"NAYARIT","SAN BLAS","ATICAMA","CONSTANTINO ENT. FCO.","CONSTANTINO",NA,"ENT","FCO",NA,NA,NA,"centropomus armatus","centropomus","Centropomidae","ROBALO","ROBALO","Demersal marine fishes",200,200,200,6000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,1,"SINALOA","LA REFORMA","LA REFORMA","TIBURON ZORRO DESV. FCO. (ALOPIAS PELAGICUS)","TIBURON ZORRO (ALOPIAS PELAGICUS)","Alopias Pelagicus","DESV","FCO",NA,NA,NA,"alopias pelagicus","alopias","Alopiidae","TIBURON","TIBURON","Sharks",439,482.9,482.9,11853,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,1,"SINALOA","LA REFORMA","LA REFORMA","JAIBON ENT. FCO.","JAIBON",NA,"ENT","FCO",NA,NA,NA,"callinectes bellicosus","callinectes","Portunidae","JAIBA","JAIBA","Crustaceans",1271,1271,1271,50840,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,6,"SINALOA","MAZATLAN","ISLA LA PIEDRA","SIERRA ENT. FCA.","SIERRA",NA,"ENT","FCA",NA,NA,NA,"scomberomorus sierra","scomberomorus","Scombridae","SIERRA","SIERRA","Pelagic marine fish (excl. anchovy & sardine)",159,159,159,3180,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,3,"SINALOA","ESCUINAPA","PUNTA GRANO","FAUNA DE ACOMPAÑAMIENTO","FAUNA ACOMPAÑAMIENTO",NA,NA,NA,NA,NA,NA,"unknown","unknown",NA,"FAUNA","OTRAS","unknown",120,141.6,141.6,2880,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","freshwater or marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,6,"BAJA CALIFORNIA","BAHIA LOS ANGELES","BAHIA LOS ANGELES","LENGUADO DESV. FCO.","LENGUADO",NA,"DESV","FCO",NA,NA,NA,"nei","nei","Paralichthyidae","LENGUADO","LENGUADO","Demersal marine fishes",6,6.6,6.6,120,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_2","Western_Midriff_Islands"
2020,5,"SINALOA","NAVOLATO","ALTATA","ALMEJA ENT. FCA.","ALMEJA",NA,"ENT","FCA",NA,NA,NA,"nei","nei","NEI","ALMEJA","ALMEJA","Molluscs excl. Cephalopods",6854,6854,6854,68540,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,10,"SINALOA","LOS MOCHIS","PAREDONES","CAMARON AZUL ENT. FCO.","CAMARON AZUL",NA,"ENT","FCO",NA,NA,NA,"penaeus stylirostris","penaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",3000,3000,3000,120000,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,11,"SONORA","PUERTO PENASCO","REC PORTUARIO","CABRILLA DESV. FCA.","CABRILLA",NA,"DESV","FCA",NA,NA,NA,"mycteroperca acutirostris","mycteroperca","Serranidae","CABRILLA","CABRILLA","Demersal marine fishes",50,55,55,1250,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_7","Eastern_Central_Gulf"
2020,2,"SONORA","PUERTO PENASCO","PUERTO PENASCO","MERLUZA DESC. Y DESV. FCA.","MERLUZA",NA,"DESC","DESV","FCA",NA,NA,"merluccius productus","merluccius","Merlucciidae","OTRAS","OTRAS","Demersal marine fishes",380,418,418,2280,NA,"unlikely aquaculture","medium; no data from original report and flags do not suggest aquaculture","large-scale fisheries","marine: large-scale capture","yes","include","region_5","Eastern_Upper_Gulf"
2020,6,"BAJA CALIFORNIA SUR","SANTA ROSALIA","SANTA ROSALIA","EXTRANJERO DESV. FCO.","EXTRANJERO",NA,"DESV","FCO",NA,NA,NA,"paralabrax auroguttatus","paralabrax","Serranidae","OTRAS","OTRAS","Demersal marine fishes",590,649,649,11800,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_3","Baja_California_Sur_North"
2020,8,"SINALOA","LA REFORMA","LA REFORMA","JAIBA ENT. FCA.","JAIBA",NA,"ENT","FCA",NA,NA,NA,"nei","nei","Portunidae","JAIBA","JAIBA","Crustaceans",1000,1000,1000,20000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,11,"NAYARIT","SAN BLAS","LA NUEVA ""U""","TIBURON ZORRO DESV. Y DESC. FCO. (ALOPIAS PELAGICUS)","TIBURON ZORRO (ALOPIAS PELAGICUS)","Alopias Pelagicus","DESV","DESC","FCO",NA,NA,"alopias pelagicus","alopias","Alopiidae","TIBURON","TIBURON","Sharks",2678,3347.5,3347.5,18746,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,6,"NAYARIT","PENITA JALTEMBA","ESCOLLERA, LA","SIERRA ENT. FCA.","SIERRA",NA,"ENT","FCA",NA,NA,NA,"scomberomorus sierra","scomberomorus","Scombridae","SIERRA","SIERRA","Pelagic marine fish (excl. anchovy & sardine)",200,200,200,4000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,3,"SINALOA","TOPOLOBAMPO","TOPOLOBAMPO","CAMARON CAFE ENT. FCO.","CAMARON CAFE",NA,"ENT","FCO",NA,NA,NA,"penaeus californiensis","penaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",1210,1210,1210,108900,NA,"possibly aquaculture","low; no data from original report but flags suggest possibly aquaculture","large-scale fisheries","marine: large-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,8,"SINALOA","CULIACAN","CAMPO PESQUERO COSPITA","PARGO ENT. FCO.","PARGO",NA,"ENT","FCO",NA,NA,NA,"lutjanus adetii","lutjanus","Lutjanidae","PARGO","GUACHINANGO","Demersal marine fishes",200,200,200,6000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,12,"BAJA CALIFORNIA","SAN FELIPE","CAMPO SAHUARO","ALMEJA GENEROSA ENT. FCA.","ALMEJA GENEROSA",NA,"ENT","FCA",NA,NA,NA,"panopea generosa","panopea","Hiatellidae","ALMEJA","ALMEJA","Molluscs excl. Cephalopods",1684,1684,1684,42100,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_2","Western_Midriff_Islands"
2020,3,"SINALOA","GUASAVE","BAHIA NAVACHISTE","JAIBA ENT. FCA.","JAIBA",NA,"ENT","FCA",NA,NA,NA,"nei","nei","Portunidae","JAIBA","JAIBA","Crustaceans",7800,7800,7800,234000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,11,"SINALOA","GUASAVE",NA,"CAMARON BLANCO DE CULTIVO DESC. FCO.","CAMARON BLANCO",NA,"DE CULTIVO","DESC","FCO",NA,NA,"penaeus vannamei","penaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",6700,10720,10720,817400,NA,"likely aquaculture","medium; no data from original report but flags suggest most likely aquaculture","sector details were not reported","marine: aquaculture","yes","include","region_8","Sinaloan_Coast"
2020,8,"NAYARIT","CRUZ HUANACAXTLE","CRUZ HUANACAXTLE, LA","ATUN ALETA AMARILLA  ENT. FCO. (THUNNUS ALBACARES)","ATUN ALETA AMARILLA (THUNNUS ALBACARES)","Thunnus Albacares","ENT","FCO",NA,NA,NA,"thunnus albacares","thunnus","Scombridae","ATUN","ATUN","Pelagic marine fish (excl. anchovy & sardine)",620,620,620,68200,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,7,"SINALOA","LOS MOCHIS","TOPOLOBAMPO","GUACHINANGO ENT. FCO. (LUTJANUS SPP)","GUACHINANGO (LUTJANUS SPP)","Lutjanus Spp","ENT","FCO",NA,NA,NA,"lutjanus spp","lutjanus","Lutjanidae","GUACHINANGO","GUACHINANGO","Demersal marine fishes",540,540,540,21600,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,8,"SINALOA","LOS MOCHIS","TOPOLOBAMPO","JAIBA ENT. FCA.","JAIBA",NA,"ENT","FCA",NA,NA,NA,"nei","nei","Portunidae","JAIBA","JAIBA","Crustaceans",113,113,113,2034,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,12,"SONORA","HUATABAMPO","LAS BOCAS","CAMARON AZUL DESC. FCO.","CAMARON AZUL",NA,"DESC","FCO",NA,NA,NA,"penaeus stylirostris","penaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",450,720,720,49500,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_7","Eastern_Central_Gulf"
2020,12,"BAJA CALIFORNIA SUR","GUERRERO NEGRO","LAS CASITAS","MOJARRA ENT. FCA.","MOJARRA",NA,"ENT","FCA",NA,NA,NA,"nei","nei","Gerreidae","MOJARRA","MOJARRA","Marine or freshwater fishes NEI",83,83,83,996,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","freshwater or marine: small-scale capture","yes","include","region_4","Western_Southern_Gulf"
2020,6,"BAJA CALIFORNIA SUR","GUERRERO NEGRO","LAS CASITAS","SIERRA ENT. FCA.","SIERRA",NA,"ENT","FCA",NA,NA,NA,"scomberomorus sierra","scomberomorus","Scombridae","SIERRA","SIERRA","Pelagic marine fish (excl. anchovy & sardine)",20,20,20,600,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_4","Western_Southern_Gulf"
2020,3,"SINALOA","TOPOLOBAMPO","TOPOLOBAMPO","CAMARON CAFE ENT. FCO.","CAMARON CAFE",NA,"ENT","FCO",NA,NA,NA,"penaeus californiensis","penaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",1600,1600,1600,160000,NA,"possibly aquaculture","low; no data from original report but flags suggest possibly aquaculture","large-scale fisheries","marine: large-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,5,"NAYARIT","SANTIAGO IXCUINTLA","BOCA CAMICHIN","ROBALO DESV. FCO.","ROBALO",NA,"DESV","FCO",NA,NA,NA,"centropomus armatus","centropomus","Centropomidae","ROBALO","ROBALO","Demersal marine fishes",197,216.7,216.7,9850,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,4,"NAYARIT","SAN BLAS","LA NUEVA ""U""","GUACHINANGO DESV. FCO. (LUTJANUS CAMPECHANUS)","GUACHINANGO (LUTJANUS CAMPECHANUS)","Lutjanus Campechanus","DESV","FCO",NA,NA,NA,"lutjanus campechanus","lutjanus","Lutjanidae","GUACHINANGO","GUACHINANGO","Demersal marine fishes",100,110,110,4200,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,7,"SINALOA","GUASAVE",NA,"CAMARON BLANCO DE CULTIVO ENT. FCO. (LITOPENAEUS VANNAMEI)","CAMARON BLANCO (LITOPENAEUS VANNAMEI)","Litopenaeus Vannamei","DE CULTIVO","ENT","FCO",NA,NA,"litopenaeus vannamei","litopenaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",2875,2875,2875,0,NA,"likely aquaculture","medium; no data from original report but flags suggest most likely aquaculture","sector details were not reported","marine: aquaculture","yes","include","region_8","Sinaloan_Coast"
2020,7,"SINALOA","CULIACAN","CORTINA LA PRESA ADOLFO LOPEZ MATEOS","TILAPIA FILETE DE FCO.","TILAPIA",NA,"FILETE DE","FCO",NA,NA,NA,"oreochromis amphimelas","oreochromis","Cichlidae","MOJARRA","MOJARRA","Freshwater fishes",334,668,668,17368,"NO","likely aquaculture","medium; flags suggest aquaculture but original report says no, report could be wrong","small-scale fisheries","freshwater: aquaculture","yes","include","region_8","Sinaloan_Coast"
2020,2,"SINALOA","EL FUERTE","PRESA GUILLERMO BLAKE AGUILAR","TILAPIA ENT. FCA.","TILAPIA",NA,"ENT","FCA",NA,NA,NA,"oreochromis amphimelas","oreochromis","Cichlidae","MOJARRA","MOJARRA","Freshwater fishes",1086,1086,1086,17376,"NO","likely aquaculture","medium; flags suggest aquaculture but original report says no, report could be wrong","small-scale fisheries","freshwater: aquaculture","yes","include","region_8","Sinaloan_Coast"
2020,2,"SONORA","PUERTO PENASCO","REC PORTUARIO","LENGUADO DESV. FCO.","LENGUADO",NA,"DESV","FCO",NA,NA,NA,"nei","nei","Paralichthyidae","LENGUADO","LENGUADO","Demersal marine fishes",500,550,550,15000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_7","Eastern_Central_Gulf"
2020,10,"SONORA","PUERTO PENASCO","PUERTO PENASCO","CHANO ENT. FCO.","CHANO",NA,"ENT","FCO",NA,NA,NA,"micropogonias megalops","micropogonias","Sciaenidae","BERRUGATA","BERRUGATA","Demersal marine fishes",968,968,968,4840,NA,"unlikely aquaculture","medium; no data from original report and flags do not suggest aquaculture","large-scale fisheries","marine: large-scale capture","yes","include","region_5","Eastern_Upper_Gulf"
2020,4,"SONORA","HUATABAMPO","SANTA BARBARA","LISA ENT. FCA. (MUGIL CEPHALUS)","LISA (MUGIL CEPHALUS)","Mugil Cephalus","ENT","FCA",NA,NA,NA,"mugil cephalus","mugil","Mugilidae","LISA","LISA","Demersal marine fishes",200,200,200,1600,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_7","Eastern_Central_Gulf"
2020,1,"NAYARIT","TUXPAN","CABEZA CANOA","CONSTANTINO ENT. FCO.","CONSTANTINO",NA,"ENT","FCO",NA,NA,NA,"centropomus armatus","centropomus","Centropomidae","ROBALO","ROBALO","Demersal marine fishes",100,100,100,6000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,11,"SINALOA","CULIACAN",NA,"CAMARON BLANCO DE CULTIVO ENT. FCO. (LITOPENAEUS VANNAMEI)","CAMARON BLANCO (LITOPENAEUS VANNAMEI)","Litopenaeus Vannamei","DE CULTIVO","ENT","FCO",NA,NA,"litopenaeus vannamei","litopenaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",74036,74036,74036,7107456,NA,"likely aquaculture","medium; no data from original report but flags suggest most likely aquaculture","sector details were not reported","marine: aquaculture","yes","include","region_8","Sinaloan_Coast"
