"year","month","state","office_name_clean","landing_site_clean","recorded_taxa_name","recorded_taxa_name_clean","recorded_scientific_name","keywords_1","keywords_2","keywords_3","keywords_4","keywords_5","estimated_species_name","estimated_genus_name","estimated_family_name","recorded_taxa_group","estimated_taxa_group","Major_Functional_Group","landed_weight","live_weight","weight_kg_corrected","value","reported_aquaculture_production","est_aquaculture_production","est_aquaculture_certainty","sector_estimate_reported","sector_estimate_draft","GOC_est","GOC_Include_Exclude","OHI_region_est","OHI_region_name"
2020,12,"SINALOA","LA REFORMA","LA REFORMA","ROBALO DESV. FCO.","ROBALO",NA,"DESV","FCO",NA,NA,NA,"centropomus armatus","centropomus","Centropomidae","ROBALO","ROBALO","Demersal marine fishes",100,110,110,5000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,3,"SINALOA","LA REFORMA","LA REFORMA","CORVINA ENT. FCA.","CORVINA",NA,"ENT","FCA",NA,NA,NA,"cynoscion acoupa","cynoscion","Sciaenidae","CORVINA","CORVINA","Demersal marine fishes",180,180,180,9900,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,7,"BAJA CALIFORNIA SUR","LA PAZ","PUNTA BENTONITA","COCHI DESV. FCO.","COCHI",NA,"DESV","FCO",NA,NA,NA,"balistes polylepis","balistes","Balistidae","OTRAS","OTRAS","Demersal marine fishes",149,163.9,163.9,1192,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_4","Western_Southern_Gulf"
2020,4,"SONORA","GOLFO SANTA CLARA","GOLFO SANTA CLARA","CORVINA GOLFINA DESV. FCA.","CORVINA GOLFINA",NA,"DESV","FCA",NA,NA,NA,"nei","nei","Sciaenidae","CORVINA","CORVINA","Demersal marine fishes",2200,2420,2420,22000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_5","Eastern_Upper_Gulf"
2020,12,"BAJA CALIFORNIA SUR","GUERRERO NEGRO","LAS CASITAS","CALLO DE HACHA S.C. FCO.","CALLO HACHA",NA,"S.C.","FCO",NA,NA,NA,"unknown","unknown",NA,"OTRAS","OTRAS","Molluscs excl. Cephalopods",100,700,700,8000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_4","Western_Southern_Gulf"
2020,4,"NAYARIT","CRUZ HUANACAXTLE","CRUZ HUANACAXTLE, LA","BAQUETA DESV. FCA.","BAQUETA",NA,"DESV","FCA",NA,NA,NA,"hyporthodus acanthistius","hyporthodus","Serranidae","BAQUETA","MERO","Demersal marine fishes",210,231,231,12600,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,8,"BAJA CALIFORNIA SUR","SANTA ROSALIA","SANTA ROSALIA","JUREL ENT. FCO. (SERIOLA LALANDI)","JUREL (SERIOLA LALANDI)","Seriola Lalandi","ENT","FCO",NA,NA,NA,"seriola lalandi","seriola","Carangidae","JUREL","ESMEDREGAL","Pelagic marine fish (excl. anchovy & sardine)",180,180,180,5400,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_3","Baja_California_Sur_North"
2020,11,"SINALOA","GUASAVE","BOCA DEL RIO","ALMEJA PATA DE MULA S.C. FCA.","ALMEJA PATA MULA",NA,"S.C.","FCA",NA,NA,NA,"unknown",NA,NA,"ALMEJA","ALMEJA","Molluscs excl. Cephalopods",15,135,135,1500,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,12,"BAJA CALIFORNIA SUR","SANTA ROSALIA","EL CARDON","ANGELITO ENT. FCO. (SQUATINA SQUATINA)","ANGELITO (SQUATINA SQUATINA)","Squatina Squatina","ENT","FCO",NA,NA,NA,"squatina squatina","squatina","Squatinidae","TIBURON","TIBURON","Sharks",67,67,67,1005,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_3","Baja_California_Sur_North"
2020,7,"SINALOA","LOS MOCHIS","TOPOLOBAMPO","PARGO DESV. FCO.","PARGO",NA,"DESV","FCO",NA,NA,NA,"lutjanus adetii","lutjanus","Lutjanidae","PARGO","GUACHINANGO","Demersal marine fishes",470,517,517,28200,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,1,"SONORA","GUAYMAS","GUAYMAS","CAMARON CAFE DESC. FCO.","CAMARON CAFE",NA,"DESC","FCO",NA,NA,NA,"penaeus californiensis","penaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",1517,2427.2,2427.2,166870,NA,"possibly aquaculture","low; no data from original report but flags suggest possibly aquaculture","large-scale fisheries","marine: large-scale capture","yes","include","region_7","Eastern_Central_Gulf"
2020,1,"SINALOA","LA REFORMA","LA REFORMA","CAZON DESV. FCO. (RHIZOPRIONODON LONGURIO)","CAZON (RHIZOPRIONODON LONGURIO)","Rhizoprionodon Longurio","DESV","FCO",NA,NA,NA,"rhizoprionodon longurio","rhizoprionodon","NEI","CAZON","CAZON","Sharks",450,495,495,20250,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,9,"SINALOA","CULIACAN","LA PUNTILLA","PARGO ENT. FCO.","PARGO",NA,"ENT","FCO",NA,NA,NA,"lutjanus adetii","lutjanus","Lutjanidae","PARGO","GUACHINANGO","Demersal marine fishes",40,40,40,1600,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,12,"SINALOA","LA REFORMA","CAMPO PESQUERO PLAYA COLORADA","CAMARON AZUL DESC. FCO.","CAMARON AZUL",NA,"DESC","FCO",NA,NA,NA,"penaeus stylirostris","penaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",1400,2240,2240,287000,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,2,"NAYARIT","TUXPAN","EMBARCADERO PTA. PALAPARES","CHIHUIL FILETE DE FCO.","CHIHUIL",NA,"FILETE DE","FCO",NA,NA,NA,"nei","nei","Ariidae","BANDERA","BANDERA","Demersal marine fishes",300,600,600,6000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,3,"SINALOA","LOS MOCHIS","CAMPO PESQUERO BACOREHUIS","LISA ENT. FCA. (MUGIL CEPHALUS)","LISA (MUGIL CEPHALUS)","Mugil Cephalus","ENT","FCA",NA,NA,NA,"mugil cephalus","mugil","Mugilidae","LISA","LISA","Demersal marine fishes",1810,1810,1810,18100,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,9,"NAYARIT","PENITA JALTEMBA","CHACALA","CHABELITA DESV. FCA.","CHABELITA",NA,"DESV","FCA",NA,NA,NA,"selene peruviana","selene","Carangidae","OTRAS","OTRAS","Pelagic marine fish (excl. anchovy & sardine)",100,110,110,1200,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,10,"SONORA","HUATABAMPO","SANTA BARBARA","CAMARON AZUL ENT. FCO.","CAMARON AZUL",NA,"ENT","FCO",NA,NA,NA,"penaeus stylirostris","penaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",1200,1200,1200,144000,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_7","Eastern_Central_Gulf"
2020,1,"NAYARIT","CRUZ HUANACAXTLE","CORRAL DEL RISCO","MOJARRA DESV. FCA.","MOJARRA",NA,"DESV","FCA",NA,NA,NA,"nei","nei","Gerreidae","MOJARRA","MOJARRA","Marine or freshwater fishes NEI",450,495,495,11250,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","freshwater or marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,1,"SINALOA","LA REFORMA","CAMPO PESQUERO COSTA AZUL","BAQUETA DESV. FCA.","BAQUETA",NA,"DESV","FCA",NA,NA,NA,"hyporthodus acanthistius","hyporthodus","Serranidae","BAQUETA","MERO","Demersal marine fishes",500,550,550,25000,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,3,"SONORA","GOLFO SANTA CLARA","GOLFO SANTA CLARA","CORVINA GOLFINA DESV. FCA.","CORVINA GOLFINA",NA,"DESV","FCA",NA,NA,NA,"nei","nei","Sciaenidae","CORVINA","CORVINA","Demersal marine fishes",1062,1168.2,1168.2,13806,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_5","Eastern_Upper_Gulf"
2020,2,"NAYARIT","SAN BLAS","LA NUEVA ""U""","LUNAREJO DESV. FCO.","LUNAREJO",NA,"DESV","FCO",NA,NA,NA,"lutjanus guttatus","lutjanus","Lutjanidae","PARGO","GUACHINANGO","Demersal marine fishes",89,97.9,97.9,5963,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,3,"SONORA","GOLFO SANTA CLARA","GOLFO SANTA CLARA","CORVINA GOLFINA DESV. FCA.","CORVINA GOLFINA",NA,"DESV","FCA",NA,NA,NA,"nei","nei","Sciaenidae","CORVINA","CORVINA","Demersal marine fishes",100,110,110,1000,NA,"unlikely aquaculture","medium; no data from original report and flags do not suggest aquaculture","small-scale fisheries","marine: small-scale capture","yes","include","region_5","Eastern_Upper_Gulf"
2020,7,"BAJA CALIFORNIA SUR","LA PAZ","ISLA CERRALVO","PALOMETA ENT. FCA.","PALOMETA",NA,"ENT","FCA",NA,NA,NA,"trachinotus africanus","trachinotus","Carangidae","PAMPANO","PAMPANO","Pelagic marine fish (excl. anchovy & sardine)",30,30,30,450,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_4","Western_Southern_Gulf"
2020,1,"NAYARIT","SANTIAGO IXCUINTLA","BOCA CAMICHIN","TIBURON DESV. Y DESC. FCO.","TIBURON",NA,"DESV","DESC","FCO",NA,NA,"nei","nei","NEI","TIBURON","TIBURON","Sharks",50,75,75,1250,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,5,"BAJA CALIFORNIA SUR","CABO SAN LUCAS","LA RIBERA","CABRILLA DESV. FCA.","CABRILLA",NA,"DESV","FCA",NA,NA,NA,"mycteroperca acutirostris","mycteroperca","Serranidae","CABRILLA","CABRILLA","Demersal marine fishes",1000,1100,1100,1e+05,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_4","Western_Southern_Gulf"
2020,7,"SINALOA","MAZATLAN","ISLA LA PIEDRA","MOJARRA CHINA ENT. FCA.","MOJARRA CHINA",NA,"ENT","FCA",NA,NA,NA,"eugerres lineatus","eugerres","Gerreidae","MOJARRA","MOJARRA","Demersal marine fishes",250,250,250,1250,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,8,"NAYARIT","PENITA JALTEMBA","CHACALA","SIERRA ENT. FCA.","SIERRA",NA,"ENT","FCA",NA,NA,NA,"scomberomorus sierra","scomberomorus","Scombridae","SIERRA","SIERRA","Pelagic marine fish (excl. anchovy & sardine)",8,8,8,320,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,2,"SINALOA","MAZATLAN","MAZATLAN","CAMARON AZUL DESC. FCO.","CAMARON AZUL",NA,"DESC","FCO",NA,NA,NA,"penaeus stylirostris","penaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",173,276.8,276.8,53630,NA,"possibly aquaculture","low; no data from original report but flags suggest possibly aquaculture","large-scale fisheries","marine: large-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,1,"SINALOA","MAZATLAN","PUENTE JUAREZ","TORO ENT. FCO. (CARCHARHINUS LEUCAS)","TORO (CARCHARHINUS LEUCAS)","Carcharhinus Leucas","ENT","FCO",NA,NA,NA,"carcharhinus leucas","carcharhinus","Carcharhinidae","TIBURON","TIBURON","Sharks",40,40,40,120,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,10,"SONORA","HUATABAMPO","AQUIROPO","JAIBA ENT. FCA.","JAIBA",NA,"ENT","FCA",NA,NA,NA,"nei","nei","Portunidae","JAIBA","JAIBA","Crustaceans",510,510,510,7650,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_7","Eastern_Central_Gulf"
2020,8,"SONORA","PUERTO PENASCO","PUERTO PENASCO","MANTA ALETA DE FCA.","MANTA",NA,"ALETA DE","FCA",NA,NA,NA,"hypanus dipterurus","hypanus","Dasyatidae","RAYA Y SIMILARES","RAYA Y SIMILARES","Demersal marine fishes",4533,9066,9066,90660,NA,"unlikely aquaculture","medium; no data from original report and flags do not suggest aquaculture","large-scale fisheries","marine: large-scale capture","yes","include","region_5","Eastern_Upper_Gulf"
2020,9,"SONORA","PUERTO LIBERTAD","PUERTO LIBERTAD","EXTRANJERO ENT. FCO.","EXTRANJERO",NA,"ENT","FCO",NA,NA,NA,"paralabrax auroguttatus","paralabrax","Serranidae","OTRAS","OTRAS","Demersal marine fishes",300,300,300,6000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_6","Eastern_Midriff_Islands"
2020,3,"SINALOA","LOS MOCHIS","LA BALLENA","JAIBA ENT. FCA.","JAIBA",NA,"ENT","FCA",NA,NA,NA,"nei","nei","Portunidae","JAIBA","JAIBA","Crustaceans",585,585,585,16380,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,10,"BAJA CALIFORNIA SUR","LORETO","ENSENADA BLANCA","GUACHINANGO ENT. FCO. (LUTJANUS SPP)","GUACHINANGO (LUTJANUS SPP)","Lutjanus Spp","ENT","FCO",NA,NA,NA,"lutjanus spp","lutjanus","Lutjanidae","GUACHINANGO","GUACHINANGO","Demersal marine fishes",193,193,193,9650,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_4","Western_Southern_Gulf"
2020,4,"SINALOA","EL FUERTE","PRESA MIGUEL HIDALGO Y COSTILLA","TILAPIA ENT. FCA.","TILAPIA",NA,"ENT","FCA",NA,NA,NA,"oreochromis amphimelas","oreochromis","Cichlidae","MOJARRA","MOJARRA","Freshwater fishes",300,300,300,5400,"NO","likely aquaculture","medium; flags suggest aquaculture but original report says no, report could be wrong","small-scale fisheries","freshwater: aquaculture","yes","include","region_8","Sinaloan_Coast"
2020,12,"NAYARIT","SANTIAGO IXCUINTLA","BOCA CAMICHIN","CHIHUIL ENT. FCO.","CHIHUIL",NA,"ENT","FCO",NA,NA,NA,"nei","nei","Ariidae","BANDERA","BANDERA","Demersal marine fishes",1121,1121,1121,10089,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,11,"SINALOA","GUASAVE","CERRO CABEZON","SIERRA DESV. FCA.","SIERRA",NA,"DESV","FCA",NA,NA,NA,"scomberomorus sierra","scomberomorus","Scombridae","SIERRA","SIERRA","Pelagic marine fish (excl. anchovy & sardine)",150,165,165,5250,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,11,"BAJA CALIFORNIA","SAN FELIPE","CAMPO SAHUARO","ALMEJA BLANCA ENT. FCA.","ALMEJA BLANCA",NA,"ENT","FCA",NA,NA,NA,"dosinia ponderosa","dosinia","Veneridae","ALMEJA","ALMEJA","Molluscs excl. Cephalopods",750,750,750,11250,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_2","Western_Midriff_Islands"
2020,3,"BAJA CALIFORNIA SUR","SANTA ROSALIA","SANTA ROSALIA","PULPO DESV. FCO.","PULPO",NA,"DESV","FCO",NA,NA,NA,"nei","nei","Octopodidae","PULPO","PULPO","Cephalopods",300,330,330,21000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_3","Baja_California_Sur_North"
2020,9,"NAYARIT","TUXPAN","PUENTE, EL","CAMARON BLANCO ENT. FCO. (LITOPENAEUS VANNAMEI)","CAMARON BLANCO (LITOPENAEUS VANNAMEI)","Litopenaeus Vannamei","ENT","FCO",NA,NA,NA,"litopenaeus vannamei","litopenaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",1308,1308,1308,48396,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,10,"NAYARIT","SAN BLAS",NA,"CAMARON BLANCO DE CULTIVO ENT. FCO. (LITOPENAEUS VANNAMEI)","CAMARON BLANCO (LITOPENAEUS VANNAMEI)","Litopenaeus Vannamei","DE CULTIVO","ENT","FCO",NA,NA,"litopenaeus vannamei","litopenaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",8000,8000,8000,320000,NA,"likely aquaculture","medium; no data from original report but flags suggest most likely aquaculture","sector details were not reported","marine: aquaculture","yes","include","region_9","Nayarit_Jalisco"
2020,12,"SINALOA","CULIACAN",NA,"CAMARON BLANCO DE CULTIVO ENT. FCO. (LITOPENAEUS VANNAMEI)","CAMARON BLANCO (LITOPENAEUS VANNAMEI)","Litopenaeus Vannamei","DE CULTIVO","ENT","FCO",NA,NA,"litopenaeus vannamei","litopenaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",12000,12000,12000,1560000,NA,"likely aquaculture","medium; no data from original report but flags suggest most likely aquaculture","sector details were not reported","marine: aquaculture","yes","include","region_8","Sinaloan_Coast"
2020,8,"BAJA CALIFORNIA SUR","CD. CONSTITUCION","PUERTO AGUA VERDE","ESTACUDA DESV. FCA.","ESTACUDA",NA,"DESV","FCA",NA,NA,NA,"hyporthodus niphobles","hyporthodus","Serranidae","MERO","BAQUETA","Demersal marine fishes",5,5.5,5.5,250,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_4","Western_Southern_Gulf"
2020,3,"NAYARIT","PENITA JALTEMBA","LAGUNA LAS TORTUGAS Y MATAIZA","TILAPIA FILETE DE FCO.","TILAPIA",NA,"FILETE DE","FCO",NA,NA,NA,"oreochromis amphimelas","oreochromis","Cichlidae","MOJARRA","MOJARRA","Freshwater fishes",180,360,360,5400,"NO","likely aquaculture","medium; flags suggest aquaculture but original report says no, report could be wrong","small-scale fisheries","freshwater: aquaculture","yes","include","region_9","Nayarit_Jalisco"
2020,11,"SONORA","GUAYMAS","LA MANGA","CORVINA ENT. FCA.","CORVINA",NA,"ENT","FCA",NA,NA,NA,"cynoscion acoupa","cynoscion","Sciaenidae","CORVINA","CORVINA","Demersal marine fishes",140,140,140,7000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_7","Eastern_Central_Gulf"
2020,10,"SINALOA","LA REFORMA","BAHIA SANTA MARIA LA REFORMA","JAIBA ENT. FCA.","JAIBA",NA,"ENT","FCA",NA,NA,NA,"nei","nei","Portunidae","JAIBA","JAIBA","Crustaceans",2580,2580,2580,90300,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,1,"NAYARIT","SAN BLAS","BOCA DEL ASADERO","CHABELITA ENT. FCA.","CHABELITA",NA,"ENT","FCA",NA,NA,NA,"selene peruviana","selene","Carangidae","OTRAS","OTRAS","Pelagic marine fish (excl. anchovy & sardine)",250,250,250,1750,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,6,"SONORA","GOLFO SANTA CLARA","GOLFO SANTA CLARA","MEDUSA BOLA DE CAÑON ENT. FCA.","MEDUSA BOLA CAÑON",NA,"ENT","FCA",NA,NA,NA,"stomolophus meleagris","stomolophus",NA,"OTRAS","OTRAS","Jellies",12350,12350,12350,37050,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_5","Eastern_Upper_Gulf"
2020,11,"SINALOA","NAVOLATO","DAUTILLOS","LISA DESV. FCA.","LISA",NA,"DESV","FCA",NA,NA,NA,"nei","nei","Mugilidae","LISA","LISA","Demersal marine fishes",767,843.7,843.7,7670,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,11,"SONORA","HUATABAMPO","SANTA BARBARA","CAMARON AZUL ENT. FCO.","CAMARON AZUL",NA,"ENT","FCO",NA,NA,NA,"penaeus stylirostris","penaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",400,400,400,60000,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_7","Eastern_Central_Gulf"
2020,10,"NAYARIT","TUXPAN",NA,"CAMARON BLANCO DE CULTIVO ENT. FCO. (LITOPENAEUS VANNAMEI)","CAMARON BLANCO (LITOPENAEUS VANNAMEI)","Litopenaeus Vannamei","DE CULTIVO","ENT","FCO",NA,NA,"litopenaeus vannamei","litopenaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",60,60,60,2400,NA,"likely aquaculture","medium; no data from original report but flags suggest most likely aquaculture","sector details were not reported","marine: aquaculture","yes","include","region_9","Nayarit_Jalisco"
2020,2,"NAYARIT","CRUZ HUANACAXTLE","CRUZ HUANACAXTLE, LA","GUACHINANGO DESV. FCO. (LUTJANUS CAMPECHANUS)","GUACHINANGO (LUTJANUS CAMPECHANUS)","Lutjanus Campechanus","DESV","FCO",NA,NA,NA,"lutjanus campechanus","lutjanus","Lutjanidae","GUACHINANGO","GUACHINANGO","Demersal marine fishes",400,440,440,36000,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,7,"SINALOA","NAVOLATO","PUERTO ALTATA","JAIBA ENT. FCA.","JAIBA",NA,"ENT","FCA",NA,NA,NA,"nei","nei","Portunidae","JAIBA","JAIBA","Crustaceans",645,645,645,19350,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,4,"NAYARIT","SANTIAGO IXCUINTLA","BOCA CAMICHIN","OSTION DE PLACER ENT. FCO.","OSTION PLACER",NA,"ENT","FCO",NA,NA,NA,"unknown",NA,"Ostreidae","OSTION","OSTION","Molluscs excl. Cephalopods",650,650,650,7800,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,8,"SINALOA","LA REFORMA","LA REFORMA","LISA DESV. Y DESC. FCA.","LISA",NA,"DESV","DESC","FCA",NA,NA,"nei","nei","Mugilidae","LISA","LISA","Demersal marine fishes",324,405,405,8100,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,1,"NAYARIT","TUXPAN","CHIRIMOYO, EL","PARGO DESV. FCO.","PARGO",NA,"DESV","FCO",NA,NA,NA,"lutjanus adetii","lutjanus","Lutjanidae","PARGO","GUACHINANGO","Demersal marine fishes",22,24.2,24.2,1760,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_9","Nayarit_Jalisco"
2020,9,"SINALOA","NAVOLATO","ALTATA","TIBURON SEDOSO DESV. Y DESC. FCO. (CARCHARHINUS FALCIFORMIS)","TIBURON SEDOSO (CARCHARHINUS FALCIFORMIS)","Carcharhinus Falciformis","DESV","DESC","FCO",NA,NA,"carcharhinus falciformis","carcharhinus","Carcharhinidae","TIBURON","TIBURON","Sharks",20354,25442.5,25442.5,508850,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,9,"BAJA CALIFORNIA SUR","CD. CONSTITUCION","TEMBABICHE","JUREL ENT. FCO. (SERIOLA LALANDI)","JUREL (SERIOLA LALANDI)","Seriola Lalandi","ENT","FCO",NA,NA,NA,"seriola lalandi","seriola","Carangidae","JUREL","ESMEDREGAL","Pelagic marine fish (excl. anchovy & sardine)",25,25,25,625,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_4","Western_Southern_Gulf"
2020,8,"SONORA","PUERTO LIBERTAD","PUERTO LIBERTAD","CARACOL CHINO S.C. FCO.","CARACOL CHINO",NA,"S.C.","FCO",NA,NA,NA,"nei","nei","Muricidae","CARACOL","CARACOL","Molluscs excl. Cephalopods",80,560,560,6400,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_6","Eastern_Midriff_Islands"
2020,1,"SONORA","HUATABAMPO","YAVAROS","SARDINA MONTERREY IND.(SARDINOPS SAGAX)","SARDINA MONTERREY (SARDINOPS SAGAX)","Sardinops Sagax","IND",NA,NA,NA,NA,"sardinops sagax","sardinops","Clupeidae","SARDINA","SARDINA","Anchovy & Sardine (small pelagics)",23216,26930.56,26930.56,23216,NA,"unlikely aquaculture","high; no data from original report and flags suggest probably not aquaculture","large-scale fisheries","marine: large-scale capture","yes","include","region_7","Eastern_Central_Gulf"
2020,3,"SONORA","GUAYMAS","LAS GUASIMAS","JAIBA ENT. FCA.","JAIBA",NA,"ENT","FCA",NA,NA,NA,"nei","nei","Portunidae","JAIBA","JAIBA","Crustaceans",83,83,83,2988,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_7","Eastern_Central_Gulf"
2020,12,"SINALOA","CULIACAN",NA,"CAMARON BLANCO DE CULTIVO ENT. FCO. (LITOPENAEUS VANNAMEI)","CAMARON BLANCO (LITOPENAEUS VANNAMEI)","Litopenaeus Vannamei","DE CULTIVO","ENT","FCO",NA,NA,"litopenaeus vannamei","litopenaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",10000,10000,10000,1e+06,NA,"likely aquaculture","medium; no data from original report but flags suggest most likely aquaculture","sector details were not reported","marine: aquaculture","yes","include","region_8","Sinaloan_Coast"
