"state","office_name_clean","landing_site_clean","final_lat","final_lon","final_lat.lon_level","final_lat.lon_source","location","OHI.region_geo.est","OHI_state.assign","OHI_region_final","GOC_mel.est","GOC_state.assign","GOC_region.assign","GOC_final"
"NAYARIT","TECUALA","LAGUNA LAS FLORES Y GOLFO MEXICO",22.4984442146623,-105.266154629021,"state_office","Hem's state.office key","land","Region_9","Region_9","Region_9",NA,"yes","yes","yes"
"SINALOA","TOPOLOBAMPO","TOPOLOBAMPO",25.5982674305556,-109.049723444444,"state_office_site","Hem's state.site.office key","land","Region_8","Region_8","Region_8",NA,"yes","yes","yes"
"BAJA CALIFORNIA SUR","GUERRERO NEGRO","LAGUNA LAS FLORES Y GOLFO MEXICO",27.6819209057358,-113.538602579797,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","LORETO","LAGUNA LAS FLORES Y GOLFO MEXICO",26.0432876543236,-111.67817330556,"state_office","Hem's state.office key","land","Region_4",NA,"Region_4",NA,NA,NA,NA
"SINALOA","TOPOLOBAMPO","LAGUNA LAS FLORES Y GOLFO MEXICO",25.6153795297504,-109.024498822464,"state_office","Hem's state.office key","sea","Region_8","Region_8","Region_8",NA,"yes","yes","yes"
"BAJA CALIFORNIA SUR","CD. CONSTITUCION","LAGUNA LAS FLORES Y GOLFO MEXICO",25.2780280791995,-111.762569083552,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","BAHIA TORTUGAS","LAGUNA LAS FLORES Y GOLFO MEXICO",27.6888812559524,-114.760228838492,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","LA PAZ","LAGUNA LAS FLORES Y GOLFO MEXICO",23.9653019673961,-110.278865826857,"state_office","Hem's state.office key","land","Region_4",NA,"Region_4",NA,NA,NA,NA
"BAJA CALIFORNIA SUR","BAHIA ASUNCION","LAGUNA LAS FLORES Y GOLFO MEXICO",27.2040245238095,-114.085745,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","GUAYMAS","GUAYMAS",27.92151,-110.8915,"state_site","Hem's state.site key","land","Region_7",NA,"Region_7","yes","yes","yes","yes"
"BAJA CALIFORNIA","BAHIA LOS ANGELES","LAGUNA LAS FLORES Y GOLFO MEXICO",24.5843,-110.7416,"state_site","Mel's state.site key","land","Region_4",NA,"Region_4","yes",NA,NA,"yes"
"BAJA CALIFORNIA","SAN FELIPE","SAN FELIPE",31.0220527944444,-114.838044747222,"state_office_site","Hem's state.site.office key","land","Region_1",NA,"Region_1","yes",NA,NA,"yes"
"BAJA CALIFORNIA SUR","LA PAZ","PICHILINGUE",24.27183215,-110.32755775,"state_office_site","Hem's state.site.office key","sea","Region_4",NA,"Region_4","yes",NA,NA,"yes"
