landing_site,clave,subregion,long,lat,State,hand_added,notes
PUNTA LOBOS (EN LORETO),197,3.0197,-111.337,26.005,Baja California Sur,yes,
PUNTA LUPONA (EN ISLA ESPIRITU SANTO),NA,3,-110.3,24.49,Baja California Sur,yes,
PUNTA PESCADERO,NA,3,-109.51,23.67,Baja California Sur,yes,
PUNTA PIEDRA (EN ISLA SAN MARCOS),NA,3,-112.05,27.17,Baja California Sur,yes,
PUNTA PRIETA II (EN SANTA ROSALIA),NA,3,-112.24,27.3,Baja California Sur,yes,
PUNTA QUEBRADA,NA,2,-113.43,26.67,Baja California Sur,yes,
PUNTA RENAS (CAMPO PESQUERO EN SAN CARLOS),NA,2,-112.12,24.62,Baja California Sur,yes,
PUNTA SANTA ANA,295,3.0295,-112.5988,27.664,Baja California Sur,,
PUNTA VERDE I (PACIFICO),NA,2,-113.3,26.7,Baja California Sur,yes,
PUNTA VERDE II (GOLFO DE CALIFORNIA),NA,3,-111.81,26.67,Baja California Sur,yes,
R/A. PUEBLO NUEVO,NA,NA,,,Baja California Sur,yes,
RAFAEL ESTERO SAN,164,2.0164,-112.1024,25.7396,Baja California Sur,,
RAFAEL SUR SAN,165,2.0165,-112.1136,25.734,Baja California Sur,,
RAMADITA LA,211,3.0211,-111.5668,26.5834,Baja California Sur,,
RENE CAMPO,107,2.0107,-113.4723,26.803,Baja California Sur,,
REYNALDO ARROYO SAN,147,2.0147,-112.565,26.2881,Baja California Sur,,
RINCON EL,72,2.0072,-114.86,27.674,Baja California Sur,,
RIVERA LA,35,3.0035,-109.583,23.602,Baja California Sur,,
RODRIGUEZ,110,3.011,-110.4623,24.1865,Baja California Sur,,
ROJO PUNTA ISLA SAN JOSE,144,3.0144,-110.567,24.983,Baja California Sur,,
ROQUE BAHÍA SAN,83,2.0083,-114.3551,27.1474,Baja California Sur,,
ROQUE ISLA SAN,81,2.0081,-114.3918,27.1478,Baja California Sur,,
ROQUE ISLA SAN SUR,372,2.0372,-114.404,27.165,Baja California Sur,,
ROQUE PUNTA SAN,80,2.008,-114.4316,27.1749,Baja California Sur,,
ROQUE SAN,82,2.0082,-114.384,27.1676,Baja California Sur,,
ROSALIA SANTA,278,3.0278,-112.2631,27.3397,Baja California Sur,,
ROSALILLITA,229,3.0229,-111.7905,26.5668,Baja California Sur,yes,
ROSALITA SANTA,229,3.0229,-111.7905,26.5668,Baja California Sur,,
SALADITO EL,120,3.012,-110.6858,24.4448,Baja California Sur,,
SALINAS,80,3.008,-109.8641,24.0939,Baja California Sur,,
SALINAS BAHÍA ISLA DEL CARMEN,185,3.0185,-111.1201,25.9743,Baja California Sur,,
SALINAS LAS,10,3.001,-109.628,23.073,Baja California Sur,,
SALINAS PUNTA,139,3.0139,-110.683,24.888,Baja California Sur,,
SAN ANDRES,NA,2,-112.05,26.8,Baja California Sur,yes,
SAN BRUNO,NA,3,-112.98,27.15,Baja California Sur,yes,
SAN CARLITOS,NA,2,-112,26.1,Baja California Sur,yes,
SAN CARLOS,259,2.0259,-111.9669,24.7661,Baja California Sur,,
SAN JAVIER,197,3.0197,-111.337,26.005,Baja California Sur,yes,town near Loreto
SAN JORGE,NA,2,-112.2,26.55,Baja California Sur,yes,
"SAN JOSE DEL CABO, B.C.S.",NA,3,-109.7,23.062,Baja California Sur,yes,
SAN JUANICO B.C.S.,NA,2,-112.49,26.25,Baja California Sur,yes,
SAN JUANICO BAHÍA DE,206,3.0206,-111.45,26.436,Baja California Sur,,
SAN JUANICO II (OCEANO PACIFICO),NA,2,-112.49,26.25,Baja California Sur,yes,
SAN JUANICO LAGUNA DE,154,2.0154,-112.361,26.191,Baja California Sur,,
SAN JUANITO,NA,2,-112.29,26.56,Baja California Sur,yes,
SAN LUCAS,2,3.0002,-109.888,22.891,Baja California Sur,,
SAN LUCAS CABO,1,3.0001,-109.895,22.873,Baja California Sur,,
SAN LUIS GONZAGA B.C.N.,NA,3,-114.39,29.79,Baja California Sur,yes,
SAN MARCOS (EN ISLA SAN MARCOS),NA,3,-112.06,27.17,Baja California Sur,yes,
SAN RAFAEL,NA,2,-113.01,28.52,Baja California Sur,yes,
"SAN RAFAEL, B.C.S.",NA,2,-112,26.2,Baja California Sur,yes,
SANTA ANA,295,3.0295,-112.5988,27.664,Baja California Sur,,
"SANTA ELENITA, COMONDU",NA,2,-112.01,25.1,Baja California Sur,yes,
SANTA INES BAHÍA,252,3.0252,-111.9739,27.0306,Baja California Sur,,
SANTA MARÍA CALETA,3,3.0003,-109.815,22.929,Baja California Sur,,
SANTA MARINA BAHÍA,297,2.0297,-111.534,24.377,Baja California Sur,,
Santa Rosa (Aguas Litorales),NA,3,-109.9,23.3,Baja California Sur,yes,
"SANTA ROSA, COMONDU",NA,2,-112.06,26.24,Baja California Sur,yes,
SANTA ROSALIA (B.C.S.),NA,3,-112.27,27.34,Baja California Sur,yes,
SANTO DOMINGO (VARADERO),NA,2,-113.2,26.79,Baja California Sur,yes,
SANTO DOMINGO ESTERO DE,189,2.0189,-112.0835,25.4021,Baja California Sur,,
SANTO DOMINGO PUNTA GOLFO,225,3.0225,-111.8443,26.8619,Baja California Sur,,
SARGENTO EL,83,3.0083,-110.0003,24.1172,Baja California Sur,,
SAUZOSO EL,116,3.0116,-110.6378,24.3157,Baja California Sur,,
SEBASTIAN BAHÍA SAN,84,2.0084,-114.3531,27.1371,Baja California Sur,,
SOLDADO ESTERO EL,288,2.0288,-111.5933,24.4411,Baja California Sur,,
SOLEDAD BOCA LA,197,2.0197,-112.142,25.2792,Baja California Sur,,
SORPRESA PLAYA LA,85,3.0085,-110.0851,24.2113,Baja California Sur,,
TAMIAHUA,NA,NA,-97.45,21.27,Baja California Sur,yes,
TAVO CAMPITO,36,2.0036,-114.7716,27.8122,Baja California Sur,,
TECOLOTE EL,100,3.01,-110.3209,24.3393,Baja California Sur,,
TEMBABICHE,NA,3,-111.089,25.313,Baja California Sur,yes,
TIBURÓN EL,239,3.0239,-111.8988,26.8487,Baja California Sur,,
TIJERAS ESTERO LAS,221,2.0221,-112.1532,24.8183,Baja California Sur,,
TINAJA LA,257,3.0257,-111.967,27.086,Baja California Sur,,
TINAS LAS,40,3.004,-109.7172,23.8167,Baja California Sur,,
TLAQUE LAGUNA,230,2.023,-112.0624,24.8578,Baja California Sur,,
TODOS SANTOS,367,2.0367,-110.0033,22.9042,Baja California Sur,,
TORTUGAS BAHÍA,67,2.0067,-114.8805,27.6338,Baja California Sur,,
TORTUGAS LAGUNA,275,2.0275,-111.7474,24.5725,Baja California Sur,,
TOSCA PUNTA,305,2.0305,-111.71,24.304,Baja California Sur,,
TOSCO CABO,304,2.0304,-111.7041,24.3606,Baja California Sur,,
TRINIDAD LA,296,3.0296,-112.6432,27.7026,Baja California Sur,,
TRINIDAD PUNTA,297,3.0297,-112.7245,27.8214,Baja California Sur,,
TRONCONES LOS,166,2.0166,-112.1024,25.7209,Baja California Sur,,
TULE BOCA DE,21,3.0021,-109.443,23.264,Baja California Sur,,
TULE EL,5,3.0005,-109.811,22.958,Baja California Sur,,
TULES PUNTA,114,3.0114,-110.613,24.2705,Baja California Sur,,
UÑA DE GATA ESTERO,239,2.0239,-112.092,24.7265,Baja California Sur,,
VACAS ESTERO LAS,191,2.0191,-112.0913,25.3405,Baja California Sur,,
VENADO ESTERO EL,179,2.0179,-112.0956,25.6828,Baja California Sur,,
VENTANA BAHÍA LA,81,3.0081,-109.929,24.0453,Baja California Sur,,
VENTANA LA,82,3.0082,-109.9931,24.0488,Baja California Sur,,
VERDE ESTERO PUNTA,218,2.0218,-112.1726,24.7942,Baja California Sur,,
VIBORA PUNTA,163,3.0163,-110.9118,25.1847,Baja California Sur,,
VICENTE ESTERO SAN,188,2.0188,-112.0854,25.4618,Baja California Sur,,
VIEJA LA,320,2.032,-110.972,24.047,Baja California Sur,,
VILLA DE JESUS MARIA,NA,2,-114,28.28,Baja California Sur,yes,
VIRGENCITA LA,56,2.0056,-115.0383,27.7855,Baja California Sur,,
VIRGENES CABO,291,3.0291,-112.373,27.552,Baja California Sur,,
ZARGAZAL EL,58,2.0058,-115.0322,27.7369,Baja California Sur,,
PTO ADOLFO LOPEZ MATEOS,204,2.0204,-112.1185,25.1889,Baja California Sur,yes,
SANTA ROSA,NA,3,-109.9,23.3,Baja California Sur,yes,
PUNTA ARENA (EN BAHIA CONCEPCION),NA,3,-111.89,26.81,Baja California Sur,yes,
BAHIA SALINAS (EN ISLA DEL CARMEN),184,3.0184,-111.172,25.943,Baja California Sur,yes,
ADOLFO LOPEZ MATEOS (PRESA),204,2.0204,-112.1185,25.1889,Baja California Sur,yes,
PTO CANCUN,280,2.028,-111.6402,24.5597,Baja California Sur,yes,
PEÑASCO,NA,3,-113.54,31.31,Baja California Sur,yes,probably in Sonora
PUNTA GORDA (EN LOS CABOS),NA,3,-109.9,23.3,Baja California Sur,yes,
EL REMATE (BAHIA CONCEPCION),NA,3,-111.89,26.81,Baja California Sur,yes,
PUNTA LOS LOBOS (EN BAHIA ASUNCION),87,2.0087,-114.2905,27.1436,Baja California Sur,yes,
ENSENADA,179,3.0179,-111.2205,25.7252,Baja California Sur,yes,
PIEDRAS GORDAS (EN ISLA CERRALVO),52,3.0052,-109.8693,24.2357,Baja California Sur,yes,
SITIO EMB DESEM GENERICO,NA,NA,NA,NA,Baja California Sur,yes,placeholder
PUERTO ESCONDIDO,NA,2,-115.21,28.08,Baja California Sur,yes,
EL CARDONAL (EN LA PAZ),41,3.0041,-109.7447,23.8473,Baja California Sur,yes,
RIO LA FLORIDA,225,2.0225,-112.1052,24.9893,Baja California Sur,yes,
PUNTA COYOTE (EN LORETO),197,3.0197,-111.337,26.005,Baja California Sur,yes,
PUNTA AMARILLA (O SANTA ROSA),NA,3,-109.9,23.3,Baja California Sur,yes,
PUERTO VIEJO,NA,2,-110.201,23.405,Baja California Sur,yes,probably in Baja California
LAS CRUCES (EN GUERRERO NEGRO),8,2.0008,-114.1066,27.9441,Baja California Sur,yes,
SANTA ROSALILLITA,278,3.0278,-112.2631,27.3397,Baja California Sur,yes,
ROCA BALLENAS,99,2.0099,-113.6676,26.7432,Baja California Sur,yes,
PUNTA COLORADA (EN SANTA ROSALIA),247,3.0247,-111.9687,26.9255,Baja California Sur,yes,
SAN BRUNO (EN SANTA ROSALIA),265,3.0265,-112.1644,27.1682,Baja California Sur,yes,
PUNTA PRIETA,246,3.0246,-111.9556,26.9161,Baja California Sur,yes,
CLAM BAYS,69,2.0069,-114.8441,27.6216,Baja California Sur,yes,
DATILES VERDES,207,2.0207,-112.1741,25.0892,Baja California Sur,yes,
PUNTA EL LIMON (EN ISLA CERRALVO),52,3.0052,-109.8693,24.2357,Baja California Sur,yes,
PUERTO ESCONDIDO (EN LORETO),197,3.0197,-111.337,26.005,Baja California Sur,yes,
PUERTO VIEJO (EN SAN CARLOS),259,2.0259,-111.9669,24.7661,Baja California Sur,yes,
PUNTA COLORADA (EN ISLA SAN JOSE),146,3.0146,-110.598,25.037,Baja California Sur,yes,
ESTEO LAS TIJERAS,221,2.0221,-112.1532,24.8183,Baja California Sur,yes,
LAS BARRANCAS (EN LOS CABOS),NA,3,-109.9,23.3,Baja California Sur,yes,
ESTERO ARROYO STO. DOMINGO,190,2.019,-112.0845,25.3992,Baja California Sur,yes,
EL CEMENTERIO (EN SAN CARLOS),259,2.0259,-111.9669,24.7661,Baja California Sur,yes,
