landing_site,clave,subregion,long,lat,State,hand_added,notes
ELENITA SANTA,200,2.02,-112.1084,25.2377,Baja California Sur,,
ELENITA SANTA ESTERO,199,2.0199,-112.1084,25.2377,Baja California Sur,,
EMBARCADERO DE SAN ANDRES,NA,2,-112.22,26.79,Baja California Sur,yes,
ENSENADA BLANCA,179,3.0179,-111.2205,25.7252,Baja California Sur,,
ENSENADA DE CORTEZ,NA,3,-111.32,25.92,Baja California Sur,yes,
ENSENADA LA CHABELA (EN ISLA SAN MARCOS),NA,3,-112.04,27.18,Baja California Sur,yes,
ENTRADA PUNTA,243,2.0243,-112.055,24.54,Baja California Sur,,
EQUIPALITO EL,242,3.0242,-111.9167,26.8786,Baja California Sur,,
ESCONDIDA LAGUNA LA,109,2.0109,-113.4079,26.8255,Baja California Sur,,
ESCONDIDO PUERTO LORETO,193,3.0193,-111.308,25.822,Baja California Sur,,
ESTERO EL AHUETE,NA,2,-112,24.6,Baja California Sur,yes,
ESTERO EL BARRIL,37,3.0037,-109.6975,23.6773,Baja California Sur,,
ESTERO EL DATIL (B.C.S.),NA,2,-113.17,26.86,Baja California Sur,yes,
ESTERO EL DELGADITO (B.C.S.),NA,2,-113.06,26.61,Baja California Sur,yes,
ESTERO HOMBRES SOLOS,NA,2,-112,25,Baja California Sur,yes,
ESTERO SALINAS,269,2.0269,-111.8028,24.5457,Baja California Sur,,
ESTERO SAN JORGE,163,2.0163,-112.1342,25.8359,Baja California Sur,,
ESTERO SAN JOSE B.C.N.,NA,2,-115.93,30.42,Baja California Sur,yes,
ESTERO SANTA ROSA,NA,3,-109.9,23.3,Baja California Sur,yes,
EUGENIA CANAL PUNTA,45,2.0045,-115.0869,27.8583,Baja California Sur,,
EUGENIA PUNTA,51,2.0051,-115.0766,27.8477,Baja California Sur,,
EVARISTO PUNTA SAN,152,3.0152,-110.698,24.917,Baja California Sur,,
FARO EL,105,2.0105,-113.5237,26.7572,Baja California Sur,,
FARO PLAYA EL,4,3.0004,-109.859,22.903,Baja California Sur,,
Faro Santo Domingo,NA,3,-114.15,27.03,Baja California Sur,yes,
FLOR DE MALVA BOCA DE,317,2.0317,-111.077,24.132,Baja California Sur,,
FLORIDA LA,225,2.0225,-112.1052,24.9893,Baja California Sur,,
FRAILES LOS,26,3.0026,-109.431,23.376,Baja California Sur,,
FRAILES MORRO LOS,24,3.0024,-109.424,23.32,Baja California Sur,,
GALLINA ISLA LA,129,3.0129,-110.3935,24.4698,Baja California Sur,,
GALLINITA PUNTA,274,2.0274,-111.7322,24.5506,Baja California Sur,,
GALLLEGOS ISLOTE LOS,176,3.0176,-111.0679,25.7328,Baja California Sur,,
GATO ESTERO EL,181,2.0181,-112.14,25.674,Baja California Sur,,
GORDA PUNTA LOS CABOS,11,3.0011,-109.572,23.085,Baja California Sur,,
GRANDE ESTERO,289,2.0289,-111.5639,24.4503,Baja California Sur,,
GRANDE PUNTA,264,3.0264,-112.1551,27.1596,Baja California Sur,,
GREGORIO ESTERO SAN,158,2.0158,-112.2772,26.0975,Baja California Sur,,
GUADALUPE ARROYO DE,316,2.0316,-111.172,24.182,Baja California Sur,,
GUADALUPE PUNTA,226,3.0226,-111.8331,26.8327,Baja California Sur,,
GUAMUCHIL,106,3.0106,-110.3229,24.1494,Baja California Sur,yes,likely La Paz area
GUAYMAS,NA,3,-110.9,27.92,Baja California Sur,yes,
GUERRERO NEGRO,7,2.0007,-114.044,27.98,Baja California Sur,,
GUERRERO NEGRO (B.C.S.),NA,2,-114.04,27.97,Baja California Sur,yes,
HERRADURA LA,265,2.0265,-111.911,24.719,Baja California Sur,,
HERRADURA LA ESTERO,263,2.0263,-111.937,24.733,Baja California Sur,,
HIPOLITO BAHÍA SAN,95,2.0095,-113.8424,26.9124,Baja California Sur,,
HIPOLITO PUNTA SAN,92,2.0092,-114.9788,26.9796,Baja California Sur,,
HIPOLITO SAN,93,2.0093,-113.8349,26.9694,Baja California Sur,,
HOMBRES SOLOS,NA,2,-112.02,24.9,Baja California Sur,yes,
