state,landing_site,OHI_rgn,long,lat,GulfCal
BAJA CALIFORNIA,PUNTA SAN ANTONIO,Baja_California_South,-115.6841,29.7502,no
BAJA CALIFORNIA,CAMPO VIEJO,Baja_California_South,-115.7857,30.131,no
BAJA CALIFORNIA,MUELLE PESCA DEPORTIVA,Baja_California_North,-116.6271,31.8573,no
BAJA CALIFORNIA,PUNTA FINAL,Baja_California_South,-114.2711,29.772,yes
BAJA CALIFORNIA,SANTO DOMINGO,Baja_California_South,-114.09,28.257,no
BAJA CALIFORNIA,CAMPO ARROYITO (EN I. GUADALUPE),Baja_California_South,-118.377,29.0556,no
BAJA CALIFORNIA,MUELLE MOLINO VIEJO,Baja_California_South,-115.98,30.48,no
BAJA CALIFORNIA,CAMPO TEPEYAC O CAMPO OESTE (I. GUADALUPE),Baja_California_South,-118.377,29.0556,no
BAJA CALIFORNIA,MEXICALI,Baja_California_North,-115.4667,32.6508,yes
BAJA CALIFORNIA,ISLA DE CEDROS,Baja_California_South,-115.216,28.189,no
BAJA CALIFORNIA,MUELLE MAR NEGRO,Baja_California_North,-116.62461,31.85919,no
BAJA CALIFORNIA,EL PEDREGAL,Baja_California_South,-115.9618,30.4446,no
BAJA CALIFORNIA,PUNTA SAN QUINTIN,Baja_California_South,-115.9719,30.467,no
BAJA CALIFORNIA,PUNTA ARENA,Baja_California_South,-113.96675,29.3849,yes
BAJA CALIFORNIA,MUELLE DE SAN FELIPE,Baja_California_North,-114.8335,31.0173,yes
BAJA CALIFORNIA,R. PORTUARIO PCO,Baja_California_North,-116.633,31.85,no
BAJA CALIFORNIA,ESTERO SAN JOSE B.C.N.,Baja_California_South,-109.68306,23.05,yes
BAJA CALIFORNIA,SAN ISIDRO,Baja_California_North,-116.4121,31.2906,no
BAJA CALIFORNIA,PUNTA CANOAS,Baja_California_South,-115.1836,29.4172,no
BAJA CALIFORNIA,ESTERO SAN JOSE,Baja_California_South,-114.8703,29.2844,no
BAJA CALIFORNIA,BAHIA DE LOS ANGELES B.C.N.,Baja_California_South,-113.56243,28.95192,yes
