state,fishing_site_name,fishing_site_clean
BAJA CALIFORNIA SUR,BOCA SANTO DOMINGO,Boca Santo Domingo
BAJA CALIFORNIA SUR,BAHIA MAGDALENA (BCS),Bahia Magdalena (Bcs)
BAJA CALIFORNIA SUR,AGUAS LITORALES (LOS CABOS),Aguas Litorales (Los Cabos)
BAJA CALIFORNIA SUR,PUNTA EUGENIA,Punta Eugenia
BAJA CALIFORNIA SUR,ESTERO EL DELGADITO (BCS),Estero El Delgadito (Bcs)
BAJA CALIFORNIA SUR,BAHIA VIZCAINO,Bahia Vizcaino
BAJA CALIFORNIA SUR,PUNTA BALLENAS,Punta Ballenas
BAJA CALIFORNIA SUR,PUERTO DE AGUA VERDE,Puerto De Agua Verde
SONORA,PUNTA CHUECA,Punta Chueca
BAJA CALIFORNIA,BAHIA DESCANSO,Bahia Descanso
BAJA CALIFORNIA SUR,EL DATIL EN LAGUNA SAN IGNACIO,El Datil En Laguna San Ignacio
BAJA CALIFORNIA SUR,SAN BRUNO (EN SANTA ROSALIA),San Bruno (En Santa Rosalia)
BAJA CALIFORNIA SUR,MULEGE (BCS),Mulege (Bcs)
BAJA CALIFORNIA SUR,ESTERO EL CARDON,Estero El Cardon
BAJA CALIFORNIA SUR,SANTA ROSALIA (BCS),Santa Rosalia (Bcs)
BAJA CALIFORNIA SUR,LAGUNA DE SAN IGNACIO (BCS),Laguna De San Ignacio (Bcs)
BAJA CALIFORNIA SUR,SAN MARCOS TIERRA,San Marcos Tierra
BAJA CALIFORNIA,FARO SAN JOSE,Faro San Jose
BAJA CALIFORNIA SUR,LIGUI,Ligui
BAJA CALIFORNIA SUR,ISLA CORONADOS,Isla Coronados
BAJA CALIFORNIA SUR,ISLA MONSERRAT,Isla Monserrat
BAJA CALIFORNIA SUR,ISLA CARMEN,Isla Carmen
BAJA CALIFORNIA SUR,BAHIA DE SAN JUANICO,Bahia De San Juanico
BAJA CALIFORNIA SUR,ISLA SAN ILDEFONSO,Isla San Ildefonso
BAJA CALIFORNIA,BAJO SAN JOSE,Bajo San Jose
SINALOA,ESTERO LA BALLENA,Estero La Ballena
BAJA CALIFORNIA,BAHIA DE TODOS SANTOS,Bahia De Todos Santos
BAJA CALIFORNIA SUR,DATILES VERDES,Datiles Verdes
SONORA,BAHIA KINO,Bahia Kino
SINALOA,LITORAL DEL ESTADO DE SINALOA,Litoral Del Estado De Sinaloa
BAJA CALIFORNIA SUR,EL QUEEN,El Queen
BAJA CALIFORNIA,SAL SI PUEDES,Sal Si Puedes
BAJA CALIFORNIA,BAHIA DE LOS ANGELES,Bahia De Los Angeles
BAJA CALIFORNIA SUR,BAJO DEL TETIS,Bajo Del Tetis
SINALOA,CARACOL,Caracol
SINALOA,LITORAL DEL OCEANO PACIFICO DEL ESTADO DE SINALOA,Litoral Del Oceano Pacifico Del Estado De Sinaloa
BAJA CALIFORNIA SUR,CABO SAN LAZARO,Cabo San Lazaro
BAJA CALIFORNIA SUR,BAJO DEL 23,Bajo Del 23
SINALOA,PACIFICO,Pacifico
BAJA CALIFORNIA SUR,BAHIA CONCEPCION,Bahia Concepcion
BAJA CALIFORNIA,BAJO EL  6,Bajo El 6
BAJA CALIFORNIA SUR,ISLA CERRALVO,Isla Cerralvo
BAJA CALIFORNIA SUR,ISLA SAN JOSE,Isla San Jose
BAJA CALIFORNIA SUR,BAHIA DE LA PAZ,Bahia De La Paz
BAJA CALIFORNIA SUR,BAJO MORGAN,Bajo Morgan
BAJA CALIFORNIA SUR,ISLA MARGARITA,Isla Margarita
