state,fishing_site_name,fishing_site_clean
SINALOA,BAJO BALLENAS,Bajo Ballenas
BAJA CALIFORNIA,LA PUNTONA,La Puntona
BAJA CALIFORNIA,EL CAMPITO,El Campito
BAJA CALIFORNIA,VARADERO DEL CARDON,Varadero Del Cardon
BAJA CALIFORNIA SUR,EL PORTUGUEZ,El Portuguez
BAJA CALIFORNIA,REMEDIOS,Remedios
SINALOA,BARRA DE TEACAPAN,Barra De Teacapan
SINALOA,LA ANEGADA,La Anegada
BAJA CALIFORNIA,LA COLORADA (I CEDROS),La Colorada (I Cedros)
BAJA CALIFORNIA SUR,VUELTA DEL CERRO,Vuelta Del Cerro
SINALOA,EL FARO,El Faro
SINALOA,PIEDRA BLANCA,Piedra Blanca
BAJA CALIFORNIA,PUNTA CUCHILLA,Punta Cuchilla
BAJA CALIFORNIA SUR,BAHIA SANTA MARIA,Bahia Santa Maria
BAJA CALIFORNIA SUR,BAHIA LA ASUNCION,Bahia La Asuncion
BAJA CALIFORNIA,RIO HARDY,Rio Hardy
BAJA CALIFORNIA SUR,EL BAJITO,El Bajito
BAJA CALIFORNIA SUR,LA CORDILLERA,La Cordillera
BAJA CALIFORNIA SUR,PACIFICO,Pacifico
BAJA CALIFORNIA SUR,PUNTA CHIVATO,Punta Chivato
BAJA CALIFORNIA,SAN CARLOS,San Carlos
BAJA CALIFORNIA,PUNTA BANDERA,Punta Bandera
BAJA CALIFORNIA SUR,RECHINADORA,Rechinadora
BAJA CALIFORNIA SUR,BAHIA SAN PABLO,Bahia San Pablo
BAJA CALIFORNIA SUR,LOS MEDANITOS,Los Medanitos
SINALOA,LA PITAYA,La Pitaya
SONORA,ESTERO ALMEJA,Estero Almeja
BAJA CALIFORNIA SUR,PUNTA CABEZA MECHUDA,Punta Cabeza Mechuda
SONORA,BAHIA DE LOBOS AL COLORADO,Bahia De Lobos Al Colorado
BAJA CALIFORNIA SUR,ISLA TORTUGA,Isla Tortuga
SONORA,LITORAL DE LA BAJA CALIFORNIA,Litoral De La Baja California
BAJA CALIFORNIA SUR,BOCA LAS ANIMAS,Boca Las Animas
BAJA CALIFORNIA SUR,PUNTA TRINIDAD,Punta Trinidad
BAJA CALIFORNIA SUR,SAN  CRISTOBAL,San Cristobal
BAJA CALIFORNIA,EL CUCHILLO,El Cuchillo
BAJA CALIFORNIA,PUERTO CUCHILLO,Puerto Cuchillo
BAJA CALIFORNIA,ISLA ARENA,Isla Arena
BAJA CALIFORNIA SUR,CAMPO CHESTER,Campo Chester
BAJA CALIFORNIA,VILLA DE JESUS MARIA,Villa De Jesus Maria
BAJA CALIFORNIA,EL PESCADOR,El Pescador
BAJA CALIFORNIA SUR,BAJO FRENTE MOBIDIK TERMOELECTRICA I,Bajo Frente Mobidik Termoelectrica I
BAJA CALIFORNIA SUR,ARROYO DE GUADALUPE,Arroyo De Guadalupe
BAJA CALIFORNIA,CAÑADA LAS MUEJRES,CaãAda Las Muejres
BAJA CALIFORNIA,CAÑADA LAS MUJERES,CaãAda Las Mujeres
BAJA CALIFORNIA,LAS MUJERES,Las Mujeres
BAJA CALIFORNIA,MANEADERO/ LA JOYA,Maneadero/ La Joya
BAJA CALIFORNIA,EL FARO,El Faro
BAJA CALIFORNIA SUR,Islote-La Punta,Islote-La Punta
BAJA CALIFORNIA SUR,PUNTA ABAJO-BALIZA,Punta Abajo-Baliza
SONORA,BAHIA ADAIR,Bahia Adair
BAJA CALIFORNIA SUR,PUNTA GASPAREÑO,Punta GaspareãO
BAJA CALIFORNIA,ROSARITO,Rosarito
SINALOA,LAS LAJITAS,Las Lajitas
BAJA CALIFORNIA SUR,VIGIA-LA PLANTA,Vigia-La Planta
BAJA CALIFORNIA SUR,PUNTA QUEBRADA (CAMPO PESQUERO),Punta Quebrada (Campo Pesquero)
BAJA CALIFORNIA SUR,LAS BARRANCAS,Las Barrancas
SINALOA,GRULLA MARGEN DERECHA,Grulla Margen Derecha
BAJA CALIFORNIA,PUNTA MARIA,Punta Maria
BAJA CALIFORNIA,NORTE DE CONSAGA,Norte De Consaga
BAJA CALIFORNIA SUR,PUNTA SAN ROQUE,Punta San Roque
BAJA CALIFORNIA SUR,LOS ANEGADOS,Los Anegados
BAJA CALIFORNIA,LA CALAVERA,La Calavera
BAJA CALIFORNIA SUR,LA PINTA,La Pinta
BAJA CALIFORNIA SUR,PUERTO SAN CARLOS (BCS),Puerto San Carlos (Bcs)
SINALOA,LOS DE A CABALLO,Los De A Caballo
BAJA CALIFORNIA SUR,BUENA VISTA (GOLFO),Buena Vista (Golfo)
SONORA,LOBOS GUASIMAS,Lobos Guasimas
SINALOA,YAMETO,Yameto
SINALOA,LA COSPITA,La Cospita
BAJA CALIFORNIA,BAHIA FALSA,Bahia Falsa
BAJA CALIFORNIA,PUNTA DEL DIABLO (VARADERO),Punta Del Diablo (Varadero)
SINALOA,BAHIA DE MACAPULE,Bahia De Macapule
SINALOA,COSPITA,Cospita
BAJA CALIFORNIA SUR,PIEDRA BRECHA,Piedra Brecha
SINALOA,DREN CINCO,Dren Cinco
BAJA CALIFORNIA,ISLA SAN PEDRO MARTIR,Isla San Pedro Martir
BAJA CALIFORNIA,BAJO 15 BRAZAS,Bajo 15 Brazas
SINALOA,LITORAL DE NAVOLATO,Litoral De Navolato
BAJA CALIFORNIA,PESCADERO,Pescadero
BAJA CALIFORNIA,PLAYA SANTA MARIA,Playa Santa Maria
SINALOA,BAHIA DE CEUTA,Bahia De Ceuta
BAJA CALIFORNIA,RINCON P BANDA,Rincon P Banda
SINALOA,CELESTINO,Celestino
SINALOA,LAS LABRADAS,Las Labradas
BAJA CALIFORNIA,CALAFIA,Calafia
BAJA CALIFORNIA,ISLA ANGEL DE LA GUARDA,Isla Angel De La Guarda
BAJA CALIFORNIA,PUNTA EL PESCADOR,Punta El Pescador
SONORA,BOCA DEL RIO MAYO,Boca Del Rio Mayo
BAJA CALIFORNIA,VARDERO LOS HOJITOS,Vardero Los Hojitos
SONORA,LAS BOCAS,Las Bocas
BAJA CALIFORNIA,LAGUNA MANUELA O EJIDO VILLA DE JESUS MARIA,Laguna Manuela O Ejido Villa De Jesus Maria
SONORA,SANTA LUGARDA,Santa Lugarda
BAJA CALIFORNIA,PUNTA CANOAS,Punta Canoas
SONORA,SANTA BARBARA,Santa Barbara
BAJA CALIFORNIA,PUNTA NORTE (I CEDROS),Punta Norte (I Cedros)
BAJA CALIFORNIA SUR,LA POZA,La Poza
SONORA,BAHIA DE LOBOS,Bahia De Lobos
SONORA,LOBOS DE GUAYMAS,Lobos De Guaymas
SONORA,BAHIA LOBOS - GUAYMAS,Bahia Lobos - Guaymas
SONORA,HUATABAMPITO,Huatabampito
BAJA CALIFORNIA,ISLA TIBURON,Isla Tiburon
SINALOA,LAGUNA CHIRICAHUETO,Laguna Chiricahueto
BAJA CALIFORNIA SUR,PUNTA LOBOS (CERCA DE TODOS SANTOS),Punta Lobos (Cerca De Todos Santos)
BAJA CALIFORNIA SUR,PUNTA EL AGUILILLA,Punta El Aguililla
SONORA,AQUIROPO,Aquiropo
BAJA CALIFORNIA SUR,PUNTA COYOTE II (CERCA DE PUERTO MEJIA),Punta Coyote Ii (Cerca De Puerto Mejia)
SONORA,EL RIITO,El Riito
SINALOA,CERRO CABEZON,Cerro Cabezon
BAJA CALIFORNIA,PUNTA BLANCA,Punta Blanca
SONORA,DESEMBOQUE AL JAGUEY,Desemboque Al Jaguey
SONORA,CANAL DEL INFIERNILLO,Canal Del Infiernillo
BAJA CALIFORNIA,BAJOS DE PUNTA BAJA,Bajos De Punta Baja
BAJA CALIFORNIA,EL ESTATON,El Estaton
BAJA CALIFORNIA SUR,ESTERO EL COYOTE,Estero El Coyote
SINALOA,GUSTAVO DIAZ ORDAZ (PRESA BACURA),Gustavo Diaz Ordaz (Presa Bacura)
SONORA,EL SIARIC,El Siaric
BAJA CALIFORNIA SUR,ESTERO SALINAS,Estero Salinas
SONORA,ISLA SAN ESTEBAN,Isla San Esteban
BAJA CALIFORNIA SUR,SAN SEBASTIAN,San Sebastian
BAJA CALIFORNIA SUR,RINCON,Rincon
SONORA,CERRO LAS CALAVERAS,Cerro Las Calaveras
SINALOA,LITORAL DEL PACIFICO,Litoral Del Pacifico
BAJA CALIFORNIA,LA SALINA,La Salina
BAJA CALIFORNIA SUR,PUNTA ALTA,Punta Alta
BAJA CALIFORNIA,CAMPO DE ENMEDIO (VARADERO),Campo De Enmedio (Varadero)
BAJA CALIFORNIA SUR,ESTERO MULEGE,Estero Mulege
BAJA CALIFORNIA SUR,BAHIA SAN NICOLAS,Bahia San Nicolas
BAJA CALIFORNIA SUR,SANTA MARIA,Santa Maria
BAJA CALIFORNIA SUR,BOCA DEL PABELLON,Boca Del Pabellon
SONORA,ZONA DE AMORTIGUAMIENTO,Zona De Amortiguamiento
JALISCO,BAHIA CABO CORRIENTES,Bahia Cabo Corrientes
JALISCO,BAHIA DE CHIMO,Bahia De Chimo
JALISCO,ESTERO AGUA DULCE,Estero Agua Dulce
JALISCO,ESTERO MAJAHUAS,Estero Majahuas
SINALOA,BAHIA DE AGIABAMPO,Bahia De Agiabampo
SINALOA,EL CAIMANERO,El Caimanero
SINALOA,MAZATLAN,Mazatlan
SINALOA,ESTERO DE URIAS,Estero De Urias
SINALOA,EJIDOS DE BARRON,Ejidos De Barron
SINALOA,COSTAS DE SINALOA,Costas De Sinaloa
SINALOA,EXPLANADA DEL FARO,Explanada Del Faro
SINALOA,EL VERDE,El Verde
SINALOA,PUNTA SAN MIGUEL,Punta San Miguel
BAJA CALIFORNIA SUR,ESTERO SAN JOSE BCN,Estero San Jose Bcn
SINALOA,EL TAPAHUITO,El Tapahuito
SINALOA,EL VERDE CAMACHO,El Verde Camacho
SINALOA,BAHIA SAN ESTEBAN,Bahia San Esteban
SONORA,BAHIA AGIABAMPO,Bahia Agiabampo
SINALOA,PUERTO DE ALTATA (CULT),Puerto De Altata (Cult)
SONORA,SAN JOSE A GUAYMAS,San Jose A Guaymas
SONORA,BAHIA BACHOCO,Bahia Bachoco
SONORA,FRENTE A BAHIA LA CHOYA,Frente A Bahia La Choya
SINALOA,SISTEMA LAGUNAR TOPOLOBAMPO,Sistema Lagunar Topolobampo
SINALOA,EL VEINTITRES,El Veintitres
SINALOA,FRENTE A CHAMETLA,Frente A Chametla
SINALOA,PRESA PICACHOS,Presa Picachos
SINALOA,EL VEINTICUATRO,El Veinticuatro
SINALOA,LA LEONA,La Leona
SINALOA,ACUACULTURA EN AVANCE (CULT),Acuacultura En Avance (Cult)
SINALOA,BARRAS DE PIAXTLA,Barras De Piaxtla
SINALOA,BAHIA DE LECHUGUILLA,Bahia De Lechuguilla
SINALOA,ISLA LA PALMA,Isla La Palma
SINALOA,DIMAS,Dimas
SINALOA,EL VEINTINUEVE,El Veintinueve
SINALOA,PRESA JOSEFA ORTIZ DE DOMINGUEZ,Presa Josefa Ortiz De Dominguez
SINALOA,AHOME ACUICOLA (CULT),Ahome Acuicola (Cult)
SINALOA,EL PATOLE,El Patole
SINALOA,PLAYA NORTE,Playa Norte
SINALOA,EL POZOLE,El Pozole
SINALOA,ISLA VENADOS,Isla Venados
SINALOA,FRENTE A LA TERMOELECTRICA,Frente A La Termoelectrica
SINALOA,BOCA DE LUGO,Boca De Lugo
SONORA,PAREDONCITO,Paredoncito
SINALOA,PREDIO BACHOMOBAMPO NO UNO,Predio Bachomobampo No Uno
SINALOA,CHIVOS,Chivos
SINALOA,AGUAS CONTINENTALES (RIO SAN LORENZO),Aguas Continentales (Rio San Lorenzo)
SINALOA,LAS ESCOPAMAS,Las Escopamas
BAJA CALIFORNIA SUR,ESTERO LAGUNA MANUELA BCN,Estero Laguna Manuela Bcn
SINALOA,BAHIA DE TOPOLOBAMPO,Bahia De Topolobampo
JALISCO,LAGUNA Y BAHIA BARRA DE NAVIDAD,Laguna Y Bahia Barra De Navidad
SINALOA,EL TETUAN,El Tetuan
SONORA,CAMAHUIROA,Camahuiroa
BAJA CALIFORNIA SUR,MOCHAMO (ISLA MAGDALENA),Mochamo (Isla Magdalena)
BAJA CALIFORNIA SUR,REMATE SAN BUTO,Remate San Buto
SINALOA,LOS PUENTES,Los Puentes
BAJA CALIFORNIA SUR,ENSENADA DE LA PAZ,Ensenada De La Paz
SINALOA,EL APARECIDO (CULT),El Aparecido (Cult)
SINALOA,PIEDRAS NEGRAS,Piedras Negras
SINALOA,EL CAREY,El Carey
JALISCO,RIO PURIFICACI?N,Rio Purificaci?N
BAJA CALIFORNIA,ESTERO SAN JOSE,Estero San Jose
SONORA,PAREDON COLORADO,Paredon Colorado
SINALOA,RIO SAN LORENZO,Rio San Lorenzo
BAJA CALIFORNIA SUR,LOPEZ MATEOS,Lopez Mateos
SONORA,ESTERO SAN JOSE,Estero San Jose
SINALOA,DISTRITO DE RIEGO VALLE DEL RIO FUERTE,Distrito De Riego Valle Del Rio Fuerte
BAJA CALIFORNIA SUR,LAS PALMAS,Las Palmas
SONORA,BAHIA DEL TOBARI,Bahia Del Tobari
JALISCO,ESTERO EL CHORRO,Estero El Chorro
BAJA CALIFORNIA SUR,EL MOCHOMO,El Mochomo
SINALOA,CANAL DE RIEGO DEL VALLE DEL  CARRIZAL,Canal De Riego Del Valle Del Carrizal
SINALOA,PAREDONES,Paredones
SONORA,BAHIA GUAYMAS,Bahia Guaymas
SONORA,LOS MELAGOS A SIARIC,Los Melagos A Siaric
BAJA CALIFORNIA SUR,ISLA SANTA INES,Isla Santa Ines
SINALOA,CAMPO EL HECHO,Campo El Hecho
BAJA CALIFORNIA SUR,ARROYO DE LA POZA,Arroyo De La Poza
SINALOA,ESTERO SANTA MARIA,Estero Santa Maria
SONORA,LAS PLAYITAS,Las Playitas
SINALOA,INSTALACIONES DE LA GRANJA (CULT),Instalaciones De La Granja (Cult)
SINALOA,GRULLA MARGEN IZQUIERDA,Grulla Margen Izquierda
SONORA,LOBOS A GUAYMAS,Lobos A Guaymas
SINALOA,DIQUE NO 3,Dique No 3
SINALOA,ALTATA,Altata
SONORA,BAHIA TOBARI,Bahia Tobari
SINALOA,LAGUNA DEL CARRIZO (CULT),Laguna Del Carrizo (Cult)
SINALOA,LA ROBALERA,La Robalera
BAJA CALIFORNIA SUR,BAJO EL MUERTO,Bajo El Muerto
SINALOA,EL OLEAJE,El Oleaje
JALISCO,BAHIA DE TOMATLAN,Bahia De Tomatlan
BAJA CALIFORNIA SUR,ESTERO BUENAVISTA,Estero Buenavista
BAJA CALIFORNIA SUR,ESTERO LAS VACAS,Estero Las Vacas
BAJA CALIFORNIA SUR,LA FLORIDA,La Florida
BAJA CALIFORNIA SUR,ESTERO PAILABOTE,Estero Pailabote
BAJA CALIFORNIA SUR,ESTERO SAN VICENTE,Estero San Vicente
BAJA CALIFORNIA SUR,ESTERO LOS PRADOS,Estero Los Prados
BAJA CALIFORNIA SUR,EL PAILABOTE,El Pailabote
BAJA CALIFORNIA SUR,ESTERO LA HERRADURA,Estero La Herradura
BAJA CALIFORNIA SUR,SANTA ROSA,Santa Rosa
BAJA CALIFORNIA SUR,ESTERO SAN JORGE,Estero San Jorge
BAJA CALIFORNIA SUR,LA CURVA DEL DIABLO,La Curva Del Diablo
BAJA CALIFORNIA SUR,LOS PRADOS,Los Prados
BAJA CALIFORNIA SUR,ESTERO SANTA ELENITA,Estero Santa Elenita
SINALOA,AGUAS DEL RIO CULIACAN,Aguas Del Rio Culiacan
BAJA CALIFORNIA SUR,LOS BARRILES EN SAN CARLOS,Los Barriles En San Carlos
SINALOA,LAGUNA DE CAIMANERO,Laguna De Caimanero
SINALOA,EL MANGLITO,El Manglito
SINALOA,LOS SABALOS,Los Sabalos
BAJA CALIFORNIA SUR,PRESA ALBERTO ANDRES ALVARADO ARAMBURO (PRESA LA HIGUERILLA),Presa Alberto Andres Alvarado Aramburo (Presa La Higuerilla)
SINALOA,SITIO AGUA DULCE,Sitio Agua Dulce
BAJA CALIFORNIA SUR,ESTERO DE SANTO DOMINGO,Estero De Santo Domingo
JALISCO,PRESA LA POLVORA,Presa La Polvora
BAJA CALIFORNIA SUR,SANTA ELENITA,Santa Elenita
SINALOA,AGUAS CONTINENTALES DEL ESTADO DE SINALOA,Aguas Continentales Del Estado De Sinaloa
BAJA CALIFORNIA SUR,ESTERO SAN CARLOS,Estero San Carlos
BAJA CALIFORNIA SUR,BAHIA SAN CARLOS,Bahia San Carlos
SINALOA,MARISMA LAS CABRAS,Marisma Las Cabras
SINALOA,LAGUNA DEL HUIZACHE,Laguna Del Huizache
SINALOA,EL HUIZACHE,El Huizache
SINALOA,EL POZO DE LA HACIENDA,El Pozo De La Hacienda
BAJA CALIFORNIA SUR,FRENTE A LA CURVA,Frente A La Curva
BAJA CALIFORNIA SUR,ESTERO EL CURRY,Estero El Curry
SINALOA,LAGUNA AGUA,Laguna Agua
BAJA CALIFORNIA SUR,ESTERO EL SOLDADO,Estero El Soldado
SINALOA,BOCANITA,Bocanita
BAJA CALIFORNIA SUR,ESTERO SAN RAFAEL,Estero San Rafael
SINALOA,EL PUYEQUE,El Puyeque
SINALOA,LA TINAJA,La Tinaja
BAJA CALIFORNIA SUR,LAS BOTELLAS (CAMPO PESQUERO),Las Botellas (Campo Pesquero)
BAJA CALIFORNIA,COSTAS FRENTE A SAN FELIPE,Costas Frente A San Felipe
BAJA CALIFORNIA SUR,BAHIA SAN FRANCISQUITO,Bahia San Francisquito
BAJA CALIFORNIA SUR,ISLA SAN FRANCISCO,Isla San Francisco
BAJA CALIFORNIA SUR,ENSENADA LAGUNA LODA,Ensenada Laguna Loda
BAJA CALIFORNIA SUR,PUNTA SAN EVARISTO,Punta San Evaristo
BAJA CALIFORNIA,TIJUANA,Tijuana
SINALOA,ACUAVISION (CULT),Acuavision (Cult)
BAJA CALIFORNIA SUR,BUENA VISTA,Buena Vista
BAJA CALIFORNIA SUR,ARROYO DE LOS INDIOS,Arroyo De Los Indios
BAJA CALIFORNIA,SAN RAMON,San Ramon
BAJA CALIFORNIA SUR,ISLA LA PITAHAYA,Isla La Pitahaya
BAJA CALIFORNIA SUR,AGUAS LITORALES (SANTA ROSALIA),Aguas Litorales (Santa Rosalia)
BAJA CALIFORNIA,EL MORRO,El Morro
BAJA CALIFORNIA SUR,BOCA DE VENANCIO,Boca De Venancio
BAJA CALIFORNIA SUR,PUERTO ALMEJA,Puerto Almeja
SONORA,ESTACION DON,Estacion Don
BAJA CALIFORNIA SUR,EL EQUIPALITO,El Equipalito
BAJA CALIFORNIA SUR,BAHIA SANTA INES,Bahia Santa Ines
SONORA,EL MOGOTE,El Mogote
BAJA CALIFORNIA,BAHIA DE CALAMAJUE,Bahia De Calamajue
SONORA,PACIFICO,Pacifico
BAJA CALIFORNIA SUR,LOS HORNITOS,Los Hornitos
BAJA CALIFORNIA,MEXICALI,Mexicali
BAJA CALIFORNIA SUR,EL TECOLOTE,El Tecolote
BAJA CALIFORNIA SUR,CANAL CERRALVO,Canal Cerralvo
SONORA,EL TECOMATE,El Tecomate
BAJA CALIFORNIA,LAGUNA SALADA,Laguna Salada
SONORA,EL CANALON,El Canalon
SONORA,LA BANDERA,La Bandera
SONORA,LITORAL DEL ESTADO,Litoral Del Estado
BAJA CALIFORNIA SUR,ISLA CATALANA,Isla Catalana
BAJA CALIFORNIA SUR,LOMA AMARILLA,Loma Amarilla
JALISCO,PUNTA PEóITAS,Punta Peã³Itas
BAJA CALIFORNIA SUR,LA LOBERA (ABREOJOS),La Lobera (Abreojos)
BAJA CALIFORNIA SUR,SAN ROQUE,San Roque
SINALOA,PRESA VINORAMA,Presa Vinorama
SONORA,EL COCHORIT,El Cochorit
JALISCO,LAGUNA GOMEZ FARIAS,Laguna Gomez Farias
BAJA CALIFORNIA SUR,VUELTA DEL CERRO SAN ROQUE,Vuelta Del Cerro San Roque
BAJA CALIFORNIA,PUERTO NUEVO,Puerto Nuevo
BAJA CALIFORNIA,EL PLAYON DE SAN RAMON,El Playon De San Ramon
SINALOA,SITIO LA DRAGA,Sitio La Draga
BAJA CALIFORNIA,RANCHO VIEJO (VARADERO),Rancho Viejo (Varadero)
SONORA,CHOYUDO,Choyudo
BAJA CALIFORNIA SUR,BOCANA PABELLON,Bocana Pabellon
BAJA CALIFORNIA SUR,EL CARDONAL (EN LA PAZ),El Cardonal (En La Paz)
BAJA CALIFORNIA SUR,SAN JUANICO,San Juanico
BAJA CALIFORNIA SUR,ENSENADA DE MUERTOS,Ensenada De Muertos
BAJA CALIFORNIA SUR,BAHIA ASUNCION (BCS),Bahia Asuncion (Bcs)
BAJA CALIFORNIA,MORROS COLORADOS,Morros Colorados
BAJA CALIFORNIA SUR,ISLA DEL CARMEN,Isla Del Carmen
BAJA CALIFORNIA,PLAYA SAN QUINTIN,Playa San Quintin
SONORA,EL SARGENTO,El Sargento
SONORA,GUAYMAS A LOS MELAGOS,Guaymas A Los Melagos
BAJA CALIFORNIA SUR,EL DATIL (COMPLEJO LAGUNAR ),El Datil (Complejo Lagunar )
BAJA CALIFORNIA SUR,ISLA SANTA CRUZ,Isla Santa Cruz
JALISCO,PRESA VICENTE VILLASEóOR,Presa Vicente Villaseã³Or
BAJA CALIFORNIA SUR,SAN MARCOS (EN ISLA SAN MARCOS),San Marcos (En Isla San Marcos)
BAJA CALIFORNIA,PIEDRA DE ORO,Piedra De Oro
BAJA CALIFORNIA,LA CARDONOSA,La Cardonosa
BAJA CALIFORNIA SUR,BAHIA TORTUGAS (BCS),Bahia Tortugas (Bcs)
BAJA CALIFORNIA SUR,BAHIA COMONDU,Bahia Comondu
BAJA CALIFORNIA SUR,BAHIA SAN JOSE DEL CABO,Bahia San Jose Del Cabo
BAJA CALIFORNIA,LOS MORROS COLORADOS,Los Morros Colorados
BAJA CALIFORNIA,MANCHURIA,Manchuria
BAJA CALIFORNIA SUR,ESTERO EL DATIL (BCS),Estero El Datil (Bcs)
BAJA CALIFORNIA SUR,EL HORCONCITO,El Horconcito
BAJA CALIFORNIA SUR,PUNTA BOCA DE SAN BRUNO,Punta Boca De San Bruno
BAJA CALIFORNIA SUR,PICHILINGUE,Pichilingue
BAJA CALIFORNIA SUR,LITORAL GOLFO DE CALIFORNIA,Litoral Golfo De California
BAJA CALIFORNIA SUR,AGUAS LITORALES (LORETO),Aguas Litorales (Loreto)
JALISCO,RIO MASCOTA,Rio Mascota
BAJA CALIFORNIA SUR,CABO VIRGENES,Cabo Virgenes
BAJA CALIFORNIA,BAJO SUR,Bajo Sur
BAJA CALIFORNIA SUR,ARROYO GUADALUPE,Arroyo Guadalupe
BAJA CALIFORNIA,BAJO MACHO,Bajo Macho
BAJA CALIFORNIA SUR,SAN JUANICO I (GOLFO DE CALIFORNIA),San Juanico I (Golfo De California)
BAJA CALIFORNIA SUR,LA VIRGENCITA,La Virgencita
BAJA CALIFORNIA SUR,Bajos San Roque,Bajos San Roque
BAJA CALIFORNIA SUR,PUNTA MALCOMB,Punta Malcomb
BAJA CALIFORNIA,SAN ANTONIO DEL MAR,San Antonio Del Mar
BAJA CALIFORNIA,ARROYO (EN I DE CEDROS),Arroyo (En I De Cedros)
BAJA CALIFORNIA SUR,LA LOCA,La Loca
BAJA CALIFORNIA,PUNTA MEZQUITE,Punta Mezquite
BAJA CALIFORNIA SUR,BAHIA SAN ROQUE,Bahia San Roque
BAJA CALIFORNIA SUR,SAN BRUNO (EN LORETO),San Bruno (En Loreto)
BAJA CALIFORNIA,PUERTO LOS CHOROS,Puerto Los Choros
BAJA CALIFORNIA,FRENTE A SOLEDAD,Frente A Soledad
BAJA CALIFORNIA SUR,PUNTA CANDELEROS,Punta Candeleros
BAJA CALIFORNIA,EL WAYLE (I CEDROS),El Wayle (I Cedros)
BAJA CALIFORNIA,ISLA SAN BENITO,Isla San Benito
BAJA CALIFORNIA SUR,BAHIA SALINAS (EN ISLA DEL CARMEN),Bahia Salinas (En Isla Del Carmen)
BAJA CALIFORNIA SUR,LAS SALINAS,Las Salinas
SONORA,LA MANGA - LOS MEDANOS,La Manga - Los Medanos
BAJA CALIFORNIA SUR,EL MANGLE,El Mangle
BAJA CALIFORNIA SUR,PUNTA SAN GREGORIO,Punta San Gregorio
BAJA CALIFORNIA SUR,PUERTO CANCUN (O PUERTO ROOS),Puerto Cancun (O Puerto Roos)
BAJA CALIFORNIA SUR,ISLA LA PARTIDA,Isla La Partida
BAJA CALIFORNIA SUR,PUNTA MERCENARIOS,Punta Mercenarios
BAJA CALIFORNIA SUR,LA MOJONERA,La Mojonera
BAJA CALIFORNIA,SAN MIGUEL (B DE LOS ANGELES),San Miguel (B De Los Angeles)
BAJA CALIFORNIA SUR,PUNTA ASUNCION,Punta Asuncion
BAJA CALIFORNIA SUR,BAHIA DE LOS ANGELES BCN,Bahia De Los Angeles Bcn
BAJA CALIFORNIA SUR,BAHIA FLOR DE MALVA,Bahia Flor De Malva
BAJA CALIFORNIA SUR,BAHIA SAN SEBASTIAN,Bahia San Sebastian
BAJA CALIFORNIA SUR,PUNTA ABREOJOS (BCS),Punta Abreojos (Bcs)
BAJA CALIFORNIA,AGUA CHALE,Agua Chale
BAJA CALIFORNIA,AL SUR PUNTA ESTRELLA,Al Sur Punta Estrella
SONORA,PRESA PLUTARCO ELIAS CALLES,Presa Plutarco Elias Calles
BAJA CALIFORNIA SUR,EL DATIL (EN LA PAZ),El Datil (En La Paz)
BAJA CALIFORNIA SUR,PUNTA GORDA (EN LOS CABOS),Punta Gorda (En Los Cabos)
BAJA CALIFORNIA SUR,BOCA DEL CARRIZAL,Boca Del Carrizal
BAJA CALIFORNIA,CABO SAN AGUSTIN (I CEDROS),Cabo San Agustin (I Cedros)
BAJA CALIFORNIA,ISLA MIRAMAR,Isla Miramar
BAJA CALIFORNIA,GOLFO DE MEXICO,Golfo De Mexico
BAJA CALIFORNIA SUR,PUNTA GATO,Punta Gato
BAJA CALIFORNIA SUR,MEDANO AMARILLO,Medano Amarillo
BAJA CALIFORNIA SUR,ROCA LOBOS,Roca Lobos
BAJA CALIFORNIA SUR,CONQUISTA AGRARIA,Conquista Agraria
SINALOA,RIO TAMAZULA,Rio Tamazula
BAJA CALIFORNIA SUR,LAGUNA SAN IGNACIO,Laguna San Ignacio
BAJA CALIFORNIA,BAJO LA RECALA,Bajo La Recala
SINALOA,PRESA EUSTAQUIO BUELNA,Presa Eustaquio Buelna
BAJA CALIFORNIA,ISLA CEDROS,Isla Cedros
BAJA CALIFORNIA,CAMPO COLORADA,Campo Colorada
SINALOA,AGUAS DEL RIO HUMAYA,Aguas Del Rio Humaya
BAJA CALIFORNIA,ARROYO ANCHO,Arroyo Ancho
BAJA CALIFORNIA,EL BAJITO,El Bajito
BAJA CALIFORNIA,SANTA ROSALIA,Santa Rosalia
BAJA CALIFORNIA SUR,PUNTA BLANCA,Punta Blanca
SINALOA,BACOREHUIS,Bacorehuis
SINALOA,SAN BUENAVENTURA,San Buenaventura
SONORA,PRESA A OBREGON,Presa A Obregon
SINALOA,LOMAS DE MONTERREY,Lomas De Monterrey
SINALOA,BARCOHUIS,Barcohuis
SINALOA,AGIABAMPO,Agiabampo
SINALOA,BAHIA DE JITZAMURI,Bahia De Jitzamuri
SONORA,SIARIC A LA ATANASIA,Siaric A La Atanasia
SONORA,BAHIA LA CHOYA A SAN JORGE,Bahia La Choya A San Jorge
SONORA,EL VERTEDOR,El Vertedor
SONORA,FRENTE A PUERTO PEóASCO,Frente A Puerto Peã³Asco
JALISCO,BAHIA LA MANZANILLA,Bahia La Manzanilla
BAJA CALIFORNIA SUR,BAHIA LOS MUERTOS,Bahia Los Muertos
BAJA CALIFORNIA SUR,FRENTE A LA BOCANA (BAHIA MAGDALENA),Frente A La Bocana (Bahia Magdalena)
