state,landing_site_catch,landing_site_primary,lat,long,GulfCal
BAJA CALIFORNIA,PUNTA REFUGIO (I. ANGEL DE LA GUARDA),PUNTA REFUGIO (I. ANGEL DE LA GUARDA),29.2898,-113.3649,yes
BAJA CALIFORNIA,RIO HARDY,HARDY RÍO,31.979,-115.119,yes
BAJA CALIFORNIA,MERCADO DE MARISCOS,MERCADO DE MARISCOS,31.853,-116.6245,no
BAJA CALIFORNIA,LA CHORERA,CHORERA LA,30.4537,-116.0192,no
BAJA CALIFORNIA,RINCON PUNTA BANDA,EL RINCON DE PUNTA BANDA,31.7239,-116.6781,no
BAJA CALIFORNIA,EL MOLINO VIEJO,VIEJO MOLINO,30.48,-115.98,no
BAJA CALIFORNIA,BAHIA FALSA,FALSA BAHÍA,30.4504,-116.0001,no
BAJA CALIFORNIA,EL MIRADOR,EL MIRADOR,31.941,-116.75,no
BAJA CALIFORNIA,PUERTO SANTA CATARINA,SANTA CATARINA PUERTO,30.584,-114.6676,yes
BAJA CALIFORNIA,PTO ADOLFO LOPEZ MATEOS,PTO ADOLFO LOPEZ MATEOS,25.1945,-112.1105,no
BAJA CALIFORNIA,CAMPO DON ABEL,DON ABEL CAMPO,31.1736,-114.8846,yes
BAJA CALIFORNIA,PUNTA SAN ANTONIO,SAN ANTONIO PUNTA,29.7502,-115.6841,no
BAJA CALIFORNIA,CAMPO VIEJO,VIEJO CAMPO,30.131,-115.7857,no
BAJA CALIFORNIA,MUELLE PESCA DEPORTIVA,PESCA DEPORTIVA MUELLE,31.8573,-116.6271,no
BAJA CALIFORNIA,PUNTA FINAL,FINAL PUNTA,29.772,-114.2711,yes
BAJA CALIFORNIA,SANTO DOMINGO,SANTO DOMINGO (VARADERO),28.257,-114.09,no
BAJA CALIFORNIA,CAMPO ARROYITO (EN I. GUADALUPE),CAMPO ARROYITO (EN I. GUADALUPE),29.0556,-118.377,no
BAJA CALIFORNIA,MUELLE MOLINO VIEJO,MOLINO VIEJO MUELLE,30.48,-115.98,no
BAJA CALIFORNIA,CAMPO TEPEYAC O CAMPO OESTE (I. GUADALUPE),CAMPO TEPEYAC O CAMPO OESTE (I. GUADALUPE),29.0556,-118.377,no
BAJA CALIFORNIA,MEXICALI,MEXICALI,32.6508,-115.4667,yes
BAJA CALIFORNIA,ISLA DE CEDROS,CEDROS ISLA,28.189,-115.216,no
BAJA CALIFORNIA,MUELLE MAR NEGRO,MUELLE MAR NEGRO,31.85919,-116.62461,no
BAJA CALIFORNIA,EL PEDREGAL,PEDREGAL EL,30.4446,-115.9618,no
BAJA CALIFORNIA,PUNTA SAN QUINTIN,PUNTA SAN QUINTIN,30.467,-115.9719,no
BAJA CALIFORNIA,PUNTA ARENA,ARENA PUNTA,29.3849,-113.96675,yes
BAJA CALIFORNIA,MUELLE DE SAN FELIPE,SAN FELIPE,31.0173,-114.8335,yes
BAJA CALIFORNIA,R. PORTUARIO PCO,R. PORTUARIO PCO,31.85,-116.633,no
BAJA CALIFORNIA,ESTERO SAN JOSE B.C.N.,ESTERO SAN JOSE B.C.N.,23.05,-109.68306,yes
BAJA CALIFORNIA,SAN ISIDRO,SAN ISIDRO PUNTA,31.2906,-116.4121,no
BAJA CALIFORNIA,PUNTA CANOAS,CANOAS PUNTA,29.4172,-115.1836,no
BAJA CALIFORNIA,ESTERO SAN JOSE,SAN JOSE ESTERO Y PUERTO SAN JOSE,29.2844,-114.8703,no
BAJA CALIFORNIA,BAHIA DE LOS ANGELES B.C.N.,BAHIA DE LOS ANGELES B.C.N.,28.95192,-113.56243,yes
BAJA CALIFORNIA,FARO DE SAN JOSE,FARO DE SAN JOSE,23.065,-109.665,no
