ano,rgn_id,number_crimes,rgn_population_10km,crimes_percapita,current_status
2015,Region_3,1089,43738,2.489825780785587,35.17857142857142
2015,Region_4,15486,743110,2.0839445035055375,45.74549720575881
2015,Region_5,602,53869,1.1175258497466076,70.90574665701361
2015,Region_7,996,326118,0.3054109248799514,92.04877200452421
2015,Region_8,3777,657313,0.5746120949988818,85.04024773151126
2015,Region_9,4751,461017,1.0305476804543,73.17018187636299
2016,Region_3,1395,43738,3.1894462481137684,16.964285714285722
2016,Region_4,17151,743110,2.308002852875079,39.912244774374884
2016,Region_5,856,53869,1.5890400787094618,58.63009823655093
2016,Region_7,1186,326118,0.3636720450879743,90.53197148329892
2016,Region_8,3120,657313,0.4746597131047158,87.64246039775354
2016,Region_9,4752,461017,1.0307645921950817,73.16453468248305
2017,Region_3,1680,43738,3.841053546115506,0
2017,Region_4,16370,743110,2.202904011519156,42.64844306200902
2017,Region_5,257,53869,0.477083294659266,87.57936360606728
2017,Region_7,710,326118,0.21771260709313808,94.3319559470002
2017,Region_8,3719,657313,0.565788292639884,85.26997122411711
2017,Region_9,5191,461017,1.125988846398289,70.6854165691855
2018,Region_3,1181,43738,2.700169189263341,29.702380952380956
2018,Region_4,15956,743110,2.147192205729973,44.098873396299076
2018,Region_5,179,53869,0.33228758655256274,91.34905091628809
2018,Region_7,635,326118,0.194714796484708,94.93069299485228
2018,Region_8,3370,657313,0.5126933439624654,86.65227292962481
2018,Region_9,5470,461017,1.1865072220764095,69.10984947667977
2019,Region_3,1021,43738,2.3343545658237685,39.22619047619048
2019,Region_4,15022,743110,2.021504218756308,47.37110028573608
2019,Region_5,534,53869,0.9912936939612765,74.19214072233433
2019,Region_7,943,326118,0.2891591387166608,92.47187951833969
2019,Region_8,3325,657313,0.5058472904080704,86.83050667388798
2019,Region_9,3986,461017,0.864610198756228,77.49028519452386
2020,Region_3,801,43738,1.8313594585943573,52.32142857142858
2020,Region_4,11558,743110,1.5553551964043009,59.507068106945646
2020,Region_5,1104,53869,2.0494161762794927,46.64442576302831
2020,Region_7,1149,326118,0.35232645852114874,90.82734842690596
2020,Region_8,3302,657313,0.5023481963691574,86.92160392095583
2020,Region_9,3233,461017,0.7012756579475378,81.74262218612536
2021,Region_3,809,43738,1.849650189766336,51.84523809523809
2021,Region_4,11919,743110,1.603934814495835,58.242320883084034
2021,Region_5,574,53869,1.0655479032467652,72.25896774273393
2021,Region_7,1565,326118,0.47988764802924094,87.50635360148634
2021,Region_8,3849,657313,0.5855657806859137,84.75507374069018
2021,Region_9,3967,461017,0.860488875681374,77.59758187824289
2022,Region_1,613,162216,0.3778912067860137,90.16178237951983
2022,Region_3,748,43738,1.710183364579999,55.47619047619048
2022,Region_4,13474,743110,1.8131905101532748,52.794448492211956
2022,Region_5,280,53869,0.5197794649984221,86.46778914279703
2022,Region_7,2070,326118,0.6347395727926701,83.47485747928226
2022,Region_8,5058,657313,0.7694964195139911,79.96652714481968
2022,Region_9,4077,461017,0.8843491671673713,76.97639055144852
2023,Region_1,601,162216,0.37049366277062684,90.35437391532042
2023,Region_3,850,43738,1.9433901870227261,49.404761904761905
2023,Region_4,14491,743110,1.9500477722006162,49.2314348449342
2023,Region_5,308,53869,0.5717574114982643,85.11456805707674
2023,Region_7,1817,326118,0.557160291673566,85.49459712070332
2023,Region_8,6014,657313,0.9149370239140256,76.18005026669545
2023,Region_9,4252,461017,0.9223087218041851,75.98813162245747
2024,Region_1,657,162216,0.4050155348424323,89.45561341491768
2024,Region_3,944,43738,2.158306278293475,43.80952380952381
2024,Region_4,16012,743110,2.1547281021652243,43.90267992112942
2024,Region_5,399,53869,0.7406857376227515,80.71659952848577
2024,Region_7,1433,326118,0.43941150135840396,88.56013080570602
2024,Region_8,5588,657313,0.8501277169324204,77.86732971238679
2024,Region_9,3911,461017,0.8483418181975936,77.91382473552004
2025,Region_1,406,162216,0.25028357252058986,93.48398637208003
2025,Region_3,561,43738,1.2826375234349994,66.60714285714286
2025,Region_4,11057,743110,1.487935837224637,61.26229901873145
2025,Region_5,322,53869,0.5977463847481854,84.43795751421659
2025,Region_7,673,326118,0.20636702052631256,94.62733289060724
2025,Region_8,4127,657313,0.6278591781997314,83.65398527613104
2025,Region_9,2828,461017,0.6134264029309114,84.02973570750464
