"scientific_name_clean","main_species_group","recorded_species_name","keyword_1","keyword_2","keyword_3","keyword_4","keyword_5","recorded_species_name_clean","scientific_name","species","genus","family"
"Carcahrhinus limbatus","TIBURON","TIBURON VOLADOR DESV. Y DESC. FCO. (CARCAHRHINUS LIMBATUS)","DESV.","DESC.","FCO.",NA,NA,"TIBURON VOLADOR (CARCAHRHINUS LIMBATUS)","CARCAHRHINUS LIMBATUS","Carcharhinus limbatus","Carcharhinus","Carcharhinidae"
"Carcahrhinus limbatus","TIBURON","TIBURON VOLADOR DESV. FCO. (CARCAHRHINUS LIMBATUS)","DESV.","FCO.",NA,NA,NA,"TIBURON VOLADOR (CARCAHRHINUS LIMBATUS)","CARCAHRHINUS LIMBATUS","Carcharhinus limbatus","Carcharhinus","Carcharhinidae"
"Carcahrhinus limbatus","TIBURON","TIBURON VOLADOR ENT. FCO. (CARCAHRHINUS LIMBATUS)","ENT.","FCO.",NA,NA,NA,"TIBURON VOLADOR (CARCAHRHINUS LIMBATUS)","CARCAHRHINUS LIMBATUS","Carcharhinus limbatus","Carcharhinus","Carcharhinidae"
"Carcharhinus altimus","TIBURON","TIBURON COLORADO DESV. Y DESC. FCO. (CARCHARHINUS ALTIMUS)","DESV.","DESC.","FCO.",NA,NA,"TIBURON COLORADO (CARCHARHINUS ALTIMUS)","CARCHARHINUS ALTIMUS","Carcharhinus altimus","Carcharhinus","Carcharhinidae"
"Carcharhinus altimus","TIBURON","TIBURON COLORADO ENT. FCO. (CARCHARHINUS ALTIMUS)","ENT.","FCO.",NA,NA,NA,"TIBURON COLORADO (CARCHARHINUS ALTIMUS)","CARCHARHINUS ALTIMUS","Carcharhinus altimus","Carcharhinus","Carcharhinidae"
"Carcharhinus altimus","TIBURON","TIBURON COLORADO DESV. FCO. (CARCHARHINUS ALTIMUS)","DESV.","FCO.",NA,NA,NA,"TIBURON COLORADO (CARCHARHINUS ALTIMUS)","CARCHARHINUS ALTIMUS","Carcharhinus altimus","Carcharhinus","Carcharhinidae"
"Carcharhinus brevipinna","TIBURON","TIBURON PICUDO ENT. FCO. (CARCHARHINUS BREVIPINNA)","ENT.","FCO.",NA,NA,NA,"TIBURON PICUDO (CARCHARHINUS BREVIPINNA)","CARCHARHINUS BREVIPINNA","Carcharhinus brevipinna","Carcharhinus","Carcharhinidae"
"Carcharhinus brevipinna","TIBURON","TIBURON PICUDO DESV. Y DESC. FCO. (CARCHARHINUS BREVIPINNA)","DESV.","DESC.","FCO.",NA,NA,"TIBURON PICUDO (CARCHARHINUS BREVIPINNA)","CARCHARHINUS BREVIPINNA","Carcharhinus brevipinna","Carcharhinus","Carcharhinidae"
"Carcharhinus falciformis","TIBURON","TIBURON TUNERO FILETE FCO. (CARCHARHINUS FALCIFORMIS)","FILETE","FCO.",NA,NA,NA,"TIBURON TUNERO (CARCHARHINUS FALCIFORMIS)","CARCHARHINUS FALCIFORMIS","Carcharhinus falciformis","Carcharhinus","Carcharhinidae"
"Carcharhinus falciformis","TIBURON","TIBURON TUNERO DESV. Y DESC. FCO. (CARCHARHINUS FALCIFORMIS)","DESV.","DESC.","FCO.",NA,NA,"TIBURON TUNERO (CARCHARHINUS FALCIFORMIS)","CARCHARHINUS FALCIFORMIS","Carcharhinus falciformis","Carcharhinus","Carcharhinidae"
"Carcharhinus falciformis","TIBURON","ALETA FCA DE TIBURON TUNERO O CAFE (CARCHARHINUS FALCIFORMIS)","ALETA","FCA",NA,NA,NA,"DE TIBURON TUNERO O CAFE (CARCHARHINUS FALCIFORMIS)","CARCHARHINUS FALCIFORMIS","Carcharhinus falciformis","Carcharhinus","Carcharhinidae"
"Carcharhinus falciformis","TIBURON","TIBURON TUNERO ENT. FCO. (CARCHARHINUS FALCIFORMIS)","ENT.","FCO.",NA,NA,NA,"TIBURON TUNERO (CARCHARHINUS FALCIFORMIS)","CARCHARHINUS FALCIFORMIS","Carcharhinus falciformis","Carcharhinus","Carcharhinidae"
"Carcharhinus falciformis","TIBURON","TIBURON TUNERO DESV. FCO. (CARCHARHINUS FALCIFORMIS)","DESV.","FCO.",NA,NA,NA,"TIBURON TUNERO (CARCHARHINUS FALCIFORMIS)","CARCHARHINUS FALCIFORMIS","Carcharhinus falciformis","Carcharhinus","Carcharhinidae"
"Carcharhinus falciformis","TIBURON","TIBURON SEDOSO DESV. Y DESC. FCO. (CARCHARHINUS FALCIFORMIS)","DESV.","DESC.","FCO.",NA,NA,"TIBURON SEDOSO (CARCHARHINUS FALCIFORMIS)","CARCHARHINUS FALCIFORMIS","Carcharhinus falciformis","Carcharhinus","Carcharhinidae"
"Carcharhinus falciformis","TIBURON","TIBURON SEDOSO FILETE FCO. (CARCHARHINUS FALCIFORMIS)","FILETE","FCO.",NA,NA,NA,"TIBURON SEDOSO (CARCHARHINUS FALCIFORMIS)","CARCHARHINUS FALCIFORMIS","Carcharhinus falciformis","Carcharhinus","Carcharhinidae"
"Carcharhinus falciformis","TIBURON","TIBURON SEDOSO DESV. FCO. (CARCHARHINUS FALCIFORMIS)","DESV.","FCO.",NA,NA,NA,"TIBURON SEDOSO (CARCHARHINUS FALCIFORMIS)","CARCHARHINUS FALCIFORMIS","Carcharhinus falciformis","Carcharhinus","Carcharhinidae"
"Carcharhinus falciformis","TIBURON","TIBURON SEDOSO ENT. FCO. (CARCHARHINUS FALCIFORMIS)","ENT.","FCO.",NA,NA,NA,"TIBURON SEDOSO (CARCHARHINUS FALCIFORMIS)","CARCHARHINUS FALCIFORMIS","Carcharhinus falciformis","Carcharhinus","Carcharhinidae"
"Carcharhinus leucas","TIBURON","TORO ENT. FCO. (CARCHARHINUS LEUCAS)","ENT.","FCO.",NA,NA,NA,"TORO (CARCHARHINUS LEUCAS)","CARCHARHINUS LEUCAS","Carcharhinus leucas","Carcharhinus","Carcharhinidae"
"Carcharhinus leucas","TIBURON","TIBURON CHATO FILETE FCO. (CARCHARHINUS LEUCAS)","FILETE","FCO.",NA,NA,NA,"TIBURON CHATO (CARCHARHINUS LEUCAS)","CARCHARHINUS LEUCAS","Carcharhinus leucas","Carcharhinus","Carcharhinidae"
"Carcharhinus leucas","TIBURON","TIBURON CHATO DESV. FCO. (CARCHARHINUS LEUCAS)","DESV.","FCO.",NA,NA,NA,"TIBURON CHATO (CARCHARHINUS LEUCAS)","CARCHARHINUS LEUCAS","Carcharhinus leucas","Carcharhinus","Carcharhinidae"
"Carcharhinus leucas","TIBURON","TIBURON CHATO DESV. Y DESC. FCO. (CARCHARHINUS LEUCAS)","DESV.","DESC.","FCO.",NA,NA,"TIBURON CHATO (CARCHARHINUS LEUCAS)","CARCHARHINUS LEUCAS","Carcharhinus leucas","Carcharhinus","Carcharhinidae"
"Carcharhinus leucas","TIBURON","TORO DESV. FCO. (CARCHARHINUS LEUCAS)","DESV.","FCO.",NA,NA,NA,"TORO (CARCHARHINUS LEUCAS)","CARCHARHINUS LEUCAS","Carcharhinus leucas","Carcharhinus","Carcharhinidae"
"Carcharhinus leucas","TIBURON","TORO DESV. Y DESC. FCO. (CARCHARHINUS LEUCAS)","DESV.","DESC.","FCO.",NA,NA,"TORO (CARCHARHINUS LEUCAS)","CARCHARHINUS LEUCAS","Carcharhinus leucas","Carcharhinus","Carcharhinidae"
"Carcharhinus leucas","TIBURON","TIBURON CHATO ENT. FCO. (CARCHARHINUS LEUCAS)","ENT.","FCO.",NA,NA,NA,"TIBURON CHATO (CARCHARHINUS LEUCAS)","CARCHARHINUS LEUCAS","Carcharhinus leucas","Carcharhinus","Carcharhinidae"
"Carcharhinus limbatus","TIBURON","TIBURON VOLADOR ENT. FCO. (CARCHARHINUS LIMBATUS)","ENT.","FCO.",NA,NA,NA,"TIBURON VOLADOR (CARCHARHINUS LIMBATUS)","CARCHARHINUS LIMBATUS","Carcharhinus limbatus","Carcharhinus","Carcharhinidae"
