Index,main_species_group,recorded_species_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,recorded_species_name_clean,recorded_scientific_name,recorded_scientific_name_clean,common_name_english_estimated,species_estimated,genus_estimated,family_estimated,source_of_estimate,classification_certainty
28,ATUN,ATUN PATUDO ENT. FCO.,ENT.,FCO.,NA,NA,NA,ATUN PATUDO,NA,NA,Bigeye tuna,Thunnus obesus,Thunnus,Scombridae,logical conclusion based on research,
29,BERRUGATA,BERRUGATA DESV. FCA.,DESV.,FCA.,NA,NA,NA,BERRUGATA,NA,NA,croaker,NA,NA,Sciaenidae,"Hastings & Findley, YEAR",
30,BERRUGATA,BERRUGATA ENT. FCA.,ENT.,FCA.,NA,NA,NA,BERRUGATA,NA,NA,croaker,NA,NA,Sciaenidae,"Hastings & Findley, YEAR",
31,BERRUGATA,BERRUGATA DESV. Y DESC. FCA.,DESV.,DESC.,FCA.,NA,NA,BERRUGATA,NA,NA,croaker,NA,NA,Sciaenidae,"Hastings & Findley, YEAR",
32,BERRUGATA,BERRUGATA FILETE DE FCO.,FILETE DE,FCO.,NA,NA,NA,BERRUGATA,NA,NA,croaker,NA,NA,Sciaenidae,"Hastings & Findley, YEAR",
33,BERRUGATA,BOCADULCE ENT. FCA.,ENT.,FCA.,NA,NA,NA,BOCADULCE,NA,NA,croaker,NA,Menticirrhus,Sciaenidae,Spanish common name - internet; dataMares suggests Menticirrhus nasus but I cannot find a good source for that name,
34,BERRUGATA,BOCADULCE DESV. FCA.,DESV.,FCA.,NA,NA,NA,BOCADULCE,NA,NA,croaker,NA,Menticirrhus,Sciaenidae,Spanish common name - internet; dataMares suggests Menticirrhus nasus but I cannot find a good source for that name,
35,BERRUGATA,BOCADULCE FILETE DE FCO.,FILETE DE,FCO.,NA,NA,NA,BOCADULCE,NA,NA,croaker,NA,Menticirrhus,Sciaenidae,Spanish common name - internet; dataMares suggests Menticirrhus nasus but I cannot find a good source for that name,
36,BERRUGATA,CHANO DESV. FCO.,DESV.,FCO.,NA,NA,NA,CHANO,NA,NA,Gulf croaker,Micropogonias megalops,Micropogonias ,Sciaenidae,"Hastings & Findley, YEAR; Micropogonias megalops and altipinnis are synonyms",
37,BERRUGATA,CHANO ENT. FCO.,ENT.,FCO.,NA,NA,NA,CHANO,NA,NA,Gulf croaker,Micropogonias megalops,Micropogonias ,Sciaenidae,"Hastings & Findley, YEAR; Micropogonias megalops and altipinnis are synonyms",
38,BERRUGATA,CHANO FILETE DE FCO.,FILETE DE,FCO.,NA,NA,NA,CHANO,NA,NA,Gulf croaker,Micropogonias megalops,Micropogonias ,Sciaenidae,"Hastings & Findley, YEAR; Micropogonias megalops and altipinnis are synonyms",
39,BERRUGATA,CHANO/BERRUGATA ALETA AMARILLA ENT. FCA.,ENT.,FCA.,NA,NA,NA,CHANO/BERRUGATA ALETA AMARILLA,NA,NA,Yellowfin croaker,Umbrina roncador,Umbrina,Sciaenidae,"Hastings & Findley, YEAR",
40,BERRUGATA,CHANO/BERRUGATA ALETA AMARILLA DESV. FCO.,DESV.,FCO.,NA,NA,NA,CHANO/BERRUGATA ALETA AMARILLA,NA,NA,Yellowfin croaker,Umbrina roncador,Umbrina,Sciaenidae,"Hastings & Findley, YEAR",
