"year","estimated_genus_name","Major_Functional_Group","estimated_taxa_group","total_biomass_kg","total_revenue"
2000,"Trachinotus","Pelagic marine fish (excl. anchovy & sardine)","PAMPANO",211690.9,950082
2000,"Xiphias","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",38715.75,647210
2001,"Ablennes","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",1049,7960
2001,"Acanthurus","Demersal marine fishes","OTRAS",3661,67115
2001,"Aetobatus","Demersal marine fishes","RAYA Y SIMILARES",17111.75,44653
2001,"Alopias","Sharks","TIBURON",51,510
2001,"Anisotremus","Demersal marine fishes","OTRAS",181395.3,1580988
2001,"Anoplopoma","Demersal marine fishes","OTRAS",50079,449151
2001,"Argopecten","Molluscs excl. Cephalopods","ALMEJA",2721614,13609568
2001,"Ariopsis","Demersal marine fishes","BAGRE",28304,183940
2001,"Balistes","Demersal marine fishes","OTRAS",704349.4,5616751
2001,"Brotula","Demersal marine fishes","LENGUADO",316844.7,3327553
2001,"Calamus","Demersal marine fishes","MOJARRA",17774,76524
2001,"Caranx","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",34208.5,2115487
2001,"Carcharhinus","Sharks","TIBURON",132004.3,481583
2001,"Caulolatilus","Demersal marine fishes","PIERNA",1092934.2,5446251
2001,"Centropomus","Demersal marine fishes","ROBALO",422521.8,10100628
2001,"Cetengraulis","Anchovy & Sardine (small pelagics)","SARDINA",124457771.12,7576806
2001,"Chanos","Diadromous fishes","OTRAS",7106,24605
2001,"Coryphaena","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",139818.65,1551020
2001,"Cynoscion","Demersal marine fishes","CORVINA",4895282.55,42312677
2001,"Diapterus","Demersal marine fishes","MOJARRA",22352,123122
2001,"Diplectrum","Demersal marine fishes","OTRAS",38491.85,735235
2001,"Dosidicus","Cephalopods","CALAMAR",25687744.45,34350653
2001,"Dosinia","Molluscs excl. Cephalopods","ALMEJA",169168,859224
2001,"Epinephelus","Demersal marine fishes","MERO",51880.9,658349
2001,"Especies","Echinoderms","PEPINO DE MAR",441947,9140855
2001,"Etrumeus","Anchovy & Sardine (small pelagics)","SARDINA",304453.6,0
2001,"Eucinostomus","Demersal marine fishes","MOJARRA",73082,473732
2001,"Eugerres","Demersal marine fishes","MOJARRA",20487,108522
2001,"Farfantepenaeus","Shrimps, prawns","CAMARON",7909.8,435615
2001,"Galeocerdo","Sharks","TIBURON",4593.5,22262
2001,"Gelidium","Marine algae","ALGAS",4765200,4415313
2001,"Gerres","Demersal marine fishes","BANDERA",126178.3,767266
2001,"Ginglymostoma","Sharks","TIBURON",3667,31468
2001,"Haemulon","Demersal marine fishes","OTRAS",309885.5,1267307
2001,"Haemulopsis","Demersal marine fishes","RONCO",121758,550171
2001,"Haliotis","Molluscs excl. Cephalopods","ABULON",576130.98,41969952
2001,"Hexaplex","Molluscs excl. Cephalopods","CARACOL",20000,0
2001,"Hoplopagrus","Demersal marine fishes","PARGO",59065.2,726195
2001,"Hypanus","Demersal marine fishes","RAYA Y SIMILARES",1536405.1,7689494
2001,"Hyporthodus","Demersal marine fishes","MERO",311635.3,6766375
2001,"Katsuwonus","Pelagic marine fish (excl. anchovy & sardine)","BARRILETE",4803521,28819811
2001,"Lamna","Sharks","TIBURON",2298.8,33301
2001,"Litopenaeus","Shrimps, prawns","CAMARON",39562.2,2796440
