"OHI_region_est","year","GeoMean_StockStatus","GeoMean_CPUE","StockStatus_SubScore","CPUE_SubScore","FIS_Score"
"region_1",2018,0.990046072997678,0.832009641488014,99.0046072997678,83.2009641488014,93.7367262494456
"region_1",2019,0.987455352570227,0.928927100331211,98.7455352570227,92.8927100331211,96.7945935157221
"region_1",2020,0.983777213317065,0.880027363760885,98.3777213317065,88.0027363760885,94.9193930131671
"region_1",2021,0.816068328273876,0.964657280184544,81.6068328273876,96.4657280184544,86.5597978910765
"region_1",2022,0.629200546939025,0.89681233118852,62.9200546939025,89.681233118852,71.840447502219
"region_1",2023,0.570302038771914,0.972076830574504,57.0302038771914,97.2076830574504,70.4226969372777
"region_1",2024,0.509659650515643,0.937673274657833,50.9659650515643,93.7673274657833,65.233085856304
"region_2",2018,0.908825129050561,0.885038727782024,90.8825129050561,88.5038727782024,90.0896328627715
"region_2",2019,0.875047849309298,0.955592843342146,87.5047849309298,95.5592843342146,90.189618065358
"region_2",2020,0.951503691957626,0.893539288944496,95.1503691957626,89.3539288944496,93.2182224286583
"region_2",2021,0.929583236974501,0.92055013673165,92.9583236974501,92.055013673165,92.6572203560217
"region_2",2022,0.921352035721283,0.881675420739842,92.1352035721283,88.1675420739842,90.8126497394136
"region_2",2023,0.879773283537502,0.997111318078101,87.9773283537502,99.7111318078101,91.8885961717702
"region_2",2024,0.803965072300252,0.974630210093718,80.3965072300252,97.4630210093718,86.0853451564741
"region_3",2018,0.865313865617924,0.898335329313126,86.5313865617924,89.8335329313126,87.6321020182991
"region_3",2019,0.90613272925687,0.960250233946572,90.613272925687,96.0250233946572,92.4171897486771
"region_3",2020,0.854587045089592,0.902040284212558,85.4587045089592,90.2040284212558,87.0404791463914
"region_3",2021,0.875617634738167,0.958043446847576,87.5617634738167,95.8043446847576,90.3092905441303
"region_3",2022,0.742156068388397,0.948921118096397,74.2156068388397,94.8921118096397,81.1077751624397
"region_3",2023,0.614386528904312,0.999554109413978,61.4386528904312,99.9554109413978,74.2775722407534
"region_3",2024,0.558109485167208,0.983583505466981,55.8109485167208,98.3583505466981,69.9934158600466
