recorded_taxa_group,common_name_clean,estimated_species_name,species_est_certainty,species_est_reasoning,estimated_genus_name,genus_est_reasoning,estimated_taxa_group,Manual_Classification_Notes,ornamentalFLAG_1,IHH_functional_major_groups_sm,Major_Functional_Group,Assignment_for_Major_Functional_Group
OTRAS,charchina,unknown,not applicable,no data in keys,NA,genus unknown,NA,I don't know what this is… an urchin perhaps?,NA,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,cojinete,unknown,not applicable,no data in keys,NA,genus unknown,NA,I don't know what this is… A fish of some sort?,NO,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,criollo,unknown,not applicable,no data in keys,NA,genus unknown,NA,I don't know what this is… not enough information to know?,NO,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
ESPECIE GENERICA,especie generica,unknown,not applicable,no data in keys,NA,genus unknown,NA,Generic category; cannot assign species or genus.,NO,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
PECES DE ORNATO,especies ornato,unknown,not applicable,no data in keys,NA,genus unknown,NA,Generic category; cannot assign species or genus.,YES,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
ORNATO,especies ornato,unknown,not applicable,no data in keys,NA,genus unknown,NA,Generic ornamental category; cannot assign species or genus.,YES,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
FAUNA,fauna acompa√±amiento,unknown,not applicable,no data in keys,NA,genus unknown,NA,Generic bycatch category; cannot assign species or genus.,NO,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
FAUNA,fauna acompaÔøΩamiento,unknown,not applicable,no data in keys,NA,genus unknown,NA,Generic category; cannot assign species or genus.,NO,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,maula,unknown,not applicable,no data in keys,NA,genus unknown,NA,I don't know what this is… a fish?,NO,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,NA,unknown,not applicable,no data in keys,NA,genus unknown,NA,not enough information to classify,NO,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,orihuelos,unknown,not applicable,no data in keys,NA,genus unknown,NA,I don't know what this is… a fish?,NO,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,otras especies agua marina sin registro oficial,unknown,not applicable,no data in keys,NA,genus unknown,NA,Generic category; cannot assign species or genus.,NO,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,otras especies sin registro oficial,unknown,not applicable,no data in keys,NA,genus unknown,NA,Generic category; cannot assign species or genus.,NO,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
PECES DE ORNATO,peces ornato,unknown,not applicable,no data in keys,NA,genus unknown,NA,Generic category; cannot assign species or genus.,YES,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,ratina,unknown,not applicable,no data in keys,NA,genus unknown,NA,I don't know what this is… a fish perhaps?,NA,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,ripio,unknown,not applicable,no data in keys,NA,genus unknown,NA,Generic category; cannot assign species or genus.,NO,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,roca se,unknown,not applicable,no data in keys,NA,genus unknown,NA,I don't know what this is… a shellfish perhaps?,NA,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,sanducha,unknown,not applicable,no data in keys,NA,genus unknown,NA,I don't know what this is… A shelfish of some sort?,NO,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,tonzac,unknown,not applicable,no data in keys,NA,genus unknown,NA,I don't know what this is… a shellfish perhaps?,NA,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,topuche,unknown,not applicable,no data in keys,NA,genus unknown,NA,I don't know what this is… A shelfish of some sort?,NO,NA,unknown,Assigned_Manually: OTRAS treated differently than other major groups
