recorded_taxa_group,common_name_clean,estimated_species_name,species_est_certainty,species_est_reasoning,estimated_genus_name,genus_est_reasoning,estimated_taxa_group,Manual_Classification_Notes,ornamentalFLAG_1,IHH_functional_major_groups_sm,Major_Functional_Group,Assignment_for_Major_Functional_Group
OTRAS,isabelita,Chaetodipterus faber,high confidence,match to Hem's key,Chaetodipterus,genus derived from known species,NA,Atlantic spadefish,NO,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,jopaton,Microlepidotus inornatus,high confidence,match to Hem's key,Microlepidotus,genus derived from known species,NA,California croaker / grunt,NO,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,juez,Bathystoma rimator,high confidence,match to Hem's key,Bathystoma,genus derived from known species,NA,grunt,NO,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,lagartija,unknown,medium confidence,conflicting matches in Hem's key and no data from IHH,NA,genus unknown,NA,Looks like a lizardfish,NO,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,lagarto,Synodus foetens,high confidence,match to Hem's key,Synodus,genus derived from known species,NA,Inshore lizardfish,NO,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,loro jabonero,Nicholsina usta,high confidence,match to Hem's key,Nicholsina,genus derived from known species,NA,Emerald parrotfish,NO,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,matajuelo,Holocentrus ascensionis,high confidence,match to Hem's key,Holocentrus,genus derived from known species,NA,Squirrelfish,NO,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,mataperro,Sphoeriodes testudinaeus,high confidence,match to Hem's key,Sphoeriodes,genus derived from known species,NA,Checkered puffer,POSSIBLY,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,negrillo,unknown,medium confidence,conflicting matches in Hem's key and no data from IHH,NA,genus unknown,NA,Probably a grouper,NO,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,pescadilla,Merluccius productus,high confidence,match to Hem's key,Merluccius,genus derived from known species,NA,Pacific hake,NO,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,pez globo,unknown,medium confidence,conflicting matches in Hem's key and no data from IHH,NA,genus unknown,NA,Arothron according to Hem's key,POSSIBLY,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
ORNATO,pez payaso ornato,unknown,not applicable,no data in keys,Amphiprion,genus derived from known species,NA,"Clownfish, ornamental; estimated genus Amphiprion",YES,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
PECES DE ORNATO,pez payaso ornato,unknown,not applicable,no data in keys,Amphiprion,genus derived from known species,NA,"Clownfish, ornamental; estimated genus Amphiprion",YES,NA,Demersal marine fishes,Assigned_Manually: OTRAS treated differently than other major groups
