common_name,species,species_synonym
Abadejo,Pollachius pollachius,Pollachius linnei 
Abadejo,Pollachius pollachius,Gadus pollachius 
Abadejo,Pollachius pollachius,Gadus viridis 
Abadejo,Pollachius pollachius,Pollachius typus 
Abadejo,Pollachius pollachius,Merlangus pollachius 
Abadejo,Pollachius pollachius,Gadus lycostomus 
Abanderado,Epinephelus latifasciatus,Priacanthichthys maderaspatensis
Abanderado,Epinephelus latifasciatus,Serranus latifasciatus
Abanderado,Epinephelus latifasciatus,Serranus grammicus
Abanderado,Epinephelus latifasciatus,Epinephelus grammicus 
Abanderado,Lutjanus carponotatus,Lutianus chrysotaenia
Abanderado,Lutjanus carponotatus,Mesoprion carponotatus
Abanderado,Lutjanus carponotatus,Lutjanus carponatus
Abanderado,Lutjanus carponotatus,Lutjanus chrysotaenia
Abanderado,Lutjanus carponotatus,Mesoprion chrysotaenia
Abanderado,Lutjanus carponotatus,Mesoprion naborer
Abanderado,Pristipomoides auricilla,Arnillo auricilla
Abogado,NA,NA
Abulon amarillo,Haliotis corrugata ,Haliotis corrugata corrugata
Abulon amarillo,Haliotis corrugata,Haliotis nodosa  
Abulon amarillo,Haliotis corrugata ,Haliotis diegoensis  
Abulon azul,Haliotis fulgens,Haliotis planilirata  
Abulon azul,Haliotis fulgens,Haliotis splendens  
Abulon blanco,Haliotis sorenseni ,NA
Abulon chino,Haliotis sorenseni ,NA
Abulon negro,Haliotis cracherodii ,Haliotis cracherodii cracherodii
Abulon negro,Haliotis cracherodii ,Haliotis cracherodii var. holzneri 
Abulon negro,Haliotis cracherodii ,Haliotis expansa 
Abulon negro,Haliotis cracherodii ,Haliotis imperforata 
Abulon negro,Haliotis cracherodii ,Haliotis lusus 
Abulon negro,Haliotis cracherodii ,Haliotis rosea 
Abulon negro,Haliotis cracherodii ,Haliotis splendidula
Abulon rayado,Haliotis kamtschatkana assimilis,Haliotis aulaea
Abulon rayado,Haliotis kamtschatkana assimilis,Haliotis smithsoni
Abulon rojo,Haliotis rufescens,Haliotis californiana 
Abulon rojo,Haliotis rufescens ,Haliotis hattorii 
Abulon rojo,Haliotis rufescens ,Haliotis ponderosa 
Abulon rosado,Haliotis corrugata ,Haliotis corrugata corrugata
Abulon rosado,Haliotis corrugata,Haliotis nodosa  
Abulon rosado,Haliotis corrugata ,Haliotis diegoensis  
Abulon se,Haliotis tuberculata coccinea,Haliotis canariensis  
Abulon se,Haliotis tuberculata coccinea,Haliotis coccinea  
Abulon se,Haliotis tuberculata coccinea,Haliotis zealandica  
Acamaya,Macrobrachium americanum,Palaemon americanus 
Acocil se,Cambarellus (Cambarellus) montezumae,Cambarellus montezumae patzcuarensis
Acocil se,Cambarellus zempoalensis,NA
Acocil,Cambarellus (Cambarellus) montezumae,Cambarellus montezumae patzcuarensis
Acocil,Cambarellus zempoalensis,NA
Acumara,Algansea lacustris,Algansea tarascorum
Aguado,Kathetostoma averruncus ,Kathetostoma ornatus
Aguado,Opistognathus rhomaleus ,Opisthognathus rhomaleus
Aguaji,Mycteroperca microlepis,NA
Aguaji,Mycteroperca microlepis,Trisotropis microlepis 
Aguaji,Mycteroperca microlepis,Trisotropis stomias 
Aguaji,Mycteroperca venenosa,Bodianus marginatus 
Aguaji,Mycteroperca venenosa,Bodianus apua 
Aguaji,Mycteroperca venenosa,Perca venenosa 
Aguaji,Mycteroperca venenosa,Mycteroperca bowersi 
Aguaji,Mycteroperca venenosa,Serranus rupestris 
Aguaji,Mycteroperca venenosa,Serranus cardinalis 
Aguaji,Mycteroperca venenosa,Johnius guttatus 
Aguaji,Mycteroperca venenosa,Serranus petrosus 
Aguaji,Mycteroperca venenosa,Bonaci cardenal 
Aguja,Belone belone,Belone cornidii
Aguja,Belone belone,Belone vulgaris
Aguja,Belone belone,Belone acus 
Aguja,Belone belone,Esox belone
Aguja,Belone belone,Belone longirostris 
Aguja,Belone belone,Belone rostrata
Aguja,Belone belone,Hemiramphus obtusus 
Aguja,Belone belone,Hemiramphus balticus
Aguja,Belone belone,Belone euxini 
Aguja,Belone belone,Hemiramphus behnii 
Aguja,Belone belone,Hemiramphus europaeus
Aguja,Belone belone,Belone bellone
Aguja,Belone belone,Belone gracilis 
Aguja,Belone belone,Belone undecimradiata 
Aguja,Belone belone,Macrognathus scolopax
Aguja,Belone belone,Belone linnei
Aguja,Belone belone,Belone vulgaris
Agujilla,Belone belone,Belone cornidii
Agujilla,Belone belone,Belone vulgaris
Agujilla,Belone belone,Belone acus 
Agujilla,Belone belone,Esox belone
Agujilla,Belone belone,Belone longirostris 
Agujilla,Belone belone,Belone rostrata
Agujilla,Belone belone,Hemiramphus obtusus 
Agujilla,Belone belone,Hemiramphus balticus
Agujilla,Belone belone,Belone euxini 
Agujilla,Belone belone,Hemiramphus behnii 
Agujilla,Belone belone,Hemiramphus europaeus
Agujilla,Belone belone,Belone bellone
Agujilla,Belone belone,Belone gracilis 
Agujilla,Belone belone,Belone undecimradiata 
Agujilla,Belone belone,Macrognathus scolopax
Agujilla,Belone belone,Belone linnei
Agujilla,Belone belone,Belone vulgaris
Agujon,Belone belone,Belone cornidii
Agujon,Belone belone,Belone vulgaris
Agujon,Belone belone,Belone acus 
Agujon,Belone belone,Esox belone
Agujon,Belone belone,Belone longirostris 
Agujon,Belone belone,Belone rostrata
Agujon,Belone belone,Hemiramphus obtusus 
Agujon,Belone belone,Hemiramphus balticus
Agujon,Belone belone,Belone euxini 
Agujon,Belone belone,Hemiramphus behnii 
Agujon,Belone belone,Hemiramphus europaeus
Agujon,Belone belone,Belone bellone
Agujon,Belone belone,Belone gracilis 
Agujon,Belone belone,Belone undecimradiata 
Agujon,Belone belone,Macrognathus scolopax
Agujon,Belone belone,Belone linnei
Agujon,Belone belone,Belone vulgaris
Agujon,Ablennes hians ,Ablennes pacificus
Agujon,Ablennes hians ,Ablenes hians
Agujon,Ablennes hians ,Athlennes hians 
Agujon,Ablennes hians ,Belone maculata
Agujon,Ablennes hians ,Mastaccembelus melanostigma 
Agujon,Ablennes hians ,Tylosurus caeruleofasciatus
Agujon,Ablennes hians ,Belone melanostigma
Agujon,Ablennes hians ,Belone hians
Agujon,Ablennes hians ,Mastacembelus fasciatus
Agujon,Ablennes hians ,Belone schismatorhynchus
Agujon,Ablennes hians ,Tylosurus hians
Agujon,Ablennes hians ,Strongylura anastomella
Agujon,Platybelone argalus pterura,Tylosurus pterurus
Agujon,Strongylura exilis,Strongylura tahitiensis 
Agujon,Strongylura exilis,Belone stolzmanni 
Agujon,Strongylura exilis,Strongylura peruana
Agujon,Strongylura exilis,Strongylura stolzmanni 
Agujon,Strongylura exilis,Tylosurus sierrita
Agujon,Strongylura exilis,Belone exilis 
Agujon,Tylosurus pacificus,Belone pacifica 
Agujon,Tylosurus pacificus,Tylosurus acus pacificus 
Agujon,Tylosurus pacificus,Strongylura galapagensis
Agujon,Tylosurus crocodilus ,Belona crocodila
Agujon,Tylosurus crocodilus ,Belone annulata
Agujon,Tylosurus crocodilus ,Belone choram
Agujon,Tylosurus crocodilus ,Belone coromandelica
Agujon,Tylosurus crocodilus ,Belone crassa
Agujon,Tylosurus crocodilus ,Belone crocodila 
Agujon,Tylosurus crocodilus ,Belone crocodilus
Agujon,Tylosurus crocodilus ,Belone cylindrica
Agujon,Tylosurus crocodilus ,Belone gerania
Agujon,Tylosurus crocodilus ,Belone gigantea
Agujon,Tylosurus crocodilus ,Belone koseirensis
Agujon,Tylosurus crocodilus ,Belone marisrubri marisrubri 
Agujon,Tylosurus crocodilus ,Belone melanochira 
Agujon,Tylosurus crocodilus ,Belone melanurus 
Agujon,Tylosurus crocodilus ,Belone raphidoma
Agujon,Tylosurus crocodilus ,Belone robusta
Agujon,Tylosurus crocodilus ,Belone timucoides 
Agujon,Tylosurus crocodilus ,Esox aaveri
Agujon,Tylosurus crocodilus ,Mastaccembelus choram
Agujon,Tylosurus crocodilus ,Strongylura crocodila
Agujon,Tylosurus crocodilus ,Strongylura crocodilus
Agujon,Tylosurus crocodilus ,Strongylura gigantea
Ala de angel,Pholas chiloensis,Pholas laqueata
Ala de angel,Pholas chiloensis,Pholas dilecta
Ala de angel,Pholas chiloensis,Pholas chiloensis
Ala de angel,Pholas chiloensis,Pholas chiloensis parva
Ala de angel,Pholas chiloensis,Pholas retifer
Albacora,Thunnus alalunga,Albacora alalonga 
Albacora,Thunnus alalunga,Orcynus germon 
Albacora,Thunnus alalunga,Orcynus germo 
Albacora,Thunnus alalunga,Scomber germon 
Albacora,Thunnus alalunga,Thunnus pacificus 
Albacora,Thunnus alalunga,Thunnus alalonga 
Albacora,Thunnus alalunga,Thynnus pacificus 
Albacora,Thunnus alalunga,Scomber alatunga 
Albacora,Thunnus alalunga,Orcynus alalonga 
Albacora,Thunnus alalunga,Thunnus germo 
Albacora,Thunnus alalunga,Germo alalunga 
Albacora,Thunnus alalunga,Scomber alalunga 
Albacora,Thunnus alalunga,Scomber germo 
Albacora,Thunnus alalunga,Germo germon steadi
Albacora,Thunnus alalunga,Germo germon 
Albacora,Thunnus alalunga,Thynnus alalunga 
Albacora,Thunnus alalunga,Orcynus alatunga 
Albacora,Thunnus alalunga,Germo alalonga 
Albacora,Thunnus alalunga,Orcynus pacificus 
Albacora,Thunnus alalunga,Scomber albicans 
Albacora,Thunnus alalunga,Germo germo 
Albacora,Thunnus alalunga,Thynnus alalonga 
Albacora,Thunnus alalunga,Scomber alalunga 
Albacora,Thunnus alalunga,Scomber germo 
Alga egraria,Egregia menziesii,Fucus menziesii 
Alga egraria,Egregia menziesii,Egregia laevigata
Alga egraria,Egregia menziesii,Macrocystis menziesii 
Alga egraria,Egregia menziesii,Phyllospora menziesii
Alga egraria,Egregia menziesii,Egregia menziesii insularis
Alga egraria,Egregia menziesii,Egregia laevigata
Alga espirulina,Spirulina laxissima,NA  
Alga espirulina,Spirulina laxissima,NA  
Alga euchema,Eucheuma uncinatum,NA  
Alga gelidium,Gelidium robustum ,Gelidium robustum 
Alga gelidium,Gelidium robustum ,Gelidium cartilagineum robustum 
Alga gigartina,Chondracanthus canaliculatus,Gigartina canaliculata
Alga gigartina,Chondracanthus chamissoi,Gigartina chamissoi
Alga gigartina,Chondracanthus chamissoi,Sphaerococcus chamissoi
Alga gigartina,Chondracanthus chamissoi,Chondroclonium chamissoi
Alga lechuguilla,Ulva lactuca,Ulva lactuca 
Alga lechuguilla,Ulva lactuca,Ulva fasciata 
Alga lechuguilla,Ulva lactuca,Ulva fenestrata 
Alga lechuguilla,Ulva lactuca,Phyllona lactuca 
Alga lechuguilla,Ulva lactuca,Ulva lactucaefolia 
Alga lechuguilla,Ulva lactuca,Ulva lactuca stipitata
Alga lechuguilla,Ulva lactuca,Ulva crassa 
Alga lechuguilla,Ulva rigida,Ulva rigida 
Alga lechuguilla,Ulva rigida,Ulva scandinavica 
Alga lechuguilla,Ulva rigida,Ulva spathulata 
Alga lechuguilla,Ulva rigida,Ulva lactuca rigida
Alga lechuguilla,Ulva rigida,Phycoseris ulva 
Alga lechuguilla,Ulva rigida,Letterstedtia petiolata 
Alga lechuguilla,Ulva rigida,Ulva petiolata 
Alga lechuguilla,Ulva rigida,Ulva armoricana 
Alga lechuguilla,Ulva rigida,Phycoseris gigantea perforata
Alga lechuguilla,Ulva rigida,Phycoseris rigida 
Alga lechuguilla,Ulva rigida,Ulva thuretii 
Alga parda,Eisenia arborea,Eisenia arborea 
Alga parda,Macrocystis pyrifera ,Macrocystis pyrifera (Linnaeus)
Alga parda,Macrocystis pyrifera ,Fucus pyriferus Linneaus
Alga parda,Sargassum sinicola ,NA
Alga se,Enteromorpha clathrata,Enteromorpha crinita 
Alga se,Enteromorpha clathrata,Ulva ramulosa 
Alga se,Enteromorpha clathrata,Conferva crinita 
Alga se,Enteromorpha clathrata,Enteromorpha ramulosa robusta
Alga se,Enteromorpha clathrata,Enteromorpha clathrata crinita
Alga se,Enteromorpha clathrata,Conferva clathrata 
Alga se,Enteromorpha clathrata,Enteromorpha gelatinosa 
Alga se,Enteromorpha clathrata,Enteromorpha ramulosa spinosa
Alga se,Enteromorpha clathrata,Enteromorpha clathrata linkiana
Alga se,Enteromorpha clathrata,Enteromorpha clathrata prostrata
Alga se,Enteromorpha clathrata,Enteromorpha linkiana 
Alga se,Enteromorpha clathrata,Enteromorpha paradoxa tenuissima
Alga se,Enteromorpha clathrata,Enteromorpha clathrata gracilis
Alga se,Enteromorpha clathrata,Enteromorpha spinescens 
Alga se,Enteromorpha clathrata,Ulva muscoides 
Alga se,Enteromorpha clathrata,Enteromorpha complanata crinita
Alga se,Enteromorpha clathrata,Enteromorpha prolifera crinita
Alga se,Enteromorpha clathrata,Ulva clathrata prostrata
Alga se,Enteromorpha clathrata,Enteronia clathrata 
Alga se,Enteromorpha clathrata,Ulva clathrata gracilis
Alga se,Enteromorpha clathrata,Ulva linkiana 
Alga se,Enteromorpha clathrata,Zignoa ramulosa 
Alga se,Enteromorpha clathrata,Enteromorpha clathrata gracilis
Alga se,Enteromorpha clathrata,Enteromorpha clathrata linkiana
Alga se,Enteromorpha clathrata,Enteromorpha clathrata mucosa
Alga se,Enteromorpha clathrata,Enteromorpha clathrata ramulosa
Alga se,Enteromorpha compressa,Ulva compressa 
Alga se,Enteromorpha compressa,Enteromorpha compressa 
Alga se,Enteromorpha compressa,Enteromorpha compressa usneoides
Alga se,Enteromorpha compressa,Enteromorpha usneoides 
Alga se,Enteromorpha compressa,Enteromorpha compressa complanata
Alga se,Enteromorpha compressa,Enteromorpha complanata 
Alga se,Enteromorpha compressa,Enteromorpha compressa complanata
Alga se,Enteromorpha compressa,Enteromorpha chlorotica 
Alga se,Enteromorpha compressa,Enteromorpha intestinalis compressa
Alga se,Enteromorpha compressa,Conferva compressa 
Alga se,Enteromorpha compressa,Enteromorpha vulgaris compressa
Alga se,Enteromorpha compressa,Enteronia compressa 
Alga se,Enteromorpha compressa,Fistularia compressa 
Alga se,Enteromorpha compressa,Fistularia intestinalis compressa
Alga se,Enteromorpha compressa,Hydrosolen compressus 
Alga se,Enteromorpha compressa,Ilea compressa 
Alga se,Enteromorpha compressa,Scytosiphon compressus 
Alga se,Enteromorpha compressa,Solenia compressa 
Alga se,Enteromorpha compressa,Tubularia compressa 
Alga se,Enteromorpha compressa,Ulva enteromorpha compressa
Alga se,Enteromorpha compressa,Enteromorpha clathrata usneoides
Alga se,Enteromorpha compressa,Enteromorpha compressa typica
Alga se,Enteromorpha compressa,Enteromorpha intestinalis compressa
Alga se,Enteromorpha intestinalis,Ulva intestinalis 
Alga se,Enteromorpha intestinalis,Enteromorpha intestinalis 
Alga se,Enteromorpha linza,Ulva linza 
Alga se,Enteromorpha linza,Enteromorpha linza 
Alga se,Enteromorpha linza,Ulva bertolonii 
Alga se,Enteromorpha linza,Enteromorpha ahlneriana 
Alga se,Enteromorpha linza,Enteromorpha procera 
Alga se,Enteromorpha linza,Enteromorpha bulbosa japonica
Alga se,Enteromorpha linza,Ulva linza lanceolata
Alga se,Enteromorpha linza,Ulva linza angusta
Alga se,Enteromorpha linza,Ulva lanceolata 
Alga se,Enteromorpha linza,Enteromorpha bertolonii lanceolata
Alga se,Gracilariopsis lemaneiformis,Gigartina lemaneiformis 
Alga se,Gracilariopsis lemaneiformis,Gracilaria lemaneiformis 
Alga se,Gracilariopsis lemaneiformis,Cordylecladia lemanaeformis 
Alga se,Porphyra perforata,Porphyra perforata 
Alga se,Porphyra perforata,Porphyra perforata 
Alga se,Porphyra perforata,Porphyra sanjuanensis 
Alga se,Porphyra perforata,Porphyra segregata 
Alga se,Spirulina laxissima,NA  
Alga se,Spirulina laxissima,NA  
Alga se,Eucheuma uncinatum,NA  
Alga se,Ulva lactuca,Ulva lactuca 
Alga se,Ulva lactuca,Ulva fasciata 
Alga se,Ulva lactuca,Ulva fenestrata 
Alga se,Ulva lactuca,Phyllona lactuca 
Alga se,Ulva lactuca,Ulva lactucaefolia 
Alga se,Ulva lactuca,Ulva lactuca stipitata
Alga se,Ulva lactuca,Ulva crassa 
Alga se,Ulva rigida,Ulva rigida 
Alga se,Ulva rigida,Ulva scandinavica 
Alga se,Ulva rigida,Ulva spathulata 
Alga se,Ulva rigida,Ulva lactuca rigida
Alga se,Ulva rigida,Phycoseris ulva 
Alga se,Ulva rigida,Letterstedtia petiolata 
Alga se,Ulva rigida,Ulva petiolata 
Alga se,Ulva rigida,Ulva armoricana 
Alga se,Ulva rigida,Phycoseris gigantea perforata
Alga se,Ulva rigida,Phycoseris rigida 
Alga se,Ulva rigida,Ulva thuretii 
Almeja blanca,Spisula subtruncata,Mactra deltoides  
Almeja blanca,Spisula subtruncata,Mactra lactea  
Almeja blanca,Spisula subtruncata,Mactra striata  
Almeja blanca,Spisula subtruncata,Mactra subtruncata  
Almeja blanca,Spisula subtruncata,Mactra subtruncata 
Almeja blanca,Spisula subtruncata,Mactra subtruncata 
Almeja blanca,Spisula subtruncata,Mactra subtruncata 
Almeja blanca,Spisula subtruncata,Mactra subtruncata 
Almeja blanca,Spisula subtruncata,Mactra triangula  
Almeja blanca,Spisula subtruncata,Spisula triangula  
Almeja blanca,Spisula subtruncata,Trigonella subtruncata 
Almeja burra,Spondylus calcifer,Spondilus limbatus 
Almeja burra,Spondylus calcifer,Spondylus radula 
Almeja catarina,Argopecten irradians,Argopecten irradians irradians 
Almeja catarina,Argopecten irradians,Pecten irradians  
Almeja chocolata,Megapitaria squalida,Callista guttata  
Almeja chocolata,Megapitaria squalida,Callista squalida  
Almeja chocolata,Megapitaria squalida,Cytherea biradiata  
Almeja chocolata,Megapitaria squalida,Cytherea chionaea 
Almeja chocolata,Megapitaria squalida,Cytherea squalida 
Almeja chocolata,Megapitaria squalida,Macrocallista orcutti  
Almeja chocolata,Megapitaria squalida,Macrocallista squalida  
Almeja concha espina,Spondylus princeps,Spondylus crassisquama  
Almeja gallito,Rangia cuneata,Gnathodon cuneata 
Almeja gallito,Rangia cuneata,Gnathodon cuneatus  
Almeja gallito,Rangia cuneata,Gnathodon nasutus  
Almeja gallito,Rangia cuneata,Rangia cyrenoides  
Almeja generosa,Panopea generosa,Panopaea japonica 
Almeja generosa,Panopea generosa,Panopea generosa solida
Almeja mano de leon,Nodipecten subnodosus,Lyropecten intermedius 
Almeja mano de leon,Nodipecten subnodosus,Pecten subnodosus 
Almeja mano de leon,Nodipecten subnodosus,Nodipecten arthriticus 
Almeja navaja,Tagelus californianus,Tagelus violascens 
Almeja navaja,Tagelus californianus,Solecurtus violascens 
Almeja navaja,Tagelus californianus,Solecurtus californianus 
Almeja pata de mula,Anadara grandis,Arca quadrilatera 
Almeja pata de mula,Anadara grandis,Larkinia grandis 
Almeja pata de mula,Anadara grandis,Arca grandis 
Almeja prieta,Polymesoda caroliniana,Cyclas caroliniana  
Almeja prieta,Polymesoda caroliniana,Cyrena insignis  
Almeja purpura,Amiantis purpurata,Cytherea lubrica  
Almeja purpura,Amiantis purpurata,Cytherea purpurata  
Almeja raya,Chione californiensis,Chione allisoni  
Almeja raya,Chione californiensis,Chione californiensis durhami 
Almeja raya,Chione californiensis,Chione californiensis gealeyi 
Almeja raya,Chione californiensis,Chione californiensis peabodyi 
Almeja raya,Chione californiensis,Cytherea undatostriata  
Almeja raya,Chione californiensis,Venus californiensis  
Almeja raya,Chione californiensis,Venus leucodon  
Almeja raya,Chione californiensis,Venus nuttalli  
Almeja raya,Chione californiensis,Venus succincta  
Almeja rayada,Carditamera floridana,Cardites floridanus  
Almeja roja,Megapitaria aurantiaca,Callista aurantiaca  
Almeja roja,Megapitaria aurantiaca,Cytherea aurantiaca 
Almeja rosa,Chione californiensis,Chione allisoni  
Almeja rosa,Chione californiensis,Chione californiensis durhami 
Almeja rosa,Chione californiensis,Chione californiensis gealeyi 
Almeja rosa,Chione californiensis,Chione californiensis peabodyi 
Almeja rosa,Chione californiensis,Cytherea undatostriata  
Almeja rosa,Chione californiensis,Venus californiensis  
Almeja rosa,Chione californiensis,Venus leucodon  
Almeja rosa,Chione californiensis,Venus nuttalli  
Almeja rosa,Chione californiensis,Venus succincta  
Almeja se,Paphia rhomboides,Polititapes rhomboides  
Almeja se,Paphia rhomboides,Venus rhomboides  
Almeja se,Paphia rhomboides,Paphia Röding 1798 
Almeja voladora,Euvola vogdesi,Argopecten vogdesi  
Almeja voladora,Euvola vogdesi,Argopecten vogdesi vogdesi 
Almeja voladora,Euvola vogdesi,Pecten (Euvola) cataractes 
Almeja voladora,Euvola vogdesi,Pecten dentatus  
Almeja voladora,Euvola vogdesi,Pecten excavatus  
Almeja voladora,Euvola vogdesi,Pecten heimi  
Almeja voladora,Euvola vogdesi,Pecten vogdesi  
Almeja voladora,Argopecten ventricosus,Argopecten ventricosus aequisulcatus 
Almeja voladora,Argopecten ventricosus,Pecten (Aequipecten) aequisulcatus 
Almeja voladora,Argopecten ventricosus,Pecten aequisulcatus  
Almeja voladora,Argopecten ventricosus,Pecten calli  
Almeja voladora,Argopecten ventricosus,Pecten compactus  
Almeja voladora,Argopecten ventricosus,Pecten fililextus 
Almeja voladora,Argopecten ventricosus,Pecten inca  
Almeja voladora,Argopecten ventricosus,Pecten newsomi  
Almeja voladora,Argopecten ventricosus,Pecten pomatea  
Almeja voladora,Argopecten ventricosus,Pecten solidulus  
Almeja voladora,Argopecten ventricosus,Pecten subventricosus  
Almeja voladora,Argopecten ventricosus,Pecten tumidus  
Almeja voladora,Argopecten ventricosus,Pecten ventricosus  
Almeja voladora,Argopecten ventricosus,Pecten ventricosus aequisulcatus 
Anchoa se,Anchoa analis,Anchoviella analis 
Anchoa se,Anchoa analis,Anchoa panamensis 
Anchoa se,Anchoa argentivittata,Anchoa arenicola 
Anchoa se,Anchoa argentivittata,Engraulis argentivittatus 
Anchoa se,Anchoa compressa,Anchoa compressa 
Anchoa se,Anchoa compressa,Anchoa compressus 
Anchoa se,Anchoa compressa,Anchoviella compressa 
Anchoa se,Anchoa compressa,Engraulis compressus 
Anchoa se,Anchoa compressa,Stolephorus compressus 
Anchoa se,Anchoa curta,Anchoviella curta 
Anchoa se,Anchoa curta,Stolephorus curtus 
Anchoa se,Anchoa delicatissima,Anchoviella delicatissima 
Anchoa se,Anchoa delicatissima,Engraulis delicatissimus 
Anchoa se,Anchoa delicatissima,Stolephorus delicatissimus 
Anchoa se,Anchoa exigua,Anchoa tropica 
Anchoa se,Anchoa exigua,Anchovia exigua 
Anchoa se,Anchoa exigua,Anchoviella exigua 
Anchoa se,Anchoa exigua,Stolephorus exiguus 
Anchoa se,Anchoa helleri,Anchoviella helleri 
Anchoa se,Anchoa ischana,Anchoviella ischana 
Anchoa se,Anchoa ischana,Stolephorus ischanus 
Anchoa se,Anchoa lucida,Anchovia lucidus 
Anchoa se,Anchoa lucida,Anchoviella lucida 
Anchoa se,Anchoa lucida,Stolephorus lucidus 
Anchoa se,Anchoa mundeola,Anchoviella mundeola 
Anchoa se,Anchoa mundeola,Stolephorus mundeolus 
Anchoa se,Anchoa mundeola,Anchoa panamensis 
Anchoa se,Anchoa nasus,Stolephorus cultratus 
Anchoa se,Anchoa nasus,Anchoa naso 
Anchoa se,Anchoa nasus,Anchoviella peruana 
Anchoa se,Anchoa nasus,Engraulis peruanus 
Anchoa se,Anchoa nasus,Stolephorus naso 
Anchoa se,Anchoa nasus,Engraulis nasus 
Anchoa se,Anchoa scofieldi,Anchoa schofieldi 
Anchoa se,Anchoa scofieldi,Stolephorus scofieldi 
Anchoveta se,Anchoa delicatissima,Anchoviella delicatissima 
Anchoveta se,Anchoa delicatissima,Engraulis delicatissimus 
Anchoveta se,Anchoa delicatissima,Stolephorus delicatissimus 
Anchoveta se,Anchoa exigua,Anchoa tropica 
Anchoveta se,Anchoa exigua,Anchovia exigua 
Anchoveta se,Anchoa exigua,Anchoviella exigua 
Anchoveta se,Anchoa exigua,Stolephorus exiguus 
Anchoveta se,Anchoa helleri,Anchoviella helleri 
Anchoveta se,Anchoa ischana,Anchoviella ischana 
Anchoveta se,Anchoa ischana,Stolephorus ischanus 
Anchoveta se,Anchoa lucida,Anchovia lucidus 
Anchoveta se,Anchoa lucida,Anchoviella lucida 
Anchoveta se,Anchoa lucida,Stolephorus lucidus 
Anchoveta se,Anchoa mundeola,Anchoviella mundeola 
Anchoveta se,Anchoa mundeola,Stolephorus mundeolus 
Anchoveta se,Anchoa mundeola,Anchoa panamensis 
Anchoveta se,Anchoa nasus,Stolephorus cultratus 
Anchoveta se,Anchoa nasus,Anchoa naso 
Anchoveta se,Anchoa nasus,Anchoviella peruana 
Anchoveta se,Anchoa nasus,Engraulis peruanus 
Anchoveta se,Anchoa nasus,Stolephorus naso 
Anchoveta se,Anchoa nasus,Engraulis nasus 
Anchoveta se,Anchoa scofieldi,Anchoa schofieldi 
Anchoveta se,Anchoa scofieldi,Stolephorus scofieldi 
Anchoveta se,Anchoa walkeri,NA  
Anchoveta se,Anchovia macrolepidota,Anchovia magdalenae 
Anchoveta se,Anchovia macrolepidota,Anchovia rastralis 
Anchoveta se,Anchovia macrolepidota,Engraulis macrolepidotus 
Anchoveta se,Anchovia macrolepidota,Stolephorus branchiomelas 
Anchoveta se,Anchovia macrolepidota,Stolephorus rastralis 
Anchoveta se,Cetengraulis mysticetus,Anchovia opercularis 
Anchoveta se,Cetengraulis mysticetus,Cetengraulis engymen 
Anchoveta se,Cetengraulis mysticetus,Stolephorus opercularis 
Anchoveta se,Cetengraulis mysticetus,Engraulis mysticetus 
Anchoveta se,Engraulis mordax,Anchovia maui 
Anchoveta se,Engraulis mordax,Anchoviella mauii 
Anchoveta se,Engraulis mordax,Engraulis mordax mordax
Anchoveta se,Engraulis mordax,Engraulis nanus 
Anchoveta se,Engraulis mordax,Engraulus mordax 
Angelito,Squatina guggenheim,NA
Angelito,Squatina californica,Squatina californica 
Angelito,Squatina californica,Rhina philippi 
Angelito,Bellator loxias,Bellator loxias 
Angelito,Bellator loxias,Prionotus loxias 
Angelito,Prionotus horrens,NA  
Anguila,Anguilla rostrata,Muraena rostrata
Anguila,Anguilla rostrata,Anguilla aterrima
Anguila,Anguilla rostrata,Anguilla blephura 
Anguila,Anguilla rostrata,Anguilla chrisypa
Anguila,Anguilla rostrata,Anguilla cubana
Anguila,Anguilla rostrata,Anguilla laticanda
Anguila,Anguilla rostrata,Anguilla laticauda 
Anguila,Anguilla rostrata,Anguilla lutea 
Anguila,Anguilla rostrata,Anguilla macrops 
Anguila,Anguilla rostrata,Anguilla novaeorleanensis
Anguila,Anguilla rostrata,Anguilla novaeterrae 
Anguila,Anguilla rostrata,Anguilla punctatissima
Anguila,Anguilla rostrata,Anguilla tenuirostris 
Anguila,Anguilla rostrata,Anguilla texana 
Anguila,Anguilla rostrata,Anguilla tyrannus
Anguila,Anguilla rostrata,Anguilla wabashensis
Anguila,Anguilla rostrata,Anguilla xanthomelas
Anguila,Anguilla rostrata,Leptocephalus grassii
Arbolito,NA,NA
Arenque se,Clupea harengus,Clupea harengus harengus
Arenque se,Clupea harengus,Clupea alba 
Arenque se,Clupea harengus,Clupea atlanticus
Arenque se,Clupea harengus,Clupea borealis
Arenque se,Clupea harengus,Clupea britannicus
Arenque se,Clupea harengus,Clupea caledonicus 
Arenque se,Clupea harengus,Clupea cimbricus 
Arenque se,Clupea harengus,Clupea elongata 
Arenque se,Clupea harengus,Clupea frisius
Arenque se,Clupea harengus,Clupea halec
Arenque se,Clupea harengus,Clupea harengus
Arenque se,Clupea harengus,Clupea harengus atlanticus
Arenque se,Clupea harengus,Clupea harengus borealis 
Arenque se,Clupea harengus,Clupea harengus britannicus
Arenque se,Clupea harengus,Clupea harengus caledonicus
Arenque se,Clupea harengus,Clupea harengus cimbricus 
Arenque se,Clupea harengus,Clupea harengus frisius
Arenque se,Clupea harengus,Clupea harengus islandicus
