"recorded_taxa_group","recorded_taxa_name_clean","common_name_clean","keywords_1","keywords_2","keywords_3","keywords_4","keywords_5"
"TIBURON","TIBURON ZORRO NEGRO (ALOPIAS SUPERCILIOSUS)","tiburon zorro negro","DESV","FCO",NA,NA,NA
"MACARELA","MACARELA BONITO (SCOMBER JAPONICUS)","macarela bonito","ENT","FCO",NA,NA,NA
"SARDINA","SARDINA ESCAMUDA","sardina escamuda","ENT","FCA",NA,NA,NA
"OTRAS","INDIO","indio","DESV","FCO",NA,NA,NA
"SARDINA","SARDINA BOCONA (CETENGRAULIS MYSTICETUS)","sardina bocona","DESV","FCA",NA,NA,NA
"MOJARRA","MOLPICH","molpich","ENT","FCO",NA,NA,NA
"OTRAS","CRAPPIE","crappie","DESV","FCO",NA,NA,NA
"OTRAS","CANGREJO GALLO","cangrejo gallo","MANOS DE","FCO",NA,NA,NA
"LANGOSTINO","PIGUA","pigua","ENT","FCA",NA,NA,NA
"PARGO","CEBADAI","cebadai","ENT","FCA",NA,NA,NA
"CINTILLA","SABLE","sable","ENT","FCO",NA,NA,NA
"LISA","CHURRA","churra","ENT","FCA",NA,NA,NA
"PECES DE ORNATO","ESPADA","espada","DE CULTIVO","VIVO",NA,NA,NA
"ESMEDREGAL","ESMEDREGAL LIMON","esmedregal limon",NA,NA,NA,NA,NA
"CAMARON","CAMARON BLANCO DEL ATLANTICO","camaron blanco del atlantico",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA PATA MULA","almeja pata mula",NA,NA,NA,NA,NA
"OSTION","OSTION KUMAMOTO (CRASSOSTREA SIKAMEA)","ostion kumamoto",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA ARENERA","almeja arenera","ENT","FCA",NA,NA,NA
"OTRAS","RANA TORO","rana toro",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA REINA","almeja reina","DE CULTIVO",NA,NA,NA,NA
"CAZON","CAZON PLAYA (RHIZORIONODON TERRENOVAE)","cazon playa","DESV","FCO",NA,NA,NA
"TIBURON","GALANO","galano","ENT","FCO",NA,NA,NA
"OTRAS","LACHA","lacha","DESV","FCA",NA,NA,NA
"OTRAS","COJINETE","cojinete","DESV","FCO",NA,NA,NA
"TIBURON","TIBURON ZORRO NEGRO (ALOPIAS SUPERCILIOSUS)","tiburon zorro negro","FILETE",NA,NA,NA,NA
"ALMEJA","ALMEJA CALLO ARBOL","almeja callo arbol","ENT","FCA",NA,NA,NA
"TIBURON","TIBURÓN LOBERO","tiburón lobero","DESV","FCO",NA,NA,NA
"OTRAS","CORVINATO","corvinato","ENT","FCO",NA,NA,NA
"TIBURON","PALA","pala","CABEZA DE","ENT","FCA",NA,NA
"PETO","PETILLO","petillo","ENT","FCO",NA,NA,NA
"ESMEDREGAL","ESMEDREGAL","esmedregal",NA,NA,NA,NA,NA
"OTRAS","NACAR","nacar","CONCHA",NA,NA,NA,NA
"OSTION","OSTION JAPONES (MAGALLANA GIGAS)","ostion japones",NA,NA,NA,NA,NA
"OSTION","OSTION JAPONES (CRASSOSTREA GIGAS)","ostion japones",NA,NA,NA,NA,NA
"OTRAS","TOPOTE DEL PACÍFICO","topote del pacífico",NA,NA,NA,NA,NA
"OTRAS","CALLO MEDIA LUNA","callo media luna",NA,NA,NA,NA,NA
"OSTION","OSTION AMERICANO","ostion americano",NA,NA,NA,NA,NA
"TRUCHA","TRUCHA ARCO-IRIS","trucha arco-iris","DE CULTIVO","FILETE DE",NA,NA,NA
"OTRAS","NACAR CALLO","nacar callo","CONCHA","FRESCO",NA,NA,NA
"TIBURON","TIBURON ZORRO PINTO (ALOPIAS VULPINUS)","tiburon zorro pinto","DESV","DESC","FCO",NA,NA
"TIBURON","TIBURON ZORRO PINTO (ALOPIAS VULPINUS)","tiburon zorro pinto","ENT","FCO",NA,NA,NA
"OTRAS","MARLIN BLANCO","marlin blanco","ENT","FCO",NA,NA,NA
"OTRAS","JORDAN","jordan","ENT","FCO",NA,NA,NA
"PETO","PETO","peto","DESV","FCO",NA,NA,NA
"OTRAS","MARLIN NEGRO","marlin negro","ENT","FCO",NA,NA,NA
"CARACOL","CARACOL OLIVO","caracol olivo","S.C.","FCO",NA,NA,NA
"TIBURON","TIBURON ZORRO PINTO (ALOPIAS VULPINUS)","tiburon zorro pinto","DESV","FCO",NA,NA,NA
"TIBURON","TIBURON CORNUDA GIGANTE (SPHYRNA MOKARRAN)","tiburon cornuda gigante","ENT","FCO",NA,NA,NA
"TIBURON","TIBURON LIMON (NEGAPRION BREVIROSTIS)","tiburon limon","DESV","FCO",NA,NA,NA
"OTRAS","MATAPERRO","mataperro","ENT","FCO",NA,NA,NA
"ALMEJA","ALMEJA VOLADORA","almeja voladora","S.C.","FCA",NA,NA,NA
"TIBURON","TIBURON CORNUDA GIGANTE (SPHYRNA MOKARRAN)","tiburon cornuda gigante","DESV","DESC","FCO",NA,NA
"RUBIO","CHAC-CHI","chac-chi","DESV","FCO",NA,NA,NA
"TIBURON","TIBURON CORNUDA GIGANTE (SPHYRNA MOKARRAN)","tiburon cornuda gigante","DESV","FCO",NA,NA,NA
"TIBURON","TIBURON CORNUDA PRIETA (SPHYRNA ZYGAENA)","tiburon cornuda prieta","FILETE DE","SECO DE",NA,NA,NA
"OTRAS","PEZ GLOBO","pez globo","ENT","FCO",NA,NA,NA
"TIBURON","CAÑA HUECA","caña hueca","DES","DESC","FCA",NA,NA
"ANCHOVETA","ANCHOA","anchoa","DESV","FCA",NA,NA,NA
"ALMEJA","ALMEJA RAYA","almeja raya","ENT","FCA",NA,NA,NA
"OTRAS","LORO JABONERO","loro jabonero","ENT","FCO",NA,NA,NA
"OTRAS","PESCADILLA","pescadilla","DESV","FCA",NA,NA,NA
"RUBIA Y VILLAJAIBA","RABIRRUBIA","rabirrubia","DESV","FCA",NA,NA,NA
"OTRAS","BALAO","balao","ENT","FCO",NA,NA,NA
"OTRAS","NACA","naca","ENT","FCA",NA,NA,NA
"BAGRE","BASA","basa","DE CULTIVO","ENT","FCA",NA,NA
"MOJARRA","MOJARRA MEXICANA","mojarra mexicana",NA,NA,NA,NA,NA
"PECES DE ORNATO","MOLLY","molly","DE CULTIVO","VIVO",NA,NA,NA
"OTRAS","CANGREJO ARAÑA","cangrejo araña",NA,NA,NA,NA,NA
"OTRAS","CALLO HACHA LARGO","callo hacha largo",NA,NA,NA,NA,NA
"OSTION","OSTION EUROPEO","ostion europeo",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA LODERA","almeja lodera","DE CULTIVO",NA,NA,NA,NA
"OTRAS","LAGARTO","lagarto","DE CULTIVO","ENT","FCO",NA,NA
"SARDINA","PI�A","pi�a","ENT","FCA","IND",NA,NA
"FAUNA","FAUNA ACOMPA�AMIENTO","fauna acompa�amiento",NA,NA,NA,NA,NA
"TIBURON","TIBURON CORNUDA PRIETA","tiburon cornuda prieta","DESV","DESC","FCO",NA,NA
"TIBURON","TIBURON ZORRO PINTO","tiburon zorro pinto","DESV","DESC","FCO",NA,NA
"SARDINA","SARDINA CRINUDA MACHETE","sardina crinuda machete","ENT","FCA",NA,NA,NA
"TIBURON","TIBURON ZORRO PINTO","tiburon zorro pinto","ENT","FCO",NA,NA,NA
"TIBURON","TIBURON CORNUDA PRIETA","tiburon cornuda prieta","DESV","FCO",NA,NA,NA
"TIBURON","TIBURON ZORRO PINTO","tiburon zorro pinto","DESV","FCO",NA,NA,NA
"TIBURON","TIBURON TORO","tiburon toro","ENT","FCO",NA,NA,NA
"ALMEJA","ALMEJA RO�OSA","almeja ro�osa","ENT","FCA",NA,NA,NA
"TIBURON","TIBURON TORO","tiburon toro","DESV","FCO",NA,NA,NA
"OTRAS","MEDUSA BOLA CA�ON","medusa bola ca�on","ENT","FCA",NA,NA,NA
"TIBURON","TIBURON CORNUDA PRIETA","tiburon cornuda prieta","ENT","FCO",NA,NA,NA
"ORNATO","ESPECIES ORNATO","especies ornato","VIVAS",NA,NA,NA,NA
"OTRAS","CANGREJO ERMITA�O","cangrejo ermita�o","ENT","FCO",NA,NA,NA
"TIBURON","TIBURON TORO","tiburon toro","DESV","DESC","FCO",NA,NA
"SARDINA","PI�A","pi�a","ENT","FCA",NA,NA,NA
"TIBURON","TIBURON CORNUDA GIGANTE","tiburon cornuda gigante","DESV","DESC","FCO",NA,NA
"TIBURON","TIBURON RAYADO","tiburon rayado","ENT","FCO",NA,NA,NA
"MOJARRA","MOJARRITA BANDERA","mojarrita bandera","ENT","FCA",NA,NA,NA
"CAZON","CAZON PLAYA","cazon playa","ENT","FCO",NA,NA,NA
"TIBURON","TIBURON CORNUDA GIGANTE","tiburon cornuda gigante","ENT","FCO",NA,NA,NA
"CARACOL","CARACOL U�A","caracol u�a","ENT","FCO",NA,NA,NA
"LENGUADO","HUARACHE","huarache","ENT","FCO",NA,NA,NA
"ALMEJA","ALMEJA RO�OSA","almeja ro�osa","S.C.","FCA",NA,NA,NA
"CARACOL","CARACOL AMARILLO","caracol amarillo","S.C.","FCO",NA,NA,NA
"OTRAS","SARGO","sargo","DESV","FCO",NA,NA,NA
"OTRAS","CUCHILLA","cuchilla","DE AGUA DULCE","DESV","DESC","FCA",NA
"TIBURON","TIBURON ZORRO PINTO ZORRO COMUN COLUDO PINTO","tiburon zorro pinto zorro comun coludo pinto","DESV","DESC","FCO",NA,NA
"TIBURON","TIBURON VOLADOR PUNTAS NEGRAS JAQUETON (CARCHARHINUS LIMBATUS)","tiburon volador puntas negras jaqueton","DESV","DESC","FCO",NA,NA
"TIBURON","TIBURON NEGRO ZORRO OJON TRESHER","tiburon negro zorro ojon tresher","DESV","DESC","FCO",NA,NA
"TIBURON","TIBURON ZORRO PINTO ZORRO COMUN COLUDO PINTO","tiburon zorro pinto zorro comun coludo pinto","DESV","FCO",NA,NA,NA
"BERRUGATA","CHANO BERRUGATA ALETA AMARILLA","chano berrugata aleta amarilla","ENT","FCA",NA,NA,NA
"PEPINO DE MAR","PEPINO MAR","pepino mar",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA BLANCA MANTEQUILLA PLATO TALIBANA","almeja blanca mantequilla plato talibana","ENT","FCA",NA,NA,NA
"ALMEJA","ALMEJA CHOCOLATA CAFE","almeja chocolata cafe","ENT","FCA",NA,NA,NA
"CARACOL","CARACOL CHINO ROSA","caracol chino rosa","ENT","FCO",NA,NA,NA
"JAIBA","JAIBA VERDE GUERRERA CAFE JAIBON","jaiba verde guerrera cafe jaibon","ENT","FCO",NA,NA,NA
"TIBURON","TIBURON ZORRO PINTO ZORRO COMUN COLUDO PINTO","tiburon zorro pinto zorro comun coludo pinto","ENT","FCO",NA,NA,NA
"ALMEJA","ALMEJA PATA MULA BANCO ALA ANGEL","almeja pata mula banco ala angel","ENT","FCA",NA,NA,NA
"ALMEJA","ALMEJA CALLO ARBOL","almeja callo arbol",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA RO�OSA ARROCERA CHIRLA","almeja ro�osa arrocera chirla","ENT","FCA",NA,NA,NA
"LANGOSTINO","LANGOSTINO REAL MAYACASTLE","langostino real mayacastle","ENT","FCO",NA,NA,NA
"ALMEJA","ALMEJA PATA MULA BANCO ALA ANGEL","almeja pata mula banco ala angel","S.C.","FCA",NA,NA,NA
"LANGOSTA","LANGOSTILLA ROJA","langostilla roja","ENT","FCA",NA,NA,NA
"TIBURON","TIBURON VOLADOR PUNTAS NEGRAS JAQUETON (CARCHARHINUS LIMBATUS)","tiburon volador puntas negras jaqueton","ENT","FCO",NA,NA,NA
"ORNATO","PECES ORNATO","peces ornato",NA,NA,NA,NA,NA
"TIBURON","TIBURON POROSO","tiburon poroso","DESV","DESC","FCO",NA,NA
"TIBURON","TIBURON CHATITA","tiburon chatita","DESV","DESC",NA,NA,NA
"TIBURON","TIBURON VOLADOR PUNTAS NEGRAS JAQUETON (CARCHARHINUS LIMBATUS)","tiburon volador puntas negras jaqueton","DESV","FCO",NA,NA,NA
"TIBURON","TIBURON CORNUDA PRIETA","tiburon cornuda prieta","FILETE DE","SECO DE",NA,NA,NA
"PARGO","PARGO LUNAREJO","pargo lunarejo","DESV","FCO","DE CULTIVO",NA,NA
"TIBURON","TIBURON ZORRO PELAGICO PERRO","tiburon zorro pelagico perro","DESV","DESC","FCO",NA,NA
"ALMEJA","ALMEJA CHOCOLATA CAFE","almeja chocolata cafe","S.C.","FCA",NA,NA,NA
"JAIBA","JAIBA AZUL","jaiba azul","ENTERA","FRESCA",NA,NA,NA
"ALMEJA","ALMEJA BLANCA MANTEQUILLA PLATO TALIBANA","almeja blanca mantequilla plato talibana","S.C.","FCA",NA,NA,NA
"ALMEJA","ALMEJA PATA MULA MANGLE ALMEJA NEGRA","almeja pata mula mangle almeja negra","ENTERO","FCO",NA,NA,NA
"RAYA Y SIMILARES","RAYA CHATA","raya chata","ENT","FCA",NA,NA,NA
"JUREL","JUREL P","jurel p","CARNADA",NA,NA,NA,NA
"TIBURON","TIBUR�N LOBERO","tibur�n lobero","DESV","FCO",NA,NA,NA
"PEPINO DE MAR","PEPINO MAR NEGRO O L�PIZ","pepino mar negro o l�piz","ENT","FCO",NA,NA,NA
"TIBURON","TIBURON LIMON (NEGAPRION BREVIROSTRIS)","tiburon limon","DESV","FCO",NA,NA,NA
"CARACOL","CARACOL U�A","caracol u�a","S.C.","FCO",NA,NA,NA
"OTRAS","GALLINETA","gallineta","DESV","FCA",NA,NA,NA
"PULPO","PULPO VERDE","pulpo verde","DESVICERADO","FRESCO",NA,NA,NA
"PULPO","DOS MANCHAS CAFE","dos manchas cafe","PULPO DE","DESV","FRESCO",NA,NA
"PULPO","PULPO VERDE","pulpo verde","ENTERO","FRESCO",NA,NA,NA
"PULPO","PULPO MANCHADO","pulpo manchado","DESV","FRESCO",NA,NA,NA
"CARACOL","CARACOL CHINO ROSA SIN","caracol chino rosa sin","CONCHA",NA,NA,NA,NA
"PULPO","PULPO PATON","pulpo paton","DESV","FRESCO",NA,NA,NA
"JAIBA","JAIBA PRIETA","jaiba prieta","ENTERA","FRESCA",NA,NA,NA
"JAIBA","JAIBA VERDE GUERRERA CAFE JAIBON","jaiba verde guerrera cafe jaibon","PULPA FRESCA",NA,NA,NA,NA
"JAIBA","JAIBA AZUL","jaiba azul","PULPA FRESCA",NA,NA,NA,NA
"OTRAS","CANGREJO AZUL","cangrejo azul","MANOS DE","FCO",NA,NA,NA
"PULPO","PULPO COMUN","pulpo comun","ENTERO","FRESCO",NA,NA,NA
"PULPO","PULPO COMUN","pulpo comun","DESV","FRESCO",NA,NA,NA
"JAIBA","JAIBA VERDE GUERRERA CAFE JAIBON","jaiba verde guerrera cafe jaibon","COCIDA",NA,NA,NA,NA
"OTRAS","CANGREJO MORO MANGLAR","cangrejo moro manglar","MANOS DE","FCO",NA,NA,NA
"JAIBA","JAIBA VERDE GUERRERA CAFE JAIBON","jaiba verde guerrera cafe jaibon","P/CARNADA",NA,NA,NA,NA
"BERRUGATA","CHANO BERRUGATA ALETA AMARILLA","chano berrugata aleta amarilla","DESV","FCO",NA,NA,NA
"PULPO","DOS MANCHAS CAFE","dos manchas cafe","PULPO DE","ENT","FRESCO",NA,NA
"LANGOSTINO","LANGOSTINO CAUKE","langostino cauke","ENTERO","FCO",NA,NA,NA
"JAIBA","JAIBA AZUL","jaiba azul","MANOS",NA,NA,NA,NA
"ALMEJA","ALMEJA ROÑOSA ARROCERA CHIRLA","almeja roñosa arrocera chirla","ENT","FCA",NA,NA,NA
"ALMEJA","ALMEJA GLOBOSA","almeja globosa","ENT","FCA",NA,NA,NA
"LANGOSTINO","CAMARON MANUDO BURRITO BURRO CAMARONCITO","camaron manudo burrito burro camaroncito","ENT","FCO",NA,NA,NA
"ALMEJA","ALMEJA GLOBOSA","almeja globosa","VIVA",NA,NA,NA,NA
"ALMEJA","ALMEJA ROÑOSA NEGRA","almeja roñosa negra","ENT","FCA",NA,NA,NA
"CARACOL","CARACOL MARGARITA","caracol margarita","VIVO",NA,NA,NA,NA
"ORNATO","ESTRELLA LIMPIADORA","estrella limpiadora",NA,NA,NA,NA,NA
"CARACOL","CARACOL TURBANTE","caracol turbante","ENTERO","FRESCO",NA,NA,NA
"ALMEJA","ALMEJA ROÑOSA CHINA","almeja roñosa china",NA,NA,NA,NA,NA
"OSTION","OSTION AMERICANO","ostion americano","ENT","FCO",NA,NA,NA
"TIBURON","TIBURON LIMON (NEGAPRION BREVIROSTRIS)","tiburon limon","DESV","DESC","FCO",NA,NA
"MOJARRA","MOJARRITA AGALLAS AZULES","mojarrita agallas azules","ENT","FCA",NA,NA,NA
"ALMEJA","ALMEJA PATA MULA MANGLE ALMEJA NEGRA","almeja pata mula mangle almeja negra","S.C.","FCA",NA,NA,NA
"OTRAS","HACHA CHINA","hacha china","VIVA",NA,NA,NA,NA
"ALMEJA","ALMEJA CHOCOLATA ROJA","almeja chocolata roja","ENT","FCA",NA,NA,NA
"CHARAL","CHARAL CHAPALA","charal chapala","ENTERO","FRESCO",NA,NA,NA
"CARACOL","CARACOL ROSADO","caracol rosado","ENT","COCIDO",NA,NA,NA
"PULPO","PULPO MANCHADO","pulpo manchado","ENT","FRESCO",NA,NA,NA
"BERRUGATA","CHANO BERRUGATA ALETA AMARILLA","chano berrugata aleta amarilla","DESC","DESV","FCO",NA,NA
"ALMEJA","ALMEJA ROÑOSA CHINA","almeja roñosa china","ENT","FCA",NA,NA,NA
"OTRAS","CANGREJO MOTEADO ROCA","cangrejo moteado roca","ENT","FCO",NA,NA,NA
"TIBURON","GATA MANCHADA","gata manchada","ENT","FCA",NA,NA,NA
"OTRAS","CANGREJO ROJO ROCA","cangrejo rojo roca","ENT","FCO",NA,NA,NA
"OTRAS","BOQUINEGRO","boquinegro","ENT","FCO",NA,NA,NA
"RAYA Y SIMILARES","RAYA MANCHADA","raya manchada","ENT","FCA",NA,NA,NA
"JAIBA","JAIBA AZUL","jaiba azul","COCIDO",NA,NA,NA,NA
"CAMARON","CAMARON PIEDRA","camaron piedra","DESC","FCO",NA,NA,NA
"ALMEJA","ALMEJA ROÑOSA NEGRA","almeja roñosa negra","S.C.","FCA",NA,NA,NA
"PEPINO DE MAR","PEPINO MAR ARENERO","pepino mar arenero","ENTERO","FRESCO",NA,NA,NA
"TIBURON","TIBURON LIMON (NEGAPRION BREVIROSTRIS)","tiburon limon","ENT","FCO",NA,NA,NA
"JAIBA","JAIBA VERDE GUERRERA CAFE JAIBON","jaiba verde guerrera cafe jaibon","MANOS","COCIDAS",NA,NA,NA
"TIBURON","TIBURON NEGRO ZORRO OJON TRESHER","tiburon negro zorro ojon tresher","ENT","FCO",NA,NA,NA
"BERRUGATA","CHANO BERRUGATA ALETA AMARILLA","chano berrugata aleta amarilla","DESC","FCO",NA,NA,NA
"ALMEJA","ALMEJA ROÑOSA NEGRA","almeja roñosa negra",NA,NA,NA,NA,NA
"LANGOSTINO","LANGOSTINO CAUKE","langostino cauke",NA,NA,NA,NA,NA
