region_id,year,condition
1,2007,92.43543981193979
1,2008,82.94779674304145
1,2009,80.76981717138109
1,2010,90.3773565410333
1,2011,78.41023324431926
1,2012,80.76981717138109
1,2013,74.50775575648278
1,2014,78.62599151733416
1,2015,77.98927753423412
1,2016,80.76981717138109
1,2017,80.76981717138109
1,2018,79.71834400623955
1,2019,80.76981717138109
1,2020,82.3137229847072
1,2021,80.41932610107891
1,2022,77.69857960184247
1,2023,80.76981717138109
1,2024,81.06984858048635
1,2025,80.76981717138109
2,2007,85.89514139045997
2,2008,79.74985504892727
2,2009,78.39824838986469
2,2010,62.84080923472865
2,2011,76.0334451830038
2,2012,74.60159109714888
2,2013,66.72967325669403
2,2014,77.78417781853506
2,2015,75.6341682107897
2,2016,75.20385915583125
2,2017,74.99035822125244
2,2018,71.29203086188527
2,2019,76.09078196555504
2,2020,81.62505303607563
2,2021,89.03507402521157
2,2022,91.78602581556773
2,2023,92.99918892626037
2,2024,85.08053645164618
2,2025,81.98924857019274
3,2007,88.41286457534568
3,2008,93.353171917542
3,2009,89.02525073631786
3,2010,92.6273976700051
3,2011,82.16700357965992
3,2012,79.92686898910534
3,2013,91.408410460991945
3,2014,87.68631839735262
3,2015,93.01333145103253
3,2016,96.7791490495801
3,2017,87.78654473784539
3,2018,92.95293810766762
3,2019,93.92721489165223
3,2020,96.46911146809171
3,2021,98.16684123428595
3,2022,98.63173732420631
3,2023,99.62831457548657
3,2024,100
3,2025,97.8033950723131
4,2007,97.27665370558641
4,2008,96.24997478906197
4,2009,97.58306399053166
4,2010,97.4483715962379
4,2011,97.52169776571634
4,2012,98.20486405479669
4,2013,96.71919314572169
4,2014,96.80305151357784
4,2015,98.59583655961538
4,2016,98.2505341995531
4,2017,97.13775193926047
4,2018,98.31230307888634
4,2019,98.59287553860825
4,2020,98.70120897827043
4,2021,97.68098927090878
4,2022,98.96852332896556
4,2023,98.47553340229744
4,2024,98.96852332896556
4,2025,98.9234988997872
6,2007,84.34264781290928
6,2008,80.29780334610412
6,2009,70.03400491304356
6,2010,79.86519273421717
6,2011,83.70829069193356
6,2012,59.2329017830073
6,2013,69.58996198450187
6,2014,76.81082534015988
6,2015,92.55906522437543
6,2016,69.32214488185713
6,2017,51.98279877611345
6,2018,83.10225484560355
6,2019,79.48107007242096
6,2020,95.83546167269171
6,2021,89.62262451581512
6,2022,80.99547019521151
6,2023,78.25885052692803
6,2024,99.83201331040247
6,2025,89.45726595882475
7,2007,80.02616816530251
7,2008,78.80645354894934
7,2009,81.18742237218251
7,2010,78.59205726602445
7,2011,76.82953536960224
7,2012,78.18808133627053
7,2013,80.10910952594843
7,2014,78.41650118427525
7,2015,78.31172998032497
7,2016,75.85497669062026
7,2017,81.06736440184609
7,2018,80.30830714783531
7,2019,80.45546062758993
7,2020,80.88935710184103
7,2021,82.45673560215121
7,2022,98.25975536559253
7,2023,83.04384283297588
7,2024,83.87183003024913
7,2025,81.80566438128463
8,2007,47.33370066139367
8,2008,71.34687723670451
8,2009,50.424358455131625
8,2010,60.67907824563533
8,2011,62.467492768375855
8,2012,54.81401949615243
8,2013,68.35363192409278
8,2014,68.32509559609068
8,2015,59.04838035601237
8,2016,45.16900679763438
8,2017,54.36875926076231
8,2018,52.19867605130582
8,2019,55.00125494317384
8,2020,64.0840955003869
8,2021,54.02003909230129
8,2022,69.92641121667874
8,2023,80.1432443120224
8,2024,76.24304324304435
8,2025,79.48122347226543
9,2007,93.43178618660455
9,2008,93.43178618660455
9,2009,100
9,2010,93.43178618660455
9,2011,93.43178618660455
9,2012,93.43178618660455
9,2013,92.05489492278447
9,2014,80.96499297764824
9,2015,93.43178618660455
9,2016,93.43178618660455
9,2017,93.43178618660455
9,2018,94.51990248126721
9,2019,93.43178618660455
9,2020,100
9,2021,100
9,2022,93.43178618660455
9,2023,100
9,2024,94.51990248126721
9,2025,93.43178618660455
