"year","OHI_region_est","sold_whole_mt","fillet_mt","ref_point_mt","residue_mt","preparation_unknown_mt","RESD_score_prop","RESD_score","region_exclude_include","median_regional_prod_mt","OHI_region_name"
2023,"region_2",2892.334,560.462,186.820666666667,19.289,0.684,0.103248748354036,10.3248748354036,"exclude",20.93,"Western Midriff Islands"
2023,"region_3",760.243,1592.637,530.879,15.077,NA,0.02840006856553,2.840006856553,"exclude",9.404,"Western Central Gulf"
2023,"region_4",1133.866,1874.825,624.941666666667,5.177,NA,0.00828397317082928,0.828397317082928,"exclude",5.177,"Western Southern Gulf"
2023,"region_5",11923.186,17063.825,5687.94166666667,455.292,NA,0.080045124700939,8.0045124700939,"include",327.149,"Eastern Upper Gulf"
2023,"region_6",1164.564,2245.454,748.484666666667,15.933,NA,0.0212870092195164,2.12870092195164,"exclude",15.726,"Eastern Midriff Islands"
2023,"region_7",3848.797,6545.843,2181.94766666667,154.79,15.678,0.0709412065031196,7.09412065031196,"include",126.768,"Southern Sonora Coast"
2023,"region_8",14237.865,15929.581,5309.86033333333,97.583,14.963,0.0183776961867359,1.83776961867359,"include",70.314,"Sinaloa Coast"
2023,"region_9",3881.171,2067.735,689.245,18.707,NA,0.0271412922835857,2.71412922835857,"include",58.476,"Southeastern Gulf"
2023,NA,12.767,387.511,129.170333333333,NA,NA,NA,NA,"exclude",0.09,NA
2024,"region_1",7103.968,2145.74404,715.248013333333,14.4919,2.99,0.0202613635128633,2.02613635128633,"exclude",14.4919,"Western Upper Gulf"
2024,"region_2",3084.2463,605.94514,201.981713333333,25.494,NA,0.126219347183806,12.6219347183806,"exclude",20.93,"Western Midriff Islands"
2024,"region_3",807.9077,1229.8582,409.952733333333,9.404,NA,0.0229392299047158,2.29392299047158,"exclude",9.404,"Western Central Gulf"
2024,"region_4",1106.43681,1626.79978,542.266593333333,2.17,0.275,0.00400172171156797,0.400172171156797,"exclude",5.177,"Western Southern Gulf"
2024,"region_5",14752.0155,17775.3499,5925.11663333333,311.0708,NA,0.0525003673767344,5.25003673767344,"include",327.149,"Eastern Upper Gulf"
2024,"region_6",1233.0379,1992.85591,664.285303333333,9.396,NA,0.0141445248793727,1.41445248793727,"exclude",15.726,"Eastern Midriff Islands"
2024,"region_7",3859.6755,5119.97401,1706.65800333333,152.5245,NA,0.089370277877641,8.9370277877641,"include",126.768,"Southern Sonora Coast"
2024,"region_8",15570.1768,11037.23853,3679.07951,70.314,40.19,0.019111845723606,1.9111845723606,"include",70.314,"Sinaloa Coast"
2024,"region_9",4377.73405,2145.2649,715.0883,15.857,0.68,0.0221748838570006,2.21748838570006,"include",58.476,"Southeastern Gulf"
2024,NA,13.83,209.857,69.9523333333333,NA,NA,NA,NA,"exclude",0.09,NA
