Country (Name),ASFIS species (Scientific name),FAO major fishing area (Name),Detailed production source (Name),Unit (Name),Unit,[1950],S,[1951],S,[1952],S,[1953],S,[1954],S,[1955],S,[1956],S,[1957],S,[1958],S,[1959],S,[1960],S,[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S,[2022],S,[2023],S,[2024],S
Mexico,ATHERINIDAE,"Pacific, Eastern Central",Capture production,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1062,,906,,793,,704,,986,,1021,,1117,,0,...,0,...,1233,,1935,,1937,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,262.71,,270.29,
Mexico,BALAENOPTERIDAE,"Pacific, Eastern Central",Capture production,Number,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,6,,0,...,0,...,0,...
Mexico,BALISTIDAE,"Pacific, Eastern Central",Capture production,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,22,,40,,74,,96,,109,,177,,302,,508,,440,E,199,,62,,99,,44,,302,,306,,194,,1471,,1526,,1310,,1279,,1349,,906,,1266,,5787,,3259,,2338,,1645,,833,,901,,0,...,0,...,1167,,1219,,1555,,1181,,1198,,1271,,1022,,121,,2026,,3569,,4900,,8494,,5439,,9513,,3427.76,,3046.64,,2325.73,,2551.06,,3451.88,,3335.55,
Mexico,BELONIDAE,"Pacific, Eastern Central",Capture production,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2.12,,0,,0,,0.02,,194,,122.78,
Mexico,CARANGIDAE,"Pacific, Eastern Central",Capture production,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,400,,600,,400,,400,,500,,1000,,500,,500,,500,,1100,,1500,,900,,1000,,600,,1100,,600,,900,,1000,,1400,,1700,,2036,,1506,,1081,,2241,,2536,,1377,,2716,,3649,,2586,,2304,,2324,,2138,,2045,,2233,,3690,,3040,,2698,,2889,,3623,,1462,,1630,,2081,,2335,,2811,,4161,,2988,,3167,,3284,,3337,,4158,,4080,,8543,,8921,,8094,,5451,,5179,,13883,,5958,,7040,,20292,,26122,,20912,,16594,,23212,,18584,,11895.58,,10701.79,,16960.77,,9900.09,,7730.58,,10692.34,
Mexico,CARANGIDAE,"Pacific, Eastern Central",Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,48.63,,131.24,,222.47,,335.95,,239.81,,495.1,,531.38,,300.56,,89.56,,270.67,,341.39,
Mexico,CARCHARHINIDAE,"Pacific, Eastern Central",Capture production,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2100,,2800,,2400,,3400,,4293,,3693,,4551,,5424,,8037,,9137,,9017,,11139,,9659,E,5590,,6115,,6789,,5777,,5292,,6546,,6484,,9405,,7788,,6169,,6764,,5985,,6334,,5849,,3482,,2988,,2789,,3210,,2859,,2450,,3000,,3268,,4161,,4344,,5243,,5755,,6685,,7175,,6512,,7041,,6046,,8506,,9055,,9470,,10051,,10607,,4217.02,,3928.07,,3202.41,,4932.7,,27498.61,,36300.76,
Mexico,CENTROPOMIDAE,"Pacific, Eastern Central",Capture production,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1000,,1000,,800,,800,,600,,500,,500,,400,,600,,400,,300,,229,,261,,383,,310,,320,,532,,447,,995,,1560,,873,,917,,706,,545,,729,,807,,539,,450,,603,,481,,757,,1026,,563,,587,,684,,752,,996,,809,,862,,686,,1351,,1169,,1409,,1472,,1644,,1533,,1422,,1568,,998,,1599,,2202,,3287,,3177,,4092,,3526,,4583,,1682.91,,1186.73,,1042.93,,966.15,,3261.83,,3166.62,
Mexico,CENTROPOMIDAE,"Pacific, Eastern Central",Aquaculture production (brackishwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,105.56,,100.98,,0,...,0,...,0,...,8.5,
Mexico,CHANIDAE,"Pacific, Eastern Central",Capture production,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,500,,700,,1700,,1700,,1600,,1700,,1500,,1700,,1000,,1500,,900,,700,,900,,700,,900,,1100,,800,,600,,400,,200,,33,,22,,49,,41,,46,,39,,211,,209,,181,E,175,,97,,1705,,603,,730,,577,,821,,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,...,1,,2,,3,,14,,15,,422,,69,,65,,68,,10146,,9052,,6861,,10521,,10669,,6312,,11843,,7069,,10813.01,,3953.05,,10708.71,,9636.98,,1079.94,,785.85,
