"OHI_region_est","year","StockStatus_geo.mean","FOFM_score"
"region_1",2021,0.97094,97.094
"region_2",2020,1,100
"region_2",2024,1,100
"region_3",2018,0.312746667,31.2746667
"region_3",2020,0.297673333,29.7673333
"region_3",2021,0.97094,97.094
"region_3",2022,0.430533333,43.0533333
"region_3",2024,0.241266667,24.1266667
"region_4",2018,0.312746667,31.2746667
"region_5",2023,0.56127363471346,56.127363471346
"region_7",2018,0.683067175383562,68.3067175383562
"region_7",2019,0.63548992058925,63.548992058925
"region_7",2020,0.678374559440293,67.8374559440293
"region_7",2021,0.798747383509823,79.8747383509823
"region_7",2022,0.619125272344225,61.9125272344225
"region_7",2023,0.592873677677323,59.2873677677323
"region_7",2024,0.55585990579778,55.585990579778
"region_8",2018,1,100
"region_8",2019,1,100
"region_8",2020,0.999369204743267,99.9369204743267
"region_8",2021,0.89860797292774,89.860797292774
"region_8",2022,0.923260427044646,92.3260427044646
"region_8",2023,0.857261327721932,85.7261327721932
"region_8",2024,0.978661961908519,97.8661961908519
"region_9",2018,0.336200495049505,33.6200495049505
"region_9",2019,1,100
"region_9",2020,1,100
"region_9",2021,1,100
"region_9",2022,1,100
"region_9",2024,1,100
NA,2023,0.41476,41.476
