"year","OHI_Region_No","estimated_genus_name","Annual_Catch_kg","Avg_Catch_Ref2018.22","n_years_Ref2018.22","status","control","notes","Stock_Status"
2022,"region_3","galeorhinus",1355,687.25,4,"maximally harvested","no increase",NA,0.50719557195572
2023,"region_3","galeorhinus",2912,687.25,4,"maximally harvested","no increase",NA,0.236006181318681
2024,"region_3","galeorhinus",281,687.25,4,"maximally harvested","no increase",NA,1
2018,"region_3","haliotis",31919.82,15787.189,3,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja",0.247294455294547
2019,"region_3","haliotis",14394.947,15787.189,3,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja",0.5
2020,"region_3","haliotis",1046.8,15787.189,3,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja",0.966846536137624
2023,"region_3","haliotis",7140,15787.189,3,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja",0.773867279349097
2024,"region_3","haliotis",3699.68,15787.189,3,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja",0.882826512053539
2018,"region_3","hoplopagrus",19743.9,15310.48,5,"maximally harvested","no increase",NA,0.775453684429115
2019,"region_3","hoplopagrus",12030.4,15310.48,5,"maximally harvested","no increase",NA,1
2020,"region_3","hoplopagrus",6506.9,15310.48,5,"maximally harvested","no increase",NA,1
2021,"region_3","hoplopagrus",17891.9,15310.48,5,"maximally harvested","no increase",NA,0.85572130405379
2022,"region_3","hoplopagrus",20379.3,15310.48,5,"maximally harvested","no increase",NA,0.751276049717115
2023,"region_3","hoplopagrus",20914,15310.48,5,"maximally harvested","no increase",NA,0.73206847088075
2024,"region_3","hoplopagrus",26419.5,15310.48,5,"maximally harvested","no increase",NA,0.579514373852647
2018,"region_3","isurus",7833,21700.09,5,"maximally harvested","no increase",NA,1
2019,"region_3","isurus",55442.7,21700.09,5,"maximally harvested","no increase",NA,0.391396703263009
2020,"region_3","isurus",24801.75,21700.09,5,"maximally harvested","no increase",NA,0.874941889181207
2021,"region_3","isurus",14859.55,21700.09,5,"maximally harvested","no increase",NA,1
2022,"region_3","isurus",5563.45,21700.09,5,"maximally harvested","no increase",NA,1
2023,"region_3","isurus",10605,21700.09,5,"maximally harvested","no increase",NA,1
2024,"region_3","isurus",17527.6,21700.09,5,"maximally harvested","no increase",NA,1
2018,"region_3","lutjanus",501839.98,444134.416,5,"maximally harvested","no increase",NA,0.88501202315527
2019,"region_3","lutjanus",418530.45,444134.416,5,"maximally harvested","no increase",NA,1
2020,"region_3","lutjanus",408498.45,444134.416,5,"maximally harvested","no increase",NA,1
2021,"region_3","lutjanus",459140.9,444134.416,5,"maximally harvested","no increase",NA,1
2022,"region_3","lutjanus",432662.3,444134.416,5,"maximally harvested","no increase",NA,1
2023,"region_3","lutjanus",446234,444134.416,5,"maximally harvested","no increase",NA,1
2024,"region_3","lutjanus",318763.56,444134.416,5,"maximally harvested","no increase",NA,1
2018,"region_3","megapitaria",18154,14884.6666666667,3,"maximally harvested","no increase","Within region variation in status, took most conservative",0.819911130696632
2021,"region_3","megapitaria",25000,14884.6666666667,3,"maximally harvested","no increase","Within region variation in status, took most conservative",0.595386666666667
2022,"region_3","megapitaria",1500,14884.6666666667,3,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2018,"region_3","megastraea",72394,69085.8,5,"maximally harvested","no increase",NA,1
2019,"region_3","megastraea",60431,69085.8,5,"maximally harvested","no increase",NA,1
2020,"region_3","megastraea",82824,69085.8,5,"maximally harvested","no increase",NA,0.834127789046653
2021,"region_3","megastraea",26152,69085.8,5,"maximally harvested","no increase",NA,1
2022,"region_3","megastraea",103628,69085.8,5,"maximally harvested","no increase",NA,0.666671169954067
2023,"region_3","megastraea",43085,69085.8,5,"maximally harvested","no increase",NA,1
2024,"region_3","megastraea",74893,69085.8,5,"maximally harvested","no increase",NA,1
2018,"region_3","mugil",26081,27833,5,"maximally harvested","no increase",NA,1
2019,"region_3","mugil",44906,27833,5,"maximally harvested","no increase",NA,0.619805816594664
2020,"region_3","mugil",20410,27833,5,"maximally harvested","no increase",NA,1
2021,"region_3","mugil",23892,27833,5,"maximally harvested","no increase",NA,1
2022,"region_3","mugil",23876,27833,5,"maximally harvested","no increase",NA,1
2023,"region_3","mugil",15810,27833,5,"maximally harvested","no increase",NA,1
2024,"region_3","mugil",11957,27833,5,"maximally harvested","no increase",NA,1
2019,"region_3","mustelus",5282,9123.5,4,"maximally harvested","no increase",NA,1
2020,"region_3","mustelus",11023,9123.5,4,"maximally harvested","no increase",NA,0.827678490429103
2021,"region_3","mustelus",8576,9123.5,4,"maximally harvested","no increase",NA,1
2022,"region_3","mustelus",11613,9123.5,4,"maximally harvested","no increase",NA,0.785628175320761
2023,"region_3","mustelus",21426,9123.5,4,"maximally harvested","no increase",NA,0.425814431065061
2024,"region_3","mustelus",13589.2,9123.5,4,"maximally harvested","no increase",NA,0.67137874194213
2021,"region_3","negaprion",168,168,1,"maximally harvested","no increase",NA,1
2020,"region_3","octopus",3095,3095,1,"maximally harvested","no increase",NA,1
2018,"region_3","panulirus",148276.1,132975.42,5,NA,NA,NA,NA
2019,"region_3","panulirus",151478,132975.42,5,NA,NA,NA,NA
2020,"region_3","panulirus",132373,132975.42,5,NA,NA,NA,NA
2021,"region_3","panulirus",116395,132975.42,5,NA,NA,NA,NA
2022,"region_3","panulirus",116355,132975.42,5,NA,NA,NA,NA
2023,"region_3","panulirus",95147,132975.42,5,NA,NA,NA,NA
2024,"region_3","panulirus",79283,132975.42,5,NA,NA,NA,NA
2018,"region_3","paralabrax",205623,251131.36,5,"maximally harvested","no increase",NA,1
2019,"region_3","paralabrax",231965.1,251131.36,5,"maximally harvested","no increase",NA,1
2020,"region_3","paralabrax",211735.9,251131.36,5,"maximally harvested","no increase",NA,1
2021,"region_3","paralabrax",302589.8,251131.36,5,"maximally harvested","no increase",NA,0.829939938490987
2022,"region_3","paralabrax",303743,251131.36,5,"maximally harvested","no increase",NA,0.826788963037831
2023,"region_3","paralabrax",231439,251131.36,5,"maximally harvested","no increase",NA,1
2024,"region_3","paralabrax",298780.2,251131.36,5,"maximally harvested","no increase",NA,0.840522096176386
2018,"region_3","prionace",1247.8,2223.52,5,"maximally harvested","no increase",NA,1
2019,"region_3","prionace",6635,2223.52,5,"maximally harvested","no increase",NA,0.335119819140919
2020,"region_3","prionace",2258,2223.52,5,"maximally harvested","no increase",NA,1
2021,"region_3","prionace",955.8,2223.52,5,"maximally harvested","no increase",NA,1
2022,"region_3","prionace",21,2223.52,5,"maximally harvested","no increase",NA,1
2024,"region_3","prionace",67.5,2223.52,5,"maximally harvested","no increase",NA,1
2018,"region_3","rhizoprionodon",90865.32,151436.334,5,"maximally harvested","no increase",NA,1
2019,"region_3","rhizoprionodon",153329.8,151436.334,5,"maximally harvested","no increase",NA,1
2020,"region_3","rhizoprionodon",188729.45,151436.334,5,"maximally harvested","no increase",NA,0.802399063845097
2021,"region_3","rhizoprionodon",132018,151436.334,5,"maximally harvested","no increase",NA,1
2022,"region_3","rhizoprionodon",192239.1,151436.334,5,"maximally harvested","no increase",NA,0.787749911438412
2018,"region_3","scomberomorus",84181,95829.32,5,"maximally harvested","no increase",NA,1
2019,"region_3","scomberomorus",206182,95829.32,5,"maximally harvested","no increase",NA,0.464780242698199
2020,"region_3","scomberomorus",89903.5,95829.32,5,"maximally harvested","no increase",NA,1
2021,"region_3","scomberomorus",56350,95829.32,5,"maximally harvested","no increase",NA,1
2022,"region_3","scomberomorus",42530.1,95829.32,5,"maximally harvested","no increase",NA,1
2023,"region_3","scomberomorus",28613,95829.32,5,"maximally harvested","no increase",NA,1
2024,"region_3","scomberomorus",42831,95829.32,5,"maximally harvested","no increase",NA,1
2018,"region_3","sphoeroides",5775,3078.53,5,"maximally harvested","no increase","Seems they might lump these Botetes into one species?",0.533078787878788
2019,"region_3","sphoeroides",1450,3078.53,5,"maximally harvested","no increase","Seems they might lump these Botetes into one species?",1
2020,"region_3","sphoeroides",3770.5,3078.53,5,"maximally harvested","no increase","Seems they might lump these Botetes into one species?",0.816477920700172
2021,"region_3","sphoeroides",1862.75,3078.53,5,"maximally harvested","no increase","Seems they might lump these Botetes into one species?",1
2022,"region_3","sphoeroides",2534.4,3078.53,5,"maximally harvested","no increase","Seems they might lump these Botetes into one species?",1
2023,"region_3","sphoeroides",2607,3078.53,5,"maximally harvested","no increase","Seems they might lump these Botetes into one species?",1
2024,"region_3","sphoeroides",3961.15,3078.53,5,"maximally harvested","no increase","Seems they might lump these Botetes into one species?",0.777180869192028
2018,"region_3","sphyrna",11046,12015.38,5,"maximally harvested","no increase",NA,1
2019,"region_3","sphyrna",8638.2,12015.38,5,"maximally harvested","no increase",NA,1
2020,"region_3","sphyrna",10512,12015.38,5,"maximally harvested","no increase",NA,1
2021,"region_3","sphyrna",6685.9,12015.38,5,"maximally harvested","no increase",NA,1
2022,"region_3","sphyrna",23194.8,12015.38,5,"maximally harvested","no increase",NA,0.518020418369635
2023,"region_3","sphyrna",1258,12015.38,5,"maximally harvested","no increase",NA,1
2024,"region_3","sphyrna",981,12015.38,5,"maximally harvested","no increase",NA,1
2020,"region_3","thunnus",28.8,69.9,2,"deteriorating","no increase","recovery phase",0.793991416309013
2022,"region_3","thunnus",111,69.9,2,"deteriorating","no increase","recovery phase",0.314864864864865
2023,"region_3","thunnus",504,69.9,2,"deteriorating","no increase","recovery phase",0.0693452380952381
2024,"region_3","thunnus",584,69.9,2,"deteriorating","no increase","recovery phase",0.0598458904109589
2021,"region_3_4_bcs_tbd","argopecten",6100,6100,1,NA,NA,NA,NA
2023,"region_3_4_bcs_tbd","argopecten",44,6100,1,NA,NA,NA,NA
2024,"region_3_4_bcs_tbd","argopecten",3512,6100,1,NA,NA,NA,NA
2024,"region_3_4_bcs_tbd","atrina",30270,NA,0,NA,NA,NA,NA
2023,"region_3_4_bcs_tbd","cynoscion",1200,NA,0,NA,NA,NA,NA
2024,"region_3_4_bcs_tbd","cynoscion",5487,NA,0,NA,NA,NA,NA
2018,"region_3_4_bcs_tbd","haliotis",41,209.333333333333,3,NA,NA,NA,NA
2019,"region_3_4_bcs_tbd","haliotis",195,209.333333333333,3,NA,NA,NA,NA
2020,"region_3_4_bcs_tbd","haliotis",392,209.333333333333,3,NA,NA,NA,NA
2023,"region_3_4_bcs_tbd","haliotis",56,209.333333333333,3,NA,NA,NA,NA
2024,"region_3_4_bcs_tbd","lutjanus",93.5,NA,0,NA,NA,NA,NA
2018,"region_3_4_bcs_tbd","panulirus",1800,1800,1,NA,NA,NA,NA
2024,"region_3_4_bcs_tbd","panulirus",4500,1800,1,NA,NA,NA,NA
2023,"region_3_4_bcs_tbd","paralabrax",10771,NA,0,NA,NA,NA,NA
2024,"region_3_4_bcs_tbd","paralabrax",3152.6,NA,0,NA,NA,NA,NA
2023,"region_3_4_bcs_tbd","sphoeroides",32,NA,0,NA,NA,NA,NA
2018,"region_4","alopias",3803,72685.04,5,"maximally harvested","no increase",NA,1
2019,"region_4","alopias",33410,72685.04,5,"maximally harvested","no increase",NA,1
2020,"region_4","alopias",63615.45,72685.04,5,"maximally harvested","no increase",NA,1
2021,"region_4","alopias",258582.25,72685.04,5,"maximally harvested","no increase",NA,0.281090600766294
2022,"region_4","alopias",4014.5,72685.04,5,"maximally harvested","no increase",NA,1
2023,"region_4","alopias",76256,72685.04,5,"maximally harvested","no increase",NA,1
2024,"region_4","alopias",900,72685.04,5,"maximally harvested","no increase",NA,1
2022,"region_4","atrina",4,4,1,"maximally harvested","no increase",NA,1
2018,"region_4","carcharhinus",150154,330955.22,5,"maximally harvested","no increase",NA,1
2019,"region_4","carcharhinus",215048.95,330955.22,5,"maximally harvested","no increase",NA,1
2020,"region_4","carcharhinus",439948.75,330955.22,5,"maximally harvested","no increase",NA,0.752258575572723
2021,"region_4","carcharhinus",83182.9,330955.22,5,"maximally harvested","no increase",NA,1
2022,"region_4","carcharhinus",766441.5,330955.22,5,"maximally harvested","no increase",NA,0.431807541736714
2023,"region_4","carcharhinus",1004036,330955.22,5,"maximally harvested","no increase",NA,0.329624854088897
2024,"region_4","carcharhinus",1417111.75,330955.22,5,"maximally harvested","no increase",NA,0.233542075986597
2018,"region_4","centropomus",5777.54,2088.268,5,"maximally harvested","no increase",NA,0.361445874887928
2019,"region_4","centropomus",41.8,2088.268,5,"maximally harvested","no increase",NA,1
2020,"region_4","centropomus",110.3,2088.268,5,"maximally harvested","no increase",NA,1
2021,"region_4","centropomus",2043.9,2088.268,5,"maximally harvested","no increase",NA,1
2022,"region_4","centropomus",2467.8,2088.268,5,"maximally harvested","no increase",NA,0.846206337628657
2023,"region_4","centropomus",494,2088.268,5,"maximally harvested","no increase",NA,1
2024,"region_4","centropomus",797.9,2088.268,5,"maximally harvested","no increase",NA,1
2018,"region_4","cynoscion",18896.02,11592.704,5,NA,NA,NA,NA
2019,"region_4","cynoscion",16547,11592.704,5,NA,NA,NA,NA
2020,"region_4","cynoscion",5502.2,11592.704,5,NA,NA,NA,NA
2021,"region_4","cynoscion",6639.9,11592.704,5,NA,NA,NA,NA
2022,"region_4","cynoscion",10378.4,11592.704,5,NA,NA,NA,NA
2023,"region_4","cynoscion",3264,11592.704,5,NA,NA,NA,NA
2024,"region_4","cynoscion",15830.652,11592.704,5,NA,NA,NA,NA
2018,"region_4","galeocerdo",78,84.25,3,"maximally harvested","no increase",NA,1
2021,"region_4","galeocerdo",75.75,84.25,3,"maximally harvested","no increase",NA,1
2022,"region_4","galeocerdo",99,84.25,3,"maximally harvested","no increase",NA,0.851010101010101
2023,"region_4","galeocerdo",227,84.25,3,"maximally harvested","no increase",NA,0.371145374449339
2024,"region_4","galeocerdo",157.5,84.25,3,"maximally harvested","no increase",NA,0.534920634920635
2018,"region_4","hoplopagrus",33108.3,56865.72,5,"maximally harvested","no increase",NA,1
2019,"region_4","hoplopagrus",31941.6,56865.72,5,"maximally harvested","no increase",NA,1
2020,"region_4","hoplopagrus",66973.6,56865.72,5,"maximally harvested","no increase",NA,0.849076651098343
2021,"region_4","hoplopagrus",61055.3,56865.72,5,"maximally harvested","no increase",NA,1
2022,"region_4","hoplopagrus",91249.8,56865.72,5,"maximally harvested","no increase",NA,0.623187338492797
2023,"region_4","hoplopagrus",61338,56865.72,5,"maximally harvested","no increase",NA,1
2024,"region_4","hoplopagrus",59096.03,56865.72,5,"maximally harvested","no increase",NA,1
2018,"region_4","isurus",24802,78546.27,5,"maximally harvested","no increase",NA,1
2019,"region_4","isurus",26245.5,78546.27,5,"maximally harvested","no increase",NA,1
2020,"region_4","isurus",70133.55,78546.27,5,"maximally harvested","no increase",NA,1
2021,"region_4","isurus",171053.55,78546.27,5,"maximally harvested","no increase",NA,0.459191112958486
2022,"region_4","isurus",100496.75,78546.27,5,"maximally harvested","no increase",NA,0.781580200354738
2023,"region_4","isurus",119208,78546.27,5,"maximally harvested","no increase",NA,0.658900996577411
2024,"region_4","isurus",258645.7,78546.27,5,"maximally harvested","no increase",NA,0.303682875841354
2018,"region_4","lutjanus",1483380.12,1286983.746,5,"maximally harvested","no increase",NA,0.867602126149567
2019,"region_4","lutjanus",1308660.21,1286983.746,5,"maximally harvested","no increase",NA,1
2020,"region_4","lutjanus",1347273.1,1286983.746,5,"maximally harvested","no increase",NA,1
2021,"region_4","lutjanus",1036274.3,1286983.746,5,"maximally harvested","no increase",NA,1
2022,"region_4","lutjanus",1259331,1286983.746,5,"maximally harvested","no increase",NA,1
2023,"region_4","lutjanus",934994,1286983.746,5,"maximally harvested","no increase",NA,1
2024,"region_4","lutjanus",774785.385,1286983.746,5,"maximally harvested","no increase",NA,1
2018,"region_4","megapitaria",43171,66208.4,5,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2019,"region_4","megapitaria",63467,66208.4,5,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2020,"region_4","megapitaria",53242,66208.4,5,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2021,"region_4","megapitaria",44132,66208.4,5,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2022,"region_4","megapitaria",127030,66208.4,5,"maximally harvested","no increase","Within region variation in status, took most conservative",0.521202865464851
2023,"region_4","megapitaria",24940,66208.4,5,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2024,"region_4","megapitaria",2975,66208.4,5,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2018,"region_4","mugil",10620,6685.74,5,"maximally harvested","no increase",NA,0.629542372881356
2019,"region_4","mugil",5388,6685.74,5,"maximally harvested","no increase",NA,1
2020,"region_4","mugil",755,6685.74,5,"maximally harvested","no increase",NA,1
2021,"region_4","mugil",14369.7,6685.74,5,"maximally harvested","no increase",NA,0.465266498256749
2022,"region_4","mugil",2296,6685.74,5,"maximally harvested","no increase",NA,1
2023,"region_4","mugil",275,6685.74,5,"maximally harvested","no increase",NA,1
2024,"region_4","mugil",1945,6685.74,5,"maximally harvested","no increase",NA,1
2018,"region_4","mustelus",3608,11641.05,5,"maximally harvested","no increase",NA,1
2019,"region_4","mustelus",855,11641.05,5,"maximally harvested","no increase",NA,1
2020,"region_4","mustelus",19540.25,11641.05,5,"maximally harvested","no increase",NA,0.595747239671959
2021,"region_4","mustelus",21630,11641.05,5,"maximally harvested","no increase",NA,0.538190013869626
2022,"region_4","mustelus",12572,11641.05,5,"maximally harvested","no increase",NA,1
2023,"region_4","mustelus",19492,11641.05,5,"maximally harvested","no increase",NA,0.597221937205007
2024,"region_4","mustelus",4483.8,11641.05,5,"maximally harvested","no increase",NA,1
2021,"region_4","negaprion",3513,3513,1,"maximally harvested","no increase",NA,1
2024,"region_4","negaprion",766,3513,1,"maximally harvested","no increase",NA,1
2020,"region_4","octopus",217.8,217.8,1,"maximally harvested","no increase",NA,1
2023,"region_4","panopea",350,NA,0,"maximally harvested","no increase","Only in Baja California",NA
2024,"region_4","panopea",290,NA,0,"maximally harvested","no increase","Only in Baja California",NA
2020,"region_4","panulirus",3968,2084,2,NA,NA,NA,NA
2021,"region_4","panulirus",200,2084,2,NA,NA,NA,NA
2023,"region_4","panulirus",243,2084,2,NA,NA,NA,NA
2024,"region_4","panulirus",325,2084,2,NA,NA,NA,NA
2018,"region_4","paralabrax",36755.8,39475.1,5,"maximally harvested","no increase",NA,1
2019,"region_4","paralabrax",56960.2,39475.1,5,"maximally harvested","no increase",NA,0.693029518857026
2020,"region_4","paralabrax",32855.2,39475.1,5,"maximally harvested","no increase",NA,1
2021,"region_4","paralabrax",33317.6,39475.1,5,"maximally harvested","no increase",NA,1
2022,"region_4","paralabrax",37486.7,39475.1,5,"maximally harvested","no increase",NA,1
2023,"region_4","paralabrax",47653,39475.1,5,"maximally harvested","no increase",NA,0.828386460453696
2024,"region_4","paralabrax",33085.16,39475.1,5,"maximally harvested","no increase",NA,1
2018,"region_4","prionace",3202,41620.44,5,"maximally harvested","no increase",NA,1
2019,"region_4","prionace",4650,41620.44,5,"maximally harvested","no increase",NA,1
2020,"region_4","prionace",21928.75,41620.44,5,"maximally harvested","no increase",NA,1
2021,"region_4","prionace",87006.45,41620.44,5,"maximally harvested","no increase",NA,0.478360397418812
2022,"region_4","prionace",91315,41620.44,5,"maximally harvested","no increase",NA,0.455789738816186
2023,"region_4","prionace",210241,41620.44,5,"maximally harvested","no increase",NA,0.197965382584748
2024,"region_4","prionace",1577094.25,41620.44,5,"maximally harvested","no increase",NA,0.0263905850902697
2018,"region_4","rhizoprionodon",66196.95,177597.59,5,"maximally harvested","no increase",NA,1
2019,"region_4","rhizoprionodon",56069.75,177597.59,5,"maximally harvested","no increase",NA,1
2020,"region_4","rhizoprionodon",94646.55,177597.59,5,"maximally harvested","no increase",NA,1
2021,"region_4","rhizoprionodon",129310.7,177597.59,5,"maximally harvested","no increase",NA,1
2022,"region_4","rhizoprionodon",541764,177597.59,5,"maximally harvested","no increase",NA,0.327813568269579
2018,"region_4","scomberomorus",38911,59269.13,5,"maximally harvested","no increase",NA,1
2019,"region_4","scomberomorus",31733.9,59269.13,5,"maximally harvested","no increase",NA,1
2020,"region_4","scomberomorus",72087.7,59269.13,5,"maximally harvested","no increase",NA,0.822180899099292
2021,"region_4","scomberomorus",76620.72,59269.13,5,"maximally harvested","no increase",NA,0.773539194097889
2022,"region_4","scomberomorus",76992.33,59269.13,5,"maximally harvested","no increase",NA,0.769805641678853
2023,"region_4","scomberomorus",65932,59269.13,5,"maximally harvested","no increase",NA,0.898943305223564
2024,"region_4","scomberomorus",98954.9,59269.13,5,"maximally harvested","no increase",NA,0.598950936234588
2018,"region_4","sphoeroides",8103.75,4197.8,5,"maximally harvested","no increase","Seems they might lump these Botetes into one species?",0.518007095480487
2019,"region_4","sphoeroides",3944.75,4197.8,5,"maximally harvested","no increase","Seems they might lump these Botetes into one species?",1
2020,"region_4","sphoeroides",2792.5,4197.8,5,"maximally harvested","no increase","Seems they might lump these Botetes into one species?",1
2021,"region_4","sphoeroides",4732,4197.8,5,"maximally harvested","no increase","Seems they might lump these Botetes into one species?",0.887109044801353
2022,"region_4","sphoeroides",1416,4197.8,5,"maximally harvested","no increase","Seems they might lump these Botetes into one species?",1
2023,"region_4","sphoeroides",3473,4197.8,5,"maximally harvested","no increase","Seems they might lump these Botetes into one species?",1
2024,"region_4","sphoeroides",3596.5,4197.8,5,"maximally harvested","no increase","Seems they might lump these Botetes into one species?",1
2018,"region_4","sphyrna",98523,204664.99,5,"maximally harvested","no increase",NA,1
2019,"region_4","sphyrna",189039.5,204664.99,5,"maximally harvested","no increase",NA,1
2020,"region_4","sphyrna",258776.3,204664.99,5,"maximally harvested","no increase",NA,0.790895418166192
2021,"region_4","sphyrna",316278.9,204664.99,5,"maximally harvested","no increase",NA,0.647102889253757
2022,"region_4","sphyrna",160707.25,204664.99,5,"maximally harvested","no increase",NA,1
2023,"region_4","sphyrna",458553,204664.99,5,"maximally harvested","no increase",NA,0.446327883581614
2024,"region_4","sphyrna",311547.5,204664.99,5,"maximally harvested","no increase",NA,0.656930291528579
2024,"region_4","strongylocentrotus",2300,NA,0,"unclear",NA,NA,NA
2018,"region_4","thunnus",23922,8590.6,5,"deteriorating","no increase","recovery phase",0.179554385084859
2019,"region_4","thunnus",9674,8590.6,5,"deteriorating","no increase","recovery phase",0.444004548273723
2020,"region_4","thunnus",4766,8590.6,5,"deteriorating","no increase","recovery phase",0.72260377622052
2021,"region_4","thunnus",4151,8590.6,5,"deteriorating","no increase","recovery phase",0.758398714874398
2022,"region_4","thunnus",440,8590.6,5,"deteriorating","no increase","recovery phase",0.9743906129956
2023,"region_4","thunnus",3399,8590.6,5,"deteriorating","no increase","recovery phase",0.802167485391009
2024,"region_4","thunnus",6104.3,8590.6,5,"deteriorating","no increase","recovery phase",0.644710497520546
2022,"region_4_5_6_sonora_tbd","argopecten",1800,1800,1,NA,NA,NA,NA
2023,"region_4_5_6_sonora_tbd","argopecten",500,1800,1,NA,NA,NA,NA
2022,"region_4_5_6_sonora_tbd","centropomus",242,242,1,NA,NA,NA,NA
2018,"region_4_5_6_sonora_tbd","cynoscion",36340,45148.75,4,NA,NA,NA,NA
2019,"region_4_5_6_sonora_tbd","cynoscion",1500,45148.75,4,NA,NA,NA,NA
2021,"region_4_5_6_sonora_tbd","cynoscion",140000,45148.75,4,NA,NA,NA,NA
2022,"region_4_5_6_sonora_tbd","cynoscion",2755,45148.75,4,NA,NA,NA,NA
2023,"region_4_5_6_sonora_tbd","cynoscion",182856,45148.75,4,NA,NA,NA,NA
2024,"region_4_5_6_sonora_tbd","cynoscion",40000,45148.75,4,NA,NA,NA,NA
2022,"region_4_5_6_sonora_tbd","dosinia",4000,4000,1,NA,NA,NA,NA
2023,"region_4_5_6_sonora_tbd","dosinia",300,4000,1,NA,NA,NA,NA
2024,"region_4_5_6_sonora_tbd","dosinia",60,4000,1,NA,NA,NA,NA
2019,"region_4_5_6_sonora_tbd","haliotis",16000,16000,1,NA,NA,NA,NA
2020,"region_4_5_6_sonora_tbd","isurus",13762.5,11568.75,2,NA,NA,NA,NA
2021,"region_4_5_6_sonora_tbd","isurus",9375,11568.75,2,NA,NA,NA,NA
2018,"region_4_5_6_sonora_tbd","lutjanus",21610,5691.475,4,NA,NA,NA,NA
2019,"region_4_5_6_sonora_tbd","lutjanus",566,5691.475,4,NA,NA,NA,NA
2020,"region_4_5_6_sonora_tbd","lutjanus",26.4,5691.475,4,NA,NA,NA,NA
2022,"region_4_5_6_sonora_tbd","lutjanus",563.5,5691.475,4,NA,NA,NA,NA
2023,"region_4_5_6_sonora_tbd","lutjanus",205,5691.475,4,NA,NA,NA,NA
2024,"region_4_5_6_sonora_tbd","lutjanus",370,5691.475,4,NA,NA,NA,NA
2022,"region_4_5_6_sonora_tbd","megapitaria",2250,2250,1,NA,NA,NA,NA
2024,"region_4_5_6_sonora_tbd","megapitaria",65,2250,1,NA,NA,NA,NA
2023,"region_4_5_6_sonora_tbd","mustelus",3088,NA,0,NA,NA,NA,NA
2024,"region_4_5_6_sonora_tbd","mustelus",1250,NA,0,NA,NA,NA,NA
2018,"region_4_5_6_sonora_tbd","panopea",29384,7976,4,NA,NA,NA,NA
2019,"region_4_5_6_sonora_tbd","panopea",2000,7976,4,NA,NA,NA,NA
2021,"region_4_5_6_sonora_tbd","panopea",180,7976,4,NA,NA,NA,NA
2022,"region_4_5_6_sonora_tbd","panopea",340,7976,4,NA,NA,NA,NA
2023,"region_4_5_6_sonora_tbd","panopea",6087,7976,4,NA,NA,NA,NA
2024,"region_4_5_6_sonora_tbd","panopea",60,7976,4,NA,NA,NA,NA
2018,"region_4_5_6_sonora_tbd","paralabrax",993,1183.45,4,NA,NA,NA,NA
2019,"region_4_5_6_sonora_tbd","paralabrax",2360.8,1183.45,4,NA,NA,NA,NA
2021,"region_4_5_6_sonora_tbd","paralabrax",200,1183.45,4,NA,NA,NA,NA
2022,"region_4_5_6_sonora_tbd","paralabrax",1180,1183.45,4,NA,NA,NA,NA
2023,"region_4_5_6_sonora_tbd","paralabrax",6448,1183.45,4,NA,NA,NA,NA
2024,"region_4_5_6_sonora_tbd","paralabrax",11650,1183.45,4,NA,NA,NA,NA
2020,"region_4_5_6_sonora_tbd","prionace",41693.75,29909.375,2,NA,NA,NA,NA
2021,"region_4_5_6_sonora_tbd","prionace",18125,29909.375,2,NA,NA,NA,NA
2018,"region_4_5_6_sonora_tbd","rhizoprionodon",35,611.25,2,NA,NA,NA,NA
2021,"region_4_5_6_sonora_tbd","rhizoprionodon",1187.5,611.25,2,NA,NA,NA,NA
2019,"region_4_5_6_sonora_tbd","scomberomorus",6000,64200,4,NA,NA,NA,NA
2020,"region_4_5_6_sonora_tbd","scomberomorus",2000,64200,4,NA,NA,NA,NA
2021,"region_4_5_6_sonora_tbd","scomberomorus",245000,64200,4,NA,NA,NA,NA
2022,"region_4_5_6_sonora_tbd","scomberomorus",3800,64200,4,NA,NA,NA,NA
2023,"region_4_5_6_sonora_tbd","scomberomorus",9200,64200,4,NA,NA,NA,NA
2024,"region_4_5_6_sonora_tbd","scomberomorus",23350,64200,4,NA,NA,NA,NA
2018,"region_4_5_6_sonora_tbd","sphoeroides",5400,5400,1,NA,NA,NA,NA
2018,"region_5","argopecten",580050,1630495.6,5,"unclear",NA,NA,NA
2019,"region_5","argopecten",393248,1630495.6,5,"unclear",NA,NA,NA
2020,"region_5","argopecten",380225,1630495.6,5,"unclear",NA,NA,NA
2021,"region_5","argopecten",2522164,1630495.6,5,"unclear",NA,NA,NA
2022,"region_5","argopecten",4276791,1630495.6,5,"unclear",NA,NA,NA
2023,"region_5","argopecten",170441,1630495.6,5,"unclear",NA,NA,NA
