"year","OHI_Region_No","estimated_genus_name","Annual_Catch_kg","Avg_Catch_Ref2018.22","n_years_Ref2018.22","status","control","notes","Stock_Status"
2021,"region_1","panopea",1245748,985905.962,5,"maximally harvested","no increase","Within region variation in status, took most conservative",0.791416853167735
2022,"region_1","panopea",1320237,985905.962,5,"maximally harvested","no increase","Within region variation in status, took most conservative",0.746764377910936
2023,"region_1","panopea",1467747,985905.962,5,"maximally harvested","no increase","Within region variation in status, took most conservative",0.671713832152272
2024,"region_1","panopea",957853,985905.962,5,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2018,"region_1","panulirus",23056,34025,5,NA,NA,NA,NA
2019,"region_1","panulirus",42925,34025,5,NA,NA,NA,NA
2020,"region_1","panulirus",39741,34025,5,NA,NA,NA,NA
2021,"region_1","panulirus",32255,34025,5,NA,NA,NA,NA
2022,"region_1","panulirus",32148,34025,5,NA,NA,NA,NA
2023,"region_1","panulirus",46792,34025,5,NA,NA,NA,NA
2024,"region_1","panulirus",43120,34025,5,NA,NA,NA,NA
2018,"region_1","paralabrax",2514.1,16450.46,5,"maximally harvested","no increase",NA,1
2019,"region_1","paralabrax",32885.9,16450.46,5,"maximally harvested","no increase",NA,0.500228365348067
2020,"region_1","paralabrax",7847.9,16450.46,5,"maximally harvested","no increase",NA,1
2021,"region_1","paralabrax",6908.5,16450.46,5,"maximally harvested","no increase",NA,1
2022,"region_1","paralabrax",32095.9,16450.46,5,"maximally harvested","no increase",NA,0.512540854127786
2023,"region_1","paralabrax",16542,16450.46,5,"maximally harvested","no increase",NA,1
2024,"region_1","paralabrax",15527,16450.46,5,"maximally harvested","no increase",NA,1
2020,"region_1","prionace",2282.5,2158.75,2,"maximally harvested","no increase",NA,1
2022,"region_1","prionace",2035,2158.75,2,"maximally harvested","no increase",NA,1
2023,"region_1","prionace",20,2158.75,2,"maximally harvested","no increase",NA,1
2024,"region_1","prionace",214.5,2158.75,2,"maximally harvested","no increase",NA,1
2018,"region_1","rhizoprionodon",1298.75,2965.15,5,"maximally harvested","no increase",NA,1
2019,"region_1","rhizoprionodon",1848,2965.15,5,"maximally harvested","no increase",NA,1
2020,"region_1","rhizoprionodon",1985.5,2965.15,5,"maximally harvested","no increase",NA,1
2021,"region_1","rhizoprionodon",332,2965.15,5,"maximally harvested","no increase",NA,1
2022,"region_1","rhizoprionodon",9361.5,2965.15,5,"maximally harvested","no increase",NA,0.316738770496181
2018,"region_1","scomberomorus",21000,409330.2,5,"maximally harvested","no increase",NA,1
2019,"region_1","scomberomorus",104305,409330.2,5,"maximally harvested","no increase",NA,1
2020,"region_1","scomberomorus",65881,409330.2,5,"maximally harvested","no increase",NA,1
2021,"region_1","scomberomorus",818398,409330.2,5,"maximally harvested","no increase",NA,0.500160313197246
2022,"region_1","scomberomorus",1037067,409330.2,5,"maximally harvested","no increase",NA,0.394699860279037
2023,"region_1","scomberomorus",723256,409330.2,5,"maximally harvested","no increase",NA,0.565954793323526
2024,"region_1","scomberomorus",1444694,409330.2,5,"maximally harvested","no increase",NA,0.283333494843891
2018,"region_1","sphyrna",40,40,1,"maximally harvested","no increase",NA,1
2020,"region_1","strongylocentrotus",500,500,1,"deteriorating","decrease",NA,0.5
2020,"region_1_2_baja_tbd","chione",1700,977.5,2,NA,NA,NA,NA
2021,"region_1_2_baja_tbd","chione",255,977.5,2,NA,NA,NA,NA
2018,"region_1_2_baja_tbd","cynoscion",158.4,8671.22,5,NA,NA,NA,NA
2019,"region_1_2_baja_tbd","cynoscion",16025.9,8671.22,5,NA,NA,NA,NA
2020,"region_1_2_baja_tbd","cynoscion",1576.2,8671.22,5,NA,NA,NA,NA
2021,"region_1_2_baja_tbd","cynoscion",23158.6,8671.22,5,NA,NA,NA,NA
2022,"region_1_2_baja_tbd","cynoscion",2437,8671.22,5,NA,NA,NA,NA
2023,"region_1_2_baja_tbd","cynoscion",500,8671.22,5,NA,NA,NA,NA
2024,"region_1_2_baja_tbd","cynoscion",382.5,8671.22,5,NA,NA,NA,NA
2021,"region_1_2_baja_tbd","mugil",1200,1200,1,NA,NA,NA,NA
2019,"region_1_2_baja_tbd","mustelus",150,150,1,NA,NA,NA,NA
2018,"region_1_2_baja_tbd","octopus",2880,1287.33333333333,3,NA,NA,NA,NA
2020,"region_1_2_baja_tbd","octopus",666,1287.33333333333,3,NA,NA,NA,NA
2021,"region_1_2_baja_tbd","octopus",316,1287.33333333333,3,NA,NA,NA,NA
2018,"region_1_2_baja_tbd","panopea",12576.99,13106.598,5,NA,NA,NA,NA
2019,"region_1_2_baja_tbd","panopea",187,13106.598,5,NA,NA,NA,NA
2020,"region_1_2_baja_tbd","panopea",23023,13106.598,5,NA,NA,NA,NA
2021,"region_1_2_baja_tbd","panopea",20956,13106.598,5,NA,NA,NA,NA
2022,"region_1_2_baja_tbd","panopea",8790,13106.598,5,NA,NA,NA,NA
2024,"region_1_2_baja_tbd","panopea",360,13106.598,5,NA,NA,NA,NA
2021,"region_1_2_baja_tbd","panulirus",110,110,1,NA,NA,NA,NA
2020,"region_1_2_baja_tbd","paralabrax",872,872,1,NA,NA,NA,NA
2024,"region_1_2_baja_tbd","paralabrax",4.4,872,1,NA,NA,NA,NA
2019,"region_1_2_baja_tbd","rhizoprionodon",400,400,1,NA,NA,NA,NA
2020,"region_1_2_baja_tbd","scomberomorus",200,7600,2,NA,NA,NA,NA
2021,"region_1_2_baja_tbd","scomberomorus",15000,7600,2,NA,NA,NA,NA
2018,"region_1_2_baja_tbd","strongylocentrotus",1400,900,2,NA,NA,NA,NA
2020,"region_1_2_baja_tbd","strongylocentrotus",400,900,2,NA,NA,NA,NA
2024,"region_1_2_baja_tbd","strongylocentrotus",500,900,2,NA,NA,NA,NA
2019,"region_1_2_baja_tbd","thunnus",474782,474782,1,NA,NA,NA,NA
2024,"region_1_2_baja_tbd","thunnus",432051,474782,1,NA,NA,NA,NA
2018,"region_2","alopias",3553,2067.25,4,"maximally harvested","no increase",NA,0.581832254432874
2020,"region_2","alopias",2802.5,2067.25,4,"maximally harvested","no increase",NA,0.73764495985727
2021,"region_2","alopias",1050,2067.25,4,"maximally harvested","no increase",NA,1
2022,"region_2","alopias",863.5,2067.25,4,"maximally harvested","no increase",NA,1
2023,"region_2","alopias",359,2067.25,4,"maximally harvested","no increase",NA,1
2024,"region_2","alopias",14760,2067.25,4,"maximally harvested","no increase",NA,0.140057588075881
2022,"region_2","argopecten",450,450,1,"maximally harvested","no increase",NA,1
2023,"region_2","argopecten",1405,450,1,"maximally harvested","no increase",NA,0.320284697508897
2024,"region_2","argopecten",38620,450,1,"maximally harvested","no increase",NA,0.0116519937856033
2018,"region_2","carcharhinus",140073.3,69649.075,4,"maximally harvested","no increase",NA,0.497233055835766
2020,"region_2","carcharhinus",79547.2,69649.075,4,"maximally harvested","no increase",NA,0.875569158939598
2021,"region_2","carcharhinus",17372.2,69649.075,4,"maximally harvested","no increase",NA,1
2022,"region_2","carcharhinus",41603.6,69649.075,4,"maximally harvested","no increase",NA,1
2023,"region_2","carcharhinus",30693,69649.075,4,"maximally harvested","no increase",NA,1
2024,"region_2","carcharhinus",31.4,69649.075,4,"maximally harvested","no increase",NA,1
2021,"region_2","centropomus",66,66,1,"maximally harvested","no increase",NA,1
2018,"region_2","chione",853,853,1,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",1
2018,"region_2","cynoscion",276244.65,270577.53,5,"maximally harvested","no increase",NA,1
2019,"region_2","cynoscion",272876.2,270577.53,5,"maximally harvested","no increase",NA,1
2020,"region_2","cynoscion",273233.35,270577.53,5,"maximally harvested","no increase",NA,1
2021,"region_2","cynoscion",347719.15,270577.53,5,"maximally harvested","no increase",NA,0.778149635992151
2022,"region_2","cynoscion",182814.3,270577.53,5,"maximally harvested","no increase",NA,1
2023,"region_2","cynoscion",441263,270577.53,5,"maximally harvested","no increase",NA,0.613188801236451
2024,"region_2","cynoscion",463851.1,270577.53,5,"maximally harvested","no increase",NA,0.583328421555969
2018,"region_2","dosinia",28139,31932.6,5,"unclear",NA,"capture records are recent in this area, no pattern available",NA
2019,"region_2","dosinia",36131,31932.6,5,"unclear",NA,"capture records are recent in this area, no pattern available",NA
2020,"region_2","dosinia",32397,31932.6,5,"unclear",NA,"capture records are recent in this area, no pattern available",NA
2021,"region_2","dosinia",9731,31932.6,5,"unclear",NA,"capture records are recent in this area, no pattern available",NA
2022,"region_2","dosinia",53265,31932.6,5,"unclear",NA,"capture records are recent in this area, no pattern available",NA
2023,"region_2","dosinia",26313,31932.6,5,"unclear",NA,"capture records are recent in this area, no pattern available",NA
2024,"region_2","dosinia",49876,31932.6,5,"unclear",NA,"capture records are recent in this area, no pattern available",NA
2022,"region_2","galeocerdo",120,120,1,"maximally harvested","no increase",NA,1
2018,"region_2","galeorhinus",440,2162.3875,4,"maximally harvested","no increase",NA,1
2020,"region_2","galeorhinus",2010,2162.3875,4,"maximally harvested","no increase",NA,1
2021,"region_2","galeorhinus",1050,2162.3875,4,"maximally harvested","no increase",NA,1
2022,"region_2","galeorhinus",5149.55,2162.3875,4,"maximally harvested","no increase",NA,0.419917759804255
2023,"region_2","galeorhinus",250,2162.3875,4,"maximally harvested","no increase",NA,1
2024,"region_2","galeorhinus",3749.9,2162.3875,4,"maximally harvested","no increase",NA,0.576652044054508
2018,"region_2","hoplopagrus",43,1030.68,5,"maximally harvested","no increase",NA,1
2019,"region_2","hoplopagrus",415,1030.68,5,"maximally harvested","no increase",NA,1
2020,"region_2","hoplopagrus",3044,1030.68,5,"maximally harvested","no increase",NA,0.338593955321945
2021,"region_2","hoplopagrus",452.5,1030.68,5,"maximally harvested","no increase",NA,1
2022,"region_2","hoplopagrus",1198.9,1030.68,5,"maximally harvested","no increase",NA,0.859688047376762
2023,"region_2","hoplopagrus",2907,1030.68,5,"maximally harvested","no increase",NA,0.354551083591331
2024,"region_2","hoplopagrus",12851.9,1030.68,5,"maximally harvested","no increase",NA,0.0801967024331033
2018,"region_2","isurus",2287,7311.08,5,"maximally harvested","no increase",NA,1
2019,"region_2","isurus",12278,7311.08,5,"maximally harvested","no increase",NA,0.595461801596351
2020,"region_2","isurus",4455,7311.08,5,"maximally harvested","no increase",NA,1
2021,"region_2","isurus",8762.2,7311.08,5,"maximally harvested","no increase",NA,0.834388623861587
2022,"region_2","isurus",8773.2,7311.08,5,"maximally harvested","no increase",NA,0.833342452012948
2023,"region_2","isurus",3663,7311.08,5,"maximally harvested","no increase",NA,1
2024,"region_2","isurus",6581.5,7311.08,5,"maximally harvested","no increase",NA,1
