region_id,year,pressure
1,2007,0.281531305406857
1,2008,0.346371781277862
1,2009,0.197464512982428
1,2010,0.136324958496314
1,2011,0.16631975724709602
1,2012,0.175373599349854
1,2013,0.20246481934808
1,2014,0.189647406060412
1,2015,0.180438434774461
1,2016,0.290870502333203
1,2017,0.227707124116923
1,2018,0.160668328519487
1,2019,0.131756597965859
1,2020,0.057049976974612
1,2021,0.0689447993052235
1,2022,0.042290342923002294
1,2023,0.101697703727037
1,2024,0.0456843879699647
1,2025,0.0198436674566369
2,2007,0.133058494172246
2,2008,0.13786778328994498
2,2009,0.160713372234325
2,2010,0.278698938459422
2,2011,0.276012953442949
2,2012,0.29675288006441103
2,2013,0.278743091752358
2,2014,0.318220392524567
2,2015,0.303078105403064
2,2016,0.306501133811889
2,2017,0.298430849040157
2,2018,0.24010442303158602
2,2019,0.270666259275909
2,2020,0.23247228959767
2,2021,0.17622942469616698
2,2022,0.153943511406427
2,2023,0.121115051570074
2,2024,0.191906525709719
2,2025,0.221512645622844
3,2007,0.0323484314778068
3,2008,0.039828899115171
3,2009,0.0432808119971463
3,2010,0.027930184112258297
3,2011,0.055428979671244896
3,2012,0.0348308252936209
3,2013,0.0217961292175043
3,2014,0.058308599846490096
3,2015,0.0152778025378804
3,2016,0.018045950930595002
3,2017,0.021714514252621702
3,2018,0.016774070298553302
3,2019,0.012047829738387502
3,2020,0.00924270683136147
3,2021,0.00882890414887794
3,2022,0.007104075367905241
3,2023,0.0054539946308662405
3,2024,0.00292682499612208
3,2025,0.0104813622955659
4,2007,0.0196394548538757
4,2008,0.0120220073798733
4,2009,0.0168374850705972
4,2010,0.013007245624573201
4,2011,0.0104364913933533
4,2012,0.00862757385853126
4,2013,0.0215494335800552
4,2014,0.0102115426985413
4,2015,0.006587385526484491
4,2016,0.0115909758987734
4,2017,0.013957885924468401
4,2018,0.00888076380554237
4,2019,0.009668413139947249
4,2020,0.00990923094728844
4,2021,0.0100019791769145
4,2022,0.006980731891351229
4,2023,0.007425041532135011
4,2024,0.0141933818902286
4,2025,0.020071774423624702
5,2007,0.250659118924271
5,2008,0.280014414758382
5,2009,0.23041282827788698
5,2010,0.306117906678974
5,2011,0.332129333334705
5,2012,0.39685698062733205
5,2013,0.397635319294252
5,2014,0.415989853591283
5,2015,0.46904566463782404
5,2016,0.503691004546572
5,2017,0.492868482229656
5,2018,0.411186684575192
5,2019,0.42849503336579503
5,2020,0.25192040470522303
5,2021,0.290795488012846
5,2022,0.169399812718878
5,2023,0.24649720213595
5,2024,0.210221437395787
5,2025,0.063777472460665
6,2007,0.19069336585348398
6,2008,0.140005248861618
6,2009,0.233763919983788
6,2010,0.319273703664418
6,2011,0.32064586978550996
6,2012,0.331193353450944
6,2013,0.310510742873952
6,2014,0.33950729127086
6,2015,0.350105625366604
6,2016,0.36536631838116695
6,2017,0.346197126832456
6,2018,0.295947778882434
6,2019,0.302097542333556
6,2020,0.25349321897425797
6,2021,0.263358563493172
6,2022,0.148016330048961
6,2023,0.168575665525107
6,2024,0.175074518206834
6,2025,0.15638607915318
7,2007,0.183658931548321
7,2008,0.192331784166307
7,2009,0.19613310762200398
7,2010,0.20716692108597598
7,2011,0.218032664534527
7,2012,0.19032098290038
7,2013,0.203785995221062
7,2014,0.20606195254755602
7,2015,0.20211638906305499
7,2016,0.21761776138270603
7,2017,0.200008156169444
7,2018,0.19260902884394898
7,2019,0.188555393965373
7,2020,0.158274693135529
7,2021,0.13882587634291899
7,2022,0.0762708555235088
7,2023,0.139694124377408
7,2024,0.132761422723727
7,2025,0.128070708921275
8,2007,0.435901246050632
8,2008,0.404093986442614
8,2009,0.448880054318448
8,2010,0.477172389248325
8,2011,0.442125905459115
8,2012,0.48994745410317203
8,2013,0.490454923686016
8,2014,0.45897685628412
8,2015,0.456205624143016
8,2016,0.502611038505982
8,2017,0.46949052737124497
8,2018,0.488537154851373
8,2019,0.45919928932265897
8,2020,0.40985762139272
8,2021,0.43858410588756
8,2022,0.348313837868243
8,2023,0.314761098661629
8,2024,0.32789852099468
8,2025,0.35477042432520906
9,2007,0.19248582274128398
9,2008,0.11814380301022301
9,2009,0.11704019202021901
9,2010,0.22667599175994
9,2011,0.162580341834023
9,2012,0.193425398954709
9,2013,0.254735343189794
9,2014,0.199684871259382
9,2015,0.172793596309014
9,2016,0.22477944788628398
9,2017,0.20670107056922798
9,2018,0.150949929218056
9,2019,0.139285336035817
9,2020,0.112927480977361
9,2021,0.131673841746798
9,2022,0.07655699766590911
9,2023,0.06863696138199131
9,2024,0.09297558604880861
9,2025,0.0909546759087449
