region_id,year,condition
1,2007,71.8468694593143
1,2008,65.3628218722138
1,2009,80.2535487017572
1,2010,86.3675041503686
1,2011,83.3680242752904
1,2012,82.4626400650146
1,2013,79.753518065192
1,2014,81.0352593939588
1,2015,81.9561565225539
1,2016,70.9129497666797
1,2017,77.2292875883077
1,2018,83.9331671480513
1,2019,86.8243402034141
1,2020,94.2950023025388
1,2021,93.1055200694776
1,2022,95.7709657076998
1,2023,89.8302296272963
1,2024,95.4315612030035
1,2025,98.0156332543363
2,2007,86.694150582775407
2,2008,86.2132216710055
2,2009,83.9286627765675
2,2010,72.1301061540578
2,2011,72.3987046557051
2,2012,70.3247119935589
2,2013,72.1256908247642
2,2014,68.1779607475433
2,2015,69.6921894596936
2,2016,69.3498866188111
2,2017,70.1569150959843
2,2018,75.9895576968414
2,2019,72.9333740724091
2,2020,76.752771040233
2,2021,82.3770575303832
2,2022,84.6056488593573
2,2023,87.8884948429926
2,2024,80.8093474290281
2,2025,77.8487354377156
3,2007,96.7651568522193
3,2008,96.0171100884829
3,2009,95.6719188002854
3,2010,97.2069815887742
3,2011,94.4571020328755
3,2012,96.5169174706379
3,2013,97.8203870782496
3,2014,94.169140015351
3,2015,98.472219746212
3,2016,98.1954049069405
3,2017,97.8285485747378
3,2018,98.3225929701447
3,2019,98.7952170261612
3,2020,99.0757293168639
3,2021,99.1171095851122
3,2022,99.2895924632095
3,2023,99.4546005369134
3,2024,99.7073175003878
3,2025,98.9518637704434
4,2007,98.0360545146124
4,2008,98.7977992620127
4,2009,98.3162514929403
4,2010,98.6992754375427
4,2011,98.9563508606647
4,2012,99.1372426141469
4,2013,97.8450566419945
4,2014,98.9788457301459
4,2015,99.3412614473515
4,2016,98.8409024101227
4,2017,98.6042114075532
4,2018,99.1119236194458
4,2019,99.0331586860053
4,2020,99.0090769052712
4,2021,98.9998020823085
4,2022,99.3019268108649
4,2023,99.2574958467865
4,2024,98.5806618109771
4,2025,97.9928225576375
5,2007,74.9340881075729
5,2008,71.9985585241618
5,2009,76.9587171722113
5,2010,69.3882093321026
5,2011,66.7870666665295
5,2012,60.3143019372668
5,2013,60.2364680705748
5,2014,58.4010146408717
5,2015,53.0954335362175
5,2016,49.6308995453428
5,2017,50.7131517770344
5,2018,58.8813315424808
5,2019,57.1504966634205
5,2020,74.8079595294777
5,2021,70.9204511987154
5,2022,83.0600187281122
5,2023,75.350279786405
5,2024,78.9778562604212
5,2025,93.6222527539335
6,2007,80.9306634146516
6,2008,85.9994751138383
6,2009,76.623608001621193
6,2010,68.0726296335582
6,2011,67.935413021449
6,2012,66.8806646549056
6,2013,68.9489257126048
6,2014,66.049270872914
6,2015,64.9894374633396
6,2016,63.4633681618833
6,2017,65.3802873167544
6,2018,70.4052221117566
6,2019,69.7902457666444
6,2020,74.6506781025742
6,2021,73.6641436506828
6,2022,85.1983669951039
6,2023,83.1424334474893
6,2024,82.4925481793165
6,2025,84.361392084682
7,2007,81.6341068451679
7,2008,80.7668215833693
7,2009,80.3866892377996
7,2010,79.2833078914024
7,2011,78.1967335465473
7,2012,80.967901709962
7,2013,79.6214004778938
7,2014,79.3938047452444
7,2015,79.7883610936945
7,2016,78.2382238617294
7,2017,79.9991843830556
7,2018,80.7390971156051
7,2019,81.1444606034627
7,2020,84.1725306864471
7,2021,86.1174123657081
7,2022,92.3729144476491
7,2023,86.0305875622592
7,2024,86.7238577276273
7,2025,87.1929291078726
8,2007,56.4098753949368
8,2008,59.5906013557386
8,2009,55.1119945681552
8,2010,52.2827610751675
8,2011,55.7874094540885
8,2012,51.0052545896828
8,2013,50.9545076313984
8,2014,54.102314371588
8,2015,54.3794375856984
8,2016,49.7388961494018
8,2017,53.0509472628755
8,2018,51.1462845148627
8,2019,54.0800710677341
8,2020,59.014237860728
8,2021,56.141589411244
8,2022,65.1686162131757
8,2023,68.5238901338371
8,2024,67.210147900532
8,2025,64.5229575674791
9,2007,80.7514177258716
9,2008,88.1856196989777
9,2009,88.2959807979781
9,2010,77.332400824006
9,2011,83.7419658165977
9,2012,80.6574601045291
9,2013,74.5264656810206
9,2014,80.0315128740618
9,2015,82.7206403690986
9,2016,77.5220552113716
9,2017,79.3298929430773
9,2018,84.9050070781944
9,2019,86.0714663964183
9,2020,88.7072519022639
9,2021,86.8326158253202
9,2022,92.3443002334091
9,2023,93.1363038618009
9,2024,90.7024413951191
9,2025,90.9045324091255
