"region_id","year","disturbed_sum","soft_bottom_sum","Pressure","SOF_score","region_clean"
1,2025,46.764474786818,2356.64475274086,1.98436674566369,98.0156332543363,"Region 1"
2,2025,5603.78494869801,25297.8105739355,22.1512645622844,77.8487354377156,"Region 2"
3,2025,170.425608068705,16259.8718814254,1.04813622955659,98.9518637704434,"Region 3"
4,2025,2065.94543831272,102927.892408011,2.00717744236247,97.9928225576375,"Region 4"
5,2025,200.548950120807,3144.51078701019,6.3777472460665,93.6222527539335,"Region 5"
6,2025,3537.49963691831,22620.2975103259,15.638607915318,84.361392084682,"Region 6"
7,2025,2536.02832509577,19801.7825188637,12.8070708921275,87.1929291078726,"Region 7"
8,2025,9865.88442271203,27809.2077192664,35.4770424325209,64.5229575674791,"Region 8"
9,2025,2092.27055072971,23003.4413275123,9.09546759087449,90.9045324091255,"Region 9"
