"rgn_id","PRO_score","FIL_score","SEQ_score","HS_score","year"
"Region_1",99.6884634407642,99.1531552501251,99.9470330230132,99.5962172379675,2020
"Region_1",99.6884634407642,99.1531552501251,99.9470330230132,99.5962172379675,2021
"Region_1",99.6884634407642,99.1531552501251,99.9470330230132,99.5962172379675,2022
"Region_1",99.6884634407642,99.1531552501251,99.9470330230132,99.5962172379675,2023
"Region_1",99.6884634407642,99.1531552501251,99.9470330230132,99.5962172379675,2024
"Region_1",99.6884634407642,99.1531552501251,99.9470330230132,99.5962172379675,2025
"Region_2",99.9659520338738,99.8943889976094,100,99.9534470104944,2020
"Region_2",99.9659520338738,99.8943889976094,100,99.9534470104944,2021
"Region_2",99.9659520338738,99.8943889976094,100,99.9534470104944,2022
"Region_2",99.9659520338738,99.8943889976094,100,99.9534470104944,2023
"Region_2",99.9659520338738,99.8943889976094,100,99.9534470104944,2024
"Region_2",99.9659520338738,99.8943889976094,100,99.9534470104944,2025
"Region_3",99.7746046692756,99.3069260622445,100,99.6938435771734,2020
"Region_3",99.7746046692756,99.3069260622445,100,99.6938435771734,2021
"Region_3",99.7746046692756,99.3069260622445,100,99.6938435771734,2022
"Region_3",99.7746046692756,99.3069260622445,100,99.6938435771734,2023
"Region_3",99.7746046692756,99.3069260622445,100,99.6938435771734,2024
"Region_3",99.7746046692756,99.3069260622445,100,99.6938435771734,2025
"Region_4",81.5294826514127,83.1310231205925,85.8016900882278,83.4873986200777,2020
"Region_4",81.5294826514127,83.1310231205925,85.8016900882278,83.4873986200777,2021
"Region_4",81.5294826514127,83.1310231205925,85.8016900882278,83.4873986200777,2022
"Region_4",81.5294826514127,83.1310231205925,85.8016900882278,83.4873986200777,2023
"Region_4",81.5294826514127,83.1310231205925,85.8016900882278,83.4873986200777,2024
"Region_4",81.5294826514127,83.1310231205925,85.8016900882278,83.4873986200777,2025
"Region_5",84.5047764479872,84.492487956457,84.5106130599927,84.502625821479,2020
"Region_5",84.5047764479872,84.492487956457,84.5106130599927,84.502625821479,2021
"Region_5",84.5047764479872,84.492487956457,84.5106130599927,84.502625821479,2022
"Region_5",84.5047764479872,84.492487956457,84.5106130599927,84.502625821479,2023
"Region_5",84.5047764479872,84.492487956457,84.5106130599927,84.502625821479,2024
"Region_5",84.5047764479872,84.492487956457,84.5106130599927,84.502625821479,2025
"Region_6",80.2745732907321,81.371712532199,79.8311957044718,80.4924938424676,2020
"Region_6",80.2745732907321,81.371712532199,79.8311957044718,80.4924938424676,2021
"Region_6",80.2745732907321,81.371712532199,79.8311957044718,80.4924938424676,2022
"Region_6",80.2745732907321,81.371712532199,79.8311957044718,80.4924938424676,2023
"Region_6",80.2745732907321,81.371712532199,79.8311957044718,80.4924938424676,2024
"Region_6",80.2745732907321,81.371712532199,79.8311957044718,80.4924938424676,2025
"Region_7",79.3532396806955,79.8116484557041,81.7549321648036,80.3066067670677,2020
"Region_7",79.3532396806955,79.8116484557041,81.7549321648036,80.3066067670677,2021
"Region_7",79.3532396806955,79.8116484557041,81.7549321648036,80.3066067670677,2022
"Region_7",79.3532396806955,79.8116484557041,81.7549321648036,80.3066067670677,2023
"Region_7",79.3532396806955,79.8116484557041,81.7549321648036,80.3066067670677,2024
"Region_7",79.3532396806955,79.8116484557041,81.7549321648036,80.3066067670677,2025
"Region_8",70.5329488474956,73.5228342414503,80.5774487921011,74.877743960349,2020
"Region_8",70.5329488474956,73.5228342414503,80.5774487921011,74.877743960349,2021
"Region_8",70.5329488474956,73.5228342414503,80.5774487921011,74.877743960349,2022
"Region_8",70.5329488474956,73.5228342414503,80.5774487921011,74.877743960349,2023
"Region_8",70.5329488474956,73.5228342414503,80.5774487921011,74.877743960349,2024
"Region_8",70.5329488474956,73.5228342414503,80.5774487921011,74.877743960349,2025
"Region_9",81.3923988122355,83.3159934146521,86.7604408392049,83.8229443553642,2020
"Region_9",81.3923988122355,83.3159934146521,86.7604408392049,83.8229443553642,2021
"Region_9",81.3923988122355,83.3159934146521,86.7604408392049,83.8229443553642,2022
"Region_9",81.3923988122355,83.3159934146521,86.7604408392049,83.8229443553642,2023
"Region_9",81.3923988122355,83.3159934146521,86.7604408392049,83.8229443553642,2024
"Region_9",81.3923988122355,83.3159934146521,86.7604408392049,83.8229443553642,2025
