"year","OHI_region_est","estimated_species_name","annual_Catch_kg","mean_Catch_2018.22_kg","n.years_Catch_2018.22","Year_of_Recommendation","status","control","notes","Stock_Status"
2022,"region_3","paralabrax nebulifer",215747.1,98527.74,5,2023,"maximally harvested","no increase",NA,0.456681642534245
2023,"region_3","paralabrax nebulifer",260325,98527.74,5,2023,"maximally harvested","no increase",NA,0.378479746470758
2024,"region_3","paralabrax nebulifer",311257.4,98527.74,5,2023,"maximally harvested","no increase",NA,0.316547462004116
2018,"region_3","prionace glauca",72.8,2394.76,5,2023,"maximally harvested","no increase",NA,1
2019,"region_3","prionace glauca",6620,2394.76,5,2023,"maximally harvested","no increase",NA,0.361746223564955
2020,"region_3","prionace glauca",1300.5,2394.76,5,2023,"maximally harvested","no increase",NA,1
2021,"region_3","prionace glauca",3539,2394.76,5,2023,"maximally harvested","no increase",NA,0.676677027408873
2022,"region_3","prionace glauca",441.5,2394.76,5,2023,"maximally harvested","no increase",NA,1
2018,"region_3","rhizoprionodon longurio",88941,181907.44,5,2023,"maximally harvested","no increase",NA,1
2019,"region_3","rhizoprionodon longurio",172644.05,181907.44,5,2023,"maximally harvested","no increase",NA,1
2020,"region_3","rhizoprionodon longurio",229955.45,181907.44,5,2023,"maximally harvested","no increase",NA,0.791055136984142
2021,"region_3","rhizoprionodon longurio",170485.5,181907.44,5,2023,"maximally harvested","no increase",NA,1
2022,"region_3","rhizoprionodon longurio",247511.2,181907.44,5,2023,"maximally harvested","no increase",NA,0.734946297379674
2018,"region_3","sardinops sagax",1653000,426880,4,2022,"maximally harvested","no increase",NA,0.258245614035088
2020,"region_3","sardinops sagax",8120,426880,4,2022,"maximally harvested","no increase",NA,1
2021,"region_3","sardinops sagax",23200,426880,4,2022,"maximally harvested","no increase",NA,1
2022,"region_3","sardinops sagax",23200,426880,4,2022,"maximally harvested","no increase",NA,1
2018,"region_3","scomberomorus sierra",84861,142697.72,5,2023,"maximally harvested","no increase",NA,1
2019,"region_3","scomberomorus sierra",229247,142697.72,5,2023,"maximally harvested","no increase",NA,0.622462758509381
2020,"region_3","scomberomorus sierra",152205.5,142697.72,5,2023,"maximally harvested","no increase",NA,1
2021,"region_3","scomberomorus sierra",141102,142697.72,5,2023,"maximally harvested","no increase",NA,1
2022,"region_3","scomberomorus sierra",106073.1,142697.72,5,2023,"maximally harvested","no increase",NA,1
2023,"region_3","scomberomorus sierra",76777,142697.72,5,2023,"maximally harvested","no increase",NA,1
2024,"region_3","scomberomorus sierra",166886.07,142697.72,5,2023,"maximally harvested","no increase",NA,0.855060700992
2018,"region_3","sphyrna mokarran",160,2140.0375,4,2023,"maximally harvested","no increase",NA,1
2019,"region_3","sphyrna mokarran",5424.75,2140.0375,4,2023,"maximally harvested","no increase",NA,0.394495138024794
2021,"region_3","sphyrna mokarran",630,2140.0375,4,2023,"maximally harvested","no increase",NA,1
2022,"region_3","sphyrna mokarran",2345.4,2140.0375,4,2023,"maximally harvested","no increase",NA,1
2018,"region_3","sphyrna zygaena",10432,10490.5,5,2023,"maximally harvested","no increase",NA,1
2019,"region_3","sphyrna zygaena",6848.2,10490.5,5,2023,"maximally harvested","no increase",NA,1
2020,"region_3","sphyrna zygaena",9818,10490.5,5,2023,"maximally harvested","no increase",NA,1
2021,"region_3","sphyrna zygaena",5668.9,10490.5,5,2023,"maximally harvested","no increase",NA,1
2022,"region_3","sphyrna zygaena",19685.4,10490.5,5,2023,"maximally harvested","no increase",NA,0.532907637132088
2018,"region_4","alopias pelagicus",3874.5,73408.48,5,2023,"maximally harvested","no increase",NA,1
2019,"region_4","alopias pelagicus",33410,73408.48,5,2023,"maximally harvested","no increase",NA,1
2020,"region_4","alopias pelagicus",66051.95,73408.48,5,2023,"maximally harvested","no increase",NA,1
2021,"region_4","alopias pelagicus",259691.45,73408.48,5,2023,"maximally harvested","no increase",NA,0.282675767723581
2022,"region_4","alopias pelagicus",4014.5,73408.48,5,2023,"maximally harvested","no increase",NA,1
2018,"region_4","carcharhinus falciformis",197370,367560.43,5,2023,"maximally harvested","no increase",NA,1
2019,"region_4","carcharhinus falciformis",216818.75,367560.43,5,2023,"maximally harvested","no increase",NA,1
2020,"region_4","carcharhinus falciformis",439941.25,367560.43,5,2023,"maximally harvested","no increase",NA,0.835476168692979
2021,"region_4","carcharhinus falciformis",196434.15,367560.43,5,2023,"maximally harvested","no increase",NA,1
2022,"region_4","carcharhinus falciformis",787238,367560.43,5,2023,"maximally harvested","no increase",NA,0.466898739644174
2018,"region_4","centropomus armatus",5777.54,2477.308,5,2023,"maximally harvested","no increase",NA,0.428782492202564
2019,"region_4","centropomus armatus",1421.2,2477.308,5,2023,"maximally harvested","no increase",NA,1
2020,"region_4","centropomus armatus",510.7,2477.308,5,2023,"maximally harvested","no increase",NA,1
2021,"region_4","centropomus armatus",2269.4,2477.308,5,2023,"maximally harvested","no increase",NA,1
2022,"region_4","centropomus armatus",2407.7,2477.308,5,2023,"maximally harvested","no increase",NA,1
2023,"region_4","centropomus armatus",1039,2477.308,5,2023,"maximally harvested","no increase",NA,1
2024,"region_4","centropomus armatus",1357.5,2477.308,5,2023,"maximally harvested","no increase",NA,1
2018,"region_4","crassostrea gigas",13050,17940.4,5,2017,"maximally harvested","no increase",NA,1
2019,"region_4","crassostrea gigas",4340,17940.4,5,2017,"maximally harvested","no increase",NA,1
2020,"region_4","crassostrea gigas",32229,17940.4,5,2017,"maximally harvested","no increase",NA,0.556653945204629
2021,"region_4","crassostrea gigas",30083,17940.4,5,2017,"maximally harvested","no increase",NA,0.596363394608251
2022,"region_4","crassostrea gigas",10000,17940.4,5,2017,"maximally harvested","no increase",NA,1
2023,"region_4","crassostrea gigas",45025,17940.4,5,2017,"maximally harvested","no increase",NA,0.398454192115491
2024,"region_4","crassostrea gigas",86890,17940.4,5,2017,"maximally harvested","no increase",NA,0.206472551501899
2018,"region_4","galeocerdo cuvier",78,330.05,5,2023,"maximally harvested","no increase",NA,1
2019,"region_4","galeocerdo cuvier",30,330.05,5,2023,"maximally harvested","no increase",NA,1
2020,"region_4","galeocerdo cuvier",189.2,330.05,5,2023,"maximally harvested","no increase",NA,1
2021,"region_4","galeocerdo cuvier",674.65,330.05,5,2023,"maximally harvested","no increase",NA,0.489216630845624
2022,"region_4","galeocerdo cuvier",678.4,330.05,5,2023,"maximally harvested","no increase",NA,0.486512382075472
2023,"region_4","galeocerdo cuvier",227,330.05,5,2023,"maximally harvested","no increase",NA,1
2024,"region_4","galeocerdo cuvier",157.5,330.05,5,2023,"maximally harvested","no increase",NA,1
2018,"region_4","galeorhinus galeus",12878.35,9294.29,5,2023,"maximally harvested","no increase",NA,0.721698820112825
2019,"region_4","galeorhinus galeus",10835,9294.29,5,2023,"maximally harvested","no increase",NA,0.857802491924319
2020,"region_4","galeorhinus galeus",10403.8,9294.29,5,2023,"maximally harvested","no increase",NA,0.893355312481978
2021,"region_4","galeorhinus galeus",10009.1,9294.29,5,2023,"maximally harvested","no increase",NA,1
2022,"region_4","galeorhinus galeus",2345.2,9294.29,5,2023,"maximally harvested","no increase",NA,1
2023,"region_4","galeorhinus galeus",12784,9294.29,5,2023,"maximally harvested","no increase",NA,0.727025187734668
2024,"region_4","galeorhinus galeus",2609.45,9294.29,5,2023,"maximally harvested","no increase",NA,1
2018,"region_4","gelidium robustum",118512,112379,5,2012,"maximally harvested","no increase",NA,1
2019,"region_4","gelidium robustum",128034,112379,5,2012,"maximally harvested","no increase",NA,0.877727791055501
2020,"region_4","gelidium robustum",222132,112379,5,2012,"maximally harvested","no increase",NA,0.505910899825329
2021,"region_4","gelidium robustum",85195,112379,5,2012,"maximally harvested","no increase",NA,1
2022,"region_4","gelidium robustum",8022,112379,5,2012,"maximally harvested","no increase",NA,1
2023,"region_4","gelidium robustum",104232,112379,5,2012,"maximally harvested","no increase",NA,1
2018,"region_4","hoplopagrus guentherii",64013.6,65796,5,2023,"maximally harvested","no increase",NA,1
2019,"region_4","hoplopagrus guentherii",45441.1,65796,5,2023,"maximally harvested","no increase",NA,1
2020,"region_4","hoplopagrus guentherii",67074.8,65796,5,2023,"maximally harvested","no increase",NA,1
2021,"region_4","hoplopagrus guentherii",61088.3,65796,5,2023,"maximally harvested","no increase",NA,1
2022,"region_4","hoplopagrus guentherii",91362.2,65796,5,2023,"maximally harvested","no increase",NA,0.720166545901916
2023,"region_4","hoplopagrus guentherii",61726,65796,5,2023,"maximally harvested","no increase",NA,1
2024,"region_4","hoplopagrus guentherii",59212.03,65796,5,2023,"maximally harvested","no increase",NA,1
2018,"region_4","isurus oxyrinchus",95926.1,132485.11,5,2023,"maximally harvested","no increase",NA,1
2019,"region_4","isurus oxyrinchus",132488.2,132485.11,5,2023,"maximally harvested","no increase",NA,1
2020,"region_4","isurus oxyrinchus",124471.2,132485.11,5,2023,"maximally harvested","no increase",NA,1
2021,"region_4","isurus oxyrinchus",191349.15,132485.11,5,2023,"maximally harvested","no increase",NA,0.692373653083904
2022,"region_4","isurus oxyrinchus",118190.9,132485.11,5,2023,"maximally harvested","no increase",NA,1
2018,"region_4","litopenaeus vannamei",2483998,2399318.8,5,2017,"maximally harvested","no increase",NA,1
2019,"region_4","litopenaeus vannamei",1844617,2399318.8,5,2017,"maximally harvested","no increase",NA,1
2020,"region_4","litopenaeus vannamei",2400308,2399318.8,5,2017,"maximally harvested","no increase",NA,1
2021,"region_4","litopenaeus vannamei",3044923,2399318.8,5,2017,"maximally harvested","no increase",NA,0.787973554667885
2022,"region_4","litopenaeus vannamei",2222748,2399318.8,5,2017,"maximally harvested","no increase",NA,1
2018,"region_4","lutjanus argentiventris",138062.8,152639.604,5,2023,"maximally harvested","no increase",NA,1
2019,"region_4","lutjanus argentiventris",136634.82,152639.604,5,2023,"maximally harvested","no increase",NA,1
2020,"region_4","lutjanus argentiventris",173099.6,152639.604,5,2023,"maximally harvested","no increase",NA,0.881802176319298
2021,"region_4","lutjanus argentiventris",144914.7,152639.604,5,2023,"maximally harvested","no increase",NA,1
2022,"region_4","lutjanus argentiventris",170486.1,152639.604,5,2023,"maximally harvested","no increase",NA,0.895319935173601
2023,"region_4","lutjanus argentiventris",134253,152639.604,5,2023,"maximally harvested","no increase",NA,1
2024,"region_4","lutjanus argentiventris",208641.8,152639.604,5,2023,"maximally harvested","no increase",NA,0.731586882398446
2018,"region_4","lutjanus colorado",10171.17,10839.994,5,2023,"maximally harvested","no increase",NA,1
2019,"region_4","lutjanus colorado",2415,10839.994,5,2023,"maximally harvested","no increase",NA,1
2020,"region_4","lutjanus colorado",7711.9,10839.994,5,2023,"maximally harvested","no increase",NA,1
2021,"region_4","lutjanus colorado",15886.9,10839.994,5,2023,"maximally harvested","no increase",NA,0.682322794251868
2022,"region_4","lutjanus colorado",18015,10839.994,5,2023,"maximally harvested","no increase",NA,0.601720455176242
2023,"region_4","lutjanus colorado",5032,10839.994,5,2023,"maximally harvested","no increase",NA,1
2024,"region_4","lutjanus colorado",8203.6,10839.994,5,2023,"maximally harvested","no increase",NA,1
2018,"region_4","lutjanus guttatus",70890.5,82902.16,5,2023,"maximally harvested","no increase",NA,1
2019,"region_4","lutjanus guttatus",55763.6,82902.16,5,2023,"maximally harvested","no increase",NA,1
2020,"region_4","lutjanus guttatus",43165.7,82902.16,5,2023,"maximally harvested","no increase",NA,1
2021,"region_4","lutjanus guttatus",33121.9,82902.16,5,2023,"maximally harvested","no increase",NA,1
2022,"region_4","lutjanus guttatus",211569.1,82902.16,5,2023,"maximally harvested","no increase",NA,0.391844366686818
2023,"region_4","lutjanus guttatus",129963,82902.16,5,2023,"maximally harvested","no increase",NA,0.63789047652024
2024,"region_4","lutjanus guttatus",71851.1,82902.16,5,2023,"maximally harvested","no increase",NA,1
2018,"region_4","lutjanus novemfasciatus",65796.55,54211.458,5,2023,"maximally harvested","no increase",NA,0.823925540168899
2019,"region_4","lutjanus novemfasciatus",41330.49,54211.458,5,2023,"maximally harvested","no increase",NA,1
2020,"region_4","lutjanus novemfasciatus",35306.05,54211.458,5,2023,"maximally harvested","no increase",NA,1
2021,"region_4","lutjanus novemfasciatus",65260.8,54211.458,5,2023,"maximally harvested","no increase",NA,0.830689449102677
2022,"region_4","lutjanus novemfasciatus",63363.4,54211.458,5,2023,"maximally harvested","no increase",NA,0.855564221616895
2023,"region_4","lutjanus novemfasciatus",50552,54211.458,5,2023,"maximally harvested","no increase",NA,1
2024,"region_4","lutjanus novemfasciatus",50873.8,54211.458,5,2023,"maximally harvested","no increase",NA,1
2018,"region_4","lutjanus peru",7412,213740.63,5,2023,"maximally harvested","no increase",NA,1
2019,"region_4","lutjanus peru",137220,213740.63,5,2023,"maximally harvested","no increase",NA,1
2020,"region_4","lutjanus peru",200024.9,213740.63,5,2023,"maximally harvested","no increase",NA,1
2021,"region_4","lutjanus peru",256700.15,213740.63,5,2023,"maximally harvested","no increase",NA,0.832647078702525
2022,"region_4","lutjanus peru",467346.1,213740.63,5,2023,"maximally harvested","no increase",NA,0.457349767121198
2023,"region_4","lutjanus peru",710470,213740.63,5,2023,"maximally harvested","no increase",NA,0.300843990597773
2024,"region_4","lutjanus peru",473820.905,213740.63,5,2023,"maximally harvested","no increase",NA,0.451100041691913
2018,"region_4","megapitaria aurantiaca",5000,1750,4,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",0.35
2020,"region_4","megapitaria aurantiaca",100,1750,4,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2021,"region_4","megapitaria aurantiaca",1000,1750,4,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2022,"region_4","megapitaria aurantiaca",900,1750,4,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2023,"region_4","megapitaria aurantiaca",18430,1750,4,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",0.0949538795442214
2024,"region_4","megapitaria aurantiaca",2975,1750,4,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",0.588235294117647
2018,"region_4","megapitaria squalida",518269,384679,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",0.742238104150547
2019,"region_4","megapitaria squalida",590586,384679,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",0.651351369656578
2020,"region_4","megapitaria squalida",278523,384679,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2021,"region_4","megapitaria squalida",255885,384679,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2022,"region_4","megapitaria squalida",280132,384679,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2023,"region_4","megapitaria squalida",56691,384679,5,2023,"maximally harvested","no increase","Within region variation in status, took most conservative",1
2018,"region_4","megastraea undosa",48971,42999.4,5,2023,"maximally harvested","no increase",NA,0.878058442751833
2019,"region_4","megastraea undosa",37961,42999.4,5,2023,"maximally harvested","no increase",NA,1
2020,"region_4","megastraea undosa",42490,42999.4,5,2023,"maximally harvested","no increase",NA,1
2021,"region_4","megastraea undosa",39515,42999.4,5,2023,"maximally harvested","no increase",NA,1
2022,"region_4","megastraea undosa",46060,42999.4,5,2023,"maximally harvested","no increase",NA,1
2024,"region_4","megastraea undosa",55085,42999.4,5,2023,"maximally harvested","no increase",NA,0.780600889534356
2018,"region_4","mugil cephalus",76412,104014.6,5,2023,"maximally harvested","no increase",NA,1
2018,"region_4","mugil cephalus",340,4094.75,4,2023,"maximally harvested","no increase",NA,1
2019,"region_4","mugil cephalus",141168,104014.6,5,2023,"maximally harvested","no increase",NA,0.736814292190865
2020,"region_4","mugil cephalus",108682,104014.6,5,2023,"maximally harvested","no increase",NA,1
2020,"region_4","mugil cephalus",4550,4094.75,4,2023,"maximally harvested","no increase",NA,0.899945054945055
2021,"region_4","mugil cephalus",98528,104014.6,5,2023,"maximally harvested","no increase",NA,1
2021,"region_4","mugil cephalus",2550,4094.75,4,2023,"maximally harvested","no increase",NA,1
2022,"region_4","mugil cephalus",95283,104014.6,5,2023,"maximally harvested","no increase",NA,1
2022,"region_4","mugil cephalus",8939,4094.75,4,2023,"maximally harvested","no increase",NA,0.458076966103591
2023,"region_4","mugil cephalus",4110,4094.75,4,2023,"maximally harvested","no increase",NA,1
2024,"region_4","mugil cephalus",2357,4094.75,4,2023,"maximally harvested","no increase",NA,1
2018,"region_4","mustelus albipinnis",86600,53867.03,5,2023,"maximally harvested","no increase",NA,0.622021131639723
2019,"region_4","mustelus albipinnis",59462.2,53867.03,5,2023,"maximally harvested","no increase",NA,0.90590375061804
2020,"region_4","mustelus albipinnis",49973,53867.03,5,2023,"maximally harvested","no increase",NA,1
2021,"region_4","mustelus albipinnis",39770.2,53867.03,5,2023,"maximally harvested","no increase",NA,1
2022,"region_4","mustelus albipinnis",33529.75,53867.03,5,2023,"maximally harvested","no increase",NA,1
2023,"region_4","mustelus albipinnis",34523,53867.03,5,2023,"maximally harvested","no increase",NA,1
2024,"region_4","mustelus albipinnis",28540.8,53867.03,5,2023,"maximally harvested","no increase",NA,1
2018,"region_4","panulirus interruptus",28420.6,43055.756,5,2017,"maximally harvested","no increase",NA,1
2019,"region_4","panulirus interruptus",37100.18,43055.756,5,2017,"maximally harvested","no increase",NA,1
2020,"region_4","panulirus interruptus",36273,43055.756,5,2017,"maximally harvested","no increase",NA,1
2021,"region_4","panulirus interruptus",57336,43055.756,5,2017,"maximally harvested","no increase",NA,0.750937561043672
2022,"region_4","panulirus interruptus",56149,43055.756,5,2017,"maximally harvested","no increase",NA,0.766812516696646
2023,"region_4","panulirus interruptus",16836,43055.756,5,2017,"maximally harvested","no increase",NA,1
2024,"region_4","panulirus interruptus",24861.06,43055.756,5,2017,"maximally harvested","no increase",NA,1
2018,"region_4","paralabrax nebulifer",196106.9,271681.4,5,2023,"maximally harvested","no increase",NA,1
2019,"region_4","paralabrax nebulifer",210940.3,271681.4,5,2023,"maximally harvested","no increase",NA,1
2020,"region_4","paralabrax nebulifer",300288.8,271681.4,5,2023,"maximally harvested","no increase",NA,0.904733709682146
2021,"region_4","paralabrax nebulifer",363082,271681.4,5,2023,"maximally harvested","no increase",NA,0.748264579351221
2022,"region_4","paralabrax nebulifer",287989,271681.4,5,2023,"maximally harvested","no increase",NA,1
2023,"region_4","paralabrax nebulifer",489931,271681.4,5,2023,"maximally harvested","no increase",NA,0.554529923601487
2024,"region_4","paralabrax nebulifer",535834.8,271681.4,5,2023,"maximally harvested","no increase",NA,0.50702455308987
2018,"region_4","prionace glauca",7885.9,102319.4,5,2023,"maximally harvested","no increase",NA,1
2019,"region_4","prionace glauca",208449.1,102319.4,5,2023,"maximally harvested","no increase",NA,0.490860358715869
2020,"region_4","prionace glauca",76767.45,102319.4,5,2023,"maximally harvested","no increase",NA,1
2021,"region_4","prionace glauca",108799.85,102319.4,5,2023,"maximally harvested","no increase",NA,1
2022,"region_4","prionace glauca",109694.7,102319.4,5,2023,"maximally harvested","no increase",NA,1
2018,"region_4","rhizoprionodon longurio",228159.3,334681.15,5,2023,"maximally harvested","no increase",NA,1
2019,"region_4","rhizoprionodon longurio",212874.65,334681.15,5,2023,"maximally harvested","no increase",NA,1
2020,"region_4","rhizoprionodon longurio",229087.2,334681.15,5,2023,"maximally harvested","no increase",NA,1
2021,"region_4","rhizoprionodon longurio",350293.9,334681.15,5,2023,"maximally harvested","no increase",NA,1
2022,"region_4","rhizoprionodon longurio",652990.7,334681.15,5,2023,"maximally harvested","no increase",NA,0.512535860005357
2018,"region_4","scomber japonicus",27241,11229,5,2022,"maximally harvested","no increase",NA,0.41220953709482
2019,"region_4","scomber japonicus",23750,11229,5,2022,"maximally harvested","no increase",NA,0.4728
2020,"region_4","scomber japonicus",2590,11229,5,2022,"maximally harvested","no increase",NA,1
2021,"region_4","scomber japonicus",1748,11229,5,2022,"maximally harvested","no increase",NA,1
2022,"region_4","scomber japonicus",816,11229,5,2022,"maximally harvested","no increase",NA,1
2018,"region_4","scomberomorus sierra",114619,123528.83,5,2023,"maximally harvested","no increase",NA,1
2019,"region_4","scomberomorus sierra",82883.9,123528.83,5,2023,"maximally harvested","no increase",NA,1
2020,"region_4","scomberomorus sierra",200644.9,123528.83,5,2023,"maximally harvested","no increase",NA,0.615658957690926
2021,"region_4","scomberomorus sierra",108859.72,123528.83,5,2023,"maximally harvested","no increase",NA,1
2022,"region_4","scomberomorus sierra",110636.63,123528.83,5,2023,"maximally harvested","no increase",NA,1
2023,"region_4","scomberomorus sierra",97265,123528.83,5,2023,"maximally harvested","no increase",NA,1
2024,"region_4","scomberomorus sierra",126085.5,123528.83,5,2023,"maximally harvested","no increase",NA,1
2019,"region_4","sphyrna mokarran",27277,35473.3,4,2023,"maximally harvested","no increase",NA,1
2020,"region_4","sphyrna mokarran",94111.25,35473.3,4,2023,"maximally harvested","no increase",NA,0.376929431922326
2021,"region_4","sphyrna mokarran",11726.25,35473.3,4,2023,"maximally harvested","no increase",NA,1
2022,"region_4","sphyrna mokarran",8778.7,35473.3,4,2023,"maximally harvested","no increase",NA,1
2018,"region_4","sphyrna zygaena",101952.65,158513.39,5,2023,"maximally harvested","no increase",NA,1
2019,"region_4","sphyrna zygaena",167458.4,158513.39,5,2023,"maximally harvested","no increase",NA,1
2020,"region_4","sphyrna zygaena",169069.1,158513.39,5,2023,"maximally harvested","no increase",NA,1
2021,"region_4","sphyrna zygaena",252118.7,158513.39,5,2023,"maximally harvested","no increase",NA,0.628725239341628
2022,"region_4","sphyrna zygaena",101968.1,158513.39,5,2023,"maximally harvested","no increase",NA,1
2018,"region_4","thunnus albacares",1509,2546.76,5,2023,"maximally harvested","no increase",NA,1
2019,"region_4","thunnus albacares",4193,2546.76,5,2023,"maximally harvested","no increase",NA,0.607383734796089
2020,"region_4","thunnus albacares",3461.8,2546.76,5,2023,"maximally harvested","no increase",NA,0.735675082327113
2021,"region_4","thunnus albacares",3245,2546.76,5,2023,"maximally harvested","no increase",NA,0.784825885978428
2022,"region_4","thunnus albacares",325,2546.76,5,2023,"maximally harvested","no increase",NA,1
2018,"region_5","dosidicus gigas",1370,2905.8,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2019,"region_5","dosidicus gigas",1350,2905.8,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2020,"region_5","dosidicus gigas",2566,2905.8,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",1
2021,"region_5","dosidicus gigas",4915,2905.8,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",0.591210579857579
2022,"region_5","dosidicus gigas",4328,2905.8,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",0.671395563770795
2023,"region_5","dosidicus gigas",6327,2905.8,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",0.459269796111901
2024,"region_5","dosidicus gigas",4370,2905.8,5,2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California",0.664942791762014
2018,"region_5","dosinia ponderosa",679972,447746.8,5,2023,"maximally harvested","no increase","highly variable catch",0.658478290282541
2019,"region_5","dosinia ponderosa",320555,447746.8,5,2023,"maximally harvested","no increase","highly variable catch",1
2020,"region_5","dosinia ponderosa",189012,447746.8,5,2023,"maximally harvested","no increase","highly variable catch",1
2021,"region_5","dosinia ponderosa",506946,447746.8,5,2023,"maximally harvested","no increase","highly variable catch",0.883223854217214
2022,"region_5","dosinia ponderosa",542249,447746.8,5,2023,"maximally harvested","no increase","highly variable catch",0.825721762511319
2023,"region_5","dosinia ponderosa",398445,447746.8,5,2023,"maximally harvested","no increase","highly variable catch",1
2024,"region_5","dosinia ponderosa",137190,447746.8,5,2023,"maximally harvested","no increase","highly variable catch",1
2019,"region_5","litopenaeus stylirostris",25590.4,28458,4,2017,"maximally harvested","no increase",NA,1
2020,"region_5","litopenaeus stylirostris",35008,28458,4,2017,"maximally harvested","no increase",NA,0.812899908592322
2021,"region_5","litopenaeus stylirostris",21124.8,28458,4,2017,"maximally harvested","no increase",NA,1
2022,"region_5","litopenaeus stylirostris",32108.8,28458,4,2017,"maximally harvested","no increase",NA,0.886299083117401
2018,"region_5","litopenaeus vannamei",4318.4,8922.7,4,2017,"maximally harvested","no increase",NA,1
2019,"region_5","litopenaeus vannamei",16609.8,8922.7,4,2017,"maximally harvested","no increase",NA,0.537194909029609
2021,"region_5","litopenaeus vannamei",14457.6,8922.7,4,2017,"maximally harvested","no increase",NA,0.617163291279327
2022,"region_5","litopenaeus vannamei",305,8922.7,4,2017,"maximally harvested","no increase",NA,1
2018,"region_5","lutjanus colorado",2282.5,2375.92,5,2023,"maximally harvested","no increase",NA,1
2019,"region_5","lutjanus colorado",2565.2,2375.92,5,2023,"maximally harvested","no increase",NA,1
2020,"region_5","lutjanus colorado",456.5,2375.92,5,2023,"maximally harvested","no increase",NA,1
2021,"region_5","lutjanus colorado",2387,2375.92,5,2023,"maximally harvested","no increase",NA,1
2022,"region_5","lutjanus colorado",4188.4,2375.92,5,2023,"maximally harvested","no increase",NA,0.567261961608251
2023,"region_5","lutjanus colorado",9620,2375.92,5,2023,"maximally harvested","no increase",NA,0.246977130977131
2024,"region_5","lutjanus colorado",2358.4,2375.92,5,2023,"maximally harvested","no increase",NA,1
2018,"region_5","lutjanus guttatus",2310,9635.22,5,2023,"maximally harvested","no increase",NA,1
2019,"region_5","lutjanus guttatus",7029.8,9635.22,5,2023,"maximally harvested","no increase",NA,1
2020,"region_5","lutjanus guttatus",6680.4,9635.22,5,2023,"maximally harvested","no increase",NA,1
2021,"region_5","lutjanus guttatus",18877.1,9635.22,5,2023,"maximally harvested","no increase",NA,0.510418443510921
2022,"region_5","lutjanus guttatus",13278.8,9635.22,5,2023,"maximally harvested","no increase",NA,0.725609241798958
2023,"region_5","lutjanus guttatus",40330,9635.22,5,2023,"maximally harvested","no increase",NA,0.238909496652616
2024,"region_5","lutjanus guttatus",28977.5,9635.22,5,2023,"maximally harvested","no increase",NA,0.332506945043568
2018,"region_5","merluccius productus",2237387.9,5893494.28,5,2022,"maximally harvested","no increase",NA,1
2019,"region_5","merluccius productus",2261037.3,5893494.28,5,2022,"maximally harvested","no increase",NA,1
2020,"region_5","merluccius productus",3956583.8,5893494.28,5,2022,"maximally harvested","no increase",NA,1
2021,"region_5","merluccius productus",6282608.8,5893494.28,5,2022,"maximally harvested","no increase",NA,1
2022,"region_5","merluccius productus",14729853.6,5893494.28,5,2022,"maximally harvested","no increase",NA,0.400105421278593
2023,"region_5","merluccius productus",14983802,5893494.28,5,2022,"maximally harvested","no increase",NA,0.39332435652847
2024,"region_5","merluccius productus",19494115.1,5893494.28,5,2022,"maximally harvested","no increase",NA,0.302321713489832
2018,"region_5","mugil cephalus",3455,4708,5,2023,"deteriorating","decrease",NA,0.633071367884452
2019,"region_5","mugil cephalus",5685,4708,5,2023,"deteriorating","decrease",NA,0.414072119613017
2020,"region_5","mugil cephalus",300,4708,5,2023,"deteriorating","decrease",NA,0.968139337298216
2021,"region_5","mugil cephalus",5200,4708,5,2023,"deteriorating","decrease",NA,0.452692307692308
2022,"region_5","mugil cephalus",8900,4708,5,2023,"deteriorating","decrease",NA,0.264494382022472
2018,"region_5","mustelus albipinnis",5650,11976.5625,4,2023,"maximally harvested","no increase",NA,1
2019,"region_5","mustelus albipinnis",262.5,11976.5625,4,2023,"maximally harvested","no increase",NA,1
2020,"region_5","mustelus albipinnis",4235,11976.5625,4,2023,"maximally harvested","no increase",NA,1
2022,"region_5","mustelus albipinnis",37758.75,11976.5625,4,2023,"maximally harvested","no increase",NA,0.317186413745158
2023,"region_5","mustelus albipinnis",31031,11976.5625,4,2023,"maximally harvested","no increase",NA,0.385954771035416
2024,"region_5","mustelus albipinnis",183876.75,11976.5625,4,2023,"maximally harvested","no increase",NA,0.0651336425078211
