"rgn_id","area_km2","year","avg_1991_2012","avg_2013_2023","current_status"
"Region 4",6.0269192,2025,33.2285714285714,17,51.1607910576096
"Region 9",0.5430808,2025,33.2285714285714,17,51.1607910576096
