state,office_name_clean,landing_site_clean,final_lat,final_lon,final_lat.lon_level,final_lat.lon_source,location,OHI.region_geo.est,OHI_state.assign,OHI_region_est,GOC_mel.est,GOC_state.assign,GOC_region.assign,GOC_est
BAJA CALIFORNIA,SAN QUINTIN,PUNTA COLONET,31.00560713,-116.290849,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
JALISCO,GUADALAJARA,PRESA VICENTE VILLASENOR,20.6,-102.62,state_site,Hem's state.site key,NA,NA,NA,NA,yes,NA,NA,yes
JALISCO,OCOTLAN,EL MUEY,20.40814208,-103.1140129,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
SONORA,PUERTO PENASCO,EL DESEMBOQUE,30.21021803,-112.790704,state_site,Hem's state.site key,sea,Region_6,NA,Region_6,yes,yes,yes,yes
SINALOA,LOS MOCHIS,BAHIA NAVACHISTE,25.44521895,-108.8319163,state_site,Hem's state.site key,sea,Region_8,Region_8,Region_8,NA,yes,yes,yes
NAYARIT,TECUALA,CANAL PERICOS,22.4217,-105.3522,state_office_site,Hem's state.site.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
BAJA CALIFORNIA SUR,PUNTA ABREOJOS,ESTERO LA BOCANA,26.79795139,-113.7119239,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,LORETO,LIGUI,25.73577806,-111.2712017,state_office_site,Hem's state.site.office key,land,Region_4,NA,Region_4,yes,NA,NA,yes
BAJA CALIFORNIA SUR,LORETO,LAS ISLITAS,25.7573,-111.2748,state_site,Mel's state.site key,land,Region_4,NA,Region_4,yes,NA,NA,yes
BAJA CALIFORNIA SUR,CD. CONSTITUCION,LA JICAMA,25.5482,-112.0651,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA,ENSENADA,SAN MIGUEL,31.81368583,-116.6582955,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA,ENSENADA,CAMPO LOPEZ,32.14417597,-116.8878272,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,CD. CONSTITUCION,PUERTO SAN ANDRESITO,25.8992,-112.1537,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
SONORA,HERMOSILLO,PUERTO PENASCO,31.31208951,-113.5391123,state_site,Hem's state.site key,land,Region_5,NA,Region_5,yes,yes,yes,yes
JALISCO,PUERTO VALLARTA,RIBERA CHIMO,20.47,-105.59,state_site,Hem's state.site key,land,Region_9,NA,Region_9,no,NA,yes,yes
SONORA,GUAYMAS,BAHIA TOBARI,27.0652,-109.9985,state_site,Hem's state.site key,sea,Region_7,NA,Region_7,yes,yes,yes,yes
SINALOA,GUASAVE,DISTRITO RIEGO NO.134,25.69673376,-108.2206193,state_office,Hem's state.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
BAJA CALIFORNIA,VILLA JESUS MARIA,PUNTA ESCARPADA,29.5946,-114.0272,state_site,Hem's state.site key,sea,Region_2,NA,Region_2,yes,NA,NA,yes
BAJA CALIFORNIA,SAN QUINTIN,BAHIA LOS ANGELES,28.98904736,-113.5554914,state_site,Hem's state.site key,land,Region_2,NA,Region_2,yes,NA,NA,yes
SINALOA,MAZATLAN,EL OSTIAL,23.0898976,-106.2539506,state_office_site,Hem's state.site.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,MAZATLAN,LOS VIVEROS,22.584,-105.6,state_site,Hem's state.site key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,MAZATLAN,EL VERDE CAMACHO,23.4426897,-106.5825057,state_office_site,Hem's state.site.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
NAYARIT,TUXPAN,EMBARCADERO FCO. VILLA,22.08709693,-105.1177705,state_office,Hem's state.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
JALISCO,GUADALAJARA,EL EMBARCADERO,20.67,-105.27,state_site,Hem's state.site key,land,Region_9,NA,Region_9,no,NA,yes,yes
NAYARIT,PENITA JALTEMBA,IXTAPA,21.42433722,-104.4657128,state_site,Hem's state.site key,NA,NA,Region_9,Region_9,NA,yes,yes,yes
SINALOA,EL FUERTE,"TEHUECO, VEGA Y DIQUE EL RI$ON",26.43663942,-108.3939474,state_office,Hem's state.office key,NA,NA,Region_8,Region_8,NA,yes,yes,yes
NAYARIT,TEPIC,"RANCHITO, EL",21.48266492,-104.5479942,state_office,Hem's state.office key,NA,NA,Region_9,Region_9,NA,yes,yes,yes
SONORA,CD. OBREGON,BALNEARIO VENECIA,27.5643,-110.491,state_site,Hem's state.site key,land,Region_7,NA,Region_7,yes,yes,yes,yes
SINALOA,GUASAVE,COSTA AZUL,24.83493944,-107.984277,state_site,Hem's state.site key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
BAJA CALIFORNIA SUR,SANTA ROSALIA,PUNTA SANTA ANA,27.664,-112.5988,state_site,Mel's state.site key,land,Region_3,NA,Region_3,yes,NA,NA,yes
BAJA CALIFORNIA SUR,LA PAZ,LOS FRAILES,23.37756278,-109.4353308,state_site,Hem's state.site key,land,Region_4,NA,Region_4,yes,NA,NA,yes
BAJA CALIFORNIA,EL ROSARIO,EL SAUZAL,31.89217767,-116.6941701,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
SONORA,HERMOSILLO,PRESA EL NOVILLO,29.81314103,-110.5160271,state_office,Hem's state.office key,NA,NA,NA,NA,NA,yes,NA,yes
JALISCO,PUERTO VALLARTA,BAHIA TEHUAMIXTLE,20.23915265,-105.5628035,state_office_site,Hem's state.site.office key,land,Region_9,NA,Region_9,no,NA,yes,yes
JALISCO,PUERTO VALLARTA,BOCA TOMATLAN,20.45102944,-105.2219664,state_office_site,Hem's state.site.office key,land,Region_9,NA,Region_9,yes,NA,yes,yes
JALISCO,PUERTO VALLARTA,PRESA CAJON PENAS,20.0035743,-105.1416251,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,BAHIA ASUNCION,PUNTA PRIETA,27.01590194,-114.0421967,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,yes,NA,NA,yes
BAJA CALIFORNIA,ENSENADA,PLAYA SAN QUINTIN,30.4667,-115.9539,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,CD. CONSTITUCION,BAHIA MAGDALENA,24.583333,-112,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
SINALOA,LA REFORMA,SISTEMA RIEGO EN ANGOSTURA,25.344,-108.14,state_office_site,Hem's state.site.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SONORA,GUAYMAS,PUERTO LIBERTAD,29.90638514,-112.6832256,state_site,Hem's state.site key,land,Region_6,NA,Region_6,yes,yes,yes,yes
JALISCO,GUADALAJARA,EL MOGOTE,21.14680722,-102.6478258,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,yes,NA,NA,yes
JALISCO,PUERTO VALLARTA,BAHIA LOS PEINES Y EL SALADO,20.67,-105.27,state_office_site,Hem's state.site.office key,land,Region_9,NA,Region_9,yes,NA,yes,yes
JALISCO,PUERTO VALLARTA,PLAYA DEL ROSITA,19.26,-105.02,state_site,Hem's state.site key,NA,NA,NA,NA,yes,NA,NA,yes
SINALOA,TOPOLOBAMPO,BAHIA SANTA MARIA,25.652,-109.219,state_office_site,Hem's state.site.office key,sea,Region_8,Region_8,Region_8,NA,yes,yes,yes
NAYARIT,SANTIAGO IXCUINTLA,EMBARCADERO LA BATANGA,21.897,-105.4621,state_site,Hem's state.site key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
BAJA CALIFORNIA,ISLA CEDROS,SAN FELIPE,31.0173,-114.8335,state_site,Mel's state.site key,sea,Region_1,NA,Region_1,yes,NA,NA,yes
BAJA CALIFORNIA SUR,CD. CONSTITUCION,ESTERO SAN VICENTE,25.4618,-112.0854,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
SINALOA,LOS MOCHIS,JUAN JOSE RIOS,25.75762752,-108.8342089,state_office_site,Hem's state.site.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
BAJA CALIFORNIA SUR,LA PAZ,LOS INOCENTES,23.77048,-110.672,state_office_site,Hem's state.site.office key,land,Region_4,NA,Region_4,no,NA,NA,no
SINALOA,LOS MOCHIS,TOPOLOBAMPO,25.59826743,-109.0497234,state_site,Hem's state.site key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,MAZATLAN,BAHIA DEL CONCHAL,24.216,-107.351,state_site,Hem's state.site key,sea,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,CULIACAN,LAGUNA CHIRICAHUETO,24.49723145,-107.1824625,state_site,Hem's state.site key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
JALISCO,GUADALAJARA,LOS CERRITOS Y BORDO LAS TUZAS,20.57,-103.3,state_site,Mel's state.site key,NA,NA,NA,NA,yes,NA,NA,yes
BAJA CALIFORNIA SUR,SANTA ROSALIA,SAN NICOLAS,26.83391778,-112.1299942,state_office_site,Hem's state.site.office key,land,Region_3,NA,Region_3,yes,NA,NA,yes
BAJA CALIFORNIA,ENSENADA,ISLA GUADALUPE,29.05354687,-118.3097002,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA,ISLA CEDROS,PTO. STO. TOMAS,31.583,-116.419,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,CABO SAN LUCAS,BAJOS SAN PABLO,27.211,-114.464,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
SONORA,HUATABAMPO,LAS BOCAS,26.58720444,-109.3360475,state_office_site,Hem's state.site.office key,land,Region_7,NA,Region_7,yes,yes,yes,yes
BAJA CALIFORNIA SUR,SAN CARLOS,SAN BUTO,24.77259255,-112.04892,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,BAHIA ASUNCION,SAN ROQUE,23.22014194,-109.4645075,state_site,Hem's state.site key,land,Region_4,NA,Region_4,no,NA,NA,no
BAJA CALIFORNIA,VILLA JESUS MARIA,PUNTA REFUGIO,29.5531562,-113.5240196,state_site,Hem's state.site key,sea,Region_2,NA,Region_2,yes,NA,NA,yes
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,SAN PABLO,27.1974,-114.4633,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
SONORA,GUAYMAS,PUNTA CALAVERA,27.87577,-110.605,state_site,Hem's state.site key,sea,Region_7,NA,Region_7,yes,yes,yes,yes
NAYARIT,CRUZ HUANACAXTLE,FRENTE A NUEVO VALLARTA,20.7023,-105.1745,state_site,Hem's state.site key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
BAJA CALIFORNIA,TIJUANA,JATAY,32.01321306,-116.8583311,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,LA PAZ,PUNTA EL LEON,24.221,-110.5622,state_site,Mel's state.site key,sea,Region_4,NA,Region_4,yes,NA,NA,yes
BAJA CALIFORNIA SUR,LA PAZ,PUNTA PESCADERO,23.79870528,-109.7001406,state_office_site,Hem's state.site.office key,land,Region_4,NA,Region_4,yes,NA,NA,yes
BAJA CALIFORNIA SUR,BAHIA ASUNCION,ISLA SAN ROQUE SUR,27.165,-114.404,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
SONORA,HUATABAMPO,PRESA MOCUZARIT,26.97775279,-109.5011588,state_office,Hem's state.office key,land,Region_7,NA,Region_7,NA,yes,yes,yes
SONORA,CD. OBREGON,PAREDONCITO,27.05564153,-109.9104626,state_site,Hem's state.site key,land,Region_7,NA,Region_7,yes,yes,yes,yes
SINALOA,EL ROSARIO,LA DRAGA Y EL PUYEQUE,22.821,-105.997,state_site,Hem's state.site key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,MAZATLAN,MARISMA EL HUIZACHE,23.49411631,-106.3796491,state_office,Hem's state.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,ESCUINAPA,SITIO FIDENCIO,24.15813585,-107.1783172,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,sea,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,ESCUINAPA,LA PESQUERIA,24.15813585,-107.1783172,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,sea,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,CULIACAN,CASCABELES,24.60331,-107.321,state_site,Hem's state.site key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
NAYARIT,TUXPAN,"PUENTE, EL",22.08709693,-105.1177705,state_office,Hem's state.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
NAYARIT,TUXPAN,EMBARCADERO EL COLORADO,22.6868,-105.2262,state_site,Hem's state.site key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
JALISCO,GUADALAJARA,PRESA OJO AGUA,20.83,-103.1,state_site,Mel's state.site key,NA,NA,NA,NA,yes,NA,NA,yes
JALISCO,CHAPALA,TEPEHUAJE,20.13361111,-103.2994444,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,LORETO,SAN BRUNO,27.1623825,-112.1619369,state_site,Hem's state.site key,land,Region_3,NA,Region_3,yes,NA,NA,yes
BAJA CALIFORNIA SUR,LA PAZ,ESTERO SALINAS,24.5457,-111.8028,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA,MEXICALI,RIO HARDY,32.17649324,-115.3015377,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,yes,NA,NA,yes
BAJA CALIFORNIA,ENSENADA,MERCADO MARISCOS,31.853,-116.6245,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA,EL ROSARIO,PLAYA SAN RAMON/CAMALU,30.7704,-116.0592,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,LA PAZ,BOCA ALAMO,23.8933616,-109.8045592,state_office_site,Hem's state.site.office key,land,Region_4,NA,Region_4,yes,NA,NA,yes
NAYARIT,TECUALA,ESTERO SANTA MARIA,22.2464,-105.4512,state_office_site,Hem's state.site.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
NAYARIT,TECUALA,LAGUNA LAS FLORES,22.49844421,-105.2661546,state_office,Hem's state.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
SINALOA,GUASAVE,AGUAS CONTINENTALES DEL ESTADO SINALOA,25.69673376,-108.2206193,state_office,Hem's state.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
NAYARIT,TEPIC,"PERDON, EL",21.48266492,-104.5479942,state_office,Hem's state.office key,NA,NA,Region_9,Region_9,NA,yes,yes,yes
SINALOA,NAVOLATO,LAS BRISAS,25.28230628,-107.9156594,state_site,Hem's state.site key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SONORA,GUAYMAS,LAS GUASIMAS,26.81875722,-108.9426439,state_site,Hem's state.site key,land,Region_7,NA,Region_7,yes,yes,yes,yes
JALISCO,GUADALAJARA,LAGUNA GOMEZ FARIAS,19.47,-103.27,state_site,Hem's state.site key,NA,NA,NA,NA,yes,NA,NA,yes
NAYARIT,TEPIC,VENA PERICOS,22.4217,-105.3522,state_site,Hem's state.site key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
NAYARIT,TEPIC,"NOPALERA, LA",21.48266492,-104.5479942,state_office,Hem's state.office key,NA,NA,Region_9,Region_9,NA,yes,yes,yes
SONORA,HUATABAMPO,EL RIITO,26.629725,-109.4719974,state_office_site,Hem's state.site.office key,sea,Region_7,NA,Region_7,yes,yes,yes,yes
SONORA,CD. OBREGON,ESTERO ATANASIA,27.14,-110.21,state_site,Mel's state.site key,land,Region_7,NA,Region_7,yes,yes,yes,yes
SONORA,CD. OBREGON,EL VERTEDOR,27.90648164,-110.8643649,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,sea,Region_7,NA,Region_7,NA,yes,yes,yes
SONORA,HERMOSILLO,EL VERTEDOR,29.81314103,-110.5160271,state_office,Hem's state.office key,NA,NA,NA,NA,NA,yes,NA,yes
BAJA CALIFORNIA SUR,LA PAZ,EL CARDONAL,23.84337028,-109.7480206,state_office_site,Hem's state.site.office key,land,Region_4,NA,Region_4,yes,NA,NA,yes
BAJA CALIFORNIA,ENSENADA,EL CHUTE,30.43714903,-115.9877776,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA,TIJUANA,SAN JUAN LAS PULGAS,31.4048,-116.4971,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,CABO SAN LUCAS,BOCA DEL TULE,23.24522833,-109.4378842,state_office_site,Hem's state.site.office key,land,Region_4,NA,Region_4,yes,NA,NA,yes
SONORA,CD. OBREGON,BAHIA LOBOS,27.35315022,-110.4532303,state_site,Hem's state.site key,land,Region_7,NA,Region_7,yes,yes,yes,yes
SINALOA,LOS MOCHIS,BAHIA OHUIRA,25.62456645,-108.983441,state_site,Hem's state.site key,sea,Region_8,Region_8,Region_8,NA,yes,yes,yes
JALISCO,GUADALAJARA,"PRESA """"CHARCO AZUL""""",20.65,-103.05,state_site,Mel's state.site key,NA,NA,NA,NA,yes,NA,NA,yes
BAJA CALIFORNIA SUR,LA PAZ,PUNTA MARQUEZ,23.9556054,-110.8739622,state_office_site,Hem's state.site.office key,land,Region_4,NA,Region_4,no,NA,NA,no
BAJA CALIFORNIA SUR,LA PAZ,CABO TOSCO,24.3100061,-111.7117283,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
SONORA,CD. OBREGON,SAN JOSE,27.12,-110.136,state_site,Mel's state.site key,land,Region_7,NA,Region_7,yes,yes,yes,yes
SINALOA,MAZATLAN,EMBARCADERO ISLA LA PIEDRA,23.183,-106.405,state_office_site,Hem's state.site.office key,sea,Region_8,Region_8,Region_8,NA,yes,yes,yes
SONORA,PUERTO PENASCO,PUERTO LOBOS,30.27126458,-112.8434614,state_site,Hem's state.site key,sea,Region_6,NA,Region_6,yes,yes,yes,yes
SINALOA,EL FUERTE,PIEDRA BOLA,26.03139222,-108.4201968,state_site,Hem's state.site key,NA,NA,Region_8,Region_8,NA,yes,yes,yes
JALISCO,PUERTO VALLARTA,ESTERO BOCA TOMATES,20.67021775,-105.2719873,state_office_site,Hem's state.site.office key,land,Region_9,NA,Region_9,yes,NA,yes,yes
BAJA CALIFORNIA,BAHIA LOS ANGELES,PUNTA BAJA,29.95317056,-115.8035939,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,SAN CARLOS,MUELLE FISCAL SAN CARLOS,24.79,-112.11,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA,SAN QUINTIN,ENSENADA,31.9435561,-116.7317009,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
JALISCO,BARRA NAVIDAD,PUNTA PERULA,19.5,-105.17,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
SONORA,GUAYMAS,PARAJE VIEJO,27.8795,-110.924,state_site,Hem's state.site key,land,Region_7,NA,Region_7,yes,yes,yes,yes
JALISCO,BARRA NAVIDAD,PLAYA LA MANZANILLA,19.26,-104.79,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,LA PAZ,LAS BARRANCAS,26.00216222,-112.1974197,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,PTO. ADOLFO LOPEZ MATEOS,PUERTO SAN ANDRESITO,25.8992,-112.1537,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
SONORA,CD. OBREGON,ESTERO SAN JOSE,27.125,-110.126,state_site,Hem's state.site key,sea,Region_7,NA,Region_7,yes,yes,yes,yes
SONORA,HUATABAMPO,SANTA LUGARDA,26.7298,-109.7935,state_site,Mel's state.site key,sea,Region_7,NA,Region_7,yes,yes,yes,yes
SONORA,HUATABAMPO,CAMAHUIROA,26.54155597,-109.2871036,state_office_site,Hem's state.site.office key,land,Region_7,NA,Region_7,yes,yes,yes,yes
BAJA CALIFORNIA,SAN QUINTIN,LA CHORERA,30.457085,-116.0277931,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,CLAM BAYS,27.6216,-114.8441,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,PTO. ADOLFO LOPEZ MATEOS,"SANTA ROSA, COMONDU",26.24,-112.06,state_site,Mel's state.site key,land,Region_3,NA,Region_3,no,NA,NA,no
NAYARIT,TUXPAN,EMBARCADERO SAN ANDRES,21.9082,-105.5692,state_office_site,Hem's state.site.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
NAYARIT,CRUZ HUANACAXTLE,PLAYA SAN FRANCISCO,20.79144145,-105.3371448,state_office,Hem's state.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
SINALOA,CULIACAN,DISTRITO RIEGO #136,24.57540235,-107.4244193,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SONORA,PUERTO PENASCO,PUERTO LIBERTAD,29.90638514,-112.6832256,state_site,Hem's state.site key,land,Region_6,NA,Region_6,yes,yes,yes,yes
SINALOA,NAVOLATO,BAHIA ALTATA Y ENSENADA DEL PABELLON,24.76185658,-107.6833974,state_office,Hem's state.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,NAVOLATO,BAHIA SANTA MARIA LA REFORMA,25.551,-109.163,state_site,Hem's state.site key,sea,Region_8,Region_8,Region_8,NA,yes,yes,yes
NAYARIT,TEPIC,EL MANGUITO,22.06273056,-104.5630114,state_office_site,Hem's state.site.office key,NA,NA,Region_9,Region_9,NA,yes,yes,yes
SONORA,GUAYMAS,PESQ. MEXICO,26.78,-109.66,state_site,Mel's state.site key,land,Region_7,NA,Region_7,yes,yes,yes,yes
JALISCO,BARRA NAVIDAD,DESEMBARCADERO LA MANZANILLA,22.21,-104.03,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
JALISCO,PUERTO VALLARTA,"ESTERO SAN JUAN, CANGREJOS Y TORTUGAS",20.693,-105.304,state_site,Mel's state.site key,sea,Region_9,NA,Region_9,yes,NA,yes,yes
JALISCO,GUADALAJARA,BORDO HUEJOTITLAN,20.21,-103.26,state_site,Hem's state.site key,NA,NA,NA,NA,yes,NA,NA,yes
JALISCO,GUADALAJARA,PRESA LA JOYA,20.01,-103.28,state_site,Hem's state.site key,NA,NA,NA,NA,yes,NA,NA,yes
BAJA CALIFORNIA,ENSENADA,SAN JUAN LAS PULGAS,31.4048,-116.4971,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
JALISCO,CHAPALA,SAN CRISTOBAL ZAPOTITLAN,20.1724125,-103.2760488,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA,ENSENADA,PUNTA COLONET,31.00560713,-116.290849,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA,SAN FELIPE,RINCON PUNTA BANDA,31.7239,-116.6781,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA,VILLA JESUS MARIA,EL MOLINO VIEJO,30.4859081,-115.9758053,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
SINALOA,EL FUERTE,JOSEFA ORTIZ DOMINGUEZ,26.43663942,-108.3939474,state_office,Hem's state.office key,NA,NA,Region_8,Region_8,NA,yes,yes,yes
JALISCO,GUADALAJARA,PRESA MONTENEGRO,20.21,-103.4,state_site,Hem's state.site key,NA,NA,NA,NA,yes,NA,NA,yes
BAJA CALIFORNIA SUR,LA PAZ,SAN JUANICO II,26.25,-112.49,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
NAYARIT,SANTIAGO IXCUINTLA,CORRAL DEL RISCO,20.77488868,-105.5125524,state_site,Hem's state.site key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
BAJA CALIFORNIA,SAN QUINTIN,BAHIA FALSA,30.45248778,-116.0022039,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
SINALOA,LA REFORMA,BAHIA SANTA MARIA LA REFORMA,25.551,-109.163,state_site,Hem's state.site key,sea,Region_8,Region_8,Region_8,NA,yes,yes,yes
BAJA CALIFORNIA,BAHIA LOS ANGELES,SAN MIGUEL,31.24274757,-115.5657743,state_site,Hem's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA,ENSENADA,EL MIRADOR,31.66647944,-116.5551744,state_office_site,Hem's state.site.office key,NA,NA,NA,NA,no,NA,NA,no
NAYARIT,SANTIAGO IXCUINTLA,CAMPO LIMONES,21.98386651,-104.8967609,state_office,Hem's state.office key,NA,NA,Region_9,Region_9,NA,yes,yes,yes
SINALOA,LA REFORMA,LITORAL,23.862,-106.734,state_site,Hem's state.site key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
SONORA,GUAYMAS,PUNTA LASTRE,27.9213,-110.882,state_site,Hem's state.site key,sea,Region_7,NA,Region_7,yes,yes,yes,yes
NAYARIT,TECUALA,ESTERO EL PUYECON,22.2051,-105.5959,state_office_site,Hem's state.site.office key,sea,Region_9,Region_9,Region_9,NA,yes,yes,yes
SINALOA,LOS MOCHIS,EL HUITUSSI,25.50539708,-108.7712143,state_site,Hem's state.site key,sea,Region_8,Region_8,Region_8,NA,yes,yes,yes
SINALOA,GUASAVE,BOCANITA,25.69673376,-108.2206193,state_office,Hem's state.office key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
JALISCO,CHAPALA,SAN LUIS SOYOTLAN,20.2651,-103.2004,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,CD. CONSTITUCION,"LOMA AMARILLA, COMONDU",26.24,-112.06,state_site,Mel's state.site key,land,Region_3,NA,Region_3,no,NA,NA,no
BAJA CALIFORNIA SUR,CD. CONSTITUCION,ESTERO SALINAS,24.5457,-111.8028,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,CD. CONSTITUCION,SAN ANDRESITO,25.8992,-112.1537,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA SUR,PUNTA ABREOJOS,EL FARO,26.7572,-113.5237,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
JALISCO,GUADALAJARA,PRESA AGUA PRIETA,20.36,-103.46,state_site,Hem's state.site key,NA,NA,NA,NA,yes,NA,NA,yes
SINALOA,EL FUERTE,RIO DIQUES Y CANALES,26.43663942,-108.3939474,state_office,Hem's state.office key,NA,NA,Region_8,Region_8,NA,yes,yes,yes
SINALOA,NAVOLATO,BAHIA SANTA MARIA,25.2980785,-108.5237206,state_site,Hem's state.site key,land,Region_8,Region_8,Region_8,NA,yes,yes,yes
