state,office_name_clean,landing_site_clean,final_lat,final_lon,final_lat.lon_level,final_lat.lon_source,location,OHI.region_geo.est,OHI_state.assign,OHI_region_est,GOC_mel.est,GOC_state.assign,GOC_region.assign,GOC_est
BAJA CALIFORNIA SUR,GUERRERO NEGRO,LAGUNA LAS FLORES Y GOLFO MEXICO,27.68192091,-113.5386026,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA SUR,LORETO,LAGUNA LAS FLORES Y GOLFO MEXICO,26.04328765,-111.6781733,state_office,Hem's state.office key,land,Region_4,NA,Region_4,NA,NA,NA,NA
SINALOA,TOPOLOBAMPO,LAGUNA LAS FLORES Y GOLFO MEXICO,25.61537953,-109.0244988,state_office,Hem's state.office key,sea,Region_8,Region_8,Region_8,NA,yes,yes,yes
BAJA CALIFORNIA SUR,CD. CONSTITUCION,LAGUNA LAS FLORES Y GOLFO MEXICO,25.27802808,-111.7625691,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,LAGUNA LAS FLORES Y GOLFO MEXICO,27.68888126,-114.7602288,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA SUR,LA PAZ,LAGUNA LAS FLORES Y GOLFO MEXICO,23.96530197,-110.2788658,state_office,Hem's state.office key,land,Region_4,NA,Region_4,NA,NA,NA,NA
BAJA CALIFORNIA SUR,BAHIA ASUNCION,LAGUNA LAS FLORES Y GOLFO MEXICO,27.20402452,-114.085745,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
SONORA,GUAYMAS,GUAYMAS,27.92151,-110.8915,state_site,Hem's state.site key,land,Region_7,NA,Region_7,yes,yes,yes,yes
BAJA CALIFORNIA,BAHIA LOS ANGELES,LAGUNA LAS FLORES Y GOLFO MEXICO,24.5843,-110.7416,state_site,Mel's state.site key,land,Region_4,NA,Region_4,yes,NA,NA,yes
BAJA CALIFORNIA,SAN FELIPE,SAN FELIPE,31.02205279,-114.8380447,state_office_site,Hem's state.site.office key,land,Region_1,NA,Region_1,yes,NA,NA,yes
BAJA CALIFORNIA SUR,LA PAZ,PICHILINGUE,24.27183215,-110.3275578,state_office_site,Hem's state.site.office key,sea,Region_4,NA,Region_4,yes,NA,NA,yes
BAJA CALIFORNIA SUR,PUNTA ABREOJOS,LAGUNA LAS FLORES Y GOLFO MEXICO,26.88159995,-113.0862862,state_office,Hem's state.office key,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA SUR,SAN CARLOS,LAGUNA LAS FLORES Y GOLFO MEXICO,25.3714584,-112.0739843,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,NA,NA,NA,NA,NA,NA,NA,NA
SONORA,GOLFO SANTA CLARA,LAGUNA LAS FLORES Y GOLFO MEXICO,31.89795054,-114.5715395,state_office,Hem's state.office key,land,Region_5,NA,Region_5,NA,yes,yes,yes
BAJA CALIFORNIA SUR,SAN CARLOS,SAN CARLOS,24.7661,-111.9669,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
BAJA CALIFORNIA,ISLA CEDROS,LAGUNA LAS FLORES Y GOLFO MEXICO,24.5843,-110.7416,state_site,Mel's state.site key,land,Region_4,NA,Region_4,yes,NA,NA,yes
BAJA CALIFORNIA SUR,PTO. ADOLFO LOPEZ MATEOS,LAGUNA LAS FLORES Y GOLFO MEXICO,24.99466904,-111.6135631,state_office,Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level,NA,NA,NA,NA,NA,NA,NA,NA
BAJA CALIFORNIA SUR,PTO. ADOLFO LOPEZ MATEOS,PTO ADOLFO LOPEZ MATEOS,25.1889,-112.1185,state_site,Mel's state.site key,NA,NA,NA,NA,no,NA,NA,no
NAYARIT,SAN BLAS,SAN BLAS,21.54173806,-105.2860464,state_office_site,Hem's state.site.office key,land,Region_9,Region_9,Region_9,NA,yes,yes,yes
