Data,landing_site,clave,subregion,long,lat,State,GofC
FINAL PUNTA 96 4.0096 -114.2711 29.7720,FINAL PUNTA,96,4.0096,-114.2711,29.772,Baja California,yes
GABRIELA PLAYA 151 4.0151 -114.6946 30.6200,GABRIELA PLAYA,151,4.0151,-114.6946,30.62,Baja California,yes
GARCÍA CAMPO 157 4.0157 -114.6963 30.6550,GARCÍA CAMPO,157,4.0157,-114.6963,30.655,Baja California,yes
GEMELITOS ISLA LOS 50 4.0050 -113.4788 28.9537,GEMELITOS ISLA LOS,50,4.005,-113.4788,28.9537,Baja California,yes
GOYOS 138 4.0138 -114.6319 30.5000,GOYOS,138,4.0138,-114.6319,30.5,Baja California,yes
GRANDE PLAYA 209 4.0209 -114.8827 31.1396,GRANDE PLAYA,209,4.0209,-114.8827,31.1396,Baja California,yes
GRANDE RANCHO 101 4.0101 -114.3978 29.7925,GRANDE RANCHO,101,4.0101,-114.3978,29.7925,Baja California,yes
GRANITO ISLA 77 4.0077 -113.5560 29.5818,GRANITO ISLA,77,4.0077,-113.556,29.5818,Baja California,yes
GRINGA PUNTA LA 64 4.0064 -113.5410 29.0310,GRINGA PUNTA LA,64,4.0064,-113.541,29.031,Baja California,yes
GUADALUPE BAHÍA 70 4.0070 -113.6369 29.2098,GUADALUPE BAHÍA,70,4.007,-113.6369,29.2098,Baja California,yes
HACIENDA 189 4.0189 -114.7590 30.9562,HACIENDA,189,4.0189,-114.759,30.9562,Baja California,yes
HARDY RÍO 218 4.0218 -115.1190 31.9790,HARDY RÍO,218,4.0218,-115.119,31.979,Baja California,yes
HAWAII CAMPO 203 4.0203 -114.8713 31.1070,HAWAII CAMPO,203,4.0203,-114.8713,31.107,Baja California,yes
HERMANOS LOS 140 4.0140 -114.6407 30.5134,HERMANOS LOS,140,4.014,-114.6407,30.5134,Baja California,yes
HERMOSA PLAYA 168 4.0168 -114.6974 30.7307,HERMOSA PLAYA,168,4.0168,-114.6974,30.7307,Baja California,yes
HERMOSA VISTA 182 4.0182 -114.7021 30.9088,HERMOSA VISTA,182,4.0182,-114.7021,30.9088,Baja California,yes
HERRADURA PUNTA LA 56 4.0056 -113.4742 28.9451,HERRADURA PUNTA LA,56,4.0056,-113.4742,28.9451,Baja California,yes
HUERFANITO ISLA 120 4.0120 -114.6231 30.1285,HUERFANITO ISLA,120,4.012,-114.6231,30.1285,Baja California,yes
ISLOTES DE SUR 73 4.0073 -113.2252 29.0257,ISLOTES DE SUR,73,4.0073,-113.2252,29.0257,Baja California,yes
JACARANDAS CLUB 205 4.0205 -114.8800 31.1280,JACARANDAS CLUB,205,4.0205,-114.88,31.128,Baja California,yes
JALISCO CAMPO 208 4.0208 -114.8808 31.1380,JALISCO CAMPO,208,4.0208,-114.8808,31.138,Baja California,yes
JOLLA CAMPO LA 164 4.0164 -114.7000 30.7170,JOLLA CAMPO LA,164,4.0164,-114.7,30.717,Baja California,yes
LA GRINGA ENSENADA 63 4.0063 -113.5481 29.0316,LA GRINGA ENSENADA,63,4.0063,-113.5481,29.0316,Baja California,yes
LANGOSTERA PUNTA LA 9 4.0009 -112.8059 28.1390,LANGOSTERA PUNTA LA,9,4.0009,-112.8059,28.139,Baja California,yes
LAS PALOMAS ENSENADA 21 4.0021 -112.8641 28.4475,LAS PALOMAS ENSENADA,21,4.0021,-112.8641,28.4475,Baja California,yes
LAS PAREDES ENSENADA 116 4.0116 -114.5758 30.0494,LAS PAREDES ENSENADA,116,4.0116,-114.5758,30.0494,Baja California,yes
LINDA PLAYA 163 4.0163 -114.7000 30.7165,LINDA PLAYA,163,4.0163,-114.7,30.7165,Baja California,yes
LOBOS ISLA 115 4.0115 -114.4895 30.0532,LOBOS ISLA,115,4.0115,-114.4895,30.0532,Baja California,yes
LOMA PLAYA PUNTA 159 4.0159 -114.7014 30.6800,LOMA PLAYA PUNTA,159,4.0159,-114.7014,30.68,Baja California,yes
MACHORRO PUNTA EL 196 4.0196 -114.8046 31.0450,MACHORRO PUNTA EL,196,4.0196,-114.8046,31.045,Baja California,yes
MARÍA GOLFO PUNTA 170 4.0170 -114.6990 30.7593,MARÍA GOLFO PUNTA,170,4.017,-114.699,30.7593,Baja California,yes
MATOMÍ CAMPO 135 4.0135 -114.6338 30.4633,MATOMÍ CAMPO,135,4.0135,-114.6338,30.4633,Baja California,yes
MATOMI EJIDO 139 4.0139 -114.6400 30.5170,MATOMI EJIDO,139,4.0139,-114.64,30.517,Baja California,yes
MAYMA CAMPO 166 4.0166 -114.7000 30.7220,MAYMA CAMPO,166,4.0166,-114.7,30.722,Baja California,yes
MEDIO PUERTECITO DE EN 34 4.0034 -113.2257 28.8244,MEDIO PUERTECITO DE EN,34,4.0034,-113.2257,28.8244,Baja California,yes
MEJIA ISLA 83 4.0083 -113.5847 29.5740,MEJIA ISLA,83,4.0083,-113.5847,29.574,Baja California,yes
MEJÍA PUNTA 82 4.0082 -113.5838 29.5845,MEJÍA PUNTA,82,4.0082,-113.5838,29.5845,Baja California,yes
MEXICALI 222 4.0222 -115.4667 32.6508,MEXICALI,222,4.0222,-115.4667,32.6508,Baja California,yes
MÉXICO PLAYA 156 4.0156 -114.6963 30.6530,MÉXICO PLAYA,156,4.0156,-114.6963,30.653,Baja California,yes
MINAS PLAYA DE 130 4.0130 -114.6375 30.3825,MINAS PLAYA DE,130,4.013,-114.6375,30.3825,Baja California,yes
MIRAMAR ENSENADA 117 4.0117 -114.5914 30.0858,MIRAMAR ENSENADA,117,4.0117,-114.5914,30.0858,Baja California,yes
MIRAMAR ISLA 118 4.0118 -114.5414 30.0851,MIRAMAR ISLA,118,4.0118,-114.5414,30.0851,Baja California,yes
MORRO 59 4.0059 -113.5436 28.9648,MORRO,59,4.0059,-113.5436,28.9648,Baja California,yes
MUERTO PUNTA EL 88 4.0088 -113.7905 29.4170,MUERTO PUNTA EL,88,4.0088,-113.7905,29.417,Baja California,yes
MUJERES CALA 23 4.0023 -112.8745 28.4422,MUJERES CALA,23,4.0023,-112.8745,28.4422,Baja California,yes
NACHO CAMPO 121 4.0121 -114.6713 30.2088,NACHO CAMPO,121,4.0121,-114.6713,30.2088,Baja California,yes
NAVIO NORTE CAMPO 79 4.0079 -113.5716 29.5677,NAVIO NORTE CAMPO,79,4.0079,-113.5716,29.5677,Baja California,yes
NAVIO SUR CAMPO 78 4.0078 -113.5535 29.5588,NAVIO SUR CAMPO,78,4.0078,-113.5535,29.5588,Baja California,yes
NUEVO MAZATLAN 165 4.0165 -114.7082 30.7213,NUEVO MAZATLAN,165,4.0165,-114.7082,30.7213,Baja California,yes
PAI-PAI CAMPO 202 4.0202 -114.8694 31.1023,PAI-PAI CAMPO,202,4.0202,-114.8694,31.1023,Baja California,yes
PALMAS LAS 191 4.0191 -114.8155 30.9903,PALMAS LAS,191,4.0191,-114.8155,30.9903,Baja California,yes
PALMITA LA) 8 4.0008 -112.8007 28.1171,PALMITA LA),8,4.0008,-112.8007,28.1171,Baja California,yes
PANCHOS PLACE 179 4.0179 -114.7194 30.8420,PANCHOS PLACE,179,4.0179,-114.7194,30.842,Baja California,yes
PAPÁ FERNÁNDEZ 107 4.0107 -114.4014 29.8291,PAPÁ FERNÁNDEZ,107,4.0107,-114.4014,29.8291,Baja California,yes
PARAISO CAMPO EL 206 4.0206 -114.8818 31.1300,PARAISO CAMPO EL,206,4.0206,-114.8818,31.13,Baja California,yes
PARAJE DE CHENCHO PUNTA 95 4.0095 -114.2580 29.7657,PARAJE DE CHENCHO PUNTA,95,4.0095,-114.258,29.7657,Baja California,yes
PARTIDA ISLA 33 4.0033 -113.0310 28.8700,PARTIDA ISLA,33,4.0033,-113.031,28.87,Baja California,yes
PAULITO PUNTA 7 4.0007 -112.7949 28.0736,PAULITO PUNTA,7,4.0007,-112.7949,28.0736,Baja California,yes
PERCEBÚ LAGUNA 172 4.0172 -114.6982 30.8065,PERCEBÚ LAGUNA,172,4.0172,-114.6982,30.8065,Baja California,yes
PERCEBÚ RANCHO 178 4.0178 -114.7133 30.8406,PERCEBÚ RANCHO,178,4.0178,-114.7133,30.8406,Baja California,yes
PERLA CAMPO 207 4.0207 -114.8761 31.1340,PERLA CAMPO,207,4.0207,-114.8761,31.134,Baja California,yes
PESCADOR CAMPO 198 4.0198 -114.8446 31.0765,PESCADOR CAMPO,198,4.0198,-114.8446,31.0765,Baja California,yes
PESCADOR ISLA EL 44 4.0044 -113.3800 28.9350,PESCADOR ISLA EL,44,4.0044,-113.38,28.935,Baja California,yes
PESCADOR PUNTA EL 45 4.0045 -113.3828 28.9368,PESCADOR PUNTA EL,45,4.0045,-113.3828,28.9368,Baja California,yes
PESCADORES (BAH. GUADALUPE) 71 4.0071 -113.6584 29.2154,PESCADORES (BAH. GUADALUPE),71,4.0071,-113.6584,29.2154,Baja California,yes
PIOJO ISLA EL 54 4.0054 -113.4683 29.0154,PIOJO ISLA EL,54,4.0054,-113.4683,29.0154,Baja California,yes
PLAYA PATTY CLUB DE 180 4.0180 -114.6922 30.8632,PLAYA PATTY CLUB DE,180,4.018,-114.6922,30.8632,Baja California,yes
POMO ISLA 112 4.0112 -114.3868 29.9975,POMO ISLA,112,4.0112,-114.3868,29.9975,Baja California,yes
PORVENIR PLAYA 171 4.0171 -114.6980 30.7716,PORVENIR PLAYA,171,4.0171,-114.698,30.7716,Baja California,yes
PRIMERO ESTERO 216 4.0216 -114.8787 31.2789,PRIMERO ESTERO,216,4.0216,-114.8787,31.2789,Baja California,yes
PUERTECITOS 127 4.0127 -114.6422 30.3467,PUERTECITOS,127,4.0127,-114.6422,30.3467,Baja California,yes
PUERTECITOS PLAYAS NORTE DE 128 4.0128 -114.6358 30.3636,PUERTECITOS PLAYAS NORTE DE,128,4.0128,-114.6358,30.3636,Baja California,yes
PULPOS CAMPO LOS 147 4.0147 -114.6995 30.5805,PULPOS CAMPO LOS,147,4.0147,-114.6995,30.5805,Baja California,yes
PUNTA ESTRELLA RANCHO 184 4.0184 -114.7100 30.9263,PUNTA ESTRELLA RANCHO,184,4.0184,-114.71,30.9263,Baja California,yes
QUEMADO EL 46 4.0046 -113.4120 28.9290,QUEMADO EL,46,4.0046,-113.412,28.929,Baja California,yes
QUINTA PLAYA 177 4.0177 -114.7121 30.8272,QUINTA PLAYA,177,4.0177,-114.7121,30.8272,Baja California,yes
RACITO ISLA 40 4.0040 -113.3566 28.8809,RACITO ISLA,40,4.004,-113.3566,28.8809,Baja California,yes
RADAR PUNTA 185 4.0185 -114.7108 30.9265,RADAR PUNTA,185,4.0185,-114.7108,30.9265,Baja California,yes
RAZA ISLA 32 4.0032 -112.9770 28.8074,RAZA ISLA,32,4.0032,-112.977,28.8074,Baja California,yes
REFUGIO BAHÍA 81 4.0081 -113.5224 29.5583,REFUGIO BAHÍA,81,4.0081,-113.5224,29.5583,Baja California,yes
REFUGIO PUNTA 80 4.0080 -113.5324 29.5563,REFUGIO PUNTA,80,4.008,-113.5324,29.5563,Baja California,yes
REMEDIOS PUNTA 86 4.0086 -113.6282 29.2510,REMEDIOS PUNTA,86,4.0086,-113.6282,29.251,Baja California,yes
RESORT MARINA 192 4.0192 -114.8177 30.9956,RESORT MARINA,192,4.0192,-114.8177,30.9956,Baja California,yes
RINCON GOLFO EL 60 4.0060 -113.5495 28.9875,RINCON GOLFO EL,60,4.006,-113.5495,28.9875,Baja California,yes
ROCA LA 162 4.0162 -114.7082 30.7156,ROCA LA,162,4.0162,-114.7082,30.7156,Baja California,yes
ROCOSA PUNTA 76 4.0076 -113.1980 29.2932,ROCOSA PUNTA,76,4.0076,-113.198,29.2932,Baja California,yes
ROMA CUESTA LA 122 4.0122 -114.6585 30.1790,ROMA CUESTA LA,122,4.0122,-114.6585,30.179,Baja California,yes
SALADA LAGUNA 221 4.0221 -115.7502 32.5007,SALADA LAGUNA,221,4.0221,-115.7502,32.5007,Baja California,yes
SALSIPUEDES CANAL 28 4.0028 -113.0354 28.6891,SALSIPUEDES CANAL,28,4.0028,-113.0354,28.6891,Baja California,yes
SALSIPUEDES ISLA 27 4.0027 -112.9800 28.7362,SALSIPUEDES ISLA,27,4.0027,-112.98,28.7362,Baja California,yes
SAN ANTONIO PIEDRA 22 4.0022 -112.8691 28.4328,SAN ANTONIO PIEDRA,22,4.0022,-112.8691,28.4328,Baja California,yes
SAN ANTONIO PLAYA 153 4.0153 -114.7012 30.6400,SAN ANTONIO PLAYA,153,4.0153,-114.7012,30.64,Baja California,yes
SAN BERNABE PIEDRA 35 4.0035 -113.2329 28.8305,SAN BERNABE PIEDRA,35,4.0035,-113.2329,28.8305,Baja California,yes
SAN CARLOS 167 4.0167 -114.6970 30.7280,SAN CARLOS,167,4.0167,-114.697,30.728,Baja California,yes
SAN CARLOS PUNTA 4 4.0004 -112.7515 27.9826,SAN CARLOS PUNTA,4,4.0004,-112.7515,27.9826,Baja California,yes
SAN DIEGO PLAYA 201 4.0201 -114.8665 31.0975,SAN DIEGO PLAYA,201,4.0201,-114.8665,31.0975,Baja California,yes
SAN ESTEBAN ISLA 2 4.0002 -112.5721 28.6999,SAN ESTEBAN ISLA,2,4.0002,-112.5721,28.6999,Baja California,yes
SAN FELIPE 195 4.0195 -114.8335 31.0173,SAN FELIPE,195,4.0195,-114.8335,31.0173,Baja California,yes
SAN FELIPE BAHÍA 194 4.0194 -114.8085 31.0125,SAN FELIPE BAHÍA,194,4.0194,-114.8085,31.0125,Baja California,yes
SAN FELIPE PLAYA 193 4.0193 -114.8247 31.0076,SAN FELIPE PLAYA,193,4.0193,-114.82470000000001,31.0076,Baja California,yes
SAN FERMÍN PLAYA 132 4.0132 -114.6310 30.4109,SAN FERMÍN PLAYA,132,4.0132,-114.631,30.4109,Baja California,yes
SAN FERNANDO 188 4.0188 -114.7250 30.9432,SAN FERNANDO,188,4.0188,-114.725,30.9432,Baja California,yes
SAN FERNANDO CAMPO 187 4.0187 -114.7250 30.9432,SAN FERNANDO CAMPO,187,4.0187,-114.725,30.9432,Baja California,yes
SAN FRANCISCO 190 4.0190 -114.8101 30.9855,SAN FRANCISCO,190,4.019,-114.8101,30.9855,Baja California,yes
SAN FRANCISQUITO 18 4.0018 -112.8534 28.4092,SAN FRANCISQUITO,18,4.0018,-112.8534,28.4092,Baja California,yes
SAN FRANCISQUITO BAHÍA 19 4.0019 -112.8489 28.4432,SAN FRANCISQUITO BAHÍA,19,4.0019,-112.8489,28.4432,Baja California,yes
SAN FRANCISQUITO ENSENADA 104 4.0104 -114.3840 29.8168,SAN FRANCISQUITO ENSENADA,104,4.0104,-114.384,29.8168,Baja California,yes
SAN FRANCISQUITO PUNTA 20 4.0020 -112.8429 28.4182,SAN FRANCISQUITO PUNTA,20,4.002,-112.8429,28.4182,Baja California,yes
SAN JOSÉ (LOS MAPACHES) 15 4.0015 -112.8587 28.3450,SAN JOSÉ (LOS MAPACHES),15,4.0015,-112.8587,28.345,Baja California,yes
SAN JOSE ENSENADA 16 4.0016 -112.8558 28.3312,SAN JOSE ENSENADA,16,4.0016,-112.8558,28.3312,Baja California,yes
SAN JUAN BAUTISTA BAHÍA 5 4.0005 -112.7887 28.0275,SAN JUAN BAUTISTA BAHÍA,5,4.0005,-112.7887,28.0275,Baja California,yes
SAN JUAN BAUTISTA PUNTA 6 4.0006 -112.7886 28.0630,SAN JUAN BAUTISTA PUNTA,6,4.0006,-112.7886,28.063,Baja California,yes
SAN LORENZO ISLA 25 4.0025 -112.8289 28.6336,SAN LORENZO ISLA,25,4.0025,-112.8289,28.6336,Baja California,yes
SAN LUIS GONZAGA 100 4.0100 -114.3672 29.7675,SAN LUIS GONZAGA,100,4.01,-114.3672,29.7675,Baja California,yes
SAN LUIS GONZAGA BAHÍA 99 4.0099 -114.3660 29.8875,SAN LUIS GONZAGA BAHÍA,99,4.0099,-114.366,29.8875,Baja California,yes
SAN LUIS ISLA 113 4.0113 -114.4275 29.9739,SAN LUIS ISLA,113,4.0113,-114.4275,29.9739,Baja California,yes
SAN MARTÍN GOLFO ISLA 173 4.0173 -114.7022 30.8163,SAN MARTÍN GOLFO ISLA,173,4.0173,-114.7022,30.8163,Baja California,yes
SAN MIGUEL ( SUR DE BAH. LOS ANGELES) 10 4.0010 -112.7810 28.1810,SAN MIGUEL ( SUR DE BAH. LOS ANGELES),10,4.001,-112.781,28.181,Baja California,yes
SAN MIGUEL CABO 11 4.0011 -112.7871 28.1921,SAN MIGUEL CABO,11,4.0011,-112.7871,28.1921,Baja California,yes
SAN PEDRO MARTIR ISLA 1 4.0001 -112.3331 28.3721,SAN PEDRO MARTIR ISLA,1,4.0001,-112.3331,28.3721,Baja California,yes
SAN RAFAEL GOLFO BAHÍA 29 4.0029 -113.0683 28.5250,SAN RAFAEL GOLFO BAHÍA,29,4.0029,-113.0683,28.525,Baja California,yes
SAN RAFAEL PLAYA 30 4.0030 -113.1228 28.5766,SAN RAFAEL PLAYA,30,4.003,-113.1228,28.5766,Baja California,yes
SANTA CATARINA PLAYA 146 4.0146 -114.6676 30.5840,SANTA CATARINA PLAYA,146,4.0146,-114.6676,30.584,Baja California,yes
SANTA CATARINA PUERTO 145 4.0145 -114.6676 30.5840,SANTA CATARINA PUERTO,145,4.0145,-114.6676,30.584,Baja California,yes
SANTA FE CAMPO 158 4.0158 -114.6963 30.6700,SANTA FE CAMPO,158,4.0158,-114.6963,30.67,Baja California,yes
SANTA MARÍA GOLFO BAHÍA 169 4.0169 -114.6929 30.7443,SANTA MARÍA GOLFO BAHÍA,169,4.0169,-114.6929,30.7443,Baja California,yes
SANTA TERESA BAHÍA 12 4.0012 -112.7949 28.2011,SANTA TERESA BAHÍA,12,4.0012,-112.7949,28.2011,Baja California,yes
SANTA TERESA CAMPO 134 4.0134 -114.6338 30.4500,SANTA TERESA CAMPO,134,4.0134,-114.6338,30.45,Baja California,yes
SILICA PLAYA LA 58 4.0058 -113.5558 28.9439,SILICA PLAYA LA,58,4.0058,-113.5558,28.9439,Baja California,yes
SOL PLAYA 200 4.0200 -114.8608 31.0886,SOL PLAYA,200,4.02,-114.8608,31.0886,Baja California,yes
SOLDADO PUNTA EL 39 4.0039 -113.3624 28.8723,SOLDADO PUNTA EL,39,4.0039,-113.3624,28.8723,Baja California,yes
TECOLOTE ENSENADA 89 4.0089 -113.7703 29.4181,TECOLOTE ENSENADA,89,4.0089,-113.7703,29.4181,Baja California,yes
TIJERETA PUNTA LA 98 4.0098 -114.2920 29.7657,TIJERETA PUNTA LA,98,4.0098,-114.292,29.7657,Baja California,yes
TOBA CAMPO 133 4.0133 -114.6338 30.4300,TOBA CAMPO,133,4.0133,-114.6338,30.43,Baja California,yes
TURISTICO VALLARTA CAMPO 142 4.0142 -114.6504 30.5443,TURISTICO VALLARTA CAMPO,142,4.0142,-114.6504,30.5443,Baja California,yes
VALLE TRANQUILO 215 4.0215 -114.8907 31.2532,VALLE TRANQUILO,215,4.0215,-114.8907,31.2532,Baja California,yes
VALLE TRANQUILO EJIDO 214 4.0214 -114.8907 31.2532,VALLE TRANQUILO EJIDO,214,4.0214,-114.8907,31.2532,Baja California,yes
VENTANA ISLA 52 4.0052 -113.5032 28.9921,VENTANA ISLA,52,4.0052,-113.5032,28.9921,Baja California,yes
VERGEL EL 161 4.0161 -114.7014 30.6950,VERGEL EL,161,4.0161,-114.7014,30.695,Baja California,yes
VIBORA LA 3 4.0003 -113.2603 29.2840,VIBORA LA,3,4.0003,-113.2603,29.284,Baja California,yes
VIOLETA LA 136 4.0136 -114.6288 30.4827,VIOLETA LA,136,4.0136,-114.6288,30.4827,Baja California,yes
VOLCAN PRIETO PUNTA 123 4.0123 -114.6469 30.2165,VOLCAN PRIETO PUNTA,123,4.0123,-114.6469,30.2165,Baja California,yes
WILLARD ISLA 105 4.0105 -114.3865 29.8171,WILLARD ISLA,105,4.0105,-114.3865,29.8171,Baja California,yes
WILLARD PUNTA 106 4.0106 -114.3945 29.8256,WILLARD PUNTA,106,4.0106,-114.3945,29.8256,Baja California,yes
XANIC PLAYA 148 4.0148 -114.6718 30.5824,XANIC PLAYA,148,4.0148,-114.6718,30.5824,Baja California,yes
ABAROA ISLOTE 129 2.0129 -113.2088 26.7386 26,ABAROA ISLOTE,129,2.0129,-113.2088,26.7386,Baja California Sur,mixed
ABREOJOS PUNTA 101 2.0101 -113.5742 26.7077 26,ABREOJOS PUNTA,101,2.0101,-113.5742,26.7077,Baja California Sur,mixed
ABULONERA DEL NORTE 161 2.0161 -112.1703 25.9368 30,ABULONERA DEL NORTE,161,2.0161,-112.1703,25.9368,Baja California Sur,mixed
ADOLFO LOPEZ MATEOS PUERTO 204 2.0204 -112.1185 25.1889 32,ADOLFO LOPEZ MATEOS PUERTO,204,2.0204,-112.1185,25.1889,Baja California Sur,mixed
AGUA VERDE PUERTO 172 3.0172 -111.0814 25.5277 51,AGUA VERDE PUERTO,172,3.0172,-111.0814,25.5277,Baja California Sur,mixed
AGUAS LITORALES DEL SUR 312 2.0312 -112.0170 24.5220 36,AGUAS LITORALES DEL SUR,312,2.0312,-112.017,24.522,Baja California Sur,mixed
ÁGUILAS LAS 15 2.0015 -114.0540 27.7620 20,ÁGUILAS LAS,15,2.0015,-114.054,27.762,Baja California Sur,mixed
AGUILILLA EL PUNTA 177 3.0177 -111.2102 25.7048 51,AGUILILLA EL PUNTA,177,3.0177,-111.2102,25.7048,Baja California Sur,mixed
AGUJA LA 323 2.0323 -110.8711 23.9650 37,AGUJA LA,323,2.0323,-110.8711,23.965,Baja California Sur,mixed
AHOGADA PIEDRA 49 2.0049 -115.1780 27.8766 22,AHOGADA PIEDRA,49,2.0049,-115.178,27.8766,Baja California Sur,mixed
AHUEHUETE ESTERO EL 283 2.0283 -111.6439 24.5536 36,AHUEHUETE ESTERO EL,283,2.0283,-111.6439,24.5536,Baja California Sur,mixed
ALAMBRE ISLOTE EL 27 2.0027 -114.2500 27.7455 20,ALAMBRE ISLOTE EL,27,2.0027,-114.25,27.7455,Baja California Sur,mixed
ALAMO BOCA DE 43 3.0043 -109.8026 23.8952 44,ALAMO BOCA DE,43,3.0043,-109.8026,23.8952,Baja California Sur,mixed
ALCATRAZ PUERTO 309 2.0309 -111.8552 24.5173 35,ALCATRAZ PUERTO,309,2.0309,-111.8552,24.5173,Baja California Sur,mixed
ALGUATE PUNTA 271 2.0271 -111.7791 24.5487 35,ALGUATE PUNTA,271,2.0271,-111.7791,24.5487,Baja California Sur,mixed
ALMEJA BAJO LA 128 2.0128 -113.2350 26.7470 26,ALMEJA BAJO LA,128,2.0128,-113.235,26.747,Baja California Sur,mixed
ALMEJA PUERTO 204 3.0204 -111.4300 26.3790 53,ALMEJA PUERTO,204,3.0204,-111.43,26.379,Baja California Sur,mixed
ALMEJAS BAHÍA LAS 300 2.0300 -111.6780 24.4410 36,ALMEJAS BAHÍA LAS,300,2.03,-111.678,24.441,Baja California Sur,mixed
AMARILLA PUNTA SANTA ROSA 219 3.0219 -111.6630 26.7830 55,AMARILLA PUNTA SANTA ROSA,219,3.0219,-111.663,26.783,Baja California Sur,mixed
AMARILLO PAREDON PACIFICO 257 2.0257 -111.9670 24.7350 34,AMARILLO PAREDON PACIFICO,257,2.0257,-111.967,24.735,Baja California Sur,mixed
AMORTAJADA BAHÍA LA 142 3.0142 -110.5560 24.8920 49,AMORTAJADA BAHÍA LA,142,3.0142,-110.556,24.892,Baja California Sur,mixed
ANA BAHÍA SANTA 294 3.0294 -112.5839 27.6628 57,ANA BAHÍA SANTA,294,3.0294,-112.5839,27.6628,Baja California Sur,mixed
ANA ISLA 137 2.0137 -113.1397 26.6516 27,ANA ISLA,137,2.0137,-113.1397,26.6516,Baja California Sur,mixed
ANEGADOS LOS 65 2.0065 -114.8719 27.6338 22,ANEGADOS LOS,65,2.0065,-114.8719,27.6338,Baja California Sur,mixed
ANIMAS BOCA DE LAS 180 2.0180 -112.0938 25.6803 31,ANIMAS BOCA DE LAS,180,2.018,-112.0938,25.6803,Baja California Sur,mixed
ANIMAS ISLA LAS 149 3.0149 -110.5027 25.1268 50,ANIMAS ISLA LAS,149,3.0149,-110.5027,25.1268,Baja California Sur,mixed
ANIMAS LAS 374 2.0374 -110.5090 25.1280 76 B,ANIMAS LAS,374,2.0374,-110.509,25.128,Baja California Sur,mixed
ANIMAS LAS GOLFO 121 3.0121 -110.7294 24.5284 48,ANIMAS LAS GOLFO,121,3.0121000000000002,-110.7294,24.5284,Baja California Sur,mixed
ANTONIO PUNTA SAN 209 3.0209 -111.4640 26.5410 54,ANTONIO PUNTA SAN,209,3.0209,-111.464,26.541,Baja California Sur,mixed
ARENA PUNTA BAHÍA CONCEPCIÓN 238 3.0238 -111.8589 26.7936 55,ARENA PUNTA BAHÍA CONCEPCIÓN,238,3.0238,-111.8589,26.7936,Baja California Sur,mixed
ARENA PUNTA LA VENTANA 48 3.0048 -109.8299 24.0648 45,ARENA PUNTA LA VENTANA,48,3.0048,-109.8299,24.0648,Baja California Sur,mixed
ARGUDIN PURTO 267 2.0267 -111.8440 24.6400 35,ARGUDIN PURTO,267,2.0267,-111.844,24.64,Baja California Sur,mixed
ARRANCA CABELLO PUNTA 96 3.0096 -110.2745 24.3539 46,ARRANCA CABELLO PUNTA,96,3.0096,-110.2745,24.3539,Baja California Sur,mixed
ARROYO PRIMER 30 2.0030 -114.3941 27.8311 19,ARROYO PRIMER,30,2.003,-114.3941,27.8311,Baja California Sur,mixed
ARROYO SANTO DOMINGO ESTERO 190 2.0190 -112.0845 25.3992 32,ARROYO SANTO DOMINGO ESTERO,190,2.019,-112.0845,25.3992,Baja California Sur,mixed
ARROYO SEGUNDO 28 2.0028 -114.3352 27.8711 19,ARROYO SEGUNDO,28,2.0028,-114.3352,27.8711,Baja California Sur,mixed
ASTORGA PUERTO 203 2.0203 -112.1188 25.1895 32,ASTORGA PUERTO,203,2.0203,-112.1188,25.1895,Baja California Sur,mixed
ASUNCIÓN BAHÍA 87 2.0087 -114.2905 27.1436 24,ASUNCIÓN BAHÍA,87,2.0087,-114.2905,27.1436,Baja California Sur,mixed
ASUNCION ISLA 371 2.0371 -114.2950 27.1210 41,ASUNCION ISLA,371,2.0371,-114.295,27.121,Baja California Sur,mixed
ASUNCIÓN ISLA LA 88 2.0088 -114.2900 27.1035 24,ASUNCIÓN ISLA LA,88,2.0088,-114.29,27.1035,Baja California Sur,mixed
ASUNCIÓN PUNTA 85 2.0085 -114.2919 27.1240 24,ASUNCIÓN PUNTA,85,2.0085,-114.2919,27.124,Baja California Sur,mixed
AZABACHES LOS 99 3.0099 -110.3045 24.3447 46,AZABACHES LOS,99,3.0099,-110.3045,24.3447,Baja California Sur,mixed
BAHÍA TORTUGAS LITORALES 68 2.0068 -114.8717 27.6725 22,BAHÍA TORTUGAS LITORALES,68,2.0068,-114.8717,27.6725,Baja California Sur,mixed
BAJA PUNTA 183 3.0183 -111.2494 25.7857 52,BAJA PUNTA,183,3.0183,-111.2494,25.7857,Baja California Sur,mixed
BAJA PUNTA SANTA ROSALIA 292 3.0292 -112.4476 27.6023 57,BAJA PUNTA SANTA ROSALIA,292,3.0292,-112.4476,27.6023,Baja California Sur,mixed
BAJOS LOS 342 2.0342 -110.2835 23.5171 39,BAJOS LOS,342,2.0342,-110.2835,23.5171,Baja California Sur,mixed
BALANDRA ESTERO PUERTO 101 3.0101 -110.3300 24.3201 46,BALANDRA ESTERO PUERTO,101,3.0101,-110.33,24.3201,Baja California Sur,mixed
BALIZAS ESTERO LAS 268 2.0268 -111.8156 24.5347 35,BALIZAS ESTERO LAS,268,2.0268,-111.8156,24.5347,Baja California Sur,mixed
BALIZAS LAS B.C.N. 2 2.0002 -114.0736 28.1916 19,BALIZAS LAS B.C.N.,2,2.0002,-114.0736,28.1916,Baja California Sur,mixed
