Data,landing_site,clave,subregion,long,lat,State,GofC
BLANCA PLAYA 10 1.0010 -117.0870 32.4200,BLANCA PLAYA,10,1.001,-117.087,32.42,Baja California,no
BLANCA PUNTA 135 1.0134 -116.5463 31.4412,BLANCA PUNTA,135,1.0134,-116.5463,31.4412,Baja California,no
BLANCA PUNTA 278 1.0277 -114.6420 29.1020,BLANCA PUNTA,278,1.0277,-114.642,29.102,Baja California,no
BOCANA 130 1.0129 -116.6507 31.5175,BOCANA,130,1.0129,-116.6507,31.5175,Baja California,no
BOCANA ARROYO LA 260 1.0259 -115.1836 29.4217,BOCANA ARROYO LA,260,1.0259,-115.1836,29.4217,Baja California,no
BOCANA LA 128 1.0127 -116.6504 31.5334,BOCANA LA,128,1.0127,-116.6504,31.5334,Baja California,no
BOLLITAS 320 1.0319 -114.1000 28.2860,BOLLITAS,320,1.0319,-114.1,28.286,Baja California,no
BONITA KATE PLAYA 275 1.0274 -114.7306 29.1579,BONITA KATE PLAYA,275,1.0274,-114.7306,29.1579,Baja California,no
BRAVA COSTA 174 1.0173 -116.0492 30.7458,BRAVA COSTA,174,1.0173,-116.0492,30.7458,Baja California,no
BRIGADO ALVARADO 194 1.0193 -116.0202 30.4535,BRIGADO ALVARADO,194,1.0193,-116.0202,30.4535,Baja California,no
BUENAVISTA 34 1.0034 -117.0357 32.2869,BUENAVISTA,34,1.0034,-117.0357,32.2869,Baja California,no
BUENOS PUNTA LOS 6 1.0006 -117.1000 32.4430,BUENOS PUNTA LOS,6,1.0006,-117.1,32.443,Baja California,no
BUFADORA LA 102 1.0101 -116.7139 31.7201,BUFADORA LA,102,1.0101,-116.7139,31.7201,Baja California,no
CABRAS PUNTA 146 1.0145 -116.4541 31.3264,CABRAS PUNTA,146,1.0145,-116.4541,31.3264,Baja California,no
CALAFIA 40 1.0040 -117.0221 32.2725,CALAFIA,40,1.004,-117.0221,32.2725,Baja California,no
CALAFIA SUR 123 1.0122 -116.6751 31.5503,CALAFIA SUR,123,1.0122,-116.6751,31.5503,Baja California,no
CALAVERA LA 140 1.0139 -116.4670 31.3505,CALAVERA LA,140,1.0139,-116.467,31.3505,Baja California,no
CALETA 33 1.0033 -117.0374 32.2870,CALETA,33,1.0033,-117.0374,32.287,Baja California,no
CÁLETE 107 1.0106 -116.7172 31.7114,CÁLETE,107,1.0106,-116.7172,31.7114,Baja California,no
CAMACHO PUNTA 256 1.0255 -115.2180 29.4830,CAMACHO PUNTA,256,1.0255,-115.218,29.483,Baja California,no
CAMALÚ 169 1.0168 -116.0548 30.8498,CAMALÚ,169,1.0168,-116.0548,30.8498,Baja California,no
CAMALÚ BAHÍA 173 1.0172 -116.0607 30.8127,CAMALÚ BAHÍA,173,1.0172,-116.0607,30.8127,Baja California,no
CAMALÚ PUNTA 170 1.0169 -116.0938 30.8210,CAMALÚ PUNTA,170,1.0169,-116.0938,30.821,Baja California,no
CAMPITO PUNTA EL 233 1.0232 -115.7900 30.1465,CAMPITO PUNTA EL,233,1.0232,-115.79,30.1465,Baja California,no
CAMPO NUEVO CALETA 249 1.0248 -115.6002 29.6843,CAMPO NUEVO CALETA,249,1.0248,-115.6002,29.6843,Baja California,no
CANOAS PUERTO 261 1.0260 -115.1168 29.4158,CANOAS PUERTO,261,1.026,-115.1168,29.4158,Baja California,no
CANOAS PUNTA 259 1.0258 -115.1836 29.4172,CANOAS PUNTA,259,1.0258,-115.1836,29.4172,Baja California,no
CAÑÓN DE SANTA CRUZ LA PUNTA DEL 144 1.0143 -116.4548 31.3415,CAÑÓN DE SANTA CRUZ LA PUNTA DEL,144,1.0143,-116.4548,31.3415,Baja California,no
CANTILES 45 1.0045 -116.9438 32.2490,CANTILES,45,1.0045,-116.9438,32.249,Baja California,no
CARDÓN EL 288 1.0287 -114.4487 28.9074,CARDÓN EL,288,1.0287,-114.4487,28.9074,Baja California,no
CARDÓN LITORAL DEL 317 1.0317 -114.0840 28.3230,CARDÓN LITORAL DEL,317,1.0317,-114.084,28.323,Baja California,no
CARLOS CAMPO 42 1.0042 -116.9724 32.2597,CARLOS CAMPO,42,1.0042,-116.9724,32.2597,Baja California,no
CASTILLOS DEL MAR 27 1.0027 -117.0461 32.3100,CASTILLOS DEL MAR,27,1.0027,-117.0461,32.31,Baja California,no
CASTROS 201 1.0200 -115.9960 30.4437,CASTROS,201,1.02,-115.996,30.4437,Baja California,no
CATARINA PUERTO 254 1.0253 -115.2534 29.5145,CATARINA PUERTO,254,1.0253,-115.2534,29.5145,Baja California,no
CEDROS ISLA 328 1.0327 -115.2160 28.1890,CEDROS ISLA,328,1.0327,-115.216,28.189,Baja California,no
CENIZAS MONTE DE 166 1.0165 -116.1901 30.8904,CENIZAS MONTE DE,166,1.0165,-116.1901,30.8904,Baja California,no
CHICHOS LOS 167 1.0166 -116.2021 30.8900,CHICHOS LOS,167,1.0166,-116.2021,30.89,Baja California,no
CHINA PUNTA 131 1.0130 -116.6455 31.5105,CHINA PUNTA,131,1.013,-116.6455,31.5105,Baja California,no
CHORERA LA 193 1.0192 -116.0192 30.4537,CHORERA LA,193,1.0192,-116.0192,30.4537,Baja California,no
CHUTE EL 207 1.0206 -115.9838 30.4338,CHUTE EL,207,1.0206,-115.9838,30.4338,Baja California,no
CLARA PUNTA 129 1.0128 -116.6582 31.5300,CLARA PUNTA,129,1.0128,-116.6582,31.53,Baja California,no
COLONET BAHÍA 159 1.0158 -116.2551 30.9479,COLONET BAHÍA,159,1.0158,-116.2551,30.9479,Baja California,no
COLONET BANCK 342 1.0341 -116.6450 30.9370,COLONET BANCK,342,1.0341,-116.645,30.937,Baja California,no
