rgn_id,year,pressure
Region_1,2007,0.17803090038916403
Region_2,2007,0.06026436632254488
Region_3,2007,0.04867611731490607
Region_4,2007,0.02021346250110998
Region_5,2007,0.14688552770697474
Region_6,2007,0.11498971684140193
Region_7,2007,0.2552448412352149
Region_8,2007,0.5939086105033302
Region_9,2007,0.144872849228595
Region_1,2008,0.2232265201395075
Region_2,2008,0.05993435480613171
Region_3,2008,0.04691191354009939
Region_4,2008,0.0176626722347802
Region_5,2008,0.1514728368579691
Region_6,2008,0.08587796000611751
Region_7,2008,0.2435496647500766
Region_8,2008,0.5423901778494468
Region_9,2008,0.07243160213267598
Region_1,2009,0.10687813299620126
Region_2,2009,0.07597818621398986
Region_3,2009,0.05501772561871985
Region_4,2009,0.022632851075003256
Region_5,2009,0.14262310521074975
Region_6,2009,0.1864499139282902
Region_7,2009,0.33333679046081505
Region_8,2009,0.5983898330876138
Region_9,2009,0.09223796688704426
Region_1,2010,0.09688039743161006
Region_2,2010,0.2272828121731761
Region_3,2010,0.05149356763885888
Region_4,2010,0.030444395521063865
Region_5,2010,0.275696893784144
Region_6,2010,0.37009188432157347
Region_7,2010,0.4674116649037518
Region_8,2010,0.9168514579567206
Region_9,2010,0.2445573101183211
Region_1,2011,0.3616293281806952
Region_2,2011,0.23384676826894618
Region_3,2011,0.07868103150958271
Region_4,2011,0.025903118402628957
Region_5,2011,0.34659622935326967
Region_6,2011,0.32827574106814983
Region_7,2011,0.4298238228253911
Region_8,2011,0.9956003015712042
Region_9,2011,0.17967312448579612
Region_1,2012,0.30638115088013534
Region_2,2012,0.23900314631039382
Region_3,2012,0.06086519294173979
Region_4,2012,0.02557723267759506
Region_5,2012,0.427702382244841
Region_6,2012,0.34692468879214416
Region_7,2012,0.41304987698110457
Region_8,2012,0.8884927463699936
Region_9,2012,0.20607320044766506
Region_1,2013,0.37039171718944985
Region_2,2013,0.2984432846780538
Region_3,2013,0.04800521541499232
Region_4,2013,0.027509487896173357
Region_5,2013,0.4128299494228969
Region_6,2013,0.34141491432274934
Region_7,2013,0.48321670168255915
Region_8,2013,1
Region_9,2013,0.2658281804824886
Region_1,2014,0.22612422034348487
Region_2,2014,0.3151894602356957
Region_3,2014,0.12977126060549943
Region_4,2014,0.02665530158719172
Region_5,2014,0.4191048328911046
Region_6,2014,0.39115347465211925
Region_7,2014,0.5022406912676115
Region_8,2014,0.8738459836151131
Region_9,2014,0.1904932719466928
Region_1,2015,0.24016744549533353
Region_2,2015,0.25993243696214413
Region_3,2015,0.03382161934808377
Region_4,2015,0.030593795742570946
Region_5,2015,0.46635761362555334
Region_6,2015,0.37425354644028314
Region_7,2015,0.48183473059031295
Region_8,2015,0.920145273249527
Region_9,2015,0.171532901587294
Region_1,2016,0.4882114364688936
Region_2,2016,0.25844471755122644
Region_3,2016,0.05137345942826173
Region_4,2016,0.038133232465298504
Region_5,2016,0.5269542051200357
Region_6,2016,0.41652347992896915
Region_7,2016,0.5652044338856415
Region_8,2016,0.9131484352853293
Region_9,2016,0.221532829821527
Region_1,2017,0.3132793904036895
Region_2,2017,0.25101879191641996
Region_3,2017,0.0645406080876078
Region_4,2017,0.05071621589856925
Region_5,2017,0.5634325769726184
Region_6,2017,0.46555046503431624
Region_7,2017,0.5634750769716645
Region_8,2017,1
Region_9,2017,0.2405096278011514
Region_1,2018,0.15324200445917513
Region_2,2018,0.18503571538691854
Region_3,2018,0.04899198060234441
Region_4,2018,0.041321832229542645
Region_5,2018,0.3283654096734409
Region_6,2018,0.320948252462983
Region_7,2018,0.5948764008719846
Region_8,2018,0.8332547698443518
Region_9,2018,0.1357585774163294
Region_1,2019,0.1825598730599994
Region_2,2019,0.20330094809985153
Region_3,2019,0.04478937970548443
Region_4,2019,0.04795058602224587
Region_5,2019,0.3757407087335668
Region_6,2019,0.32766955812185306
Region_7,2019,0.5370946477671503
Region_8,2019,0.7437934347185704
Region_9,2019,0.13581404377056244
Region_1,2020,0.11130546480303904
Region_2,2020,0.1343869802430666
Region_3,2020,0.04371375923448515
Region_4,2020,0.04305476530049064
Region_5,2020,0.1504247992525617
Region_6,2020,0.20883875120490036
