rgn_id,year,pressure
Region_1,2021,0
Region_2,2021,0
Region_3,2021,0
Region_4,2021,19
Region_5,2021,15
Region_6,2021,20
Region_7,2021,22
Region_8,2021,53
Region_9,2021,72
