rgn_id,year,current_status,gapfilled
Region_1,2022,88.35834574973808,n
Region_1,2023,82.6542512735504,n
Region_1,2024,83.58098919254788,n
Region_1,2025,82.17940217410604,n
Region_3,2022,94.74933920448457,y
Region_3,2023,94.74933920448457,n
Region_3,2024,95,n
Region_3,2025,94.41526796431673,n
Region_4,2022,92.30086134814228,n
Region_4,2023,93.67600472902073,n
Region_4,2024,93.10552330501828,n
Region_4,2025,90.27232229084703,n
Region_5,2022,91.34605444785646,n
Region_5,2023,89.37716814498036,n
Region_5,2024,94.59787105100284,n
Region_5,2025,94.45791903158491,n
Region_6,2022,94.27617545163754,n
Region_6,2023,93.5435754448576,n
Region_6,2024,93.54508328804175,n
Region_6,2025,90.86162872000841,n
Region_7,2022,91.51039906253848,n
Region_7,2023,90.311435598794,n
Region_7,2024,93.34611193981425,n
Region_7,2025,48.58525890844996,n
Region_8,2022,89.96653801559222,n
Region_8,2023,81.68377342256066,n
Region_8,2024,90.97447409137246,n
Region_8,2025,90.41269762346259,n
Region_9,2022,80.44902793119076,n
Region_9,2023,82.11111471075787,n
Region_9,2024,53.05763705897841,n
Region_9,2025,61.93835422250471,n
