rgn_id,year,status
Region_1,2022,0.11599999999999994
Region_1,2023,0.17299999999999996
Region_1,2024,0.16400000000000006
Region_1,2025,0.17799999999999996
Region_3,2022,0.05299999999999997
Region_3,2023,0.05299999999999997
Region_3,2024,0.05
Region_3,2025,0.055999999999999946
Region_4,2022,0.07700000000000003
Region_4,2023,0.06299999999999997
Region_4,2024,0.06900000000000006
Region_4,2025,0.09700000000000003
Region_5,2022,0.08700000000000002
Region_5,2023,0.10599999999999994
Region_5,2024,0.054000000000000055
Region_5,2025,0.055
Region_6,2022,0.05700000000000003
Region_6,2023,0.065
Region_6,2024,0.065
Region_6,2025,0.09099999999999994
Region_7,2022,0.085
Region_7,2023,0.09700000000000003
Region_7,2024,0.06700000000000003
Region_7,2025,0.514
Region_8,2022,0.1
Region_8,2023,0.18299999999999997
Region_8,2024,0.09
Region_8,2025,0.09599999999999995
Region_9,2022,0.19599999999999995
Region_9,2023,0.17900000000000005
Region_9,2024,0.469
Region_9,2025,0.381
