cinfo.stock.i.,stock,yr,ct.raw,B,lcl.B,ucl.B,B.Bmsy,lcl.B.Bmsy,ucl.B.Bmsy,F.Fmsy,lcl.F.Fmsy,ucl.F.Fmsy
mycteroperca,mycteroperca,2010,373.76545,15381.99966,13766.63078,16254.88456,1.741652023,1.558749244,1.84048584,0.17218641,0.162940025,0.192390669
mycteroperca,mycteroperca,2011,360.6844,15414.45335,13890.46859,16253.59149,1.745326644,1.572770983,1.840339431,0.165810392,0.157249957,0.184002184
mycteroperca,mycteroperca,2012,423.3235,15508.26239,14033.13928,16298.41995,1.755948327,1.588925104,1.845415206,0.193429074,0.184051512,0.21376178
mycteroperca,mycteroperca,2013,444.7187,15638.51776,14215.86762,16389.45334,1.770696704,1.609614819,1.85572261,0.201512652,0.192279701,0.221678991
mycteroperca,mycteroperca,2014,462.35285,15711.85844,14333.50601,16420.94267,1.779000821,1.622934617,1.859288041,0.208525176,0.199520704,0.228577575
mycteroperca,mycteroperca,2015,725.96037,15739.84147,14404.94427,16399.89267,1.782169246,1.631023331,1.85690462,0.326832379,0.313678262,0.357119731
mycteroperca,mycteroperca,2016,679.33228,15659.66491,14358.37952,16270.99847,1.773091124,1.625750961,1.842310365,0.307405973,0.295856123,0.335265865
mycteroperca,mycteroperca,2017,684.53051,15520.08929,14229.93685,16091.6209,1.757287446,1.61120783,1.822000046,0.312543959,0.301443229,0.340880652
mycteroperca,mycteroperca,2018,661.15075,15347.72488,14038.71094,15882.99201,1.737771205,1.589555964,1.798377699,0.305259371,0.294971932,0.333722723
mycteroperca,mycteroperca,2019,2421.90748,15234.16833,13886.5895,15851.0677,1.724913579,1.572331766,1.794763017,1.126552184,1.082708492,1.23587477
mycteroperca,mycteroperca,2020,912.5258,14549.96332,13024.22007,15461.44439,1.647443349,1.47468858,1.750647282,0.444422225,0.418222703,0.496484782
mycteroperca,mycteroperca,2021,1153.57185,13929.45019,12174.43587,15123.16518,1.577184737,1.378470376,1.712345066,0.586844705,0.540523362,0.671441714
mycteroperca,mycteroperca,2022,1093.07025,13275.68441,11204.06356,14754.26188,1.50316104,1.268598387,1.670575388,0.583450034,0.524980415,0.691329399
mycteroperca,mycteroperca,2023,1176.975,13159.48602,11007.5565,14671.58866,1.490004288,1.246348554,1.661214578,0.633783351,0.568463534,0.757685245
mycteroperca,mycteroperca,2024,982.820774,12964.96487,10700.83382,14553.54925,1.467979312,1.211619379,1.647849373,0.537174637,0.478539645,0.650832487
paralabrax,paralabrax,2000,4242.9024,26553.74503,20889.15562,31662.99975,1.518416535,1.194499656,1.810577843,1.132269415,0.949562378,1.43931109
paralabrax,paralabrax,2001,3298.9518,24209.49706,19158.97818,29016.86575,1.384365957,1.095563328,1.659264586,0.965612142,0.805634369,1.2201582
paralabrax,paralabrax,2002,4241.6289,22416.01699,17689.65644,27581.33648,1.281809809,1.011543449,1.577177055,1.340870196,1.089757529,1.699126786
paralabrax,paralabrax,2003,5011.7458,20709.42296,15875.80477,26373.98616,1.184222046,0.907822398,1.508137426,1.714879277,1.346560208,2.236999056
paralabrax,paralabrax,2004,5049.4634,18913.59799,13599.4107,25272.75673,1.08153181,0.777651893,1.445166084,1.891836456,1.415810494,2.631101816
paralabrax,paralabrax,2005,594.0041,16565.47015,10208.88114,23935.04737,0.94725937,0.583772041,1.368672165,0.254096213,0.175860242,0.412309945
paralabrax,paralabrax,2006,430.0585,15474.2786,7939.044152,23407.8967,0.884862022,0.453976488,1.338528233,0.196938053,0.13019001,0.383859094
paralabrax,paralabrax,2007,683.9812,15743.41107,7043.043261,23867.88263,0.90025176,0.402740681,1.3648315,0.307863247,0.203068606,0.688170932
paralabrax,paralabrax,2008,498.2231,17450.45746,7912.102912,25080.15072,0.997865391,0.452435914,1.43415234,0.202315687,0.140768743,0.44621529
paralabrax,paralabrax,2009,730.133,19249.64484,9116.320188,26209.59394,1.100747898,0.521296386,1.498737025,0.268776796,0.197403205,0.56753797
paralabrax,paralabrax,2010,822.6252,20942.55364,10652.16325,27235.16218,1.197553102,0.609120137,1.557381852,0.278345938,0.214034883,0.547238585
paralabrax,paralabrax,2011,690.6722,22496.55662,12189.72569,28167.28103,1.286415288,0.697042208,1.610682984,0.217554686,0.173755902,0.40150463
paralabrax,paralabrax,2012,881.3007,23919.10403,13821.86311,28924.38615,1.367760481,0.790372337,1.653976347,0.261090892,0.215909862,0.451824777
paralabrax,paralabrax,2013,643.8731,25174.36503,15334.36137,29623.6863,1.439539775,0.876861167,1.693964263,0.181240091,0.154018786,0.297541195
paralabrax,paralabrax,2014,851.54265,26334.39013,17100.82385,30261.22083,1.505873216,0.977872374,1.730420249,0.229137228,0.199403361,0.352859559
paralabrax,paralabrax,2015,924.48704,27293.86456,18455.70968,30755.47693,1.560738616,1.055348491,1.758683179,0.240020486,0.213005529,0.354962597
paralabrax,paralabrax,2016,948.21406,28092.82815,19703.76383,31140.25392,1.606425562,1.126715677,1.780685791,0.239179219,0.215772829,0.34101204
paralabrax,paralabrax,2017,878.0929,28703.66471,20677.87458,31311.55104,1.641354885,1.182418022,1.790481034,0.216778213,0.198723121,0.30091725
paralabrax,paralabrax,2018,819.7861,29189.2976,21630.53551,31419.55616,1.669124716,1.236893807,1.796657065,0.199016654,0.184889829,0.268562762
paralabrax,paralabrax,2019,1327.11815,29607.17529,22480.32785,31667.92269,1.693020117,1.285487282,1.81085935,0.317632644,0.296963127,0.418330436
paralabrax,paralabrax,2020,1509.9848,29848.16101,23081.8034,31755.07512,1.706800347,1.319881317,1.815842966,0.358482131,0.336955032,0.463570033
paralabrax,paralabrax,2021,1712.4777,29840.56502,23426.44997,31689.63432,1.706365987,1.33958916,1.812100881,0.406659009,0.382930724,0.518001431
paralabrax,paralabrax,2022,1669.7307,29531.72744,23388.55756,31484.26035,1.688705801,1.337422368,1.800357029,0.400654566,0.375807508,0.505889318
paralabrax,paralabrax,2023,1761.074,29132.34986,23295.48672,31245.06473,1.665868287,1.332100319,1.786679163,0.428365616,0.399400581,0.535695912
paralabrax,paralabrax,2024,1896.78756,28734.87883,23102.20374,31044.20535,1.643139795,1.321047864,1.775193468,0.467758661,0.432962877,0.581805468
cynoscion,cynoscion,2000,1977.86685,9245.720252,7859.699205,9980.041021,0.565776666,0.480961385,0.61071222,0.853000903,0.790238007,1.003423607
cynoscion,cynoscion,2001,4884.90855,10588.18519,8933.924054,11909.13592,0.647926604,0.54669681,0.728760014,1.839619893,1.635570896,2.180255394
cynoscion,cynoscion,2002,5055.61645,10716.04005,9263.087838,12189.62677,0.655750472,0.566839447,0.745924191,1.881191373,1.653776811,2.17626373
cynoscion,cynoscion,2003,4390.56,10420.34334,8882.961918,12260.33296,0.637655797,0.543578266,0.75025094,1.680084309,1.427942896,1.970857863
cynoscion,cynoscion,2004,1937.204,9447.060083,8094.958126,10994.84384,0.578097327,0.495357668,0.672811412,0.817658334,0.702553626,0.954231917
cynoscion,cynoscion,2005,1345.4762,9156.0069,7664.530221,10714.81415,0.560286805,0.469018339,0.655675455,0.585953425,0.500708041,0.699976834
cynoscion,cynoscion,2006,1483.33117,9737.863845,8183.675905,11457.46813,0.595892585,0.500786607,0.701120945,0.607389966,0.516229303,0.722741328
cynoscion,cynoscion,2007,4808.9959,11207.08575,9460.432963,13621.1541,0.685799206,0.578915658,0.833524154,1.711019268,1.407776427,2.02691988
cynoscion,cynoscion,2008,5572.78525,12160.16241,10169.70851,14849.48505,0.744121167,0.62231861,0.90868985,1.827368442,1.496422062,2.185027921
cynoscion,cynoscion,2009,6196.4625,12012.99414,10330.09627,15260.22816,0.735115447,0.632133276,0.9338246,2.056770093,1.619108628,2.391842866
cynoscion,cynoscion,2010,5202.99295,10615.76926,9198.657188,12717.58568,0.649614565,0.562896719,0.778231769,1.954316755,1.631329739,2.255391771
