"estimated_species_name","OHI_region","Year_of_Recommendation","status","control","notes","status_adjusted","control_adjusted"
"callinectes arcuatus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"callinectes arcuatus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"callinectes bellicosus","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"callinectes bellicosus","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"callinectes bellicosus","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"callinectes bellicosus","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"callinectes bellicosus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"callinectes bellicosus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"callinectes toxotes","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"callinectes toxotes","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"callinectes toxotes","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"callinectes toxotes","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus altimus","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus altimus","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus altimus","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus altimus","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus altimus","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus altimus","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus altimus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus altimus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus altimus","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus brachyurus","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus brachyurus","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus brachyurus","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus brachyurus","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus brachyurus","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus brachyurus","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus brachyurus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus brachyurus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus brachyurus","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus falciformis","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus falciformis","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus falciformis","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus falciformis","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus falciformis","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus falciformis","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus falciformis","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus falciformis","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus falciformis","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus galapagensis","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus galapagensis","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus galapagensis","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"carcharhinus galapagensis","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
