"estimated_species_name","OHI_region","Year_of_Recommendation","status","control","notes","status_adjusted","control_adjusted"
"cynoscion othonopterus","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"cynoscion othonopterus","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"cynoscion othonopterus","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"cynoscion othonopterus","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"cynoscion othonopterus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"dosidicus gigas","region_1",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California","maximally harvested","no increase"
"dosidicus gigas","region_2",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California","maximally harvested","no increase"
"dosidicus gigas","region_3",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California","maximally harvested","no increase"
"dosidicus gigas","region_4",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California","maximally harvested","no increase"
"dosidicus gigas","region_5",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California","maximally harvested","no increase"
"dosidicus gigas","region_6",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California","maximally harvested","no increase"
"dosidicus gigas","region_7",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California","maximally harvested","no increase"
"dosidicus gigas","region_8",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California","maximally harvested","no increase"
"dosidicus gigas","region_9",2022,"maximally harvested","no increase","specifically says to not increase fishing effort in the Gulf of California","maximally harvested","no increase"
"dosinia ponderosa","region_5",2023,"maximally harvested","no increase","highly variable catch","maximally harvested","no increase"
"dosinia ponderosa","region_6",2023,"maximally harvested","no increase","highly variable catch","maximally harvested","no increase"
"dosinia ponderosa","region_7",2023,"maximally harvested","no increase","highly variable catch","maximally harvested","no increase"
"engraulis mordax","region_1",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"engraulis mordax","region_2",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"engraulis mordax","region_3",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"engraulis mordax","region_4",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"engraulis mordax","region_5",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"engraulis mordax","region_6",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"engraulis mordax","region_7",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"engraulis mordax","region_8",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"engraulis mordax","region_9",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"etrumeus teres","region_1",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"etrumeus teres","region_2",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"etrumeus teres","region_3",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"etrumeus teres","region_4",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"etrumeus teres","region_5",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"etrumeus teres","region_6",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"etrumeus teres","region_7",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"etrumeus teres","region_8",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"etrumeus teres","region_9",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus brevirostris","region_1",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus brevirostris","region_2",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus brevirostris","region_3",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus brevirostris","region_4",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus brevirostris","region_5",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus brevirostris","region_6",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus brevirostris","region_7",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus brevirostris","region_8",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus brevirostris","region_9",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus californiensis","region_1",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus californiensis","region_2",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus californiensis","region_3",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus californiensis","region_4",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus californiensis","region_5",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus californiensis","region_6",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus californiensis","region_7",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus californiensis","region_8",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"farfantepenaeus californiensis","region_9",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeocerdo cuvier","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeocerdo cuvier","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeocerdo cuvier","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeocerdo cuvier","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeocerdo cuvier","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeocerdo cuvier","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeocerdo cuvier","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeocerdo cuvier","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeocerdo cuvier","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeorhinus galeus","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeorhinus galeus","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeorhinus galeus","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeorhinus galeus","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeorhinus galeus","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeorhinus galeus","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeorhinus galeus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeorhinus galeus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"galeorhinus galeus","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"gelidium robustum","region_1",2012,"maximally harvested","increase","page 53, located on west coast of baja cali/baja cali sur","maximally harvested","no increase"
"gelidium robustum","region_2",2012,"maximally harvested","increase","All 4 species are in Baja Cali/Baja Cali Sur, but from what I gathered from the text/map, they are on the west coast not actually the gulf of california.","maximally harvested","no increase"
"gelidium robustum","region_3",2012,"maximally harvested","increase",NA,"maximally harvested","no increase"
"gelidium robustum","region_4",2012,"maximally harvested","increase",NA,"maximally harvested","no increase"
"gelidium robustum","region_5",2012,"maximally harvested","increase",NA,"maximally harvested","no increase"
"gelidium robustum","region_6",2012,"maximally harvested","increase",NA,"maximally harvested","no increase"
"gelidium robustum","region_7",2012,"maximally harvested","increase",NA,"maximally harvested","no increase"
"gelidium robustum","region_8",2012,"maximally harvested","increase",NA,"maximally harvested","no increase"
"gelidium robustum","region_9",2012,"maximally harvested","increase",NA,"maximally harvested","no increase"
"gracilariopsis lemaneiformis","region_1",2012,"development potential","increasing",NA,"development potential","increase"
"gracilariopsis lemaneiformis","region_2",2012,"development potential","increasing",NA,"development potential","increase"
"gracilariopsis lemaneiformis","region_3",2012,"development potential","increasing","This species grows in the subtidal zone of the eastern coast of the Baja California peninsula (Gulf of California).","development potential","increase"
"gracilariopsis lemaneiformis","region_4",2012,"development potential","increasing",NA,"development potential","increase"
"gynglymostoma unami","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"gynglymostoma unami","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"gynglymostoma unami","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"gynglymostoma unami","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"gynglymostoma unami","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"gynglymostoma unami","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"gynglymostoma unami","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"gynglymostoma unami","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"gynglymostoma unami","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"haliotis corrugata","region_1",2023,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja","decreasing","decrease"
"haliotis corrugata","region_2",2023,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja","decreasing","decrease"
"haliotis corrugata","region_3",2023,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja","decreasing","decrease"
"haliotis corrugata","region_4",2023,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja","decreasing","decrease"
"haliotis fulgens","region_1",2023,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja","decreasing","decrease"
"haliotis fulgens","region_2",2023,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja","decreasing","decrease"
"haliotis fulgens","region_3",2023,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja","decreasing","decrease"
"haliotis fulgens","region_4",2023,"deteriorating","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja","decreasing","decrease"
"hoplopagrus guentherii","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"hoplopagrus guentherii","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"hoplopagrus guentherii","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"hoplopagrus guentherii","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"hoplopagrus guentherii","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"hoplopagrus guentherii","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"hoplopagrus guentherii","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"hoplopagrus guentherii","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"hoplopagrus guentherii","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"isurus oxyrinchus","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"isurus oxyrinchus","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"isurus oxyrinchus","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"isurus oxyrinchus","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"isurus oxyrinchus","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"isurus oxyrinchus","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"isurus oxyrinchus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"isurus oxyrinchus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"isurus oxyrinchus","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"larkinia grandis","region_1",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"larkinia grandis","region_2",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"larkinia grandis","region_3",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"larkinia grandis","region_4",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"larkinia grandis","region_8",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"larkinia grandis","region_9",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"larkinia multicostata","region_1",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"larkinia multicostata","region_2",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"larkinia multicostata","region_3",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"larkinia multicostata","region_4",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"larkinia multicostata","region_8",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"larkinia multicostata","region_9",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"litopenaeus occidentalis","region_1",2012,"maximally harvested","no increase","page 39, generalized, not in gulf of cali, it is on the pacific coast at the Magdalena-Almejas Bay","maximally harvested","no increase"
"litopenaeus occidentalis","region_2",2012,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus occidentalis","region_3",2012,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus occidentalis","region_4",2012,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus occidentalis","region_5",2012,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus occidentalis","region_6",2012,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus occidentalis","region_7",2012,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus occidentalis","region_8",2012,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus occidentalis","region_9",2012,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus stylirostris","region_1",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus stylirostris","region_2",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus stylirostris","region_3",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus stylirostris","region_4",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus stylirostris","region_5",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus stylirostris","region_6",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus stylirostris","region_7",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus stylirostris","region_8",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus stylirostris","region_9",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus vannamei","region_1",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus vannamei","region_2",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus vannamei","region_3",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus vannamei","region_4",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus vannamei","region_5",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus vannamei","region_6",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus vannamei","region_7",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus vannamei","region_8",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"litopenaeus vannamei","region_9",2017,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus aratus","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus aratus","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus aratus","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus aratus","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus aratus","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus aratus","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus aratus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus aratus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus aratus","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus argentiventris","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus argentiventris","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus argentiventris","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus argentiventris","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus argentiventris","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus argentiventris","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus argentiventris","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus argentiventris","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus argentiventris","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus colorado","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus colorado","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus colorado","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus colorado","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus colorado","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus colorado","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus colorado","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus colorado","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus colorado","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus guttatus","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus guttatus","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus guttatus","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus guttatus","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus guttatus","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus guttatus","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus guttatus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus guttatus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus guttatus","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus inermis","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus inermis","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus inermis","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus inermis","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus inermis","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus inermis","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus inermis","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus inermis","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus inermis","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus novemfasciatus","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus novemfasciatus","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus novemfasciatus","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus novemfasciatus","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus novemfasciatus","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus novemfasciatus","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus novemfasciatus","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus novemfasciatus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus novemfasciatus","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus peru","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus peru","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus peru","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus peru","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus peru","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus peru","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus peru","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus peru","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus peru","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus viridis","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus viridis","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus viridis","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus viridis","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus viridis","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus viridis","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus viridis","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus viridis","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lutjanus viridis","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lyropecten subnodosus","region_1",2012,"maximally harvested","no increase","page 33, generalized","maximally harvested","no increase"
"lyropecten subnodosus","region_2",2012,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lyropecten subnodosus","region_3",2012,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"lyropecten subnodosus","region_4",2012,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"macrobrachium tenellum","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"makaira indica","region_4",2012,"decreasing","increase",NA,"decreasing","decrease"
"makaira indica","region_8",2012,"decreasing","increase",NA,"decreasing","decrease"
"makaira nigricans","region_4",2012,"decreasing","increase",NA,"decreasing","decrease"
"makaira nigricans","region_8",2012,"decreasing","increase",NA,"decreasing","decrease"
"megapitaria aurantiaca","region_1",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"megapitaria aurantiaca","region_2",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"megapitaria aurantiaca","region_3",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"megapitaria aurantiaca","region_4",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"megapitaria aurantiaca","region_8",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"megapitaria squalida","region_1",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"megapitaria squalida","region_2",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"megapitaria squalida","region_3",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"megapitaria squalida","region_4",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"megapitaria squalida","region_8",2023,"maximally harvested","no increase","Within region variation in status, took most conservative","maximally harvested","no increase"
"megastraea turbanica","region_1",2023,"deteriorating","decrease","recommendation is no increase, but decided to go with decrease based on deterioration","decreasing","decrease"
"megastraea turbanica","region_2",2023,"deteriorating","decrease","recommendation is no increase, but decided to go with decrease based on deterioration","decreasing","decrease"
"megastraea turbanica","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"megastraea turbanica","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"megastraea undosa","region_1",2023,"deteriorating","decrease","recommendation is no increase, but decided to go with decrease based on deterioration","decreasing","decrease"
"megastraea undosa","region_2",2023,"deteriorating","decrease","recommendation is no increase, but decided to go with decrease based on deterioration","decreasing","decrease"
"megastraea undosa","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"megastraea undosa","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"merluccius productus","region_1",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"merluccius productus","region_2",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"merluccius productus","region_5",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"merluccius productus","region_6",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"merluccius productus","region_7",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"mugil cephalus","region_1",2023,"deteriorating","decrease",NA,"decreasing","decrease"
"mugil cephalus","region_2",2023,"deteriorating","decrease",NA,"decreasing","decrease"
"mugil cephalus","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"mugil cephalus","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"mugil cephalus","region_5",2023,"deteriorating","decrease",NA,"decreasing","decrease"
"mugil cephalus","region_6",2023,"deteriorating","decrease",NA,"decreasing","decrease"
"mugil cephalus","region_7",2023,"deteriorating","decrease",NA,"decreasing","decrease"
"mugil cephalus","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"mugil cephalus","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"mugil hospes","region_1",2023,"deteriorating","decrease",NA,"decreasing","decrease"
"mugil hospes","region_2",2023,"deteriorating","decrease",NA,"decreasing","decrease"
"mugil hospes","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"mugil hospes","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"mugil hospes","region_5",2023,"deteriorating","decrease",NA,"decreasing","decrease"
"mugil hospes","region_6",2023,"deteriorating","decrease",NA,"decreasing","decrease"
"mugil hospes","region_7",2023,"deteriorating","decrease",NA,"decreasing","decrease"
"mugil hospes","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"mugil hospes","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"mugil setosus (antes curema)","region_1",2023,"deteriorating","decrease",NA,"decreasing","decrease"
"mugil setosus (antes curema)","region_2",2023,"deteriorating","decrease",NA,"decreasing","decrease"
"mugil setosus (antes curema)","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"mugil setosus (antes curema)","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"mugil setosus (antes curema)","region_5",2023,"deteriorating","decrease",NA,"decreasing","decrease"
"mugil setosus (antes curema)","region_6",2023,"deteriorating","decrease",NA,"decreasing","decrease"
"mugil setosus (antes curema)","region_7",2023,"deteriorating","decrease",NA,"decreasing","decrease"
