gear_type,target_species,n_vessels,gilman_gear_category,gilman_mapping_method,gilman_mapping_confidence,gilman_component_categories,R,C,A,O,H_gear,ghost_initial_mortality,ghost_duration_efficiency,ghost_vulnerability_species,ghost_fishing_mean,H_gear_ghost,bottom_destructive,confidence,mapping_notes,gilman_reference,gilman_ghost_reference
ARRASTRE | PESCA MULTIPLE,CAMARÓN | ESCAMA | OTRAS,1,"Trawl, bottom",dominant_guess,medium,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
ARRASTRE | PESCA MULTIPLE,CAMARÓN | ESCAMA | TIBURÓN,1,"Trawl, bottom",dominant_guess,medium,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
CERCO,ESCAMA,1,"Purse seine, non-tuna",table2_single,high,NA,0.07,0.49,0.21,0.1,0.007,0.1,0,0.1,0.0667,0.0047,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
CERCO,SARDINA Y ANCHOVETA | ATÚN,1,"Purse seine, non-tuna",table2_single,high,NA,0.07,0.49,0.21,0.1,0.007,0.1,0,0.1,0.0667,0.0047,FALSE,high,Tuna purse seine mapped with FAD category; FAD use not recorded in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
CERCO,SARDINA Y ANCHOVETA | ATÚN | OTRAS,1,"Purse seine, non-tuna",table2_single,high,NA,0.07,0.49,0.21,0.1,0.007,0.1,0,0.1,0.0667,0.0047,FALSE,high,Tuna purse seine mapped with FAD category; FAD use not recorded in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
CERCO,SARDINA Y ANCHOVETA | OTRAS | OTRAS,1,"Purse seine, non-tuna",table2_single,high,NA,0.07,0.49,0.21,0.1,0.007,0.1,0,0.1,0.0667,0.0047,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
CERCO,NA,1,"Purse seine, non-tuna",table2_single,high,NA,0.07,0.49,0.21,0.1,0.007,0.1,0,0.1,0.0667,0.0047,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
CERCO | ARRASTRE,SARDINA Y ANCHOVETA,1,"Composite: Purse seine, non-tuna + Trawl, midwater",composite_mean,medium,"Purse seine, non-tuna; Trawl, midwater",0.28,0.44,0.15,0.26,0.0728,0.25,0.125,0.175,0.1833,0.0513,FALSE,high,"Composite mean of Gilman Table 2 for permit gears (CERCO, ARRASTRE). R/C/A/O are arithmetic means of component categories.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
CERCO | ARRASTRE | PALANGRE | PESCA MULTIPLE,ESCAMA | TIBURÓN | OTRAS,1,"Composite: Longline, demersal + Purse seine, non-tuna + Trawl, bottom",composite_mean,medium,"Longline, demersal; Purse seine, non-tuna; Trawl, bottom",0.37,0.5033,0.1433,0.3633,0.1344,0.6167,0.25,0.2,0.3556,0.1316,TRUE,medium,"Composite mean of Gilman Table 2 for permit gears (CERCO, ARRASTRE, PALANGRE). R/C/A/O are arithmetic means of component categories. Ignored on permit: PESCA MULTIPLE.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
CERCO | OTRO,ATÚN | TIBURÓN,1,"Purse seine, tuna, including drifting and anchored FADs",dominant_guess,medium,NA,0.75,0.05,1,0.72,0.54,0.5,0.8,0.5,0.6,0.45,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
CERCO | OTRO,OTRAS,1,"Purse seine, non-tuna",dominant_guess,medium,NA,0.07,0.49,0.21,0.1,0.007,0.1,0,0.1,0.0667,0.0047,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
CERCO | OTRO | OTRO | OTRO,ESCAMA | OTRAS | OTRAS,1,"Purse seine, non-tuna",dominant_guess,medium,NA,0.07,0.49,0.21,0.1,0.007,0.1,0,0.1,0.0667,0.0047,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
CERCO | OTRO | PALANGRE,ESCAMA | ATÚN,1,"Composite: Longline, pelagic + Purse seine, tuna, including drifting and anchored FADs",composite_mean,medium,"Longline, pelagic; Purse seine, tuna, including drifting and anchored FADs",0.43,0.055,0.725,0.575,0.2472,0.75,0.4,0.25,0.4667,0.2007,FALSE,high,"Composite mean of Gilman Table 2 for permit gears (CERCO, PALANGRE). R/C/A/O are arithmetic means of component categories. Ignored on permit: OTRO.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
CERCO | PALANGRE,SARDINA Y ANCHOVETA,1,"Composite: Longline, demersal + Purse seine, non-tuna",composite_mean,medium,"Longline, demersal; Purse seine, non-tuna",0.475,0.255,0.11,0.155,0.0736,0.55,0,0.05,0.2,0.095,FALSE,high,"Composite mean of Gilman Table 2 for permit gears (CERCO, PALANGRE). R/C/A/O are arithmetic means of component categories.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
CERCO | VARA,ESCAMA | OTRAS,1,"Composite: Pole-and-line, including anchored FADs + Purse seine, non-tuna",composite_mean,medium,"Pole-and-line, including anchored FADs; Purse seine, non-tuna",0.515,0.25,0.54,0.305,0.1571,0.175,0.3,0.175,0.2167,0.1116,FALSE,high,"Composite mean of Gilman Table 2 for permit gears (CERCO, VARA). R/C/A/O are arithmetic means of component categories.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
OTRO,ATÚN,1,"Longline, pelagic",dominant_guess,low,NA,0.11,0.06,0.45,0.43,0.0473,1,0,0,0.3333,0.0367,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO,ESCAMA | ATÚN | OTRAS,1,"Longline, pelagic",dominant_guess,low,NA,0.11,0.06,0.45,0.43,0.0473,1,0,0,0.3333,0.0367,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO,ESCAMA | OTRAS,1,"Longline, demersal",dominant_guess,low,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO,OTRAS | OTRAS | OTRAS | OTRAS,1,"Hand dredge, harpoon, spear, lance, tongs, rakes, hand-collected, including diving—shore- and boat-based",dominant_guess,low,NA,0.001,0.05,0.06,0.003,0,0,0,0,0,0,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO,SARDINA Y ANCHOVETA | OTRAS,1,"Purse seine, non-tuna",dominant_guess,low,NA,0.07,0.49,0.21,0.1,0.007,0.1,0,0.1,0.0667,0.0047,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | ARRASTRE,CAMARÓN | ESCAMA,1,"Trawl, bottom",dominant_guess,medium,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | ARRASTRE,CAMARÓN | ESCAMA | OTRAS,1,"Trawl, bottom",dominant_guess,medium,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | ARRASTRE,CAMARÓN | OTRAS,1,"Trawl, bottom",dominant_guess,medium,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | ARRASTRE,ESCAMA | TIBURÓN,1,"Trawl, bottom",dominant_guess,medium,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,medium,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | ARRASTRE,TIBURÓN | OTRAS,1,"Trawl, bottom",dominant_guess,medium,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,medium,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | ARRASTRE | PALANGRE,CAMARÓN | ESCAMA | TIBURÓN,1,"Composite: Longline, demersal + Trawl, bottom",composite_mean,medium,"Longline, demersal; Trawl, bottom",0.52,0.51,0.11,0.495,0.2574,0.875,0.375,0.25,0.5,0.26,TRUE,medium,"Composite mean of Gilman Table 2 for permit gears (ARRASTRE, PALANGRE). R/C/A/O are arithmetic means of component categories. Ignored on permit: OTRO.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
OTRO | ARRASTRE | PALANGRE,CAMARÓN | ESCAMA | TIBURÓN | OTRAS,1,"Composite: Longline, demersal + Trawl, bottom",composite_mean,medium,"Longline, demersal; Trawl, bottom",0.52,0.51,0.11,0.495,0.2574,0.875,0.375,0.25,0.5,0.26,TRUE,medium,"Composite mean of Gilman Table 2 for permit gears (ARRASTRE, PALANGRE). R/C/A/O are arithmetic means of component categories. Ignored on permit: OTRO.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
OTRO | ARRASTRE | PALANGRE,CAMARÓN | TIBURÓN | OTRAS | OTRAS,1,"Composite: Longline, demersal + Trawl, bottom",composite_mean,medium,"Longline, demersal; Trawl, bottom",0.52,0.51,0.11,0.495,0.2574,0.875,0.375,0.25,0.5,0.26,TRUE,medium,"Composite mean of Gilman Table 2 for permit gears (ARRASTRE, PALANGRE). R/C/A/O are arithmetic means of component categories. Ignored on permit: OTRO.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
OTRO | OTRO,ESCAMA,1,"Hand dredge, harpoon, spear, lance, tongs, rakes, hand-collected, including diving—shore- and boat-based",dominant_guess,medium,NA,0.001,0.05,0.06,0.003,0,0,0,0,0,0,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | OTRO,ESCAMA | OTRAS | OTRAS,1,"Hand dredge, harpoon, spear, lance, tongs, rakes, hand-collected, including diving—shore- and boat-based",dominant_guess,medium,NA,0.001,0.05,0.06,0.003,0,0,0,0,0,0,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | OTRO,ESCAMA | TIBURÓN,1,"Hand dredge, harpoon, spear, lance, tongs, rakes, hand-collected, including diving—shore- and boat-based",dominant_guess,medium,NA,0.001,0.05,0.06,0.003,0,0,0,0,0,0,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | OTRO,OTRAS,1,"Hand dredge, harpoon, spear, lance, tongs, rakes, hand-collected, including diving—shore- and boat-based",dominant_guess,medium,NA,0.001,0.05,0.06,0.003,0,0,0,0,0,0,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | OTRO,OTRAS | OTRAS,1,"Hand dredge, harpoon, spear, lance, tongs, rakes, hand-collected, including diving—shore- and boat-based",dominant_guess,medium,NA,0.001,0.05,0.06,0.003,0,0,0,0,0,0,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | OTRO | ARRASTRE,ESCAMA | TIBURÓN | OTRAS,1,"Trawl, bottom",dominant_guess,medium,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,medium,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | OTRO | ARRASTRE | PALANGRE,CAMARÓN | ESCAMA | TIBURÓN | OTRAS,1,"Composite: Longline, demersal + Trawl, bottom",composite_mean,medium,"Longline, demersal; Trawl, bottom",0.52,0.51,0.11,0.495,0.2574,0.875,0.375,0.25,0.5,0.26,TRUE,medium,"Composite mean of Gilman Table 2 for permit gears (ARRASTRE, PALANGRE). R/C/A/O are arithmetic means of component categories. Ignored on permit: OTRO.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
OTRO | OTRO | OTRO,ESCAMA | OTRAS,1,"Hand dredge, harpoon, spear, lance, tongs, rakes, hand-collected, including diving—shore- and boat-based",dominant_guess,medium,NA,0.001,0.05,0.06,0.003,0,0,0,0,0,0,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | OTRO | OTRO,SARDINA Y ANCHOVETA,1,"Purse seine, non-tuna",dominant_guess,medium,NA,0.07,0.49,0.21,0.1,0.007,0.1,0,0.1,0.0667,0.0047,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | OTRO | OTRO | ARRASTRE,CAMARÓN | ESCAMA | OTRAS | OTRAS,1,"Trawl, bottom",dominant_guess,medium,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | OTRO | PALANGRE,ESCAMA | TIBURÓN,1,"Longline, demersal",dominant_guess,medium,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | OTRO | PALANGRE,TIBURÓN | OTRAS | OTRAS,1,"Longline, demersal",dominant_guess,medium,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | PALANGRE,ATÚN,1,"Longline, pelagic",dominant_guess,medium,NA,0.11,0.06,0.45,0.43,0.0473,1,0,0,0.3333,0.0367,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
OTRO | PALANGRE,ESCAMA | TIBURÓN | OTRAS,1,"Longline, demersal",dominant_guess,medium,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PALANGRE,ESCAMA | ATÚN | TIBURÓN,1,"Longline, pelagic",table2_single,high,NA,0.11,0.06,0.45,0.43,0.0473,1,0,0,0.3333,0.0367,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PALANGRE,ESCAMA | OTRAS,1,"Longline, demersal",table2_single,high,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PALANGRE,ESCAMA | TIBURÓN | OTRAS | OTRAS,1,"Longline, demersal",table2_single,high,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PALANGRE | PESCA MULTIPLE,ESCAMA,1,"Longline, demersal",dominant_guess,medium,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PALANGRE | PESCA MULTIPLE,OTRAS,1,"Longline, demersal",dominant_guess,medium,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PESCA MULTIPLE,CAMARÓN | ESCAMA | TIBURÓN | OTRAS,1,"Trawl, bottom",dominant_guess,low,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,low,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PESCA MULTIPLE,CAMARÓN | OTRAS,1,"Trawl, bottom",dominant_guess,low,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,low,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PESCA MULTIPLE,CAMARÓN | TIBURÓN | OTRAS | OTRAS,1,"Trawl, bottom",dominant_guess,low,NA,0.16,1,0.21,0.78,0.1248,0.75,0.75,0.5,0.6667,0.1067,TRUE,low,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PESCA MULTIPLE,ESCAMA | ATÚN | TIBURÓN,1,"Longline, pelagic",dominant_guess,low,NA,0.11,0.06,0.45,0.43,0.0473,1,0,0,0.3333,0.0367,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PESCA MULTIPLE,SARDINA Y ANCHOVETA,1,"Purse seine, non-tuna",dominant_guess,low,NA,0.07,0.49,0.21,0.1,0.007,0.1,0,0.1,0.0667,0.0047,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
PESCA MULTIPLE,TIBURÓN,1,"Longline, demersal",dominant_guess,low,NA,0.88,0.02,0.01,0.21,0.1848,1,0,0,0.3333,0.2933,FALSE,high,Ambiguous permit gear; dominant Gilman category inferred from target. Gillnets not in registry.,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
VARA,CAMARÓN,1,"Pole-and-line, including anchored FADs",table2_single,high,NA,0.96,0.01,0.87,0.51,0.4896,0.25,0.6,0.25,0.3667,0.352,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
VARA,OTRAS,1,"Pole-and-line, including anchored FADs",table2_single,high,NA,0.96,0.01,0.87,0.51,0.4896,0.25,0.6,0.25,0.3667,0.352,FALSE,high,NA,Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Gilman et al. 2021 Supplement Table S2 (S3.1)
VARA | OTRO | PALANGRE,ESCAMA | ATÚN | TIBURÓN,1,"Composite: Longline, pelagic + Pole-and-line, including anchored FADs",composite_mean,medium,"Longline, pelagic; Pole-and-line, including anchored FADs",0.535,0.035,0.66,0.47,0.2514,0.625,0.3,0.125,0.35,0.1872,FALSE,high,"Composite mean of Gilman Table 2 for permit gears (VARA, PALANGRE). R/C/A/O are arithmetic means of component categories. Ignored on permit: OTRO.",Gilman et al. 2021 Sci Rep s41598-021-86123-3 Table 2,Composite mean of Supplement Table S2 (S3.1) components
