"OHI_region_est","year","sold_whole_mt","fillet_mt","ref_point_mt","shell_mt","other_residue_mt","preparation_unknown_mt","SHEL_score_prop","SHEL_score","region_exclude_include","median_regional_prod_mt","OHI_region_name"
"region_7",2022,2653.316,1284.521,1027.6168,89.369,NA,45.344,8.69672430423481,8.69672430423481,"exclude",15.921,"Southern Sonora Coast"
"region_7",2023,1042.391,1180.831,944.6648,53.037,NA,11.771,5.61437242077825,5.61437242077825,"exclude",15.921,"Southern Sonora Coast"
"region_7",2024,1125.78765,841.15114,672.920912,19.8,NA,14.274,2.94239629753102,2.94239629753102,"exclude",15.921,"Southern Sonora Coast"
"region_8",2018,2332.786,29.505,23.604,42.8,NA,26.503,181.325199118793,100,"include",220.221,"Sinaloa Coast"
"region_8",2019,2090.52091,36.371,29.0968,117,NA,202.484,402.106073520112,100,"include",220.221,"Sinaloa Coast"
"region_8",2020,1736.68344,102.962,82.3696,842.445,NA,286.38,1022.76203842194,100,"include",220.221,"Sinaloa Coast"
"region_8",2021,1951.862,123.496,98.7968,554.278,NA,649.464,561.028292414329,100,"include",220.221,"Sinaloa Coast"
"region_8",2022,3078.032,234.403,187.5224,220.221,NA,1392.938,117.437170172737,100,"include",220.221,"Sinaloa Coast"
"region_8",2023,3705.899,170.636,136.5088,269.395,NA,1110.974,197.346251670222,100,"include",220.221,"Sinaloa Coast"
"region_8",2024,3485.1109,167.835,134.268,116.497,NA,793.72202,86.7645306402121,86.7645306402121,"include",220.221,"Sinaloa Coast"
"region_9",2018,2068.553,NA,NA,1,NA,NA,NA,NA,"exclude",0.625,"Southeastern Gulf"
"region_9",2019,1756.925,NA,NA,NA,NA,NA,NA,NA,"exclude",0.625,"Southeastern Gulf"
"region_9",2020,444.484,0.84,0.672,NA,NA,NA,NA,NA,"exclude",0.625,"Southeastern Gulf"
"region_9",2021,569.838,NA,NA,NA,NA,NA,NA,NA,"exclude",0.625,"Southeastern Gulf"
"region_9",2022,590.695,NA,NA,0.25,NA,3,NA,NA,"exclude",0.625,"Southeastern Gulf"
"region_9",2023,362.472,NA,NA,NA,NA,NA,NA,NA,"exclude",0.625,"Southeastern Gulf"
"region_9",2024,187.691,2.766,2.2128,NA,NA,NA,NA,NA,"exclude",0.625,"Southeastern Gulf"
NA,2018,48.284,NA,NA,NA,NA,NA,NA,NA,"exclude",15.2475,NA
NA,2019,2,NA,NA,NA,NA,NA,NA,NA,"exclude",15.2475,NA
NA,2020,1.271,0.4,0.32,NA,NA,NA,NA,NA,"exclude",15.2475,NA
NA,2021,NA,0.7,0.56,12.4,NA,NA,2214.28571428571,100,"exclude",15.2475,NA
NA,2022,4.66,NA,NA,18.095,NA,NA,NA,NA,"exclude",15.2475,NA
NA,2023,2.218,9.396,7.5168,NA,NA,NA,NA,NA,"exclude",15.2475,NA
NA,2024,3.125,4.252,3.4016,NA,NA,NA,NA,NA,"exclude",15.2475,NA
