"Year","Major_Functional_Group","estimated_taxa_group","Stock","Total_Landed_Biomass","n_Records"
2001,"Demersal marine fishes","CARPA","Balistes",690835.4,997
2001,"Demersal marine fishes","CORVINA","Cynoscion",4884908.55,4269
2001,"Demersal marine fishes","GUACHINANGO","Lutjanus",2410951.65,5515
2001,"Demersal marine fishes","LENGUADO","Brotula",316844.7,229
2001,"Demersal marine fishes","LISA","Mugil",2097096,2496
2001,"Demersal marine fishes","MERO","Hyporthodus niphobles",61238.6,186
2001,"Demersal marine fishes","MOJARRA","Anisotremus",175743.3,497
2001,"Demersal marine fishes","MOJARRA","Calamus",17774,53
2001,"Demersal marine fishes","MOJARRA","Diapterus",22352,109
2001,"Demersal marine fishes","MOJARRA","Eucinostomus argenteus",73082,517
2001,"Demersal marine fishes","MOJARRA","Eugerres",20487,164
2001,"Demersal marine fishes","MOJARRA","Haemulon",308976.5,1622
2001,"Demersal marine fishes","OTRAS","Acanthurus",3641,12
2001,"Demersal marine fishes","OTRAS","Anoplopoma",50069,124
2001,"Demersal marine fishes","OTRAS","Diplectrum",38491.85,127
2001,"Demersal marine fishes","OTRAS","Merluccius",655861.5,149
2001,"Demersal marine fishes","OTRAS","Nematistius",1534.1,15
2001,"Demersal marine fishes","OTRAS","Nicholsina",517,2
2001,"Demersal marine fishes","OTRAS","Orthopristis",44721,125
2001,"Demersal marine fishes","OTRAS","Parapsettus",1744,3
2001,"Demersal marine fishes","OTRAS","Pseudupeneus",24445.7,35
2001,"Demersal marine fishes","OTRAS","Scorpaena",110373.2,409
2001,"Demersal marine fishes","OTRAS","Sphoeroides",459686.4,1027
2001,"Demersal marine fishes","OTRAS","Stereolepis",131.5,4
2001,"Demersal marine fishes","OTRAS","Synodus",22726,82
2001,"Demersal marine fishes","PARGO","Hoplopagrus",50625.2,215
2001,"Demersal marine fishes","PIERNA","Caulolatilus",1092934.2,1084
2001,"Demersal marine fishes","RAYA Y SIMILARES","Aetobatus",17111.75,91
2001,"Demersal marine fishes","RAYA Y SIMILARES","Hypanus",1535057.6,1173
2001,"Demersal marine fishes","RAYA Y SIMILARES","Mobula",896560.55,778
2001,"Demersal marine fishes","RAYA Y SIMILARES","Pseudobatos",1143684.9,1376
2001,"Demersal marine fishes","ROBALO","Centropomus",398855.3,3507
2001,"Demersal marine fishes","RONCO","Haemulopsis",121758,355
2001,"Demersal marine fishes","TIBURON","Alopias",51,1
2001,"Demersal marine fishes","TIBURON","Carcharhinus",131352.3,188
