"estimated_taxa_group","estimated_genus_name","estimated_family_name","most_likely_family"
"CAMARON","Penaeus","Penaeidae","Penaeidae"
"MACARELA","Scomber","Scombridae","Scombridae"
"SARDINA","Sardinops","Clupeidae","Clupeidae"
"SARDINA","Opisthonema","Clupeidae","Clupeidae"
"SARDINA",NA,NA,NA
"RAYA Y SIMILARES","Mobula","Myliobatidae","Myliobatidae"
"TIBURON","Squatina","Squatinidae","Squatinidae"
"JAIBA","NEI","Portunidae","Portunidae"
"CABRILLA","Mycteroperca","Serranidae","Serranidae"
"PULPO","NEI","Octopodidae","Octopodidae"
"CAZON","NEI","NEI","NEI"
"LENGUADO","NEI","Paralichthyidae","Paralichthyidae"
"TIBURON","Mustelus","Triakidae","Triakidae"
"CORVINA","Cynoscion","Sciaenidae","Sciaenidae"
"LANGOSTA","Panulirus","Palinuridae","Palinuridae"
"CAMARON",NA,NA,NA
"CALAMAR","Dosidicus","Ommastrephidae","Ommastrephidae"
"ALMEJA","Argopecten","Pectinidae","Pectinidae"
"CARACOL","NEI","Muricidae","Muricidae"
"RAYA Y SIMILARES","Pseudobatos","Rhinobatidae","Rhinobatidae"
"RAYA Y SIMILARES","Hypanus","Dasyatidae","Dasyatidae"
"BAGRE","NEI","Ictaluridae","Ictaluridae"
"CARPA","Cyprinus","Cyprinidae","Cyprinidae"
"LOBINA","Micropterus","Centrarchidae","Centrarchidae"
"MOJARRA","Oreochromis","Cichlidae","Cichlidae"
"TIBURON","NEI","NEI","NEI"
"BANDERA","NEI","Ariidae","Ariidae"
"PAMPANO","Trachinotus","Carangidae","Carangidae"
"SIERRA","Scomberomorus","Scombridae","Scombridae"
"LISA","Mugil","Mugilidae","Mugilidae"
"BANDERA","Gerres","Gerreidae","Gerreidae"
"ROBALO","Centropomus","Centropomidae","Centropomidae"
"BERRUGATA","Micropogonias","Sciaenidae","Sciaenidae"
"MERO","Hyporthodus","Serranidae","Serranidae"
"GUACHINANGO","Lutjanus","Lutjanidae","Lutjanidae"
"MOJARRA","NEI","Gerreidae","Gerreidae"
"ALMEJA",NA,NA,NA
"TIBURON","Carcharhinus","Carcharhinidae","Carcharhinidae"
"OSTION","NEI","Ostreidae","Ostreidae"
"PARGO","Hoplopagrus","Lutjanidae","Lutjanidae"
"LENGUADO","Brotula","Ophidiidae","Ophidiidae"
"RONCO","Haemulopsis","Haemulidae","Haemulidae"
"MERO","Epinephelus","NEI","NEI"
"MOJARRA","Eucinostomus","Gerreidae","Gerreidae"
"MOJARRA","Calamus","Sparidae","Sparidae"
"BERRUGATA","Menticirrhus","Sciaenidae","Sciaenidae"
"ESMEDREGAL","Seriola","Carangidae","Carangidae"
"JUREL","NEI","Carangidae","Carangidae"
"CABRILLA","Paralabrax","Serranidae","Serranidae"
"ERIZO","NEI","Strongylocentrotidae","Strongylocentrotidae"
"CAMARON","NEI","Penaeidae","Penaeidae"
"CAMARON","Rimapenaeus","Penaeidae","Penaeidae"
"CAMARON","Sicyonia","Sicyoniidae","Sicyoniidae"
"SARDINA","Cetengraulis","family missing but genus available",NA
"ATUN","Thunnus","Scombridae","Scombridae"
"BARRILETE","Katsuwonus","Scombridae","Scombridae"
"PIERNA","Caulolatilus","Malacanthidae","Malacanthidae"
"ABULON","NEI","Haliotidae","Haliotidae"
"CARACOL","Megastraea","Turbinidae","Turbinidae"
"TIBURON","Galeocerdo","Carcharhinidae","Carcharhinidae"
"ALMEJA","Megapitaria","Veneridae","Veneridae"
"BONITO","Sarda","Carangidae","Carangidae"
"SARGAZO",NA,NA,NA
"SARDINA","Etrumeus","family missing but genus available",NA
"MOJARRA","Eugerres","Gerreidae","Gerreidae"
"RONCO","NEI","Haemulidae;;Leiognathidae;;Mullidae;;Nemipteridae;;Sciaenidae;;Sparidae;;Synodontidae;;Lethrinidae;;Lutjanidae;;Serranidae","Haemulidae;;Leiognathidae;;Mullidae;;Nemipteridae;;Sciaenidae;;Sparidae;;Synodontidae;;Lethrinidae;;Lutjanidae;;Serranidae"
"ABULON","Haliotis","Haliotidae","Haliotidae"
"BAQUETA","Hyporthodus","Serranidae","Serranidae"
"CARPA","Balistes","Balistidae","Balistidae"
"ANCHOVETA",NA,"Engraulidae","Engraulidae"
"CARACOL","NEI","NEI","NEI"
"TIBURON","Ginglymostoma","Ginglymostomatidae","Ginglymostomatidae"
"RAYA Y SIMILARES","Aetobatus","Myliobatidae","Myliobatidae"
"JUREL",NA,NA,NA
"TIBURON","Lamna","Lamnidae","Lamnidae"
"ALGAS","Gelidium","family missing but genus available",NA
"PEPINO DE MAR","Especies","family missing but genus available",NA
"LISA","NEI","Mugilidae","Mugilidae"
"LANGOSTINO",NA,NA,NA
"CAMARON","Litopenaeus","Penaeidae","Penaeidae"
"CAMARON","Farfantepenaeus","family missing but genus available",NA
"MOJARRA","Diapterus","Gerreidae","Gerreidae"
"ALMEJA","Dosinia","Veneridae","Veneridae"
"LANGOSTA","NEI","Palinuridae","Palinuridae"
"CALAMAR",NA,NA,NA
"SARDINA","NEI","Clupeidae","Clupeidae"
"ALMEJA","NEI","NEI","NEI"
"ATUN","NEI","Scombridae","Scombridae"
"RUBIA Y VILLAJAIBA","NEI","NEI","NEI"
"MERO","NEI","NEI","NEI"
"BONITO","Caranx","Carangidae","Carangidae"
"CARACOL","Megathura","Fissurellidae","Fissurellidae"
"CARACOL","Lobatus","Strombidae","Strombidae"
"BAGRE","Ariopsis","Ariidae","Ariidae"
"CARACOL","Triplofusus","family missing but genus available",NA
"OSTION",NA,"Ostreidae","Ostreidae"
"RAYA Y SIMILARES","NEI","NEI","NEI"
"TIBURON","Sphyrna","Sphyrnidae","Sphyrnidae"
"PETO","Lamna","family missing but genus available",NA
"PAMPANO","Gnathanodon","Carangidae","Carangidae"
"LANGOSTINO","Macrobrachium","Palaemonidae","Palaemonidae"
"OSTION","Crassostrea","Ostreidae","Ostreidae"
"RONCO","NEI","Haemulidae","Haemulidae"
"LEBRANCHA",NA,NA,NA
"BAGRE",NA,NA,NA
"MERO","Epinephelus","Serranidae","Serranidae"
"MERO","NEI","Serranidae","Serranidae"
"MOJARRA","NEI","NEI","NEI"
"CARACOL","Hexaplex","Muricidae","Muricidae"
"CARACOL",NA,NA,NA
"GUACHINANGO","Lutjanus","NEI","NEI"
"ALGAS",NA,NA,NA
"ERIZO","Mesocentrotus","Strongylocentrotidae","Strongylocentrotidae"
"BAGRE","NEI","NEI","NEI"
"MOJARRA","NEI","Kyphosidae","Kyphosidae"
"CHARAL","NEI","NEI","NEI"
"TRUCHA","NEI","NEI","NEI"
"RONCO","NEI","NEI","NEI"
"ERIZO","Strongylocentrotus","Strongylocentrotidae","Strongylocentrotidae"
"TIBURON","Prionace","Carcharhinidae","Carcharhinidae"
"RUBIO","Haemulon","Haemulidae","Haemulidae"
"BERRUGATA","NEI","Sciaenidae","Sciaenidae"
"CAZON",NA,NA,NA
"TRUCHA",NA,NA,NA
"BAGRE","Ariopsis","family missing but genus available",NA
"JUREL",NA,"Carangidae","Carangidae"
"TIBURON","Alopias","Alopiidae","Alopiidae"
"RAYA Y SIMILARES","Urotrygon","Urotrygonidae","Urotrygonidae"
"CINTILLA","NEI","NEI","NEI"
"PETO",NA,NA,NA
"LANGOSTINO","NEI","Palaemonidae","Palaemonidae"
"PETO","Acanthocybium","family missing but genus available",NA
"PAMPANO",NA,NA,NA
"TIBURON","Triakis","family missing but genus available",NA
"BARRILETE","Euthynnus","Scombridae","Scombridae"
"PULPO","Octopus","Octopodidae","Octopodidae"
"CAMARON","Rimapenaeus","family missing but genus available",NA
"GUACHINANGO","Lutjanus","family missing but genus available",NA
"CAZON","Rhizoprionodon","Carcharhinidae","Carcharhinidae"
"CARPA","Cyprinus","family missing but genus available",NA
"TIBURON","Carcharhinus","family missing but genus available",NA
"SARDINA","Harengula","family missing but genus available",NA
"TIBURON","Negaprion","Carcharhinidae","Carcharhinidae"
"BANDERA","Bagre","family missing but genus available",NA
"CORVINA","Larimus","Sciaenidae","Sciaenidae"
"TIBURON","Isurus","Lamnidae","Lamnidae"
"RUBIO","Haemulon","family missing but genus available",NA
"CABRILLA",NA,NA,NA
"CINTILLA","Trichiurus","Trichiuridae","Trichiuridae"
"MOJARRA","Anisotremus","Haemulidae","Haemulidae"
"ALMEJA","Panopea","Hiatellidae","Hiatellidae"
"LISA","Polydactylus","Polynemidae","Polynemidae"
"LANGOSTINO","NEI","NEI","NEI"
"CARPA","NEI","NEI","NEI"
"MOJARRA","Petenia","Cichlidae","Cichlidae"
"RONCO","Selene","Carangidae","Carangidae"
"CARPA",NA,NA,NA
"BESUGO","NEI","NEI","NEI"
"CAMARON","Xiphopenaeus","family missing but genus available",NA
"MACARELA",NA,NA,NA
"JUREL","Decapterus","Carangidae","Carangidae"
"RAYA Y SIMILARES","Gymnura","Gymnuridae","Gymnuridae"
"RAYA Y SIMILARES",NA,NA,NA
"ALMEJA","Amiantis","family missing but genus available",NA
"TIBURON","Nasolamia","Carcharhinidae","Carcharhinidae"
"MOJARRA","Diapterus","family missing but genus available",NA
"ROBALO","NEI","NEI","NEI"
"MOJARRA",NA,NA,NA
"RUBIA Y VILLAJAIBA","Ocyurus","Lutjanidae","Lutjanidae"
"TIBURON","Negaprion","family missing but genus available",NA
"TIBURON","Echinorhinus","Echinorhinidae","Echinorhinidae"
"ABULON","Haliotis","family missing but genus available",NA
"CAMARON","Metapenaeus","family missing but genus available",NA
"MOJARRA","Calamus","family missing but genus available",NA
"CARACOL","Turbo","Turbinidae","Turbinidae"
"CORVINA","NEI","Sciaenidae","Sciaenidae"
"TIBURON","Sphyrna","family missing but genus available",NA
"ROBALO","Morone","family missing but genus available",NA
"MERO",NA,NA,NA
"CARACOL","Triplofusus","Fasciolariidae","Fasciolariidae"
"JAIBA","Callinectes","family missing but genus available",NA
"PARGO",NA,NA,NA
NA,NA,NA,NA
"CARPA","Hypophthalmichthys","family missing but genus available",NA
"CARACOL","Turbinella","family missing but genus available",NA
"TIBURON","Ginglymostoma","family missing but genus available",NA
"JAIBA","Callinectes","Portunidae","Portunidae"
"RAYA Y SIMILARES","Rhinobatos","family missing but genus available",NA
"ALGAS","Eucheuma","family missing but genus available",NA
"PEPINO DE MAR",NA,NA,NA
"ALMEJA","Chione","Veneridae","Veneridae"
"RAYA Y SIMILARES","Rhinoptera","family missing but genus available",NA
"BANDERA","Dentex","family missing but genus available",NA
"CARPA","Mylopharyngodon","family missing but genus available",NA
"LENGUADO",NA,NA,NA
"CALAMAR","Loligo","family missing but genus available",NA
"TIBURON","Galeorhinus","Triakidae","Triakidae"
"JUREL","Atherinopsis","Atherinopsidae","Atherinopsidae"
"TRUCHA","Oncorhynchus","family missing but genus available",NA
"SARDINA","Lagodon","family missing but genus available",NA
"TIBURON",NA,NA,NA
"CARPA","Carassius","family missing but genus available",NA
"ANCHOVETA","Engraulis","Engraulidae","Engraulidae"
"CAZON","Rhizoprionodon","NEI","NEI"
"TIBURON","Carcahrhinus","Carcharhinidae","Carcharhinidae"
"SARDINA","Oligoplites","family missing but genus available",NA
"MACARELA","Scomber","family missing but genus available",NA
"CHARAL","Chirostoma","NEI","NEI"
"MOJARRA","Eucinostomus","family missing but genus available",NA
"LENGUADO","Mulloidichthys","family missing but genus available",NA
"LENGUADO","Citharichthys","family missing but genus available",NA
"LISA",NA,NA,NA
