estimated_genus_name,Major_Functional_Group,estimated_taxa_group,family_from_previous.keys,family_from_taxize,new_estimated_family_name,new_family_est_reasoning
Megathura,Molluscs excl. Cephalopods,CARACOL,Fissurellidae,Fissurellidae,Fissurellidae,family name was estimated from previous keys
Fistularia,Demersal marine fishes,OTRAS,Fistulariidae,Fistulariidae,Fistulariidae,family name was estimated from previous keys
Gelidium,Marine algae,ALGAS,NA,Gelidiaceae,Gelidiaceae,family name was estimated from genus name using taxize function
Diapterus,Demersal marine fishes,MOJARRA,Gerreidae,Gerreidae,Gerreidae,family name was estimated from previous keys
Eucinostomus,Demersal marine fishes,MOJARRA,Gerreidae,Gerreidae,Gerreidae,family name was estimated from previous keys
Eugerres,Demersal marine fishes,MOJARRA,Gerreidae,Gerreidae,Gerreidae,family name was estimated from previous keys
Gerres,Demersal marine fishes,BANDERA,Gerreidae,Gerreidae,Gerreidae,family name was estimated from previous keys
Chaceon,Crustaceans,OTRAS,NA,Geryonidae,Geryonidae,family name was estimated from genus name using taxize function
Ginglymostoma,Sharks,TIBURON,Ginglymostomatidae,Ginglymostomatidae,Ginglymostomatidae,family name was estimated from previous keys
Bathygobius,Demersal marine fishes,OTRAS,Gobiidae,Gobiidae,Gobiidae,family name was estimated from previous keys
Gillichthys,Demersal marine fishes,OTRAS,NA,Gobiidae,Gobiidae,family name was estimated from genus name using taxize function
Grapsus,Crustaceans,OTRAS,NA,Grapsidae,Grapsidae,family name was estimated from genus name using taxize function
Gymnura,Demersal marine fishes,RAYA Y SIMILARES,Gymnuridae,Gymnuridae,Gymnuridae,family name was estimated from previous keys
Anisotremus,Demersal marine fishes,MOJARRA,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Haemulon,Demersal marine fishes,RUBIO,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Haemulopsis,Demersal marine fishes,RONCO,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Microlepidotus,Demersal marine fishes,OTRAS,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Orthopristis,Demersal marine fishes,OTRAS,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Pomadasys,Demersal marine fishes,OTRAS,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Xenichthys,Demersal marine fishes,OTRAS,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Haliotis,Molluscs excl. Cephalopods,ABULON,Haliotidae,Haliotidae,Haliotidae,family name was estimated from previous keys
Hemiramphus,Pelagic marine fish (excl. anchovy & sardine),OTRAS,NA,Hemiramphidae,Hemiramphidae,family name was estimated from genus name using taxize function
Panopea,Molluscs excl. Cephalopods,ALMEJA,Hiatellidae,Hiatellidae,Hiatellidae,family name was estimated from previous keys
Holocentrus,Demersal marine fishes,OTRAS,NA,Holocentridae,Holocentridae,family name was estimated from genus name using taxize function
Istiophorus,Pelagic marine fish (excl. anchovy & sardine),OTRAS,Istiophoridae,Istiophoridae,Istiophoridae,family name was estimated from previous keys
Makaira,Pelagic marine fish (excl. anchovy & sardine),OTRAS,NA,Istiophoridae,Istiophoridae,family name was estimated from genus name using taxize function
Tetrapturus,Pelagic marine fish (excl. anchovy & sardine),OTRAS,NA,Istiophoridae,Istiophoridae,family name was estimated from genus name using taxize function
Kyphosus,Demersal marine fishes,OTRAS,Kyphosidae,Kyphosidae,Kyphosidae,family name was estimated from previous keys
Isurus,Sharks,TIBURON,Lamnidae,Lamnidae,Lamnidae,family name was estimated from previous keys
Lamna,Demersal marine fishes,PETO,Lamnidae,Lamnidae,Lamnidae,family name was estimated from previous keys
Loligo,Cephalopods,CALAMAR,NA,Loliginidae,Loliginidae,family name was estimated from genus name using taxize function
Luidia,Echinoderms,OTRAS,NA,Luidiidae,Luidiidae,family name was estimated from genus name using taxize function
Hoplopagrus,Demersal marine fishes,PARGO,Lutjanidae,Lutjanidae,Lutjanidae,family name was estimated from previous keys
Lutjanus,Demersal marine fishes,GUACHINANGO,Lutjanidae,Lutjanidae,Lutjanidae,family name was estimated from previous keys
Ocyurus,Demersal marine fishes,RUBIA Y VILLAJAIBA,Lutjanidae,Lutjanidae,Lutjanidae,family name was estimated from previous keys
Caulolatilus,Demersal marine fishes,PIERNA,Malacanthidae,Malacanthidae,Malacanthidae,family name was estimated from previous keys
Merluccius,Demersal marine fishes,OTRAS,Merlucciidae,Merlucciidae,Merlucciidae,family name was estimated from previous keys
Aluterus,Demersal marine fishes,OTRAS,Monacanthidae,Monacanthidae,Monacanthidae,family name was estimated from previous keys
Morone,Demersal marine fishes,ROBALO,NA,Moronidae,Moronidae,family name was estimated from genus name using taxize function
Mugil,Demersal marine fishes,LISA,Mugilidae,Mugilidae,Mugilidae,family name was estimated from previous keys
Mulloidichthys,Demersal marine fishes,LENGUADO,Mullidae,Mullidae,Mullidae,family name was estimated from previous keys
Pseudupeneus,Demersal marine fishes,OTRAS,Mullidae,Mullidae,Mullidae,family name was estimated from previous keys
Hexaplex,Molluscs excl. Cephalopods,CARACOL,Muricidae,Muricidae,Muricidae,family name was estimated from previous keys
Aetobatus,Demersal marine fishes,RAYA Y SIMILARES,Myliobatidae,Myliobatidae,Myliobatidae,family name was estimated from previous keys
Mobula,Demersal marine fishes,RAYA Y SIMILARES,Myliobatidae,Myliobatidae,Myliobatidae,family name was estimated from previous keys
Rhinoptera,Demersal marine fishes,RAYA Y SIMILARES,NA,Myliobatidae,Myliobatidae,family name was estimated from genus name using taxize function
