estimated_genus_name,Major_Functional_Group,Major_Functional_Group_adjusted,estimated_taxa_group,family_from_previous.keys,family_from_taxize,new_estimated_family_name,new_family_est_reasoning
Haemulopsis,Demersal marine fishes,Demersal marine fishes,RONCO,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Microlepidotus,Demersal marine fishes,Demersal marine fishes,OTRAS,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Orthopristis,Demersal marine fishes,Demersal marine fishes,OTRAS,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Pomadasys,Demersal marine fishes,Demersal marine fishes,OTRAS,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Xenichthys,Demersal marine fishes,Demersal marine fishes,OTRAS,Haemulidae,Haemulidae,Haemulidae,family name was estimated from previous keys
Holocentrus,Demersal marine fishes,Demersal marine fishes,OTRAS,NA,Holocentridae,Holocentridae,family name was estimated from genus name using taxize function
Kyphosus,Demersal marine fishes,Demersal marine fishes,OTRAS,Kyphosidae,Kyphosidae,Kyphosidae,family name was estimated from previous keys
Lamna,Demersal marine fishes,Demersal marine fishes,PETO,Lamnidae,Lamnidae,Lamnidae,family name was estimated from previous keys
Hoplopagrus,Demersal marine fishes,Demersal marine fishes,PARGO,Lutjanidae,Lutjanidae,Lutjanidae,family name was estimated from previous keys
Lutjanus,Demersal marine fishes,Demersal marine fishes,GUACHINANGO,Lutjanidae,Lutjanidae,Lutjanidae,family name was estimated from previous keys
Ocyurus,Demersal marine fishes,Demersal marine fishes,RUBIA Y VILLAJAIBA,Lutjanidae,Lutjanidae,Lutjanidae,family name was estimated from previous keys
Caulolatilus,Demersal marine fishes,Demersal marine fishes,PIERNA,Malacanthidae,Malacanthidae,Malacanthidae,family name was estimated from previous keys
Merluccius,Demersal marine fishes,Demersal marine fishes,OTRAS,Merlucciidae,Merlucciidae,Merlucciidae,family name was estimated from previous keys
Aluterus,Demersal marine fishes,Demersal marine fishes,OTRAS,Monacanthidae,Monacanthidae,Monacanthidae,family name was estimated from previous keys
Morone,Demersal marine fishes,Demersal marine fishes,ROBALO,NA,Moronidae,Moronidae,family name was estimated from genus name using taxize function
Mugil,Demersal marine fishes,Demersal marine fishes,LISA,Mugilidae,Mugilidae,Mugilidae,family name was estimated from previous keys
Mulloidichthys,Demersal marine fishes,Demersal marine fishes,LENGUADO,Mullidae,Mullidae,Mullidae,family name was estimated from previous keys
Pseudupeneus,Demersal marine fishes,Demersal marine fishes,OTRAS,Mullidae,Mullidae,Mullidae,family name was estimated from previous keys
Aetobatus,Demersal marine fishes,Demersal marine fishes,RAYA Y SIMILARES,Myliobatidae,Myliobatidae,Myliobatidae,family name was estimated from previous keys
Mobula,Demersal marine fishes,Demersal marine fishes,RAYA Y SIMILARES,Myliobatidae,Myliobatidae,Myliobatidae,family name was estimated from previous keys
Rhinoptera,Demersal marine fishes,Demersal marine fishes,RAYA Y SIMILARES,NA,Myliobatidae,Myliobatidae,family name was estimated from genus name using taxize function
Bathystoma,Demersal marine fishes,Demersal marine fishes,OTRAS,NA,NA,Haemulidae,family name was logged manually
Lujtanus,Demersal marine fishes,Demersal marine fishes,OTRAS,NA,NA,Lutjanidae,family name was logged manually
Sphoeriodes,Demersal marine fishes,Demersal marine fishes,OTRAS,NA,NA,Tetraodontidae,family name was logged manually
Nematistius,Demersal marine fishes,Demersal marine fishes,OTRAS,Nematistiidae,Nematistiidae,Nematistiidae,family name was estimated from previous keys
Brotula,Demersal marine fishes,Demersal marine fishes,LENGUADO,Ophidiidae,Ophidiidae,Ophidiidae,family name was estimated from previous keys
Opistognathus,Demersal marine fishes,Demersal marine fishes,OTRAS,Opistognathidae,Opistognathidae,Opistognathidae,family name was estimated from previous keys
Polydactylus,Demersal marine fishes,Demersal marine fishes,LISA,Polynemidae,Polynemidae,Polynemidae,family name was estimated from previous keys
Stereolepis,Demersal marine fishes,Demersal marine fishes,OTRAS,Polyprionidae,Polyprionidae,Polyprionidae,family name was estimated from previous keys
Pseudobatos,Demersal marine fishes,Demersal marine fishes,RAYA Y SIMILARES,Rhinobatidae,Rhinobatidae,Rhinobatidae,family name was estimated from previous keys
Rhinobatos,Demersal marine fishes,Demersal marine fishes,RAYA Y SIMILARES,NA,Rhinobatidae,Rhinobatidae,family name was estimated from genus name using taxize function
Nicholsina,Demersal marine fishes,Demersal marine fishes,OTRAS,Scaridae,Labridae,Scaridae,family name was estimated from previous keys
Bairdiella,Demersal marine fishes,Demersal marine fishes,OTRAS,NA,Sciaenidae,Sciaenidae,family name was estimated from genus name using taxize function
Cheilotrema,Demersal marine fishes,Demersal marine fishes,OTRAS,NA,Sciaenidae,Sciaenidae,family name was estimated from genus name using taxize function
Cynoscion,Demersal marine fishes,Demersal marine fishes,CORVINA,Sciaenidae,Sciaenidae,Sciaenidae,family name was estimated from previous keys
Larimus,Demersal marine fishes,Demersal marine fishes,CORVINA,Sciaenidae,Sciaenidae,Sciaenidae,family name was estimated from previous keys
Menticirrhus,Demersal marine fishes,Demersal marine fishes,BERRUGATA,Sciaenidae,Sciaenidae,Sciaenidae,family name was estimated from previous keys
Micropogonias,Demersal marine fishes,Demersal marine fishes,BERRUGATA,Sciaenidae,Sciaenidae,Sciaenidae,family name was estimated from previous keys
Totoaba,Demersal marine fishes,Demersal marine fishes,OTRAS,Sciaenidae,Sciaenidae,Sciaenidae,family name was estimated from previous keys
Acanthocybium,Demersal marine fishes,Demersal marine fishes,PETO,NA,Scombridae,Scombridae,family name was estimated from genus name using taxize function
Scorpaena,Demersal marine fishes,Demersal marine fishes,OTRAS,Scorpaenidae,Scorpaenidae,Scorpaenidae,family name was estimated from previous keys
Helicolenus,Demersal marine fishes,Demersal marine fishes,OTRAS,NA,Sebastidae,Sebastidae,family name was estimated from genus name using taxize function
Sebastes,Demersal marine fishes,Demersal marine fishes,OTRAS,Sebastidae,Sebastidae,Sebastidae,family name was estimated from previous keys
Alphestes,Demersal marine fishes,Demersal marine fishes,OTRAS,NA,Serranidae,Serranidae,family name was estimated from genus name using taxize function
Diplectrum,Demersal marine fishes,Demersal marine fishes,OTRAS,Serranidae,Serranidae,Serranidae,family name was estimated from previous keys
Epinephelus,Demersal marine fishes,Demersal marine fishes,MERO,Serranidae,Serranidae,Serranidae,family name was estimated from previous keys
Hyporthodus,Demersal marine fishes,Demersal marine fishes,BAQUETA,Serranidae,Serranidae,Serranidae,family name was estimated from previous keys
Mycteroperca,Demersal marine fishes,Demersal marine fishes,CABRILLA,Serranidae,Serranidae,Serranidae,family name was estimated from previous keys
Paralabrax,Demersal marine fishes,Demersal marine fishes,CABRILLA,Serranidae,Serranidae,Serranidae,family name was estimated from previous keys
Paranthias,Demersal marine fishes,Demersal marine fishes,OTRAS,Serranidae,Serranidae,Serranidae,family name was estimated from previous keys
Calamus,Demersal marine fishes,Demersal marine fishes,MOJARRA,Sparidae,NA,Sparidae,family name was estimated from previous keys
Dentex,Demersal marine fishes,Demersal marine fishes,BANDERA,NA,Sparidae,Sparidae,family name was estimated from genus name using taxize function
Diplodus,Demersal marine fishes,Demersal marine fishes,OTRAS,NA,Sparidae,Sparidae,family name was estimated from genus name using taxize function
Spondyliosoma,Demersal marine fishes,Demersal marine fishes,OTRAS,NA,Sparidae,Sparidae,family name was estimated from genus name using taxize function
Syngnathus,Demersal marine fishes,Demersal marine fishes,OTRAS,Syngnathidae,Syngnathidae,Syngnathidae,family name was estimated from previous keys
Synodus,Demersal marine fishes,Demersal marine fishes,OTRAS,Synodontidae,Synodontidae,Synodontidae,family name was estimated from previous keys
Sphoeroides,Demersal marine fishes,Demersal marine fishes,OTRAS,Tetraodontidae,Tetraodontidae,Tetraodontidae,family name was estimated from previous keys
