id,fishery_unit,fishery_unit_description,fishery,common_name,highest_taxonomic_id,highest_taxonomic_resolution,IHH_functional_detailed_groups_sm,IHH_functional_major_groups_sm,species,genus,subfamily,family,order,class,superclass,phylum,kingdom,ecosystem_type,motorization,orig_vessel_size,vessel_size_min,vessel_size_max,vessel_size_median,ISSCFV_vessel_type_code,ISSCFV_vessel_type_category,ISSCFG_gear_type_code,ISSCFG_gear_type_name,main_gear_category,main_gear_category_name
20875,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,CABALLO,Caranx caballus,Species,Scads and mackerels,Pelagic marine fishes,Caranx caballus,Caranx,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.1; 9.5; 9.1,Gillnets and entangling nets (nei); Beach seines; Trolling lines; Handlines and hand-operated pole-and-lines,Multiple,Multiple
20876,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,CHABELITA,Selene peruviana,Species,Scads and mackerels,Pelagic marine fishes,Selene peruviana,Selene,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.1; 9.5,Gillnets and entangling nets (nei); Beach seines; Trolling lines,Multiple,Multiple
20877,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,CHAPETA,Selene orstedii,Species,Scads and mackerels,Pelagic marine fishes,Selene orstedii,Selene,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.1; 9.5,Gillnets and entangling nets (nei); Beach seines; Trolling lines,Multiple,Multiple
20878,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,COCINERO,Carangidae,Family,Miscellaneous pelagic fishes,Pelagic marine fishes,NEI,NEI,NEI,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.1; 9.5,Gillnets and entangling nets (nei); Beach seines; Trolling lines,Multiple,Multiple
20879,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,COJINUDA,Carangidae,Family,Miscellaneous pelagic fishes,Pelagic marine fishes,NEI,NEI,NEI,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20880,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,CORONADO,Carangidae,Family,Miscellaneous pelagic fishes,Pelagic marine fishes,NEI,NEI,NEI,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20881,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,JUREL,Carangidae,Family,Miscellaneous pelagic fishes,Pelagic marine fishes,NEI,NEI,NEI,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.1; 9.5,Gillnets and entangling nets (nei); Beach seines; Trolling lines,Multiple,Multiple
20882,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,JUREL DE CASTILLA,Seriola lalandi,Species,Scads and mackerels,Pelagic marine fishes,Seriola lalandi,Seriola,Naucratinae,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.1; ; 9.5,Gillnets and entangling nets (nei); Beach seines; ; Trolling lines,Multiple,Multiple
20883,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,JUREL FINO,Decapterus muroadsi,Species,Scads and mackerels,Pelagic marine fishes,Decapterus muroadsi,Decapterus,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 9.5; 2.1,Gillnets and entangling nets (nei); Trolling lines; Beach seines,Multiple,Multiple
20884,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,JURELETE,Caranx bucculentus,Species,Scads and mackerels,Pelagic marine fishes,Caranx bucculentus,Caranx,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20885,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,MEDREGAL,Seriola carpenteri,Species,Scads and mackerels,Pelagic marine fishes,Seriola carpenteri,Seriola,Naucratinae,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20886,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,OJO DE PERRA,Caranx sexfasciatus,Species,Scads and mackerels,Pelagic marine fishes,Caranx sexfasciatus,Caranx,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.1; 9.5; 9.1; 9.31,Gillnets and entangling nets (nei); Beach seines; Trolling lines; Handlines and hand-operated pole-and-lines; Set longlines,Multiple,Multiple
20887,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,OJOTON,Caranx sexfasciatus,Species,Scads and mackerels,Pelagic marine fishes,Caranx sexfasciatus,Caranx,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.1; 9.5; 9.1; 9.31,Gillnets and entangling nets (nei); Beach seines; Trolling lines; Handlines and hand-operated pole-and-lines; Set longlines,Multiple,Multiple
20888,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,OJUDO,Selar crumenophthalmus,Species,Scads and mackerels,Pelagic marine fishes,Selar crumenophthalmus,Selar,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.1; 9.5,Gillnets and entangling nets (nei); Beach seines; Trolling lines,Multiple,Multiple
20889,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,PAMPANITO,Trachinotus rhodopus,Species,Scads and mackerels,Pelagic marine fishes,Trachinotus rhodopus,Trachinotus,Trachinotinae,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,9.1; 7.9; 9.39; 2.1; 9.5,Handlines and hand-operated pole-and-lines; Gillnets and entangling nets (nei); Longlines (nei); Beach seines; Trolling lines,Multiple,Multiple
20890,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,PAPELILLO,Selene peruviana,Species,Scads and mackerels,Pelagic marine fishes,Selene peruviana,Selene,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.1; 9.5,Gillnets and entangling nets (nei); Beach seines; Trolling lines,Multiple,Multiple
20891,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,PEJEFUERTE,Atherinopsis californiensis,Species,Miscellaneous pelagic fishes,Pelagic marine fishes,Atherinopsis californiensis,Atherinopsis,Atherinopsinae,Atherinopsidae,Atheriniformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20892,MEXFISHESC008,"JURELES, MEDREGALES/PACIFICO",Escama,PEZ CORNETA,Fistularia commersonii,Species,Miscellaneous coastal fishes,Demersal marine fishes,Fistularia commersonii,Fistularia,NEI,Fistulariidae,Syngnathiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.1; 9.5,Gillnets and entangling nets (nei); Beach seines; Trolling lines,Multiple,Multiple
20893,MEXFISHESC009,LENGUADO/PACIFICO,Escama,FLANDER,Paralichthys spp,Genus,"Flounders, halibuts, soles",Demersal marine fishes,NEI,Paralichthys,NEI,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,ND,ND,ND,,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20894,MEXFISHESC009,LENGUADO/PACIFICO,Escama,LENGUADO,Paralichthys spp,Genus,"Flounders, halibuts, soles",Demersal marine fishes,NEI,Paralichthys,NEI,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,ND,ND,ND,,09.9.0,Multipurpose vessels,7.9; 3.9; 9.1,Gillnets and entangling nets (nei); Trawls (nei); Handlines and hand-operated pole-and-lines,Multiple,Multiple
20895,MEXFISHESC010,LISA/PACIFICO,Escama,BARBILLA,Polydactylus approximans,Species,Miscellaneous coastal fishes,Demersal marine fishes,Polydactylus approximans,Polydactylus,NEI,Polynemidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.9,Gillnets and entangling nets (nei); Seine nets (nei),Multiple,Multiple
20896,MEXFISHESC010,LISA/PACIFICO,Escama,BOBO,Polydactylus approximans,Species,Miscellaneous coastal fishes,Demersal marine fishes,Polydactylus approximans,Polydactylus,NEI,Polynemidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20897,MEXFISHESC010,LISA/PACIFICO,Escama,BOBO DE AGUA DULCE,Joturus pichardi,Species,Miscellaneous coastal fishes,Demersal marine fishes,Joturus pichardi,Joturus,NEI,Mugilidae,Mugiliformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20898,MEXFISHESC010,LISA/PACIFICO,Escama,GUABINA,Dormitator latifrons,Species,Miscellaneous freshwater fishes,Freshwater fishes,Dormitator latifrons,Dormitator,Eleotrinae,Eleotridae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.9,Gillnets and entangling nets (nei); Seine nets (nei),Multiple,Multiple
20899,MEXFISHESC010,LISA/PACIFICO,Escama,GUABINA DE AGUA DULCE,Dormitator latifrons,Species,Miscellaneous freshwater fishes,Freshwater fishes,Dormitator latifrons,Dormitator,Eleotrinae,Eleotridae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.9,Gillnets and entangling nets (nei); Seine nets (nei),Multiple,Multiple
20900,MEXFISHESC010,LISA/PACIFICO,Escama,LEBRANCHA,Mugil curema,Species,Miscellaneous coastal fishes,Demersal marine fishes,Mugil curema,Mugil,NEI,Mugilidae,Mugiliformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.9,Gillnets and entangling nets (nei); Seine nets (nei),Multiple,Multiple
20901,MEXFISHESC010,LISA/PACIFICO,Escama,LISA,Mugil cephalus ; Mugil curema ; Mugil hospes,Other - Group of Taxa,Miscellaneous coastal fishes,Demersal marine fishes,NEI,Mugil,NEI,Mugilidae,Mugiliformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.9,Gillnets and entangling nets (nei); Seine nets (nei),Multiple,Multiple
20902,MEXFISHESC010,LISA/PACIFICO,Escama,LISA DE AGUA DULCE,Actinopterygii,Class,Marine fishes not identified,Marine fishes NEI,NEI,NEI,NEI,NEI,NEI,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20903,MEXFISHESC010,LISA/PACIFICO,Escama,LISA MACHO,Mugil cephalus,Species,Miscellaneous coastal fishes,Demersal marine fishes,Mugil cephalus,Mugil,NEI,Mugilidae,Mugiliformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,2.9; 7.9; 3.9; 2.1,Seine nets (nei); Gillnets and entangling nets (nei); Trawls (nei); Beach seines,Multiple,Multiple
20904,MEXFISHESC010,LISA/PACIFICO,Escama,LISETA,Mugil curema,Species,Miscellaneous coastal fishes,Demersal marine fishes,Mugil curema,Mugil,NEI,Mugilidae,Mugiliformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.9,Gillnets and entangling nets (nei); Seine nets (nei),Multiple,Multiple
20905,MEXFISHESC010,LISA/PACIFICO,Escama,MAPACHE,Pomadasys panamensis,Species,Miscellaneous coastal fishes,Demersal marine fishes,Pomadasys panamensis,Pomadasys,Haemulinae,Haemulidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.9,Gillnets and entangling nets (nei); Seine nets (nei),Multiple,Multiple
20906,MEXFISHESC010,LISA/PACIFICO,Escama,PAJARITO,Hyporhamphus spp,Genus,Miscellaneous pelagic fishes,Pelagic marine fishes,NEI,Hyporhamphus,NEI,Hemiramphidae,Beloniformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.9,Gillnets and entangling nets (nei); Seine nets (nei),Multiple,Multiple
20907,MEXFISHESC010,LISA/PACIFICO,Escama,POPOYOTE,Dormitator latifrons,Species,Miscellaneous freshwater fishes,Freshwater fishes,Dormitator latifrons,Dormitator,Eleotrinae,Eleotridae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.9,Gillnets and entangling nets (nei); Seine nets (nei),Multiple,Multiple
20908,MEXFISHESC010,LISA/PACIFICO,Escama,QUIJO,Albula nemoptera,Species,Miscellaneous coastal fishes,Demersal marine fishes,Albula nemoptera,Albula,Albulinae,Albulidae,Albuliformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.9,Gillnets and entangling nets (nei); Seine nets (nei),Multiple,Multiple
20909,MEXFISHESC010,LISA/PACIFICO,Escama,SABALO,Chanos chanos,Species,Miscellaneous diadromous fishes,Diadromous fishes,Chanos chanos,Chanos,NEI,Chanidae,Gonorynchiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.9,Gillnets and entangling nets (nei); Seine nets (nei),Multiple,Multiple
20910,MEXFISHESC010,LISA/PACIFICO,Escama,SABALOTE,Chanos chanos,Species,Miscellaneous diadromous fishes,Diadromous fishes,Chanos chanos,Chanos,NEI,Chanidae,Gonorynchiformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.9,Gillnets and entangling nets (nei); Seine nets (nei),Multiple,Multiple
20911,MEXFISHESC011,MOJARRA/PACIFICO,Escama,CHARRA,Eucinostomus gracilis,Species,Miscellaneous coastal fishes,Demersal marine fishes,Eucinostomus gracilis,Eucinostomus,NEI,Gerreidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.9,Gillnets and entangling nets (nei); Seine nets (nei),Multiple,Multiple
20912,MEXFISHESC011,MOJARRA/PACIFICO,Escama,CHOPA,Kyphosidae,Family,Miscellaneous coastal fishes,Demersal marine fishes,NEI,NEI,NEI,Kyphosidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20913,MEXFISHESC011,MOJARRA/PACIFICO,Escama,CHOPA DE AGUA DULCE,Kyphosidae,Family,Miscellaneous coastal fishes,Demersal marine fishes,NEI,NEI,NEI,Kyphosidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20914,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MALACAPA,Gerreidae,Family,Miscellaneous coastal fishes,Demersal marine fishes,NEI,NEI,NEI,Gerreidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20915,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA,Gerreidae,Family,Miscellaneous coastal fishes,Demersal marine fishes,NEI,NEI,NEI,Gerreidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20916,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA ALETA AMARILLA,Diapterus peruvianus,Species,Miscellaneous coastal fishes,Demersal marine fishes,Diapterus peruvianus,Diapterus,NEI,Gerreidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,2.9; 7.9,Seine nets (nei); Gillnets and entangling nets (nei),Multiple,Multiple
20917,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA BLANCA,Eucinostomus argenteus,Species,Miscellaneous coastal fishes,Demersal marine fishes,Eucinostomus argenteus,Eucinostomus,NEI,Gerreidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20918,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA CASTARRICA,Actinopterygii,Class,Marine fishes not identified,Marine fishes NEI,NEI,NEI,NEI,NEI,NEI,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20919,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA CHARRITA,Eucinostomus gracilis,Species,Miscellaneous coastal fishes,Demersal marine fishes,Eucinostomus gracilis,Eucinostomus,NEI,Gerreidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.9,Gillnets and entangling nets (nei); Seine nets (nei),Multiple,Multiple
20920,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA CHINA,Eugerres lineatus,Species,Miscellaneous coastal fishes,Demersal marine fishes,Eugerres lineatus,Eugerres,NEI,Gerreidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20921,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA DE AGUA DULCE,Gerreidae,Family,Miscellaneous coastal fishes,Demersal marine fishes,NEI,NEI,NEI,Gerreidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20922,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA MUELUDA,Calamus brachysomus,Species,Miscellaneous coastal fishes,Demersal marine fishes,Calamus brachysomus,Calamus,NEI,Sparidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.1; 9.1; 9.39; 3.9; 10.8; 10.1; 8.3,Gillnets and entangling nets (nei); Beach seines; Handlines and hand-operated pole-and-lines; Longlines (nei); Trawls (nei); Diving; Harpoons; Fyke nets,Multiple,Multiple
20923,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA NEGRA,Eucinostomus gracilis,Species,Miscellaneous coastal fishes,Demersal marine fishes,Eucinostomus gracilis,Eucinostomus,NEI,Gerreidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.9,Gillnets and entangling nets (nei); Seine nets (nei),Multiple,Multiple
20924,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA PALETA,Actinopterygii,Class,Marine fishes not identified,Marine fishes NEI,NEI,NEI,NEI,NEI,NEI,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20925,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA PIEDRERA,Anisotremus davidsonii,Species,Miscellaneous coastal fishes,Demersal marine fishes,Anisotremus davidsonii,Anisotremus,Haemulinae,Haemulidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20926,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA PINTA,Actinopterygii,Class,Marine fishes not identified,Marine fishes NEI,NEI,NEI,NEI,NEI,NEI,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20927,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA PLATEADA,Eucinostomus argenteus,Species,Miscellaneous coastal fishes,Demersal marine fishes,Eucinostomus argenteus,Eucinostomus,NEI,Gerreidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20928,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA PLUMA,Actinopterygii,Class,Marine fishes not identified,Marine fishes NEI,NEI,NEI,NEI,NEI,NEI,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20929,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA PRIETA,Haemulon scudderii,Species,Miscellaneous coastal fishes,Demersal marine fishes,Haemulon scudderii,Haemulon,Haemulinae,Haemulidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,9.1; 7.9; 9.39,Handlines and hand-operated pole-and-lines; Gillnets and entangling nets (nei); Longlines (nei),Multiple,Multiple
20930,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA RAYADA,Eugerres axillaris,Species,Miscellaneous coastal fishes,Demersal marine fishes,Eugerres axillaris,Eugerres,NEI,Gerreidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,7.9; 2.9,Gillnets and entangling nets (nei); Seine nets (nei),Multiple,Multiple
20931,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA TENHUAYACA,Petenia splendida,Species,Tilapias and other cichlids,Freshwater fishes,Petenia splendida,Petenia,Cichlasomatinae,Cichlidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20932,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRA VERDE,Gerreidae,Family,Miscellaneous coastal fishes,Demersal marine fishes,NEI,NEI,NEI,Gerreidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
20933,MEXFISHESC011,MOJARRA/PACIFICO,Escama,MOJARRITA,Gerreidae,Family,Miscellaneous coastal fishes,Demersal marine fishes,NEI,NEI,NEI,Gerreidae,Perciformes,Actinopterygii,Osteichthyes,Chordata,Animalia,Pelagic; Reef; Brackish/Estuarine,Motorized vessel,<10.5,ND,10.5,10.5,09.9.0,Multipurpose vessels,99,Gear not known,99,Gear not known
