year,eu_rnpa,Major_Functional_Group,total_catch_kg
2018,0203015870,Marine fishes NEI,1482
2018,0203015870,Pelagic marine fish (excl. anchovy & sardine),471
2018,0203016415,Molluscs excl. Cephalopods,18935
2018,0203016456,Anchovy & Sardine (small pelagics),4471800
2018,0203016456,Pelagic marine fish (excl. anchovy & sardine),116000
2018,0203016878,Demersal marine fishes,8927.4
2018,0203016878,Sharks,10176.1
2018,0203017116,Cephalopods,5045.6
2018,0203017363,Molluscs excl. Cephalopods,430
2018,0203017678,Molluscs excl. Cephalopods,36998
2018,0203017819,Molluscs excl. Cephalopods,282
2018,0203126552,"Shrimps, prawns",1525
2018,0203126560,Anchovy & Sardine (small pelagics),5060019.76
2018,0203126560,Pelagic marine fish (excl. anchovy & sardine),2093756.6
2018,0203126586,Pelagic marine fish (excl. anchovy & sardine),312.5
2018,0203126586,Sharks,16050
2018,0203126602,Molluscs excl. Cephalopods,1174
2018,0203126628,Cephalopods,291.5
2018,0203126628,Demersal marine fishes,60158.632
2018,0203126628,Marine fishes NEI,44688.4
2018,0203126628,Pelagic marine fish (excl. anchovy & sardine),109383.7
2018,0203126628,Sharks,168701.61
2018,0203126685,Demersal marine fishes,180
2018,0203126685,Marine fishes NEI,50
2018,0203126693,Pelagic marine fish (excl. anchovy & sardine),43754.75
2018,0203126693,Sharks,16422.5
2018,0203126743,Molluscs excl. Cephalopods,27281
2018,0203126784,Anchovy & Sardine (small pelagics),15579226.88
2018,0203126784,Pelagic marine fish (excl. anchovy & sardine),2188472.76
2018,0203126883,Crustaceans,987
2018,0203126883,Demersal marine fishes,2132.7
2018,0203126883,Marine fishes NEI,749
2018,0203126883,Sharks,440
2018,0203126883,"Shrimps, prawns",2002
2018,0203126974,Cephalopods,341
2018,0203126974,Demersal marine fishes,25463.4
2018,0203126974,Marine fishes NEI,14628
2018,0203126974,Pelagic marine fish (excl. anchovy & sardine),1133
2018,0203126974,"Shrimps, prawns",6430
2018,0203127022,Cephalopods,1807.3
2018,0203127048,Cephalopods,23178.1
2018,0203127220,Cephalopods,23595
2018,0203127220,Demersal marine fishes,70233.4
2018,0203127220,Marine fishes NEI,200
