"","cinfo.stock.i.","stock","yr","ct.raw","B","lcl.B","ucl.B","B.Bmsy","lcl.B.Bmsy","ucl.B.Bmsy","F.Fmsy","lcl.F.Fmsy","ucl.F.Fmsy"
"1","etrumeus","etrumeus",2000,4141.78464,23451.8375938959,18404.3201820374,30895.4749374797,0.758877038914354,0.595544632571201,0.99974539063454,0.476792017086304,0.361918661985332,0.607555663027821
"2","etrumeus","etrumeus",2001,304.4536,29653.08580778,23460.414657887,37858.8297921744,0.959542972374095,0.759154583771899,1.22507230123945,0.027718489476761,0.0217106221039706,0.0350351329634372
"3","etrumeus","etrumeus",2002,4168.53424,38921.8279979031,31354.5396051277,46680.1247907907,1.25946981603994,1.0146002451533,1.5105202198146,0.289140204763728,0.241084730761313,0.358922996759673
"4","etrumeus","etrumeus",2003,8032.61488,46009.9442209973,38890.5284618121,53034.5617778062,1.48883387458444,1.25845699565121,1.71614318242326,0.471328367256996,0.408899237786163,0.557611139395087
"5","etrumeus","etrumeus",2004,8145.3576,50393.1777940893,44508.6713466776,54584.2036258388,1.63067074777189,1.44025424798142,1.76628797863824,0.436371873277885,0.402866835708906,0.494064745791917
"6","etrumeus","etrumeus",2005,6829.66588,50227.0309899285,46346.2787761339,53629.8532182402,1.62529441023494,1.49971731048854,1.73540619342609,0.367096539820079,0.343804209323615,0.397834945301658
"7","etrumeus","etrumeus",2006,6638.63592,49108.0411807704,45680.7616481412,52116.7996062144,1.589085065464,1.47818186937798,1.6864453544208,0.364959422181614,0.343889925498568,0.392341145094154
"8","etrumeus","etrumeus",2007,3544.26168,48562.133369029,45595.3721106275,51569.4131122371,1.5714200572515,1.47541875287919,1.66873249759122,0.197036353767494,0.18554614281491,0.209856949231345
"9","etrumeus","etrumeus",2008,958.45232,49707.3274824619,46976.5081709685,51593.1405774726,1.60847734601638,1.52011087730709,1.66950029365355,0.0520557177913109,0.0501529967477329,0.05508179965548
"10","etrumeus","etrumeus",2009,512.865,52157.1614128684,50631.2202369721,53596.1018412483,1.68775142044638,1.63837355329694,1.73431403401946,0.0265465112975516,0.0258337943829589,0.027346579209716
"11","etrumeus","etrumeus",2010,10763.495,55418.336547821,54708.6775259255,55621.0523798259,1.79327965122511,1.77031582440264,1.79983932441562,0.524346251840775,0.522435225670779,0.531147861110886
"12","etrumeus","etrumeus",2011,978.3382,55588.3172222855,54453.3412672469,56757.2788551606,1.79878004881203,1.76205340901034,1.83660642975165,0.0475142440731634,0.046535650147293,0.0485045877929401
"13","etrumeus","etrumeus",2012,2011.72072,55515.3056426952,54390.8062739455,56815.9700484175,1.79641747013971,1.76002984175873,1.83850561563722,0.0978302794459155,0.0955906914890658,0.0998528655228245
"14","etrumeus","etrumeus",2013,16864.68668,55229.7333156988,53569.1654430635,56308.9665976164,1.78717664706821,1.73344240022907,1.82209951202497,0.824372832723306,0.808572674213181,0.849927217036959
"15","etrumeus","etrumeus",2014,7568.69724,52926.5764448028,51472.4558279363,54469.9904470014,1.71264888951646,1.66559506085447,1.7625921591267,0.38606965791355,0.375130325797684,0.396976303809665
"16","etrumeus","etrumeus",2015,7029.22706,49792.461570401,47604.0359483531,51838.6664299186,1.611232196433,1.54041702259876,1.67744525451792,0.38112050531894,0.366076703389743,0.398641160076715
"17","etrumeus","etrumeus",2016,25063.6821,46363.8850211397,43729.5564717422,49357.2366669054,1.50028703023963,1.41504290209444,1.59714877185255,1.45943041734074,1.37092083421498,1.54734851037569
"18","etrumeus","etrumeus",2017,28279.0455,42851.7235664672,40374.1957239364,45974.6635358644,1.38663714356274,1.30646692298024,1.48769222835918,1.78161882234715,1.66059806433338,1.89094633111843
"19","etrumeus","etrumeus",2018,14961.98914,34132.4506636113,30072.0308745327,38366.9730342458,1.10449055374806,0.973099598393361,1.2415152873101,1.1834235413408,1.05281033254609,1.34321309417047
"20","etrumeus","etrumeus",2019,12545.46728,25341.933125334,20835.7138548257,29399.1247436555,0.820038561734056,0.674221999470629,0.95132505684527,1.33648916357808,1.1520485491133,1.62553677028372
"21","etrumeus","etrumeus",2020,6914.00832,18637.1676623821,15870.021315751,22653.7412345125,0.603079334519193,0.513537360788287,0.733051471960282,1.00154006182427,0.823964124052697,1.17617170647941
"22","etrumeus","etrumeus",2021,3438.73996,17155.3913798039,14342.3067723456,21930.4994669747,0.555130597318779,0.464102109313253,0.709648121635566,0.541149230490201,0.423320356105861,0.647289657884011
"23","etrumeus","etrumeus",2022,4016.04528,18696.7601723422,15109.7357110944,23926.3177307691,0.605007686074541,0.488935310476408,0.774230721961682,0.579896628384994,0.453149051503277,0.71756305953804
"24","etrumeus","etrumeus",2023,4099.559,23473.0592896153,19155.1460880077,31429.2081609194,0.759563750884956,0.619840576886083,1.01701644184972,0.471504438773831,0.352145418045148,0.577789988956753
"25","etrumeus","etrumeus",2024,4705.06208,30532.3679123843,24838.9071454494,39042.2375705117,0.987995625486709,0.80376116493803,1.26336614440023,0.416028622942392,0.325348642090988,0.511388802388871
"26","panulirus","panulirus",2000,399.341,1327.50806852595,1112.861678213,1409.85503925931,0.952912660778285,0.798835056454049,1.01202301411549,1.65186348909402,1.55538126176986,1.97047140071979
"27","panulirus","panulirus",2001,377.18,1190.47258254014,1004.68766051864,1299.11605797649,0.854545763681543,0.721185516332864,0.932532290248733,1.73978940133914,1.59429295710055,2.06150793234483
"28","panulirus","panulirus",2002,367.706,1058.87644639298,908.863503521426,1170.22489045242,0.760083344041884,0.652400960836755,0.840011552854975,1.90687774813933,1.72543581163702,2.22161845627243
"29","panulirus","panulirus",2003,446.344,930.017775430814,803.36092403441,1039.34578548349,0.667585933350245,0.57666903413775,0.746063832978054,2.6353959501022,2.35818061046283,3.05088909052843
"30","panulirus","panulirus",2004,105.407,766.835339519671,684.530506483896,858.595226460164,0.550450216526291,0.491370110497166,0.61631735518276,0.754804979048476,0.674137375263676,0.845559294870364
"31","panulirus","panulirus",2005,144.773,666.302935607493,599.536475748625,741.435878297026,0.478285984324852,0.430359642916242,0.532217959600817,1.24728477026581,1.12089194533649,1.38618672521783
"32","panulirus","panulirus",2006,171.4645,613.621979076023,551.42704405571,680.89585720136,0.440470507605008,0.39582570097649,0.488761084306716,1.74178241742976,1.56969081658988,1.93823640973817
"33","panulirus","panulirus",2007,144.071,617.559148009562,547.089670209375,696.622938156572,0.443296688637985,0.392712244606096,0.50005030726108,1.44491051240132,1.280919211977,1.63102641774816
"34","panulirus","panulirus",2008,142.994,609.922568175921,552.480991833295,695.590197485609,0.437814994190281,0.396582246420447,0.499308984715482,1.47024566396874,1.28917286997259,1.62310744527461
"35","panulirus","panulirus",2009,119.162,603.629569869662,536.877669948841,697.288559548196,0.433297750263509,0.38538186027861,0.500528104019082,1.25088754997358,1.08286978669937,1.40641482410288
"36","panulirus","panulirus",2010,115.74972,605.913245900411,541.613284433356,720.700063087922,0.434937020000855,0.388781181989603,0.517333363934099,1.20592571075079,1.01385638650434,1.34909239251808
